question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements.<br/>1. NBFC must get itself registered with RBI as a deposit-taking company.<br/>2. For registration they no need to be a company under the Companies Act,1956.<br/>Which of these statements is/are correct?",NA,1 Only,Both 1 and 2,2 Only,1 Only,Neither 1 nor 2,NA,NA,NA,NA,"RBI, the regulator of the NBFCs, has given a very wide definition of such companies (a kind of 'umbrella' definition)—“a financial institution formed as a company involved in receiving deposits or lending in any manner. their liability structure, they have been classified into two broad categories:<br/>(i) deposit-taking NBFCs (NBFC-D), and<br/> (ii) non-deposit taking NBFCs (NBFC. ND).<br/> An NBFC must get itself registered with the RBI as a deposit-taking company. For registration, they need to be a company (incorporated under the Companies Act, 1956) and should have a minimum NOF (net owned fund) Rs. 2 crores.<br/><br/>Company is an association of person who takes their meals together. The term is derived from the Latin word (“com” meaning “with” or “together”; “panis” that is “bread”) Section 2(20) of Companies Act, 2013 states that a company means any association of person registered under the present or the previous companies act.",NA
Which of the following are correctly matched?<br/>1. Merchant Bank - registered and regulated by RBI<br/>2. Nidhi company - regulated by the SEBI<br/>3. Insurance Company - registered and regulated by the IRDA<br/><br/>Choose from the following options.,NA,3 Only,1 Only,2 and 3 Only,3 Only,All of them,NA,NA,NA,NA,"(i) Venture capital fund, merchant bank, stockbroking firms (SEBI registers and regulates them);<br/>(ii) Insurance company (registered and regulated by the IRDA);<br/>(iii) Housing finance company (regulated by the RBI); [ The Finance (No. 2) Act, 2019 has amended the National Housing Bank Act, 1987 conferring certain powers for the regulation of Housing Finance Companies (HFCs) with Reserve Bank of India]<br/>(iv) Nidhi company (regulated by the Ministry of Corporate Affairs under the Companies Act, 1956);<br/>(v) chit fund company (by respective state governments under Chit Funds Act, 1982).",NA
Which of the following statements are correct about NBFCs<br/>1. They cannot accept demand deposits except in current accounts<br/>2. Their deposits are not insured<br/>3. They don't need to maintain capital adequacy ratio norm as prescribed by the RBI<br/>Choose from the following options.,NA,2 Only,1 Only,2 and 3 Only,2 Only,1 and 2 Only,NA,NA,NA,NA,"Some of the important regulations relating to acceptance of deposits by the NBFCs are:<br/><br/>• allowed to accept and/or renew public deposits for a minimum period of 12 months and a maximum period of 60 months.<br/><br/>• cannot accept demand deposits (i.e., the saving and current accounts). • cannot offer interest rates higher than the ceiling rate prescribed by the RBI.<br/><br/>• cannot offer gifts, incentives or any other additional benefit to the depositors.<br/><br/>• should have a minimum investment-grade credit rating.<br/><br/>• their deposits are not insured.<br/><br/>• The repayment of deposits by NBFCs is not guaranteed by RBI.<br/><br/>• need to maintain Capital Adequacy Ratio (CAR) norms prescribed by the RBI.",NA
Which of the following are the functions of the Reserve Bank of India?<br/>1. Distributing agent for currency and coins issued by the Government of India.<br/>2. Announces the credit and monetary policy for the economy<br/>3. Stabilising and targeting (CPI-C) the rate of inflation.<br/>Which of these statements is/are correct?,NA,All of them,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"After nationalisation in 1949, it emerged as the central banking body of India and it did not remain a 'bank' in the technical sense. Since then, the governments have been handing over different functions to the RBI, which stand today as given below:<br/>(i) It is the issuing agency of the currency and coins other than rupee one currency and coin (which are issued by the Ministry of Finance itself with the signature of the Finance Secretary on the note).<br/>(ii) Distributing agent for currency and coins issued by the Government of India.<br/>(iii) Banker of the government.<br/>(iv) Bank of the banks/Bank of last resort.<br/>(v) Announces the credit and monetary policy for the economy.<br/>(vi) Stabilising and targeting (CPI-C) the rate of inflation.",NA
Consider the following statements.<br/>1. Cash reserve ratio (CRR) is the ratio of the total deposits and lendings of a bank in India.<br/>2. It is kept with the RBI in the form of cash<br/>Which of these statements is/are correct?,NA,2 Only,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,The cash reserve ratio (CRR) is the ratio (fixed by the RBI) of the total deposits of a bank in India which is kept with the RBI in the form of cash.<br/>This was fixed to be in the range of 3 to 15 per cent. A recent Amendment (2017) has removed the 3 per cent floor and provided a free hand to the RBI in fixing the CRR.,NA
Consider the following statements.<br/><br/>1. The statutory liquidity ratio (SLR) is the ratio of the total deposits of a bank which is to be maintained by the bank with itself in cash and non-cash form.<br/>2. It is currently in the range of 18 to 40 per cent.<br/>Which of these statements is/are correct?,NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,The statutory liquidity ratio (SLR) is the ratio (fixed by the RBI) of the total deposits of a bank which is to be maintained by the bank with itself in cash or non-cash form prescribed by the government to be in the range of 18 to 40 per cent.,NA
Which of the following statements are correct about repo rate?<br/><br/>1. The rate of interest the RBI charges from its clients on their short-term borrowing<br/>2. Abbreviated form of the ‘rate of repurchase’ and in western economies it is known as the ‘rate of discount’.<br/>3. It is considered a discount on the dated government securities.<br/><br/>Which of these statements is/are correct?,NA,All of them,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Repo Rate: The (fixed) interest rate at which the Reserve Bank provides overnight liquidity to banks against the collateral of government and other approved securities under the liquidity adjustment facility (LAF). In other words, the rate of interest the RBI charges from its clients on their short-term borrowing is the repo rate in India. Basically, this is an abbreviated form of the ‘rate of repurchase’ and in western economies it is known as the ‘rate of discount’. In practice it is not called an interest rate but considered a discount on the dated government securities, which are deposited with RBI by institution to borrow for the short term. When they get their securities released from the RBI, the value of the securities is lost by the amount of the current repo rate.",NA
Consider the following statements about the Marginal Standing Facility.<br/><br/>1. Marginal Standing Facility (MSF) rate refers to the rate at which the banks can pledge government securities for gaining liquidity in situations when the liquidity is dried up.<br/><br/>2. Its interest rate is 1 basis points higher than the current repo rate.<br/>Which of these statements is/are correct?,NA,1 Only,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"MSF is a new scheme announced by the RBI in its Monetary Policy, 2011-12 which came into effect from May 2011.<br/>Under this scheme, banks can borrow overnight up to 1 percent of their net demand and time liabilities (NDTL) from the RBI, at the interest rate 1 per cent (100 basis points) higher than the current repo rate.<br/>In an attempt to strengthen the rupee and check its falling exchange rate, the RBI increased the gap between ‘repo' and MSF to 3 per cent (late July 2013).",NA
Participants in the call money market in India include:<br/>1. Urban Cooperative banks<br/>2. Regional rural banks<br/>3. State governments<br/><br/>Choose from the following options.,NA,1 Only,2 Only,1 and 2 Only,1 and 3 Only,1 Only,NA,NA,NA,NA,"Call Money Market:<br/><br/>The call money market is an important segment of the money market where borrowing and lending of funds take place on an overnight basis.<br/>Participants in the call money market in India currently include scheduled commercial banks (SCBs)—excluding regional rural banks), cooperative banks (other than land development banks), insurance.<br/>Prudential limits, in respect of both outstanding borrowing and lending transactions in the call money market for each of these entities, are specified by the RBI.",NA
"Which of the following are the features of the marginal cost of funds based lending rate (MCLR)?<br/>1. It is to be reviewed every month on a pre-announce date.<br/>2. Existing borrowers will have the option to move to it.<br/>3. It will be a tenor linked internal benchmark, to be reset every month.<br/><br/>Choose from the following options.",NA,1 and 2 Only,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"The main features of the MCLR are-<br/><br/>It will be a tenor linked internal benchmark, to be reset on an annual basis.<br/>Actual lending rates will be fixed by adding a spread to the MCLR<br/>To be reviewed every month on a pre-announced date.<br/>Existing borrowers will have the option to move to it.<br/>Banks will continue to review and publish ‘Base Rate' as hitherto",NA
