question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Assertion (A): In Jainism, the concept of Anekantavada encourages the acceptance of multiple truths and perspectives.<br/><br/>Reason (R): Jain philosophy teaches that reality is complex and multifaceted, and no single human perspective can fully capture it.<br/><br/>Is the reason for the assertion correct, and is it the correct explanation?",NA,A,"Both A and R are true, and R is the correct explanation of A","Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",NA,NA,NA,NA,"The assertion and the reason are correctly matched. Anekantavada is a fundamental principle in Jain philosophy that acknowledges the complexity of reality and promotes tolerance towards diverse viewpoints, recognizing that multiple perspectives can offer valid insights into the nature of existence.",NA
"Consider the following statements regarding Jainism:<br/><br/>Jainism believes in the existence of the soul (at man) and its liberation through the practice of non-violence (ahimsa) and self-control. <br/>Digambara Jain monks wear white clothing to symbolize purity and detachment. <br/>Svetambara Jainism teaches that liberation can be achieved by following twelve vows, including non-attachment and truthfulness.<br/>Which of the statements given above is/are correct?",NA,B,1 and 2,Only 1,1 and 3,All of the above,NA,NA,NA,NA,"Statement 1 is correct. Jainism emphasizes the existence of the soul (atman) and its liberation through practices such as non-violence (ahimsa) and self-control. This is a core aspect of Jain philosophy, distinguishing it from Buddhism, which does not accept the concept of an eternal soul.<br/>Statement 2 is incorrect. Digambara Jain monks do not wear any clothes, as they practice complete nudity, symbolizing the rejection of all earthly possessions and attachment. The absence of clothing is seen as a sign of their renunciation and purity.<br/>Statement 3 is incorrect in its specifics. Svetambara Jainism does teach about ethical practices and vows, but the concept of twelve vows specifically pertains to the lay followers (householders) in Jainism, which includes vows of non-violence, truthfulness, non-stealing, chastity, and non-attachment, among others. The emphasis is on living a life that minimizes harm to all living beings.",NA
"Assertion (A): The practice of Sallekhana in Jainism is viewed as a form of suicide.<br/><br/>Reason (R): Sallekhana involves a voluntary and gradual fast unto death, undertaken with a calm and dispassionate mindset, as a way to purify the soul.<br/><br/>Is the reason for the assertion correct, and is it the correct explanation?",NA,C,"Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not the correct explanation of A.","A is false, but R is true.","A is true, but R is false.",NA,NA,NA,NA,"The assertion is false because, within Jainism, Sallekhana is not considered a form of suicide. It is a highly respected practice that is seen as a final act of spiritual purification and detachment. The reason is true as it accurately describes the nature and purpose of Sallekh.",NA
"Consider the following statements regarding the teachings and practices of Jainism:<br/><br/>Jainism teaches the concept of anekantavada, which suggests that truth and reality have multiple aspects and no single viewpoint is the complete truth.<br/>Sallekhana, the practice of fasting to death, is considered an act of suicide in Jain philosophy.<br/>The Digambara sect of Jainism believes that women cannot achieve liberation (moksha) in their current birth.<br/>Which of the statements given above is/are correct?",NA,A,1 and 3,Only 1,"1, 2, and 3",Only 2,NA,NA,NA,NA,"Statement 1 is correct. The concept of anekantavada is a fundamental doctrine of Jainism, emphasizing the complexity of truth and reality, and advocating for a multifaceted approach to understanding and explaining them. It promotes tolerance and acceptance of diverse viewpoints.<br/>Statement 2 is incorrect. Sallekhana, or the practice of a voluntary and gradual reduction in the intake of food and liquids, is considered in Jainism to be an ethical and spiritual act of purification, not suicide. It is viewed as a way to face the end of life with composure, detachment, and focus on the soul&#39;s liberation.<br/>Statement 3 is correct. The Digambara sect of Jainism holds the belief that women cannot achieve moksha in their current female form. This view is based on their interpretation of Jain texts and the requirements for achieving liberation, which they believe can only be fully met by men in their tradition.",NA
"Consider the following statements about Jainism:<br/><br/>Jainism advocates for a strict adherence to non-violence (Ahimsa) as its core principle.<br/>Mahavira, the 24th Tirthankara of Jainism, introduced the practice of discarding clothes, leading to the division between Digambara and Shvetambara sects.<br/>Jainism played a significant role in the spread of the Varna system in ancient India.<br/><br/>How many of the statements given above are correct?",NA,B,Only one,Only two,All three,None,NA,NA,NA,NA,"Statement 1 is correct: Non-violence (Ahimsa) is indeed the central principle of Jainism, emphasizing harmlessness towards all living beings.<br/>Statement 2 is correct: Mahavira indeed introduced the practice of discarding clothes, symbolizing extreme austerity. This practice led to the formation of two major sects in Jainism: Digambar (those who regard the sky as their clothing, i.e., remain nude) and Shvetambar (those who wear white clothes).<br/>Statement 3 is incorrect: Jainism did not promote the Varna system. In fact, it sought to provide a spiritual path that was accessible to all, regardless of Varna, challenging the hierarchical social structure prevalent in ancient India.",NA
"Assertion (A): Jainism&#39;s practice of discarding clothes is symbolized by the Digambara sect.<br/><br/>Reason (R): The practice signifies extreme austerity and non-attachment to material possessions, embodying Jainism&#39;s core principles.",NA,A,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,NA,NA,NA,NA,"Assertion is true: The Digambara sect is known for the practice of nudity, symbolizing the rejection of material possessions and societal norms.<br/>Reason is true: This practice directly embodies Jainism&#39;s principles of extreme austerity and non-attachment, making R a correct explanation for A.",NA
"Consider the following statements about the causes of the spread of Jainism:<br/><br/>Chandragupta Maurya&#39;s conversion to Jainism played a crucial role in spreading Jainism to South India.<br/>The great famine in Magadh around 260 BC led to the migration of Jains to the South, significantly influencing the spread of Jainism.<br/>Jainism&#39;s support for the Varna system facilitated its rapid spread across different social classes in ancient India.<br/>How many of the statements given above are correct?",NA,B,Only one,Only two,All three,None,NA,NA,NA,NA,"Statement 1 is correct: Chandragupta Maurya&#39;s conversion to Jainism and his subsequent life as a Jain ascetic in Karnataka played a crucial role in introducing and spreading Jainism in South India.<br/>Statement 2 is correct: The great famine in Magadh prompted the migration of Jains to the South, under the leadership of Bhadrabahu. This migration was pivotal in spreading Jainism in South India.<br/>Statement 3 is incorrect: Jainism did not support the Varna system; instead, it offered a spiritual path that transcended social hierarchies, attracting followers from various social backgrounds, including those marginalized by the Varna system.",NA
"Assertion (A): The introduction of Mahayana Buddhism was a response to the desire for more accessible and tangible religious practices.<br/><br/>Reason (R): Mahayana Buddhism introduced the worship of Buddha images, making it easier for followers to engage in devotional practices.",NA,A,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,NA,NA,NA,NA,"Assertion is true: The emergence of Mahayana Buddhism was partly due to a demand among followers for a form of the religion that was more accessible and less austere than the original teachings, which could be perceived as abstract and difficult to practice for laypeople.<br/>Reason is true: Mahayana Buddhism introduced the concept of Bodhisattvas and the worship of images of the Buddha, providing followers with tangible forms for devotion and making the religion more accessible. This shift towards devotional practices and the veneration of images helped make Buddhism more approachable for the general populace, directly addressing the desires mentioned in the assertion.",NA
"Consider the following statements regarding the teachings of Mahavira:<br/><br/>Mahavira attained enlightenment at the age of 42 and became known as the <q>Jina</q>, marking the foundation of Jainism.<br/>One of the key teachings of Mahavira was the strict adherence to the caste system to maintain social order.<br/>Mahavira introduced the concept of <q>Aparigraha</q>, advocating for minimalism and detachment from material possessions.<br/>How many of the statements given above are correct?",NA,B,Only one,Only two,All three,None,NA,NA,NA,NA,"Statement 1 is correct: Mahavira attained enlightenment at the age of 42 and was thereafter known as the <q>Jina</q>, which signifies the conqueror. This marks the foundation of what is known today as Jainism.<br/>Statement 2 is incorrect: Mahavira and Jainism did not advocate for the strict adherence to the caste system. Instead, Jainism provided a spiritual path that was accessible to all individuals, irrespective of their caste.<br/>Statement 3 is correct: The concept of <q>Aparigraha</q> (non-attachment to possessions) is a fundamental teaching of Mahavira, emphasizing the importance of living a life of simplicity and detachment from material wealth.",NA
"Consider the following statements about the reasons for the spread of Jainism:<br/><br/>The introduction of new agricultural practices and economic changes in northeastern India contributed to the rise of Jainism. <br/>Jainism received substantial state patronage similar to Buddhism, which significantly contributed to its rapid spread across India.<br/>Jainism&#39;s principle of non-violence (Ahimsa) appealed to traders and agricultural communities, fostering its growth and spread.<br/><br/>How many of the statements given above are correct?",NA,A,Only Two,Only one,All three,None,NA,NA,NA,NA,"Statement 1 is correct: The introduction of new agricultural practices and economic changes did indeed contribute to the socio-economic conditions conducive for the spread of Jainism, particularly in regions like northeastern India.<br/>Statement 2 is incorrect: Unlike Buddhism, Jainism did not receive as much state patronage, which limited its rapid spread compared to Buddhism in the early stages.<br/>Statement 3 is correct: The principle of non-violence (Ahimsa) held significant appeal to various communities, including traders and those involved in agriculture, promoting a peaceful way of life that was conducive to their economic activities.",NA
"Assertion (A): The Great Famine of Magadh led to a significant migration of Jains to South India, which influenced the regional spread of Jainism.<br/><br/>Reason (R): The migration caused by the famine resulted in the division of Jains into Digambara and Shvetambara sects due to differences in their adaptation to the new geographical and cultural environments.",NA,B,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,NA,NA,NA,NA,"Assertion is true: The famine did lead to a migration that was crucial for Jainism&#39;s spread in South India.<br/>Reason is true: However, the division into Digambara and Shvetambara sects was more directly related to doctrinal differences that became pronounced over time, not solely due to geographic or cultural adaptations post-migration.",NA
Assertion (A): Chandragupta Maurya&#39;s conversion to Jainism significantly impacted the spread of the religion in South India.<br/><br/>Reason (R): Chandragupta Maurya&#39;s patronage provided Jainism with the royal support necessary for its expansion and establishment in new regions.,NA,B,Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,NA,NA,NA,NA,"Assertion is true: Chandragupta Maurya&#39;s conversion and his subsequent life in South India indeed had a significant impact on Jainism&#39;s spread in the region.<br/>Reason is true: While royal patronage and support were important for the spread of religious movements, Chandragupta&#39;s influence on Jainism&#39;s spread in South India was more due to his personal adoption of the religion and less about formal royal patronage, as his conversion came at the end of his reign.",NA
