question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Mineral found in red pigment of vertebrate blood is,NA,B,magnesium,iron,calcium,copper,NA,NA,NA,NA,"Red pigment of vertebrate blood is haemoglobin. Haemoglobin is a conjugated protein. It consists of a basic protein globin joined to a nonprotein group heme, hence the name haemoglobin. Heme is an iron-porphyrin ring. A mammalian haemoglobin molecule is a complex of 4 heme molecules joined with 4 globin molecules.",NA
The process by which bone formed is known as:,NA,C,Calcification,Chondrification,Ossification,Decalcification,NA,NA,NA,NA,"There are two types of ossification centers – primary and secondary. A primary ossification center is the first area of a bone to start ossifying. It usually appears during prenatal development in the central part of each developing bone. In long bones, the secondary centres appear in the epiphyses.",NA
The contractile protein of skeletal muscle involving ATPase activity is,NA,B,actin,myosin,troponin,tropomyosin,NA,NA,NA,NA,"The kinesin, myosin and dynein proteins of skeletal muscle involve ATPase activity. This cause the contraction of skeletal muscles, propelling action of cillia and flagella and the intracellular transport of organelles.",NA
Which of the following acts as antibody to help in body defence?,NA,B,Prothrombin,Immunoglobulin,Globulin,Albumin,NA,NA,NA,NA,"Immunoglobulin A (IgA), as the principal antibody class in the secretions that bathe these mucosal surfaces, acts as an important first line of defence. IgA, also an important serum immunoglobulin, mediates a variety of protective functions through interaction with specific receptors and immune mediators. The importance of such protection is underlined by the fact that certain pathogens have evolved mechanisms to compromise IgA-mediated defence, providing an opportunity for more effective invasion. IgA function may also be perturbed in certain disease states, some of which are characterized by deposition of IgA in specific tissues. This review details current understanding of the roles played by IgA in both health and disease.",NA
Smooth muscle is found in all the sites except:,NA,D,Gastrointestinal tract,Fallopian tube,Blood vessel,Eyeball muscle,NA,NA,NA,NA,The medial rectus is an extraocular muscle that attaches to the side of the eye near the nose. It moves the eye inward toward the nose. The lateral rectus is an extraocular muscle that attaches to the side of the eye near the temple. It moves the eye outward.,NA
"In a neuron, dendrite may be one or many, but axon is generally:",NA,A,One,Two,Three,More than one,NA,NA,NA,NA,Axon is generally one and it is covered by myelin sheet.,NA
A tissue is made up of:,NA,C,One type of cells,Two types of cells,One or many types of cells,Many types of cells,NA,NA,NA,NA,Tissues can be categorized based on the cell types that are present. If a tissue contains only one cell type it is called a simple tissue. If a tissue contains more than one cell type it is a complex tissue. <br/>(i) Simple Tissues (made up of one cell type). <br/>(ii) Complex Tissue (made up of more than one cell type),NA
Which one of the following cellular components of the blood is responsible for the production of antibodies?,NA,B,Thrombocyte,Lymphocyte,Monocyte,Erythrocyte,NA,NA,NA,NA,B is the correct answer because lymphocytes are special type of WBC which helps us to kill the germ inside our body.,NA
Which of the following is present in the alveoli of lungs?,NA,C,Simple columnar epithelium,Simple cuboidal epithelium,Simple squamous epithelium,Sensory epithelium,NA,NA,NA,NA,"The respiratory or gas - exchange surface consists of millions of small sacs, or alveoli, lined by a simple squamous  epithelium. This epithelium is exceedingly thin to facilitate diffusion  of oxygen and CO2. The alveolar walls also contain cuboidal surfactant - secreting cells.",NA
This one is the characteristic of epithelial tissue:,NA,C,Tissues are highly vascularized,These cells never produce glands,The cells will have a rapid rate of cell division,Large intercellular spaces are seen between cells,NA,NA,NA,NA,"The main characteristic of epithelial tissues is cells can be subjected to rapid division. Epithelial tissue is abundant all over the body. They form the covering of all surfaces of the body, line cavities of the body, and hollow organs and are the main tissue in glands.",NA
