question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The Government would not release those prisoners who had been non-violent.,NA,D,The Government would not release those prisoners who had indulged in the peaceful picketing of liquor and foreign cloth shops.,The Government would not release those prisoners who had indulged in the peaceful picketing of liquor and foreign cloth shops.,The Congress did not agree to the suspension of the Civil Disobedience Movement.,The Congress agreed to take part in the Second Round Table Conference.,NA,NA,NA,NA,"<b>The correct statement about the Gandhi-Irwin Pact of 1931 is:</b><br/><br/>The Congress agreed to take part in the Second Round Table Conference.<br/>The Gandhi-Irwin Pact was an agreement signed on March 5, 1931, between Mahatma Gandhi, the leader of the Indian National Congress, and Lord Irwin, the then Viceroy of India.<br/> As per the agreement, the Indian National Congress agreed to suspend the Civil Disobedience Movement and participate in the Second Round Table Conference in London. In return, the British government agreed to release political prisoners who had not been involved in acts of violence and to allow peaceful picketing of liquor and foreign cloth shops.",NA
Which one of the following is not a member of the Quad group of nations ?,NA,A,France,USA,Australia,Japan,NA,NA,NA,NA,"<b>The Quad group of nations is an informal strategic forum comprised of four countries: USA, Australia, Japan, and India. The group aims to deepen cooperation on political, economic, and security issues in the Indo-Pacific region.</b><br/><br/>In this context, the correct answer is option 1, France. France is not a member of the Quad group of nations. While France does have a significant presence and interests in the Indo-Pacific region, it is not part of this specific forum.<br/>It&#39;s important to note that the Quad group is an evolving diplomatic arrangement, and there have been discussions to include other countries like France in the future. However, as of now, France is not a member of the Quad.",NA
Which one of the following naturally occurring acids is found in abundance in tomato ?,NA,C,Acetic acid,Citric acid,Oxalic acid,Tartaric acid,NA,NA,NA,NA,"<b>The correct answer is option 3: Oxalic acid.</b><br/><br/>Option 1: Acetic acid is not found in abundance in tomatoes. Acetic acid is the main component of vinegar and is not a naturally occurring acid in tomatoes.<br/>Option 2: Citric acid is a common acid found in many citrus fruits like lemons, oranges, and grapefruits. Although tomatoes do contain small amounts of citric acid, it is not found in abundance compared to other acids.<br/>Option 3: Oxalic acid is a naturally occurring acid that is found in various plants, including tomatoes. It is present in relatively large amounts in tomatoes, especially in the leaves and stems. However, it should be noted that the concentration of oxalic acid in the edible part of tomatoes (such as the fruit) is relatively low and not harmful to consume.<br/>Option 4: Tartaric acid is a naturally occurring acid that is found in grapes and some other fruits. It is commonly used in winemaking, but it is not found in abundance in tomatoes.<br/><b>Therefore, the correct answer is option 3: Oxalic acid.</b>",NA
Which one of the following British firms was taken over by Soorajmull-Nagarmull group ?,NA,A,McLeod,Octavius Steel,Davenport,Andrew Yule,NA,NA,NA,NA,"<b>The correct answer is option 1: McLeod. </b><br/>The Soorajmull-Nagarmull group took over McLeod, a British firm.<br/>Option 2: Octavius Steel is not the correct answer. The question specifically mentions the Soorajmull-Nagarmull group taking over a British firm, but Octavius Steel is not a British firm.<br/>Option 3: Davenport is also not the correct answer. The question is asking about a British firm being taken over by the Soorajmull-Nagarmull group, but Davenport is not a British firm.<br/>Option 4: Andrew Yule is not the correct answer either. While Andrew Yule is a British firm, it was not taken over by the Soorajmull-Nagarmull group according to the question. Therefore, this option does not match the information given.<br/><br/><b>In summary, the Soorajmull-Nagarmull group acquired McLeod, a British firm, as stated in the correct answer option 1.</b>",NA
"The Kaleshwaram Lift Irrigation System, which was in the news recently, is constructed in",NA,C,Kerala,Gujarat,Telangana,Maharashtra,NA,NA,NA,NA,"<b>The Kaleshwaram Lift Irrigation System, which has recently been in the news, is constructed in Telangana.</b><br/> Option 1, Kerala, is incorrect as the Kaleshwaram Lift Irrigation System is not constructed in Kerala.<br/> Option 2, Gujarat, is also incorrect as the Kaleshwaram Lift Irrigation System is not constructed in Gujarat. <br/>Option 4, Maharashtra, is also incorrect as the Kaleshwaram Lift Irrigation System is not constructed in Maharashtra.<br/><b>The correct option is option 3, Telangana.</b><br/><br/>It is important to note that the Kaleshwaram Lift Irrigation System is a prestigious project in Telangana and is one of the largest lift irrigation projects in the world. It aims to provide irrigation facilities to drought-prone areas in the state and improve the overall agricultural productivity. The project involves the construction of several barrages, pump houses, and canals to lift and transport water from the Godavari River to various reservoirs and water bodies in Telangana. Its completion is expected to have a significant impact on the agricultural sector and livelihoods of farmers in the region.",NA
The situation where the equilibrium level of real GDP falls short of potential GDP is known as,NA,A,Recessionary gap,Inflationary gap,Demand-side inflation,Supply-side inflation,NA,NA,NA,NA,"<b>The correct answer is option 1: Recessionary gap.</b><br/><br/>A recessionary gap occurs when the equilibrium level of real GDP falls short of potential GDP. Real GDP represents the total value of goods and services produced in an economy, while potential GDP represents the maximum possible level of production an economy can achieve with its available resources.<br/>The existence of a recessionary gap indicates that the economy is not operating at full capacity. This means that there are unemployed resources, such as labor and capital, that are not being utilized efficiently.<br/>A recessionary gap is typically characterized by high unemployment rates and weak consumer spending. It can occur due to various factors such as a decrease in aggregate demand, a decline in investment spending, or a decrease in government expenditure.<br/>In order to close a recessionary gap and return the economy to its potential GDP, government intervention and expansionary fiscal policies, such as increased government spending or tax cuts, may be implemented to stimulate aggregate demand and encourage economic growth.",NA
Which one of the following metals is kept immersed in Kerosene oil to protect it and to prevent accidental fire ?,NA,B,Calcium,Sodium,Vanadium,Magnesium,NA,NA,NA,NA,"<b>The correct answer is option 2: Sodium.</b><br/><br/>Metallic sodium is kept immersed in kerosene oil to protect it and prevent accidental fire. Sodium is a highly reactive metal that can react violently with oxygen in the air, causing a fire. By keeping sodium immersed in kerosene oil, it is protected from contact with oxygen and moisture in the air, which reduces the risk of it catching fire.Sodium reacts vigorously with water, releasing hydrogen gas and heat. Kerosene oil, on the other hand, is non-polar and does not react with sodium. It acts as a barrier, preventing contact between sodium and water.Calcium (option 1), vanadium (option 3), and magnesium (option 4) are not typically stored in kerosene oil. While these metals may react with oxygen or water to some extent, they are not as reactive as sodium.In conclusion, sodium is the metal that is kept immersed in kerosene oil to protect it and prevent accidental fire.",NA
A non-spherical shining spoon can generally be considered as a,NA,C,Spherical mirror,Parabolic mirror,Plane mirror,Lens,NA,NA,NA,NA,"<b>The correct answer is option 3: Plane mirror.<br/>A plane mirror is a flat, smooth surface that reflects light according to the law of reflection. It does not have any curvature and therefore does not distort the reflection. When you look at yourself in a plane mirror, the image you see is laterally inverted, meaning the left side of your body appears on the right side in the mirror and vice versa.</b><br/><br/>Option 1: Spherical mirror would not be an accurate option because a non-spherical spoon does not have the shape of a sphere.<br/>Option 2: Parabolic mirror also would not be an accurate option because a non-spherical spoon does not have the shape of a parabola.<br/>Option 4: Lens is used to refract light, not reflect it. Therefore, a non-spherical spoon cannot be considered a lens.<br/><b>To summarize, a non-spherical shining spoon can be best considered as a plane mirror.</b>",NA
Peninsula Shield Force is a military arm of,NA,C,Organization of Islamic Cooperation,Organization of the Petroleum Exporting Countries,Gulf Cooperation Council,Arab League,NA,NA,NA,NA,"<b>The Peninsula Shield Force is a military arm of the Gulf Cooperation Council (GCC). <br/>The GCC is a political and economic alliance consisting of six Arab countries in the Gulf region – Saudi Arabia, Kuwait, Bahrain, Qatar, the United Arab Emirates, and Oman. The purpose of the GCC is to enhance cooperation and integration among its member states.</b><br/><br/>Option 1, the Organization of Islamic Cooperation (OIC), is an international organization that focuses on promoting Islamic solidarity and cooperation among its member countries. The Peninsula Shield Force is not affiliated with the OIC.<br/>Option 2, the Organization of the Petroleum Exporting Countries (OPEC), is a group of countries that coordinate and unify their petroleum policies. While some GCC member states are also members of OPEC, the Peninsula Shield Force is not related to OPEC.<br/>Option 4, the Arab League, is a regional organization made up of Arab countries. While some GCC member states are also members of the Arab League, the Peninsula Shield Force is specifically associated with the GCC and not the Arab League.<br/><b>Therefore, the correct answer is option 3, the Gulf Cooperation Council.</b>",NA
"Identify the crop on the basis of the following characteristics :<br/>1. It is a kharif crop.<br/>2. Aus, Aman and Boro are its three different growing periods in an agricultural year.<br/>3. About one-fourth of the total cropped area of India is under its cultivation.<br/><b>Select the correct answer using the code given below :</b>",NA,B,Wheat,Rice,Pulses,Cotton,NA,NA,NA,NA,"<b>The correct answer is Option 2: Rice.</b><br/><br/>Option 1: Wheat is an incorrect answer as wheat is a rabi crop and not a kharif crop. It is usually sown in the winter season.<br/>Option 2: Rice is the correct answer. Rice is a kharif crop and is cultivated in India during the monsoon season. It has three different growing periods - Aus, Aman, and Boro. Aus rice is sown in May-June and harvested in August-September. Aman rice is sown in June-July and harvested in October-November. Boro rice is sown in November-December and harvested in April-May. Rice cultivation is widely practiced in India, and about one-fourth of the total cropped area in the country is dedicated to its cultivation.<br/>Option 3: Pulses are not the correct answer as pulses are not specifically mentioned in the given characteristics. Pulses refer to edible seeds of leguminous crops such as lentils, chickpeas, beans, etc.<br/>Option 4: Cotton is not the correct answer as cotton is also not specifically mentioned in the given characteristics. Cotton is a cash crop and is commonly cultivated during the kharif season, but it does not have the different growing",NA
