question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The Indian National Army (INA) came into existence in 1943 in,NA,C,Japan,Burma,Singapore,Malaya,NA,NA,NA,NA,"The Indian National Army (INA) came into existence in 1943 in Singapore.<br/><br/>The INA was formed during World War II with the aim of liberating India from British colonial rule. It was initially formed under the leadership of Indian nationalist Subhas Chandra Bose, who had sought support from the Axis powers, including Japan and Germany, in his fight against British rule. The INA&#39;s headquarters were established in Singapore, which was then under Japanese occupation.<br/>The INA recruited Indian prisoners of war and civilians from Southeast Asia, including Burma (now Myanmar), Malaya (now Malaysia), and other regions. It participated in military campaigns alongside Japanese forces in Southeast Asia, particularly in Burma and Northeast India.<br/><br/>So, the correct answer is: Singapore.",NA
"On April 12, 1944 Subhash Chandra Bose hoisted the INA Flag in a town. In which State/ Union Temtoiy is that town now?",NA,C,Andaman and Nicobar Islands,Tripura,Manipur,Mizoram,NA,NA,NA,NA,"The correct answer is option 3, Manipur. <br/>On April 12, 1944, Subhash Chandra Bose, the leader of the Indian National Army (INA), hoisted the INA flag in a town. <br/>This event took place in the state of Manipur, which is located in northeastern India. Manipur is known for its rich history and played a significant role in the fight for Indian independence. <br/><br/>It is important to note that the other options, Andaman and Nicobar Islands, Tripura, and Mizoram, are also states or union territories in India, but they were not the location where Subhash Chandra Bose hoisted the INA flag in 1944.",NA
Which party was founded by Subhash Chandra Bose in the year 1939 after he broke away from the Congress?,NA,D,Indian Freedom Party,Azad Hind Fauj,Revolutionary,Forward Block,NA,NA,NA,NA,"The correct answer is the Forward Block. <br/>Subhash Chandra Bose founded the Forward Block as a political organization in opposition to British colonial rule. The Forward Block aimed to unite various nationalist forces and promote a more militant approach towards achieving independence. Bose served as the president of the Forward Block until his death in 1945. The party continues to exist today and has been active in Indian politics, particularly in West Bengal.",NA
Where did Netaji Subhas Chandra Bose announce the formation of the Government of Free India in 1943?,NA,A,Singapore,Shanghai,Berlin,Mandalay,NA,NA,NA,NA,"The correct answer is option 1: Singapore. Netaji Subhas Chandra Bose announced the formation of the Government of Free India in Singapore in 1943.<br/>Option 2: Shanghai is incorrect. There is no historical record of Netaji Subhas Chandra Bose announcing the formation of the Government of Free India in Shanghai.<br/>Option 3: Berlin is incorrect. Although Netaji Subhas Chandra Bose was in Germany during World War II and had support from the German government, he did not announce the formation of the Government of Free India in Berlin.<br/>Option 4: Mandalay is incorrect. Mandalay, which is located in present-day Myanmar, is not a location associated with the announcement of the Government of Free India by Netaji Subhas Chandra Bose.<br/><br/>In summary, the correct answer is option 1: Singapore, where Netaji Subhas Chandra Bose announced the formation of the Government of Free India in 1943.",NA
In 1939 Subhash Chandra Bose was elected as President of the Congress Party defeating,NA,A,Pattabhi Sitharamayya,Jawaharlal Nehru,Maulana Abul Kalam Azad,V.B. Patel,NA,NA,NA,NA,"In 1939, Subhash Chandra Bose was elected as the President of the Congress Party. He defeated Pattabhi Sitharamayya in the election. <br/>It is important to note that Subhash Chandra Bose was a prominent leader in the Indian independence movement and played a significant role in the fight against British colonial rule. <br/>Pattabhi Sitharamayya, on the other hand, was a well-known politician within the Congress Party.<br/> Jawaharlal Nehru, Maulana Abul Kalam Azad, and VB Patel were all prominent leaders in the Congress Party, but Bose emerged victorious in the election against Sitharamayya. <br/>This election marked an important milestone in the political career of Subhash Chandra Bose and reflected the growing popularity of his ideas and leadership within the Congress Party.",NA
With whom did Subhas Chandra Bose form an alliance to destroy the Holwell Monument in Calcutta during 1939-40?,NA,B,The Communist Party of India,The Muslim League,The Hindu Mahasabha,The Unionist Party,NA,NA,NA,NA,"During 1939-40, Subhas Chandra Bose formed an alliance with the Muslim League to destroy the Holwell Monument in Calcutta. The Holwell Monument was a memorial erected in memory of John Zephaniah Holwell, an East India Company official who was the survivor of the Black Hole of Calcutta incident in 1756. This incident occurred during the period of British colonization in India when a number of British prisoners were held captive in a small room known as the Black Hole, resulting in the death of many due to suffocation.<br/><br/>Subhas Chandra Bose, a prominent Indian nationalist leader, aimed to perpetrate acts of sabotage against symbols of British imperialism in India. To achieve this, he sought alliances with various political groups. In this particular case, he aligned with the Muslim League, a political party that advocated for the rights and interests of the Muslim community in India. By joining forces, Bose and the Muslim League aimed to collectively oppose British rule and eliminate the Holwell Monument.<br/><br/>It should be noted that this alliance was a part of Bose&#39;s broader efforts to mobilize different religious and ideological groups in India towards a united front against British colonialism.",NA
The Azad Hind Fauj was formed in,NA,B,1937,1942,1943,1945,NA,NA,NA,NA,"The correct answer is option 2, 1942. The Azad Hind Fauj, also known as the Indian National Army (INA), was formed in 1942. It was an armed force established by Indian nationalists and led by Subhas Chandra Bose with the aim of liberating India from British colonial rule. The formation of the INA was a significant step in the Indian independence movement. The INA adopted the slogan <q>Jai Hind</q> and fought alongside the Japanese forces against the British in the Southeast Asia Theater during World War II. The formation of the Azad Hind Fauj provided a sense of unity and gave hope to many Indians who were striving for independence.",NA
Bhulabhai Desai&#39;s most memorable achievement was his defence of the Indian National Army (I.N.A.) personnel at the Red Fort Trial towards the end of,NA,C,1943,1944,1945,1946,NA,NA,NA,NA,"Bhulabhai Desai&#39;s most memorable achievement was his defense of the Indian National Army (I.N.A.) personnel at the Red Fort Trial towards the end of 1945. <br/>The Red Fort Trial was a significant event in India&#39;s fight for independence from British colonial rule. <br/>The trial involved the leaders and soldiers of the I.N.A., who were charged with various crimes against the British Empire. <br/>Bhulabhai Desai&#39;s defense of the I.N.A. personnel during the trial showcased his legal prowess and commitment to the cause of Indian independence. <br/><br/>By choosing option 3, we correctly identify the year 1945 as the time when Bhulabhai Desai played a crucial role in this historic trial.",NA
"During the Indian Freedom Struggle, who of the following raised an army called <q>Free Indian Legion</q>?",NA,C,Lala Hardayal,Rashbehari Bose,Subhash Chandra Bose,V.D. Savarkar,NA,NA,NA,NA,"During the Indian Freedom Struggle, the person who raised an army called the <q>Free Indian Legion</q> was Subhas Chandra Bose, also known as Netaji Bose. Option 3 is the correct answer.<br/><br/>Subhas Chandra Bose was a prominent leader of the Indian National Congress and played a crucial role in the fight for independence from British rule. He is remembered for his active participation in the armed struggle against the British, as well as his efforts to forge alliances with other countries to gain support for India&#39;s freedom.<br/>In 1942, during World War II, Subhas Chandra Bose sought international support for India&#39;s independence by aligning with the Axis powers, specifically Imperial Japan and Nazi Germany. He believed that an armed struggle against the British was necessary and that India could benefit from aligning with these powers.<br/>In this pursuit, Subhas Chandra Bose raised an army called the <q>Free Indian Legion</q>, also known as the <q>Azad Hind Fauj</q> or <q>Indian National Army</q> (INA). The Free Indian Legion was composed of Indian prisoners of war captured by the Axis powers, predominantly from the British Indian Army.<br/>The primary objective of the Free Indian Legion was to aid in the liberation of India from British rule. The INA fought alongside the Japanese and German forces in various military campaigns, including the Burma Campaign and the unsuccessful attempt to invade British India.<br/>Subhas Chandra Bose&#39;s establishment of the Free Indian Legion demonstrated his determination to use any means necessary to achieve India&#39;s independence. Despite the controversial nature of his alliance with the Axis powers, Bose&#39;s efforts to mobilize Indian troops and create a united front against British imperialism were seen as significant contributions to the Indian freedom struggle.<br/>It is important to note that while Subhas Chandra Bose&#39;s actions and alliances may have been controversial, his contributions to the Indian freedom struggle and his role in raising the Free Indian Legion are undeniable. His efforts inspired many Indians and left a lasting impact on the fight for independence.",NA
Subhas Chandra Bose started the <q>Azad Hind Radio</q> in which of the following countries?,NA,C,Japan,Austria,Germany,Malaysia,NA,NA,NA,NA,"The correct answer is option 3, Germany. Subhas Chandra Bose started the <q>Azad Hind Radio</q> in Germany.<br/><br/>Option 1, Japan, is not the correct answer because although Subhas Chandra Bose had allies in Japan during World War II, it was in Germany that he started the <q>Azad Hind Radio</q>.<br/><br/>Option 2, Austria, is also not the correct answer because Subhas Chandra Bose did not start the <q>Azad Hind Radio</q> in Austria.<br/><br/>Option 4, Malaysia, is not the correct answer either. While Subhas Chandra Bose was active in Southeast Asia during World War II and had support from the Indian community there, the <q>Azad Hind Radio</q> was not started in Malaysia.<br/><br/>Therefore, the correct answer to the question is option 3, Germany. It was in Germany that Subhas Chandra Bose started the <q>Azad Hind Radio</q> during World War II.",NA
