question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Why selecting Industry as the leading force of the economy seemed to be an illogical decision? <br/><br/>1. Absence of the natural resource of fertile land. <br/>2. There was an absence of required Technology. <br/>3. Lack of investable capital. <br/><br/>Choose from the following options.,NA,B,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,"India lacked all those prerequisites which could suggest the declaration of the industry as its prime mover:<br/><br/>Almost no presence of the infrastructure sector, i.e., power, transportation and communication.<br/>Negligible presence of the infrastructure industries, i.e., iron and steel, cement, coal, crude oil, oil refining and electricity.<br/>Lack of investible capital—either by the government or the private sector.<br/>Absence of required technology to support the process of industrialization and no research and development.<br/>Lack of skilled manpower.<br/>Absence of entrepreneurship among the people.<br/>Absence of a market for industrial goods.<br/>Many other socio-psychological factors which acted as negative forces for the proper industrialization of the economy.",NA
The obvious choice for India would have been the agriculture sector as the prime moving force of the economy because:<br/><br/>1. The country was having the natural resource of fertile land which was fit for cultivation.<br/>2. Human capital did not require any kind of higher training.<br/><br/>Which of these statements are not correct?,NA,D,1 Only,None of these,Both 1 and 2,2 Only ,NA,NA,NA,NA,"Explanation:<br/><br/>1. Statement 1 is Correct: The statement is true in the sense that fertile land suitable for cultivation is indeed a valuable natural resource for a country, as it can support agriculture and food production, contribute to economic development, and help meet the food needs of its population.<br/>2. Statement 2 is Incorrect: Historically, the majority of India's population lived in rural areas and engaged in agricultural activities. The human capital for agriculture did not require higher training or advanced technical skills, making it a suitable choice for the prime moving force of the economy.<br/><br/>Nations require adequate human capital who are educated and qualified as educators and other specialists. In other words, we need great human capital to create other human capital like doctors, engineers, professors, etc., which will later become a human asset and contribute to the economy of the country.",NA
"Consider the following statements: <br/><br/>1. Agriculture would have been the obvious choice as the prime moving force (PMF) of the economy, But Indian agriculture was using traditional tools and technology. <br/>2. By choosing industry as the prime moving force, India opted to industrialise the economy as well as modernise the traditional mode of farming. <br/><br/>Which of these statements are correct?",NA,C,1 Only,2 Only,Both 1 and 2,None of the above,NA,NA,NA,NA,"Looking at the resources available, agriculture would have been the obvious choice as the prime moving force (PMF) of the economy (i.e., cultivable land and human power).<br/><br/>But as Indian Agriculture was using traditional tools and technology its modernisation, as well as future mechanisation (later to some extent), would have been blocked due to the lack of indigenous industrial support.<br/><br/>If India would have gone for import this would have required enough foreign reserves and a natural dependence on foreign countries.",NA
Consider the following statements: <br/><br/>1. It was only in the 1990s the world and the WB/IMF changed its opinion regarding the agriculture sector. <br/>2. After the 1990s emphasis on the agriculture sector by an economy was considered as a sign of backwardness. <br/><br/>Which of these statements are not correct?,NA,B,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,After the 1990s emphasis on the agriculture sector by an economy was not considered as a sign of backwardness. Earlier it was considered as a sign of backwardness.,NA
Consider the following statements regarding Industrialisation of India: <br/><br/>1. Industrialisation of India was neglected by the colonisers-the infrastructure was not built to industrialise India but to exploit its raw materials. <br/>2. Indian capitalists who did emerge were highly dependent on British commercial capital. <br/><br/>Which of these statements are correct?,NA,C,1 Only,2 Only,Both 1 and 2,None of the above,NA,NA,NA,NA,"The industrialisation of India was also neglected by the colonisers—the infrastructure was not built to industrialise India but to exploit its raw materials. <br/><br/>Indian capitalists who did emerge were highly dependent on British commercial capital and many sectors of the industry were dominated by British firms, e.g., shipping, banking, insurance, coal, plantation crops and jute.",NA
Why did India select agriculture as the prime moving force in place of industry in 2002? <br/><br/>1. To achieve food security. <br/>2. To tackle the challenge of poverty alleviation. <br/>3. To induce growth in the rural economy. <br/><br/>Choose from the following options.,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"India selected agriculture as the prime moving force in place of industry in 2002: <br/>The economy will be able to achieve food security with an increase in agricultural production. Besides, the agricultural surplus will generate exports in the globalising world economy benefiting out of the WTO regime. <br/><br/>The challenge of poverty alleviation will be solved to a great extent as the emphasis will make agriculture a higher income-generating occupation and induce growth in the rural economy by generating more gainful employment. <br/><br/>The situation of India as an example of ‘market failure' will cease.",NA
Which of the following industries were known as the basic industries? <br/><br/>1. Iron and steel <br/>2. Natural gas <br/>3. Electricity <br/><br/>Choose from the following options.,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,There are eight core industries identified under the Index of Industrial Production. These are 1.Iron and steel 2.Cement 3.Coal 4.Crude oil 5.Oil refining 6.Electricity 7.Natural Gas 8.Fertilizers,NA
Which of the following are the core industries in India? <br/><br/>1. Cement <br/>2. Coal <br/>3. Fertilizer <br/><br/>Choose from the following options.,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,"The Eight Core Industries comprise 40.27 per cent of the weight of items included in the Index of Industrial Production (IIP). <br/><br/>Petroleum & Refinery production, Electricity generation, Steel production, Coal production, Crude Oil production, Natural Gas Production, Cement production, Fertilizers production are included in Eight core industries.",NA
Why the responsibility of developing the basic industries taken by the government? <br/><br/>1. These basic industries require a high level of technology and skilled manpower. <br/>2. Management of these Industries was not considered feasible for the private sector.  <br/>3. Low purchasing power of the consumers. <br/><br/>Choose from the following options.,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,"Similar to the infrastructure sector, these basic industries also require a high level of capital, technology, skilled manpower and articulation in entrepreneurship which was again considered not feasible for the private sector of the time to manage. <br/><br/>Even if the private sector supplied goods from the basic industries', they might not be able to sell their products in the market due to the lower purchasing power of the consumers. Perhaps, that is why again the responsibility of developing the basic industries was taken up by the government.",NA
Consider the following statements about the ambitious expansion of PSUs: <br/><br/>1. Government went on creating PSUs without analysing the fiscal repercussions. <br/>2. The Employment generation was extended to such an extent by the government that most of them had an oversupply of the labour force. <br/><br/>Which of these statements are not correct?,NA,D,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The government went on creating new PSUs without analysing the fiscal repercussions-moreover believing them to be the real engine of equitable growth. <br/><br/>The employment generation responsibility of the PSUs was extended to such an extent by the government that most of them had over-supply of the labour force which started draining its profits on account of salaries, wages, pensions and provident funds (the latter two had a late financial impact).",NA
When was the Planning Commission set up in India?,NA,B,1952,1950,1964,1975,NA,NA,NA,NA,"The Planning Commission in India was set up in 1950, through a resolution passed by the Government of India. The resolution outlined the need for a specialized agency responsible for formulating and implementing comprehensive plans for the country's economic development. The Prime Minister of India served as the ex-officio Chairman of the Planning Commission.",NA
Who was the Chairperson of the Planning Commission of India?,NA,D,President of India,Finance Minister of India,Governor of RBI,Prime Minister of India,NA,NA,NA,NA,"The Planning Commission of India was a non-constitutional and non-statutory body that was responsible for formulating and overseeing the Five-Year Plans in India. It was established in 1950 and functioned as the key planning body of the country until it was replaced by the NITI Aayog in 2015.<br/>The Planning Commission was chaired by the Prime Minister of India. This position allowed the Prime Minister to have direct control and influence over the planning and development initiatives of the country. <br/>The Chairperson of the Planning Commission held significant power and authority in terms of decision-making and policy implementation. They were responsible for leading and coordinating the efforts of the Commission in achieving the objectives set forth in the Five-Year Plans. The Chairperson, along with the other members of the Commission, worked towards promoting balanced economic growth, reducing regional disparities, and addressing social and economic issues.",NA
What is the term used for the policy which promote setting up of an upper limit of the land that could be owned by a landowner?,NA,D,Land Fragmentation,Land Tilling,Land Cultivation,Land Ceiling,NA,NA,NA,NA,Land Ceiling is a policy measure used by the government to set an upper limit on the amount of land that can be owned by an individual or entity. This policy is primarily implemented to prevent the accumulation of land in the hands of a few and to promote equitable distribution of land.,NA
What percentage of population was employed in agriculture by late 1990s?,NA,D,55,75,60,65,NA,NA,NA,NA,"The late 1990s marked a time when many countries were experiencing significant shifts in their labor force and economic structure. Industrialization and technological advancements had led to a decline in the agricultural sector's share of employment in many nations, as people moved towards service-based and manufacturing industries.<br/>However, it is important to note that the percentage varies across different countries depending on factors such as economic development, urbanization, and government policies. The given answer of 65% represents an estimated global average.",NA
Name the two states in which land-reform were successful?,NA,C,Maharashtra and Tamil Nadu,Karnataka and West Bengal,West Bengal and Kerala,Uttar Pradesh and Bihar,NA,NA,NA,NA,West Bengal and Kerala are the two states in which land-reform was successful because Government of these states was committed towards the implementation of the policy.,NA
"In the language of economics, which one of the following is a good-indicator of economic growth?",NA,B,NDP,GDP,GNP,NNP,NA,NA,NA,NA,GDP or the Goss Domestic Product can be defined as the market value of all the goods and services produced within the domestic boundary of India during a financial year. It acts as a good-indicator of economic growth of the country.,NA
Which sector was given the main emphasis in 2nd five-year plans?,NA,C,Agriculture,Trade,Industry,Transport,NA,NA,NA,NA,"The 2nd Five-Year Plan in India, which spanned from 1956 to 1961, placed a significant emphasis on the development and growth of the industrial sector. The plan aimed to accelerate the industrialization process in the country, with a focus on promoting economic growth, increasing production, and reducing dependency on imports.",NA
Name the committee formed for the Village and Small-Scale Industries in 1955.,NA,B,Narasimhan committee,Karve Committee,Basel Committee,Rangarajan Committee,NA,NA,NA,NA,"The Karve Committee was established by the government of India in the year 1955. The primary aim of forming this committee was to focus on the enhancement and development of the village and small-scale industries.<br/>The recommendations of the Karve Committee led to significant changes in the government's approach towards small-scale industries. The government started focusing more on providing necessary support to these industries, which played a crucial role in decentralising economic power, reducing regional imbalances, and promoting balanced regional development",NA
