question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following tribal groups is dominantly found in the Blue Mountains?,NA,D,Lambadas,Gonds,Jarawas,Todas,NA,NA,NA,NA,"<b>The Blue Mountains, also known as the Nilgiri Hills, are located in southern India. <br/>The question asks which tribal group is predominantly found in this region.</b><br/>Let&#39;s analyze each option:<br/><br/>1) Lambadas: The Lambadas, also known as Banjaras, are a nomadic tribe found in parts of India. However, they are not traditionally associated with the Blue Mountains.<br/>2) Gonds: The Gonds are one of the largest tribal groups in India and are predominantly found in the central parts of the country. They are not specifically associated with the Blue Mountains.<br/>3) Jarawas: The Jarawas are an indigenous tribe found in the Andaman Islands, not in the Blue Mountains.<br/>4) Todas: The Toda tribe is indeed dominantly found in the Blue Mountains, also known as the Nilgiri Hills. The Toda people have been residing in this region for centuries and have a distinct culture and lifestyle.<br/><b>Therefore, the correct answer is option 4: Todas.</b>",NA
Which one of the following islands is the largest?,NA,C,Borneo,Madagascar,New Guinea,Sumatra,NA,NA,NA,NA,"Option 1: Borneo - Borneo is the third largest island in the world, not the largest.<br/>Option 2: Madagascar - Madagascar is the fourth largest island in the world, not the largest.<br/>Option 3: New Guinea - New Guinea is the correct answer. It is the largest island in the world, located in the southwestern Pacific Ocean. The island is divided between two countries, Papua New Guinea to the east and Indonesia to the west.<br/>Option 4: Sumatra - Sumatra is the sixth largest island in the world, not the largest.<br/><br/><b>In conclusion, the correct answer is option 3, New Guinea, as it is the largest island in the world.</b>",NA
Which one of the following proteins gives lustrous shiny appearance to silk fibre?,NA,B,Fibrin,Sericin,Collagen,Nectin,NA,NA,NA,NA,"<b>The correct answer is option 2, Sericin. <br/>Sericin is a protein that is found in silk fibers. It is produced by the silk worm during the production of silk threads. When the silk worm spins its cocoon, it produces sericin along with fibroin, which is the main protein that makes up the silk fibers.<br/>Sericin plays a significant role in giving silk fibers their lustrous and shiny appearance. It forms a coating on the surface of the silk fibers, making them smooth and reflective. This smooth surface reflects light and gives silk its characteristic shine.</b><br/><br/>Fibrin, option 1, is a protein involved in blood clotting and is not related to silk production. <br/>Collagen, option 3, is a protein found in connective tissues like tendons and cartilage, and is not associated with silk fibers. <br/>Nectin, option 4, is a type of cell adhesion molecule and is also not related to silk fiber production.<br/><b>In conclusion, the protein that gives a lustrous shiny appearance to silk fibers is sericin.</b>",NA
Human insulin molecule is composed of one a-chain having 21 amino acids and one P-chain having 30 amino acids. How many functional insulin genes occur in adult humans?,NA,B,One ,Two,Three,Four,NA,NA,NA,NA,"The human insulin molecule consists of two chains, the A-chain and the B-chain. The A-chain is made up of 21 amino acids, while the B-chain is made up of 30 amino acids. These two chains are held together by disulfide bonds to form the complete insulin molecule.<br/>In the human body, the production of insulin is controlled by the insulin gene, which is located on chromosome 11. The insulin gene contains the genetic information for the production of insulin.<br/>Based on the information provided, we can conclude that there are two functional insulin genes in adult humans. These two genes are responsible for the production of the A-chain and the B-chain, which then combine to form the functional insulin molecule.<br/><b>Thus, the correct answer to the question is option-2, which states that there are two functional insulin genes in adult humans.</b>",NA
"A biological community in its environment such as a pond, an ocean, a forest, even an aquarium is known as",NA,D,biome,community,abiotic environment,ecosystem,NA,NA,NA,NA,"<b>The correct answer is option 4: ecosystem.<br/>An ecosystem is a biological community of organisms in their physical environment. It consists of both living organisms, called the biotic community, and the non-living components of the environment, known as the abiotic factors. The biotic community includes all the different species of organisms that interact with each other within the ecosystem. These interactions can be in the form of predator-prey relationships, competition for resources, or mutualistic partnerships.</b><br/><br/>On the other hand, the abiotic factors are the physical and chemical characteristics of the environment that organisms rely on, such as temperature, sunlight, water availability, soil composition, and nutrient levels. These abiotic factors play a crucial role in shaping the structure and function of the ecosystem and influencing the distribution and behavior of the biotic community.<br/><b>Therefore, option 4, ecosystem, is the correct term to describe a biological community of organisms and their environment, whether it is a pond, ocean, forest, or even an aquarium.</b>",NA
"Two wires are made having same length I and area of cross-section A. Wire 1 is made of copper and wire 2 is made of aluminium. It is given that the electrical conductivity of copper is more than that of aluminium. In this context, which one of the following statements is correct?",NA,B,The resistance of wire 1 will be higher than that of wire 2.,The resistance of wire 2 will be higher than that of wire 1.,The resistance of both the wires will be the same.,"If same current is flown through both the wires, the power dissipated in both the wires will be the same,",NA,NA,NA,NA,"<b>The correct answer is option 2 - The resistance of wire 2 will be higher than that of wire 1.</b>
The electrical resistance of a wire is directly proportional to its length and inversely proportional to its cross-sectional area. Therefore, if two wires have the same length and different cross-sectional areas, the wire with a smaller cross-sectional area will have a higher resistance.<br/>In this scenario, wire 1 is made of copper, which has a higher electrical conductivity compared to aluminium, the material of wire 2. Since electrical conductivity is the reciprocal of electrical resistance, copper will have a lower resistance compared to aluminium for the same length and cross-sectional area.<br/><b>Thus, wire 2, made of aluminium, will have a higher resistance than wire 1 made of copper.</b>",NA
"Infrared, visible and ultraviolet radiations/ light have different properties.<br/><b>Which one of the following statements related to these radiations/light is not correct?</b>",NA,D,"The wavelength of infrared is more than that of ultraviolet radiation,",The wavelength of ultraviolet is smaller than that of visible light.,The photon energy of visible light is more than that of infrared light.,The photon energy of ultraviolet is lesser than that of visible light.,NA,NA,NA,NA,"Option 1 states that the wavelength of infrared is more than that of ultraviolet radiation. This is true because infrared radiation has longer wavelengths than ultraviolet radiation.<br/>Option 2 states that the wavelength of ultraviolet is smaller than that of visible light. This is also true because ultraviolet radiation has shorter wavelengths than visible light.<br/>Option 3 states that the photon energy of visible light is more than that of infrared light. This is true because photon energy is directly proportional to the frequency of the radiation, and visible light has a higher frequency (and thus more energy) than infrared light.<br/>Option 4 states that the photon energy of ultraviolet is lesser than that of visible light. This statement is incorrect. Ultraviolet radiation actually has a higher photon energy than visible light. The energy of a photon is directly proportional to its frequency, and since ultraviolet radiation has a higher frequency than visible light, it also has a higher photon energy.<br/><br/><b>Therefore, the correct answer is that option 4 is not correct.</b>",NA
"After using for some time, big transformers get heated up. This is due to the fact that<br/>1. current produces heat in the transformers<br/>2. hysteresis loss occurs in the transformers<br/>3. liquid used for cooling gets heated<br/><b>Select the correct answer using the code given below.</b>",NA,C,1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",NA,NA,NA,NA,"<b>The correct answer is option 3, which states that the heating of big transformers is due to both current producing heat and hysteresis loss occurring in the transformers.</b><br/>Let&#39;s analyze each option to better understand why the correct answer is 3:<br/><br/>Option 1: This option suggests that heating is solely caused by current producing heat in the transformers. While it is true that electrical currents generate heat, it is not the only factor responsible for the heating of transformers. Therefore, option 1 is incorrect.<br/>Option 2: This option suggests that heating is solely due to hysteresis loss occurring in the transformers. Hysteresis loss is the energy dissipated as heat when the magnetic domains within the transformer core continually realign with the alternating current. While hysteresis loss does contribute to the heating of transformers, it is not the only factor. Additionally, the liquid used for cooling does not play a role in this specific phenomenon. Therefore, option 2 is incorrect.<br/>Option 3: This option correctly identifies both current producing heat and hysteresis loss as causes of heating in transformers. As mentioned earlier, electrical current generates heat, and hysteresis loss adds to this heat production. Therefore, option 3 is the correct answer.",NA
A person is standing on a frictionless horizontal ground. How can he move by a certain distance on this ground?,NA,A,By sneezing,By jumping,By running,By rolling,NA,NA,NA,NA,"<b>The correct answer is option 1 - By sneezing.</b><br/><br/>Option 1: By sneezing<br/>If a person sneezes, their body exerts a force in one direction, creating a reaction force in the opposite direction, as described by Newton`s third law of motion. This reaction force can cause a person to move in the direction opposite to the force exerted during the sneeze. Therefore, by sneezing, a person can move by a certain distance on the frictionless ground.<br/>Option 2: By jumping<br/>Jumping involves using the legs to exert a force against the ground and propel oneself into the air. While jumping can cause vertical movement, it does not necessarily result in horizontal movement on a frictionless ground.<br/>Option 3: By running<br/>Running involves a combination of pushing against the ground with the legs and propelling the body forward through continuous leg movement. While running does result in horizontal movement, it requires friction between the feet and the ground to push off and propel forward. Therefore, running would not be possible on a frictionless ground.<br/>Option 4: By rolling<br/>Rolling involves moving by rotating on an axis, typically with the help of wheels or another rounded surface. However, rolling also requires some form of friction to",NA
The paste of a white material in water is used to maintain a fractured bone fixed in place. The white material used is called,NA,B,bleaching powder,plaster of Paris,powder of zinc oxide,lime powder,NA,NA,NA,NA,"<b>The correct answer is option 2, plaster of Paris. <br/>Plaster of Paris is a white material that is commonly used in medical applications for immobilizing fractured bones. When mixed with water, it forms a paste-like consistency that can be molded and applied to the affected area.</b><br/><br/>Option 1, bleaching powder, is not the correct answer because it is not commonly used in medical procedures for bone fractures. Bleaching powder, or calcium hypochlorite, is primarily used as a cleaning agent and disinfectant.<br/>Option 3, powder of zinc oxide, is also not the correct answer. While zinc oxide is commonly used in various medical applications, such as sunscreen and wound healing, it is not typically used for fixing fractured bones.<br/>Option 4, lime powder, is also incorrect as it is not commonly used for immobilizing fractured bones. Lime powder, or calcium hydroxide, is often used in construction applications like mortar and plaster, but not for medical purposes.<br/><b>Thus, option 2, plaster of Paris, is the correct answer as it is the commonly used white material that forms a paste when mixed with water and is used to maintain fractured bones in place.</b>",NA
