question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"What were the drawbacks of Montague Chelmsford reforms?<br/>1. Franchise was very limited.<br/>2. At the centre, the legislature had no control over the governor-general and his executive council.<br/>3. Division of subjects was not satisfactory at the centre.<br/>4. Allocation of seats for Central Legislature to provinces was based on <q>importance</q> of provinces for instance, Punjab&#39;s military importance and Bombay&#39;s commercial importance.<br/>5. At the level of provinces, division of subjects and parallel administration of two parts i.e. Dyarchy was irrational and hence unworkable.<br/>6.The provincial ministers had no control over finances and over the bureaucrats, leading to constant friction between the two. Ministers were often not consulted on important matters too; in fact, they could be overruled by the governor on any matter that the latter considered special.",NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"All these statements are correct. Drawbacks The reforms had many drawbacks: <br/>(i) Franchise was very limited. The electorate was extended to someone and a half million for the central legislature, while India&#39;s population was around 20 million, as per one estimate. <br/>(ii) At the centre, the legislature had no control over the viceroy and executive council. <br/>(iii) Division of subjects was not satisfactory at the centre. <br/>(iv) Allocation of seats for the central legislature to the provinces was based on importance of provinces, for instance, Punjab&#39;s military importance and Bombay&#39;s commercial importance. <br/>(v) At the level of provinces, division of subjects and parallel administration of two parts was irrational and unworkable. Subjects like irrigation, finance, police, press, and justice were <q>reserved</q>. <br/>(vi) The provincial ministers had no control over finances and the bureaucrats, leading to constant friction between the two. Ministers were often not consulted on important matters too; in fact, they could be overruled special by the governor on any matter that the latter considered special.",NA
Consider the following statements:<br/>1. Gandhi formed the Passive Resistance Association to conduct the campaign of defying the law and suffering penalties in South Africa. <br/>2. Gandhi&#39;s technique of satyagraha included non-payment of taxes and declining honours and positions of authority. <br/>3. Gandhi immediately joined the Home Rule movement upon his return to India in 1915.<br/>Which of the statements given above is/are correct?,NA,B,1 Only,1 and 2 Only,1 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"<b>Statement 1 is correct:</b> Gandhi did form the Passive Resistance Association in South Africa to conduct the campaign of defying the law and suffering penalties. This association played a crucial role in his satyagraha campaigns.<br/><b>Statement 2 is correct:</b> Gandhi&#39;s technique of satyagraha indeed included non-payment of taxes and declining honours and positions of authority. These methods were integral parts of his non-violent resistance strategy.<br/><b>Statement 3 is incorrect:</b> Upon his return to India in 1915, Gandhi did not immediately join the Home Rule movement. Instead, he spent a year touring the country to understand the conditions of the people and refrained from taking any political stance during this period. He was also skeptical about the moderate politics and Home Rule agitation at that time.<br/><br/>Therefore, the correct answer is <b><u>Option B: 1 and 2 Only.</u></b>",NA
"Consider the following statements:<br/><b>Statement-I:</b> Post-World War I, the resurgence of nationalist movements in India was influenced by economic hardships faced by various sections of society. <br/><br/><b>Statement-II:</b> The Bolshevik Revolution in Russia demonstrated that organized and determined people can challenge powerful rulers. <br/><br/>Which one of the following is correct in respect of the above statements?",NA,A,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I correctly highlights the post-World War I economic hardships faced by various sections of Indian society, including industry, workers, artisans, peasantry, soldiers, and the educated urban classes. These hardships contributed to the nationalist resurgence in India.<br/><br/>Statement-II accurately points out the impact of the Bolshevik Revolution in Russia, showcasing how the revolution demonstrated that organized and determined people can challenge even powerful rulers. This event had reverberations globally, inspiring nationalist movements in various countries, including India. The Russian Revolution underscored the potential for people to challenge oppressive regimes and fight for self-determination. <br/>Thus, Statement-II provides context to the broader theme of challenging authority and seeking independence, complementing the economic hardships outlined in Statement-I.",NA
What was the primary outcome of Gandhi&#39;s involvement in the Ahmedabad Mill Strike of 1918?,NA,D,The workers received a 50% increase in wages as demanded.,Anusuya Sarabhai successfully negotiated a settlement between the mill owners and the workers.,The workers were advised to resort to violence to achieve their objectives.,The workers were awarded a 35% wage hike through non-violent means.,NA,NA,NA,NA,"Gandhi intervened in the Ahmedabad Mill Strike of 1918, advising the workers to demand a 35% increase in wages instead of the initially demanded 50%. He also emphasized non-violence during the strike. Eventually, the tribunal ruled in favor of the workers, granting them a 35% wage hike. This event highlighted Gandhi&#39;s strategic approach to labor disputes and the effectiveness of non-violent resistance in achieving workers&#39; rights.",NA
Consider the following pairs:<br/>1. Hasan Imam - President of the Congress session in August 1918 <br/>2. Gopal Krishna Gokhale - Described the Montford reforms as <q>a sunless dawn</q> <br/>3. Lord Hardinge - Condemned the repression against Indian immigrants in South Africa <br/>4. C.F. Andrews - Involved in the negotiations leading to the compromise solution in South Africa <br/>How many pairs given above are correctly matched?,NA,C,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. Hasan Imam - President of the Congress session in August 1918:<b>Correct.</b> Hasan Imam presided over the special session of the Congress in August 1918 at Bombay.<br/><br/>2. Gopal Krishna Gokhale - Described the Montford reforms as <q>a sunless dawn</q>: Incorrect. It was Bal Gangadhar Tilak who described the Montford reforms as <q>a sunless dawn</q>, not Gopal Krishna Gokhale.<br/><br/>3. Lord Hardinge - Condemned the repression against Indian immigrants in South Africa: <b>Correct.</b> Lord Hardinge condemned the repression against Indian immigrants and called for an impartial enquiry.<br/><br/>4. C.F. Andrews - Involved in the negotiations leading to the compromise solution in South Africa: <b>Correct.</b> C.F. Andrews was indeed involved in the negotiations that led to the compromise solution in South Africa.<br/>Hence, three pairs are correctly matched.",NA
Consider the following pairs:<br/>1. Industry - Increase in prices and recession post-World War I <br/>2. Workers and Artisans - Faced high taxation and poverty <br/>3. Peasantry - Unemployment and high prices <br/>4. Soldiers - Awareness of racism in the attitude of the British <br/>How many pairs given above are correctly matched?,NA,A,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"Solution:<br/>1. Industry - Increase in prices and recession post-World War I: Correct. The industry faced an increase in prices, followed by a recession and increased foreign investment which brought many industries to the brink of closure and loss.<br/><br/>2. Workers and Artisans - Faced high taxation and poverty: Incorrect. Workers and Artisans faced unemployment and bore the brunt of high prices, not high taxation and poverty.<br/><br/>3. Peasantry - Unemployment and high prices: Incorrect. The peasantry faced high taxation and poverty, not unemployment and high prices.<br/><br/>4. Soldiers - Awareness of racism in the attitude of the British: Incorrect. Soldiers who returned from battlefields abroad shared their experiences with the rural folk, not specifically awareness of racism in the attitude of the British.<br/><br/>Thus, only one pair (Pair 1) is correctly matched.",NA
Consider the following statements:<br/><br/>Statement-I: Gandhi found that the masses had an immense capacity to participate in and sacrifice for a cause that moved them.<br/><br/>Statement-II: Gandhi believed in the power of non-violent satyagraha to achieve nationalist goals. <br/>Which one of the following is correct in respect of the above statements?,NA,A,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct.",NA,NA,NA,NA,"Both Statement-I and Statement-II are correct in this context. <br/>Statement-I highlights Gandhi&#39;s observation of the masses&#39; willingness to participate and sacrifice for causes that resonated with them. <br/>Statement-II accurately reflects Gandhi&#39;s belief in the efficacy of non-violent satyagraha as a means to achieve nationalist objectives.<br/>- Furthermore, Statement-II logically supports Statement-I, as Gandhi&#39;s belief in non-violent resistance directly aligns with his observation of the masses&#39; responsiveness to causes they believed in. <br/>Therefore, both statements are accurate, and Statement-II indeed elucidates Statement-I, making option (a) the correct choice.",NA
What was the main outcome of Gandhi&#39;s negotiations with the South African government regarding the concerns of the Indian community during his time in South Africa?,NA,C,The government agreed to enforce stricter laws against Indian immigrants,The government refused to address any of the Indian community&#39;s demands,The government agreed to meet the main demands of the Indian community,The government ignored the concerns raised by Gandhi.,NA,NA,NA,NA,"During Gandhi&#39;s time in South Africa, after a series of negotiations involving prominent figures, including Lord Hardinge and General Smuts, the South African government agreed to meet the main demands of the Indian community. This included addressing issues such as the poll tax, registration certificates, and marriages conducted according to Indian customs. <br/>The government also promised to consider the matter of Indian immigration in a more thoughtful manner. This compromise solution marked a significant achievement in Gandhi&#39;s early activism and demonstrated the power of peaceful negotiation and civil resistance in bringing about change.",NA
"Consider the following statements:<br/>1. The Montagu-Chelmsford Reforms introduced Dyarchy in the provincial government, which divided subjects into <q>reserved</q> and <q>transferred</q> categories.<br/>2. The Montagu-Chelmsford Reforms allowed for the governor&#39;s veto power over the legislative councils&#39; bills and their ability to issue ordinances.<br/>3. The Montagu-Chelmsford Reforms ensured that provincial ministers had complete control over finances and the bureaucrats in their respective provinces.<br/><br/>Which of the statements given above is/are correct?",NA,B,1 Only,1 and 2 Only,1 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"Statement 1. Correct: The Montagu-Chelmsford Reforms did introduce Dyarchy in the provincial government. Under this system, subjects were divided into <q>reserved</q> and <q>transferred</q> categories. The reserved subjects were administered by the governor through his executive council, while the transferred subjects were managed by ministers nominated from among the elected members of the legislative council.<br/><br/>Statement 2. Correct: The reforms included provisions for the governor to have veto power over the legislative councils&#39; bills and to issue ordinances. This meant the governor had significant control and could override the legislative councils when necessary.<br/><br/>Statement 3. Incorrect: The provincial ministers did not have complete control over finances and the bureaucrats. In fact, this was one of the major drawbacks of the reforms, leading to constant friction as the ministers often lacked influence over important administrative matters and could be overruled by the governor.<br/><br/>Thus, statements 1 and 2 are correct, while statement 3 is incorrect. Therefore, the correct answer is Option B: 1 and 2 Only.",NA
What was one of the drawbacks of the Franchise system in India?,NA,A,Limited electorate size,Lack of control over the viceroy,Unsatisfactory division of subjects at the center,Lack of control over provincial finances and bureaucrats,NA,NA,NA,NA,"One of the drawbacks of the Franchise system in India was its limited electorate size. This limitation posed challenges in terms of representation and inclusivity, affecting the democratic process and the voices that could be heard within the political sphere.<br/><br/>This question is designed to test the understanding of the limitations of the Franchise system in India, a crucial aspect of the political landscape during that period. <br/>The correct answer, Option A, reflects a key challenge faced within the electoral system at the time.",NA
"The Lahore Session of the Indian National Congress (1929) is very important in history, because:<br/>1. Congress passed a resolution demanding complete independence.<br/>2. The rift between the extremists and moderates was resolved in that Session.<br/>3. A resolution was passed rejecting the Two- nation theory in that Session.<br/>Which of the statements given above is/are correct?",NA,A,1 only,"2, 3 only","1, 3 only",None of the above,NA,NA,NA,NA,"The following major decisions were taken at the Lahore session:<br/>- The Round Table Conference was to be boycotted.<br/>- Complete independence was declared as the aim of Congress.<br/>- Congress Working Committee was authorised to launch a civil disobedience programme, including non-payment of taxes and all members of legislatures were asked to resign their seats.<br/>- January 26, 1930, was fixed as the first Independence (Swarajya) Day, to be celebrated everywhere.<br/>- The Indian National Congress&#39;s Lucknow session presided over by a Moderate, Ambika Charan Majumdar, readmitted the Extremists led by Tilak to the Congress fold.<br/>- Jinnah&#39;s Two Nations Theory came up in March 1940, whereas the Lahore Session of the Indian National Congress was held in 1929.",NA
The Red Shirts movement was launched by,NA,A,Khan Abdul Gaffar Khan,R Krishna Pillai,Sawai Tendulkar,Maulana Abul Kalam Azad,NA,NA,NA,NA,"In 1929, the Khudai Khidmatgars or the Red Shirts movement (Servants of God) movement, led by Khan Abdul Ghaffar Khan, nonviolently mobilized to oppose the British in India&#39;s Northwest Frontier Province.",NA
The Dandi March was launched against<br/>1. State monopoly on manufacture and sale of salt.<br/>2. Exorbitantly high salt tax.<br/>Which of the above is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Gandhi wrote, <q>The salt monopoly is thus a fourfold curse. It deprives the people of a valuable easy village industry, involves wanton destruction of property that nature produces in abundance, the destruction itself means more national expenditure, and fourthly, to crown this folly, an unheard-of tax more than 1000 per cent is exacted from a starving people</q>.<br/><br/>He further explained, <q>To prevent the use of salt that has not paid the tax which is at times even fourteen times its value, the Government destroys the salt it cannot sell profitably. Thus it taxes the nation&#39;s vital necessity; it prevents the public from manufacturing it and destroys what nature manufactures without effort</q>.",NA
Introduction of uniform salt tax throughout British India that later inspired movements like Civil Disobedience was associated with,NA,A,Lord Lytton,Lord Mayo,Lord Cunningham,Lord Dufferin,NA,NA,NA,NA,"Lord Lytton to strengthen the financial power took many steps like: <br/>- encourage the provinces in collecting the revenue.<br/>- Abolished many import duty and supported free trade policy for the British.<br/>- He also introduced the Statutory Civil Service exclusively for Indians, which was later abolished.",NA
Consider the following statements about the Civil Disobedience Movement: <br/>1. The movement officially was not approved by Congress before its launch.<br/>2. 26th January as Independence Day all over the country was decided during the Civil Disobedience Movement.<br/>3. All the Round Table Conferences between the British government and Indian leaders followed only after this movement.<br/>4. The movement was withdrawn because of violence.<br/>Choose the correct answer using the codes below.,NA,C,1 and 2 only,1 and 4 only,2 and 3 only,1 and 3 only,NA,NA,NA,NA,"Mahatma Gandhi led the Civil Disobedience Movement that was launched in the Congress Session of December 1929. The aim of this movement was a complete disobedience of the orders of the British Government.<br/><br/>During this movement, it was decided that India would celebrate 26th January as Independence Day all over the country. On 26th January 1930, meetings were held worldwide, and the Congress tricolour was hoisted.<br/><br/>The British Government tried to repress the movement and resorted to brutal firing, killing hundreds of people. Thousands were arrested along with Mahatma Gandhi and Jawaharlal Nehru, but the movement spread to all the country&#39;s four comers.<br/><br/>Following this, Round Table Conferences were arranged by the British and Mahatma Gandhi attended the second Round Table Conference at London. But nothing came out of the conference, and the Civil Disobedience Movement was revived.<br/><br/>During this time, Bhagat Singh, Sukhdev and Rajguru were arrested on the charges of throwing a bomb in the Central Assembly Hall (which is now Lok Sabha) in Delhi, to demonstrate against the autocratic alien rule. They were hanged to death on March 23, 1931.<br/><br/>On April 7, 1934, the civil disobedience movement came to a stop. The Simon Commission was a group of seven British Members of Parliament of the United Kingdom, under the chairmanship of Sir John Simon. The Commission arrived in British-occupied India in 1928 to study constitutional reform.",NA
"During Salt Disobedience, after Gandhi&#39;s arrest, the CWC sanctioned:<br/>1. non-payment of revenue in ryotwari areas.<br/>2. no-chowkidar-tax campaign in zamindari areas.<br/>3. violation of forest laws in the Central Provinces.<br/>Which of the above statement(s) is/are correct?",NA,D,"1, 2 only","2, 3 only","1, 3 only","1, 2 and 3",NA,NA,NA,NA,"Gandhi&#39;s arrest came on May 4, 1930, when he had announced that he would lead a raid on Dharasana Salt Works on the west coast. Massive protests followed Gandhi&#39;s arrest in Bombay, Delhi, Calcutta, and Sholapur, where the response was the most fierce. After Gandhi&#39;s arrest, the CWC sanctioned:<br/>- non-payment of revenue in ryotwari areas;<br/>- a no-chowkidari-tax campaign in zamindari areas; and<br/>- violation of forest laws in the Central Provinces.",NA
