question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Select the correct active form of the given sentence.<br/><br/>It is said that Einstein was a genius.,NA,C,People are saying that Einstein was a genius.,People have said that Einstein was a genius.,People say that Einstein was a genius.,People said that Einstein was a genius.,NA,NA,NA,NA,"KEY POINTS:<br/>The passive sentence <q>It is said that Einstein was a genius</q> can be converted into the active voice using the subject <q>People</q>.<br/>- As there is no particular object mentioned in the sentence since <q>that Einstein was a genius</q> is a phrase. So it is categorized as without object in passive voice. <br/>- The phrase <q>It is said that</q> translates into the active form as <q>People say that</q>.<br/>- The tense of the verb should remain consistent with the original sentence. Here, <q>say</q> is in the simple present tense, matching the original sentence&#39;s implied meaning.<br/>- Format of active voice : <b>Subject + Main verb ( simple present tense here ) + Object</b><br/>- Hence, the correct active form is <q>People say that Einstein was a genius.</q><br/><br/><b>Additional Information</b><br/>- Active voice emphasizes the subject performing the action, making the sentence clearer and more direct.<br/>- In passive voice, the focus is on the action and the recipient, which can sometimes lead to ambiguity or less dynamic sentences.",NA
Select the correct active form of the given sentence.<br/><br/>A party is being given by her on the occasion of her sixteenth birthday.,NA,B,She will give a party on the occasion of her sixteenth birthday.,She is giving a party on the occasion of her sixteenth birthday.,She was giving a party on the occasion of her sixteenth birthday.,She has given a party on the occasion of her sixteenth birthday.,NA,NA,NA,NA,"Key Points:<ul>The sentence is in the passive voice and needs to be converted to the active voice.</ul> <ul>In the passive voice, the subject of the sentence (in this case <b>her</b>) is the recipient of the action.</ul> <ul>In the active voice, the subject of the sentence (in this case <b>She</b>) performs the action.</ul> <ul>The correct active form of the sentence should be in the present continuous tense to match the passive construction <b>is being given</b>.</ul><ul>Format = <b>Subject (she) + Verb (present continuous tense here) + Object (a party) + prepositional phrase (on the occasion of her sixteenth birthday.)</b></ul> <br/>Therefore, the correct active form is: <i>She is giving a party on the occasion of her sixteenth birthday</i>.",NA
Select the correct active form of the given sentence.<br/><br/>Let the fire be kept burning at night.,NA,D,You must burn the fire at night.,Let the fire bruning at night.,The fire should be burnt at night.,Keep the fire burning at night.,NA,NA,NA,NA,"Key Points:<br/>- In the original sentence, the verb is in the passive form.<br/>- The active form of a sentence is where the subject performs the action stated by the verb.<br/>- The given sentence <q>Let the fire be kept burning at night</q> implies that the fire should be actively maintained during the night.<br/>- The correct active form is <q>Keep the fire burning at night.</q>",NA
Select the correct active form of the given sentence.<br/><br/>A party was organized by Rayan on his 40th Birthday.,NA,A,Rayan organized a party on his 40th Birthday.,A party organised Rayan on his 40th birthday.,Rayan will be oganising a party on his 40th Birthday.,Rayan has organised a party on his 40th Birthday.,NA,NA,NA,NA,"<br/>- The given sentence is in the passive voice.<br/>- In the passive voice, the object of the action comes first, followed by the verb and then the subject.<br/>- To convert it to the active voice, the subject comes first, followed by the verb, and then the object.<br/>- Thus, <q>A party was organized by Rayan on his 40th Birthday.</q> becomes <q>Rayan organized a party on his 40th Birthday.</q><br/>- Hence, the correct active voice is <b>Rayan organized a party on his 40th Birthday.</b><br/><br/><b>Additional Information</b><br/>- When converting sentences from passive to active voice, ensure the subject of the active sentence is the doer of the action.<br/>- Passive voice: The object + the verb <q>to be</q> + past participle + by + the subject.<br/>- Active voice: The subject + the verb (in the correct tense) + the object.<br/>- Example in passive voice: <q>The cake was eaten by the children.</q><br/>- Example in active voice: <q>The children ate the cake.</q>",NA
Select the option that expresses the given sentence in active voice.<br/><br/>All weapons were surrendered by them.,NA,B,They had surrendered all weapons.,They surrendered all weapons.,They are surrending all weapons.,They have surrendered all weapons.,NA,NA,NA,NA,"Key Points<br/><br/>- The given sentence is in Passive Voice. As per the given question, we have to change it into Active Voice. <br/>- The structure of the given sentence is as follows:<ul><b>Subject + V2+ Object. (Active Voice)</b></ul> <ul><b>Subject (objective case)+ was/were + V3 + Object (subjective case). (Passive Voice)</b></ul><br/>-Example:<ul><i>Their cousin showed them some rare photographs.</i></b>(Active Voice)</b></ul> <ul><i>They were shown some rare photographs by their cousin.</i> <b>(Passive Voice)</b></ul> <br/>- The subject of the given sentence is <b>All weapons</b>.<br/>- The object of the given sentence is <b>Them</b>.<br/>- The subject will be put in place of the object and the object will be put in place of the subject.<br/>- And <q>were surrendered</q> will be changed into <b>surrendered</b>.",NA
Select the option that expresses the given sentence in active voice.<br/><br/>Let the farewell be bidden to our seniors.,NA,C,We should be bidden farewell by our seniors.,Our seniors should bid farewell to us.,Let us bid farewell to our seniors.,Our seniors should be bidden farewell.,NA,NA,NA,NA,"Key Points<br/>- The given sentence is an imperative sentence.<br/>- The sentences with which an order, advice or request is expressed are called imperative sentences.<br/>- An imperative sentence in the passive voice has the following form: Let + object + be + past participle.<br/>- Sentence structure:<ul>Active: Let us enjoy this game.</ul> <ul>Passive: Let this game be enjoyed by us.</ul><br/>- Thus, the option that expresses the given sentence in active voice is option 3.",NA
Select the option that expresses the given sentence in active voice.<br/><br/>Trumpets are being blown by the soldiers to announce the victory.,NA,D,The soldiers were blowing the trumpets to announce the victory.,The soldiers blow the trumpets to announce the victory.,The soldiers blew the trumpets to announce the victory.,The soldiers are blowing the trumpets to announce the victory.,NA,NA,NA,NA,"Key Points: <br/>- The given sentence is in the Passive Voice. As per the given question we have to change the sentence into Active Voice. <br/>- The given sentence is an example of <b>present continuous</b>.<br/>- The structure of these kinds of sentences is:<ul>Subject + is/am/are + V1 + ing + Object. (Active Voice)</ul> <ul>Subject(Objective Case) + is/am/are + being+ V3 + by + Object (subjective case). (Passive Voice)</ul> <br/>- Example:<ul>He is riding a bike. (Active Voice)</ul> <ul>A bike is being ridden by him. (Passive Voice)</ul> <br/>- The subject of the given sentence is <b>Trumpets</b> and the object of the given sentence is <b>the soldiers</b>.<br/>- The subject will be put in place of the object and the object will be put in place of the subject. <br/>- Here, <b>are being blown</b> will be changed into <b>are blowing</b>.",NA
Select the option that expresses the given sentence in active voice.<br/><br/>The coloured clothes should not be washed with the whites.,NA,B,Do not washed the coloured clothes with the whites.,You should not wash the coloured clothes with the whites.,Do not be washing the coloured clothes with the whites.,You should not have washed the coloured clothes with the whites.,NA,NA,NA,NA,"Key Points:<br/>- The given sentence is an example of Passive Voice. As per the given question we have to change it into Active Voice.<br/>- The process of transformation is as follows:<ul>Since modal verb has been used in the passive voice, therefore, the active voice will follow the given structure:</ul> <ul>(i) Passive Voice - modal verb(should) + be + V3</ul> <ul>(ii) Active Voice - modal verb (should) + V1</ul> <br/>- Here, <b>should not be washed</b> will be changed into <b>should not wash</b>.",NA
Select the option that expresses the given sentence in active voice.<br/><br/>I was bade by Hemant to retire entirely from my family business.,NA,D,Hemant bade me to retire entirely from my family business.,Hemant bade me retired entirely from my family business.,Hemant bade me to retiring entirely from my family business.,Hemant bade me retire entirely from my family business.,NA,NA,NA,NA,"Key Points: <br/>- The following verbs are followed by a bare infinitive in the active voice.<br/>- But these aren&#39;t followed by a bare infinitive in the passive voice. <b>let, bid, help, make, etc.</b><br/>- Example:<ul>?He bade me leave the party. (active)</ul> <ul>I was bade to leave the party. (passive)</ul><br/>- Following this structure, we get the 4th option as the correct answer.<br/>- Following these steps, we finally get- <i>Hemant bade me retire entirely from my family business.</i>",NA
Select the option that expresses the given sentence in active voice.<br/><br/>I have been informed of their decision.,NA,A,They have informed me of their decision.,They had informed me of their decision.,They informed me of their decision.,They are informing me of their decision.,NA,NA,NA,NA,"Key Points: <br/>- There are a few things to keep in mind before changing a sentence from passive to active voice.<br/>- In the given sentence, <q><b>I</b></q> becomes the <b>object</b> of the sentence in the active voice as the action is received by it.<br/>- In the given sentence, the object pronoun <q>I</q> changes to <q>me</q> in active voice.<br/>- In active voice, the subject is highlighted so <q>they</q> will be placed at the beginning as the action is performed by it.<br/>- In active voice,  we don&#39;t need to use the past participle <q>been</q> with the main verb.<br/>- In the passive voice, <q>been</q> is used to create the present perfect tense.<br/><br/>The correct sentence is: They have informed me of their decision. Hence, the correct answer is option 1.",NA
