question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What was Dadabhai Naoroji&#39;s declaration at the Calcutta session (1906) that inspired the Extremists?,NA,C,The establishment of the Indian National Congress,Support for the partition of Bengal,That self-government or swaraj was to be the goal of the Congress,None of the above,NA,NA,NA,NA,"The correct answer is option 3.<br/><br/>Key Points:<br/>- Dadabhai Naoroji&#39;s declaration at the Calcutta session in 1906 that swaraj or self-government was to be the goal of the Congress significantly inspired the Extremists.<br/>- They gave a call for passive resistance, adding to the existing methods of swadeshi and boycott.",NA
Who among the following established <q>India House - a student residence</q> in London in year 1905?,NA,C,Chittaranjan Das,Madam Bhikaji Kama,Shyamji Krishna Varma,Madan Lal Dhingra,NA,NA,NA,NA,"Key Points:<br/>- Shyamji Krishna Varma founded the Indian House in  London in 1905.<br/>- It was a meeting point outside of India for radical nationalists among Indian students in Britain at the time and one of the most prominent centers for revolutionary Indian nationalism.<br/>- He represented India at the Berlin Congress of Orientalists in 1881.<br/>- He worked for a number of Indian princely states in India as the Divan.<br/>- He also founded the <q>The Indian Sociologist</q>.<br/>- On 04 October 1989, The India Post has issued a postal stamp on Shyamji Krishna Varma.<br/>- He founded the Indian Home Rule Society also.",NA
Which among the following group was not associated with the congress moderates?,NA,B,Servants of India Society,Deccan Education Society,Indian Society,Sarvajanik Sabha,NA,NA,NA,NA,"Key Points on <q>The Deccan Education Society (DES)</q><br/>-It was established in 1884 by the stalwarts of India&#39;s freedom struggle, like GOPAL GANESH AGARKAR and LOKMANYA TILAK and later built by great personalities of the era, like GOPAL KRISHNA GOKHALE and DHONDO KESHAV KARVE (honoured with Bharat Ratna). Bal Gangadhar tilak belongs to extremist leaders. Hence, Option 2 is correct.<br/>- Deccan education society is an organization that runs 43 education establishments in Maharastra, Pune founded by Bal Gangadhar Tilak.<br/>- The two leaders also vied for the control of the Poona Sarvajanik Sabha and the founding of the Deccan Sabha by Gokhale in 1896 was the consequence of Tilak coming out ahead.",NA
Which was the first session of INC that was held under the Presidentship of a European?,NA,C,1885 Bombay session,1896 Calcutta session,1888 Allahabad session,1887 Madras session,NA,NA,NA,NA,Key Points: <br/>YEAR  :  PLACE  :  PRESIDENT  :  IMPORTANCE OF THE SESSION<br/>i) 1885 : Bombay :  W.C. Bonnerjee : 1st session of the INC<br/>ii) 1886 : Calcutta : Dadabhai Naoroji  : 2nd session of INC (President of the session was First Parsi President); All India National Conference merged with Indian National Congress <br/>iii) 1896 : Calcutta : Rahimtulla M. Sayani : National song <q>Vande Mataram</q> was sung for the first time <br/>iv) 1887 : Madras : Badruddin Tyabji  :  First Muslim President of INC <br/>v) 1888 : Allahabad : George Yule : First European President of INC.,NA
The Swadeshi Andolan was started in the year _______.,NA,C,1902,1907,1905,1909,NA,NA,NA,NA,"The correct answer is 1905.<br/><br/>Important Points:<br/>- The Swadeshi movement finds its roots in the Partition of Bengal in 1905.<br/>- It was an anti-partition movement by the moderate leaders like Surendra Nath Banerjee and Krishna Kumar Mitra.<br/>- The movement was launched on August 7, 1905, after a mass demonstration at the town hall, Calcutta.<br/>- On the day of Raksha Bandhan, Hindus and Muslims tied rakhis on the wrists of each other as a symbol of fraternity.<br/>- After the partition of Bengal on October 16, 1905, a hartal was observed in Calcutta and it was declared a day of national mourning.<br/>- The demonstrations were held in the whole of Bengal and people were asked to use Swadeshi products and boycott British products.<br/>- Later along with a boycott of British products, the people started boycotting the British services like postal service, courts, schools and colleges etc.<br/>- But by the beginning of 1908, the movement had faded out due to lack of leadership and suppression by the British government.<br/>- The frustration in the youth of Bengal caused by the suppression of this movement led them towards revolutionary nationalism instead of passive boycott only.",NA
Who among the following was NOT a leader of the moderates?,NA,A,Aurobindo Ghosh,WC Banerjee,Gopal Krishna Gokhale,George Yule,NA,NA,NA,NA,The correct answer is Aurobindo Ghosh.<br/><br/>Key Points:<br/>- Foundation Of Indian National Congress (INC)<br/>- The Indian National Congress was founded by AO Hume during the reign of Governor-General Lord Dufferin.<br/>- Its 1st session was held at Bombay in 1885 under the presidency of W C Banerjee<br/>- The Congress split into two parts-Moderates and Extremists in the year 1907 at the Surat Session of INC<br/>- It was also popularly known as <q>Surat Split</q>.,NA
Who among the following revolutionaries was associated with Swadesh Bandhav Samiti?,NA,D,Chandrasekhar Azad,Bhagat Singh,Rajguru,Ashwini Kumar Dutta,NA,NA,NA,NA,"The correct answer is Ashwini Kumar Dutta.<br/><br/>Key Points:<br/>- Ashwini Kumar Dutta founded the Swadesh Bandhab Samiti on 6th August 1905 after the partition of Bengal.<br/>- The organisation was formed to promote the consumption of swadeshi goods.<br/>- It was established in the Barisal district(Present day Bangladesh).<br/>- It published its weekly paper called, <q>Barisal Hitaishi</q>. <br/>- The organisation had its own shops.<br/>- Ashwini Kumar Dutta was responsible for the creation of the Co-operative Hindusthan Bank in 1908 to help Indians start their own business.",NA
Servants of India Society was founded by,NA,A,G. K. Gokhale,M. G. Ranade,B. G. Tilak,V. D. Savarkar,NA,NA,NA,NA,"The correct answer is G. K. Gokhale.<br/><br/>Key Points:<br/>- Gopal Krishna Gokhale established the Servants of India Society in 1905 for the expansion of Indian education.<br/>- In the field of famine relief, union organization, cooperatives, and uplift of tribals and depressed, the Society did commendable work.<br/>- Society worked in the fields of promotion of education, removal of untouchability, promotion of sanitation and healthcare, etc.<br/>- From 1911, it also published its newsletter titled <q>Hitavada</q> in English from Nagpur.<br/>- The society still exists and has its headquarters in Pune.",NA
In which railway station of South Africa was Mahatma Gandhi evicted from the first class compartment of the train in 1893 due to racial discrimination?,NA,B,Johannesburg,Pietermaritzburg,Rustenburg,Polokwane,NA,NA,NA,NA,"Key Points:<br/>- Mahatma Gandhi was evicted from the first class compartment of the train in 1893 due to racial discrimination at Pietermaritzburg railway station in South Africa.<br/>- On 7 June 1893, Mahatama Gandhi was thrown out of the for not giving up his seat after the objection of a European man, as the colored people were not allowed to travel in first class apartments with white people.<br/>- Gandhi in response to this discrimination formed the Natal India congress in 1894 and fought peacefully against racial discrimination by white people, following the philosophy of Satyagraha.<br/>- He also established Phoenix farm in Durban, South Africa in 1904  to explore and spread the philosophy of non-violence and Satyagraha.",NA
Which of the following was a political demand of Moderates in Indian freedom struggle?,NA,D,Holding of Indian Civil Services examination simultaneously in England and India.,Spread of primary education among the masses,"In the beginning of the 20th century, they demanded for Swaraj within the British Empire similar to the self-governing colonies in Canada and Australia.",All of the above,NA,NA,NA,NA,"Key Points:<br/>The methods of the Moderates can be best described as <q>Constitutional agitation</q>.<br/>Their main demands were :- <br/>- Holding of Indian Civil Services examination simultaneously in England and India.<br/>- Wider employment of Indians in the higher grades of administrative services.<br/>- Spread of primary education among the masses.<br/>- By the beginning of the 20th century, they demanded Swaraj (self-rule) within the British Empire similar to the self-governing colonies in Canada and Australia.<br/>- Reduction of military expenditure.<br/>- Separation of judiciary from the executive.<br/>- Grant of self-government to India within the British Empire.<br/>- The plea for the extension of the legislative council leads to the popular control of the administration.<br/>- Removal of restriction on freedom of the press and speech.<br/>- Abolition of arms act breaches the freedom of people.<br/>- Separation of judiciary from the executive.<br/>- Supporter of Democracy and Nationalism.<br/>- Exploitative relation of the British could be exempted.",NA
