question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is not included in the Vedic literature,NA,The Shadvinsa,The Shadvinsa,The Upanishads,The Samhitas,The Aranyakas,NA,NA,NA,NA,"Sadvimsha Brahmana is considered as an appendix to the Panchavimsha Brahmana and its twenty-sixth prapathaka.
The Shatapatha Brahmana is a prose text describing Vedic rituals, history and mythology associated with the ?ukla Yajurveda. 
The Aitareya Brahmana consists of 40 adhyayas (lessons, chapters), dealing with Soma sacrifice, and in particular the fire sacrifice ritual.
The Kaushitaki Upanishad is an ancient Sanskrit text contained inside the Rigveda.",NA
What is Sukta ?,NA,It is collection of mantras in a Veda.,It is a name of a Vedic king.,It is the name of a Brahmana.,It is collection of mantras in a Veda.,It is the name of a Upanishad.,NA,NA,NA,NA,"The correct answer is C as sukta means is collection of mantras in a Veda  The term ""sukta"" means well said. These hymns are in praise of gods.",NA
"The important characteristics of Vedic religion were

A. Goddess like ‘Prithvi’ ‘Aditi’ and ‘Usha’.
B. Goddesses are co-equal to their male partners.
C. Predominance of male deities.
D. Worship of nature.",NA,Only C and D,Only C and D,Only B and C,Only B and D,Only A and C,NA,NA,NA,NA,"The Vedic religion, which forms the basis of Hinduism, is characterized by several key features, including the worship of a pantheon of deities, many of whom embody natural phenomena or cosmic principles. Based on the characteristics provided:

A. Goddesses like ‘Prithvi’ (Earth), ‘Aditi’ (the Infinite or the Boundless), and ‘Usha’ (Dawn) were indeed part of the Vedic pantheon. These goddesses represent important aspects of nature and were revered in the Vedic texts.

B. While there were powerful goddesses in the Vedic religion, the textual evidence suggests that the Vedic society was patriarchal, and male deities often held more prominent positions. The idea of goddesses being co-equal to their male partners is more nuanced and varies; some goddesses were indeed powerful and important, but the overall predominance of male deities is more marked.

C. Predominance of male deities is a correct observation. Deities like Indra, Agni, and Varuna were among the most celebrated in the Vedic hymns, indicating a predominance of male gods in the Vedic pantheon.

D. Worship of nature is a fundamental aspect of the Vedic religion. Many Vedic deities personify natural elements and forces, such as fire (Agni), wind (Vayu), sun (Surya), and rain (Indra).

Given these explanations:

1. Only C and D are correct. Predominance of male deities (C) and worship of nature (D) are indeed important characteristics of the Vedic religion. While goddesses were revered and had their own significance, the overall religious landscape was marked by a predominance of male deities, and the natural world played a central role in Vedic worship and spirituality.

Therefore, the correct answer is:

1. Only C and D",NA
Which of the following statements regarding Indira is not correct?,NA,He was the god exclusively associated with sacrifices.,He was the god exclusively associated with sacrifices.,He was known as ‘Purandara’ or breaker of forts.,He killed the evil dragon ‘Virata’,He was the god of thunder.,NA,NA,NA,NA,"The correct option is A.
Indra a war god, breaker of forts (Purandra). Indra was the most important divinity and was lord of war. He destroyed the forts of Dasyus, also known as Purandhar. Vritira appears as a dragon blocking the course of the rivers and is heroically slain by Indra, was killed by Indra, who destroyed all the 99 fortresses of Vritra. Indira was King of the Gods God of Lightning, Thunder, Rains and River flows Ruler of Heaven.",NA
Which of the following statements about the Brahmanas is correct?,NA,All the above,They mark the transition from Vedic to later Brahaminical order,They explain the meaning of sacrifices and methods of performing them.,They are indispensable for understanding the later religious and philosophical Vedic literature.,All the above.,NA,NA,NA,NA,"They mark the transition from Vedic to later Brahminical order: This statement is correct. Brahmanas represent a shift in focus from the ritualistic practices of the Vedas to more philosophical and speculative ideas.

They explain the meaning of sacrifices and methods of performing them: This statement is correct. Brahmanas provide detailed explanations of the rituals and sacrifices prescribed in the Vedas.

They are indispensable for understanding the later religious and philosophical Vedic literature: This statement is correct. Brahmanas lay the foundation for the development of later religious and philosophical ideas in Vedic literature.

Therefore, the correct answer is E: All of the above.",NA
"Arrange the following kings according to the line of succession mentioned in the Rig Veda:

I. Sudas
II. Divodasa
III. Pijavana
IV. Vadhryasva",NA,"IV, II, III, I","IV, II, III, I","II, III, IV, I","I, II, IV, III","I, II, III, IV",NA,NA,NA,NA,The correct answer is A as the following kings according to the line of succession mentioned in the Rig Veda are in correct order of option A,NA
Which of the following contains the famous Gayatri mantra?,NA,Rig Veda,Rig Veda,Sam Veda,Atharva Veda,Yajur Veda,NA,NA,NA,NA,"Rig Veda: The Gayatri mantra is indeed found in the Rig Veda, which is one of the oldest sacred texts of Hinduism.

Sam Veda: While the Sam Veda is also a part of the Vedas, it does not contain the Gayatri mantra.

Atharva Veda: The Atharva Veda is another one of the Vedas, but it does not include the Gayatri mantra.

Yajur Veda: The Yajur Veda is another Veda, but the Gayatri mantra is not present in this text.

Therefore, the correct answer is A: Rig Veda, as it is the scripture that contains the famous Gayatri mantra.",NA
What is the meaning of the word ‘brahman’ in the Rig Vedic period?,NA,The magical power is the sacred utterences,A sort of supernatural electricity known as mana.,Tribal priest.,The magical power is the sacred utterences,None of these,NA,NA,NA,NA,"Brahman was a caste in the rig veda period it was referred to people who performed rituals like ashvamegha etc. they knew sanskrit as well as prakrit.
the correct answer is c because when these people performed such rituals a positive atmosphere was made with silence all around, aroma of chandan etc. and etc. hence it is mentioned that the magical power is the sacred utterences means positivity is sacred around which is not less than magic.",NA
In which Veda do we find reference to locked waters and water wheels?,NA,Rig Veda,Rig Veda,Yajur Veda,Sama Veda,Atharva Veda,NA,NA,NA,NA,"Water, in the form of rain sustains life on earth. Parjanya or clouds causing water to downpour is also, therefore deified in Rig Veda. Parjanya means the clouds causing the downpour of rains. This cloud is called a large pot full of water which is known as 'driti'.",NA
The term Shudra is mentioned in the Rig Veda only once. How many times does the term ‘Vaisya’ appear in the Rig Veda?,NA,Only once,9 times,10 times,3 times,Only once,NA,NA,NA,NA,"D is the correct option.The Rigveda is the largest of the four Vedas, and many of its verses appear in the other Vedas. ... Brahmin · Kshatriya · Vaishya · Shudra.The first mention of Varna Vaishya is found in the Purusha Suktam verse of the ancient Sanskrit Rig Veda.",NA
“Airiyanam Vaejo” means Aryan Paradise. It is mentioned in the,NA,Avesta,Rig Veda,Avesta,Sam Veda,Manusmriti,NA,NA,NA,NA,The correct answer is B as Airiyanam Vaejo” means Aryan Paradise. It is mentioned in the AVESTA.,NA
Which of the following statements about the Vedic family is correct?,NA,All of the above.,The unit of the tribal society was the patriarchal family. The master of the house was called grihapati.,The birth of a son was essentially welcome.,"The family unit was a large one, generally extending over three generations and with the male offspring living together.",All of the above.,NA,NA,NA,NA,"D is the correct option.During the Rig-Vedic period the Aryans lived in small villages. The basis of their political and social organisation was the family or Kula.The unit of the tribal society was the patriarchal family.The birth of a son was essensially welcome.The family unit was a large one, generally extending over three generations and with the male offspring living together.The master of the house was called grihapati.",NA
The Caste system was prevalent in the Vedic age. Which of the following shows the fourfold division of the society?,NA,Purusa-sukta of Rig Veda,Satpatha Brahmana,Atharva Veda,Purusa-sukta of Rig Veda,Yajur Veda,NA,NA,NA,NA,"The emergence of monarchical states in the later Vedic age led to a distancing of the rajan from the people and the emergence of a varna hierarchy. The society was divided into four social groups— Brahmanas, Kshatriyas, Vaishyas and Shudras. The hierarchy of the top three varnas is ambiguous in the later Vedic texts.",NA
Which of the following statements is/are correct?,NA,"The word ‘Kula’ forms the part of the ‘Kulapa’, head of the family.","The word ‘Kula’ forms the part of the ‘Kulapa’, head of the family.","The word ‘Kula’, family, is not mentioned in the Rig Veda independently.",The term ‘Kulapa’ occurs only once in Rig Veda.,All of the above is correct.,NA,NA,NA,NA,"The correct option is A.
The Kula or the Family was the basic social unit. The head of the family was known as Kulapa. The Rig Vedic Society followed patrilineal system.
The most numerous varna of the vaishyas arose out of the vis or the mass of the tribal people. The term for family (kula) is rarely mentioned in the Rig Veda.",NA
The term Jana is used 275 times in the Rig Veda.How many times the term janapada is used in the Rig Veda?,NA,Not even once,275 times,Not even once,Only twice,300 times,NA,NA,NA,NA,The term Jana is used 275 times in the Rig Veda. The term janapada is not used even once in the Rig Veda. The tribal political organisation (Jana) of the Rig Vedic phase gave way to the rise of territorial state (Janapada) towards the end of the Vedic period i.e. early Vedic Janas later coalesced into the Janapadas. The term “Janapada” literally means the foothold of a tribe.,NA
