question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Main function of lenticel is,NA,C,transpiration,guttation,gaseous exchange,both [a] & [c],NA,NA,NA,NA,"It functions as a pore, providing a pathway for the direct exchange of gases between the internal tissues and atmosphere through the bark, which is otherwise impermeable to gases.",NA
Cork is formed from,NA,A,phellogen,vascular cambium,phloem,xylem,NA,NA,NA,NA,"The meristematic cell layer which is responsible for the development of the periderm is called phellogen. It produces cells both in and outwards. Cells which grow inwards will be phelloderm, and cells which develop outwards will be phellem or cork.",NA
Roots develop from parts of the plant other than radicle are called,NA,C,tap roots,fibrous roots,adventitious roots,nodular roots,NA,NA,NA,NA,"Adventitious roots are the type of roots that are grown from different parts of plants such as stem, leaf and tubers etc.<br/>These are used in vegetative propagation.<br/>These are mostly grown on root tubers and the apex of these tubers contains numerous adventitious roots which grow into new plants.",NA
Root hairs develop from,NA,A,region of maturation,region of elongation,region of meristematic activity,root cap,NA,NA,NA,NA,Root hairs develop from the region of maturation or the region of differentiation.,NA
Alternate type of phyllotaxy is found in,NA,D,china rose,mustard,sunflower,all of these,NA,NA,NA,NA,"In alternate (or spiral) type of phyllotaxy, only one leaf is borne at each node and leaves are arranged alternatively giving a spiral form. Example china rose, mustard & sunflower.",NA
Which one of the following process releases a carbon dioxide molecule?,NA,C,Glycolysis,Lactic acid fermentation,Alcohol fermentation,Hydrolysis of glycogen,NA,NA,NA,NA,"Alcoholic fermentation is a biochemical process in which sugars such as glucose, fructose, and sucrose are converted into small amounts of ATP, producing ethanol and carbon dioxide during the process. In this form of anaerobic respiration, pyruvate is broken down into ethyl alcohol (C2H6O) and carbon dioxide.",NA
Total number of ATP consume during Kreb&#39;s cycle is,NA,C,0,1,2,3,NA,NA,NA,NA,"The correct option is Option C.<br/>The Krebs cycle produces the CO2 that you breathe out. This stage produces most of the energy (34 ATP molecules, compared to only 2 ATP for glycolysis and 2 ATP for Krebs cycle). The electron transport chain takes place in the mitochondria. This stage converts the NADH into ATP.",NA
Day neutral plants relate to,NA,A,flowering in all possible photoperiods,loss of activity during day time.,overactive during day time.,no flowering in any photoperiods.,NA,NA,NA,NA,Short day plants are those plants that begin flowering when the days are shorter than their critical day length. They require the long period of darkness and the short period of light to flower. Long day plants are those plants that begin flowering when the days are longer than their critical day length. They will flower when they are exposed to the short period of darkness and the long period of light. Day neutral plants do not depend upon the amount of darkness or daylight hours for flowering. They flower independent of day length. Examples of day neutral plants are sunflower and tomato.,NA
"Cloves, used as a spice, are derived from which of the following plant parts?",NA,C,Seeds,Fruits,Flower buds,Young leaves,NA,NA,NA,NA,"Cloves are the rich, brown, dried, unopened flower buds of Syzygium aromaticum, an evergreen tree in the myrtle family. The name comes from the French <q>clou</q> meaning nail. Cloves come from Madagascar, Indonesia and Sri Lanka. Cloves are used in spice cookies and cakes.",NA
A plant that has seeds but no flowers and fruits?,NA,B,Bryophyte,Gymnosperms,Mosses,Pteridophyte,NA,NA,NA,NA,"Gymnosperms evolved to have seeds but do not have flowers. Examples of gymnosperms include the Redwood, Fir, and Cypress trees. Gymnos means <q>naked</q> in Greek; the seeds of gymnosperms are naked, not protected by flowers. Flowering plants, or angiosperms, evolved to have vascular tissue, seeds, and flowers.",NA
