question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"In the human body, the blood enters the aorta of the circulatory system from the",NA,B,Left atrium,left ventricle,Right atrium,Right ventricle,NA,NA,NA,NA,"The correct answer is option 2: Left ventricle.<br/>The human circulatory system is responsible for delivering oxygen and nutrients to the body&#39;s tissues and removing waste products. The aorta is the largest artery in the body and carries oxygenated blood from the heart to the rest of the body.<br/><br/>To understand why option 2 is the correct answer, let&#39;s briefly review the flow of blood through the heart. Blood enters the heart through the right atrium from the body&#39;s tissues. It then flows into the right ventricle, which pumps it to the lungs for oxygenation. Oxygenated blood then returns to the heart and enters the left atrium. From the left atrium, blood passes into the left ventricle.<br/><br/>The left ventricle has the thickest muscular wall among all the heart chambers. This is because it is responsible for pumping oxygenated blood out of the heart and into the aorta, which will distribute the blood to the rest of the body. Therefore, the blood enters the aorta from the left ventricle.",NA
Which one of the following chambers of human heart receives the deoxygenated blood from the body?,NA,B,Left atrium,Right atrium,Left ventricle,Right ventricle,NA,NA,NA,NA,"The correct answer is option 2, Right Atrium. The human heart has four chambers: two atria and two ventricles. The atria are the upper chambers of the heart, and the ventricles are the lower chambers.<br/><br/>The right atrium receives deoxygenated blood from the body. This blood has already been used by the body&#39;s cells and is low in oxygen and high in carbon dioxide. It is then pumped into the right ventricle through the tricuspid valve.<br/>From the right ventricle, the deoxygenated blood is pumped into the pulmonary artery, which takes it to the lungs for oxygenation. In the lungs, carbon dioxide is released, and oxygen is absorbed into the blood.<br/>The oxygenated blood then returns to the heart through the pulmonary veins, entering the left atrium. From there, it is pumped into the left ventricle, which is responsible for pumping the oxygenated blood out to the rest of the body through the aorta.<br/>It is important to note that the left atrium, left ventricle, and right ventricle all receive oxygenated blood, while the right atrium receives deoxygenated blood.",NA
"In the human body, blood flows through a process of double circulation.<br/>Which one of the following statements is true in this regard ?",NA,A,Oxygenated blood reaches the left side of the heart from the lungs.,Blood in the left side of the heart is poor in oxygen and is brought to the right side of the heart.,Deoxygenated blood from the left side of the heart is brought to the lungs for oxygenation.,Oxygenated blood from the right side of the heart is sent around the body,NA,NA,NA,NA,"Option-1 is the correct statement. In the human body, blood flows through a process of double circulation, which means that it follows two separate paths: pulmonary circulation and systemic circulation.<br/><br/>In pulmonary circulation, deoxygenated blood from the right side of the heart is pumped to the lungs to get oxygenated. The oxygen-rich blood then returns to the left side of the heart. From there, the oxygenated blood is distributed throughout the body in systemic circulation.<br/><br/>Therefore, option-1 is correct because oxygenated blood does reach the left side of the heart from the lungs. In the lungs, carbon dioxide is exchanged for oxygen, and the blood becomes oxygenated. This oxygenated blood is then transported back to the left side of the heart through the pulmonary veins and is pumped out to the rest of the body through the systemic circulation.<br/><br/>Options 2, 3, and 4 are incorrect. Blood in the left side of the heart is oxygenated, not deoxygenated, so it is not brought to the right side of the heart. Deoxygenated blood from the body is brought to the right side of the heart, not from the left side.",NA
Which of the following pairs has open type of circulatory system?,NA,C,Earthworm and Leech,man and Whale,Cockroach and Silver,Tadpole larva and Fish,NA,NA,NA,NA,"The correct answer for the pair that has an open type of circulatory system is option 3: Cockroach and Silverfish.<br/>An open circulatory system is a type of circulatory system in which the blood is not contained in blood vessels but is instead pumped directly into body cavities, and it bathes the tissues and organs.<br/>Earthworm and leech, mentioned in option 1, have a closed circulatory system. A closed circulatory system is where blood is confined to vessels and circulates within them.<br/>Man and whale, mentioned in option 2, also have a closed circulatory system.<br/>Option 4 states Tadpole larva and fish, but both of them also have a closed circulatory system.<br/>Therefore, the correct answer is option 3: Cockroach and Silverfish. It is important to note that all other options have closed circulatory systems.",NA
Which of the following statements is correct ?,NA,C,All arteries carry oxygen rich blood,All veins carry deoxygenated blood,Pulmonary artery carries blood from heart to lungs,Pulmonary vein carries impure blood from heart to lungs,NA,NA,NA,NA,"Option 1: All arteries carry oxygen rich blood - INCORRECT<br/>- Arteries are the blood vessels that usually carry oxygen-rich blood from the heart to the tissues of the body.<br/>- However, exception to this is the pulmonary artery that carries deoxygenated blood.<br/><br/>Option 2: All veins carry deoxygenated blood - INCORRECT<br/>- Veins are responsible for carrying deoxygenated blood from the tissues to the heart.<br/>- Only the pulmonary vein is an exception to this.<br/><br/>Option 3: Pulmonary artery carries blood from heart to lungs - CORRECT<br/>- The pulmonary artery carries the deoxygenated blood from the heart to the lungs.<br/>- It is part of the pulmonary circulation in the human body.<br/><br/>Option 4: Pulmonary vein carries impure blood from heart to lungs - INCORRECT<br/>- The pulmonary vein carries the oxygenated blood from the lungs to the heart.<br/>- This is also a part of the pulmonary circulation.<br/><b>Hence, the correct statement is option 3.</b>",NA
Blood contains cells which help fight germs. These are the,NA,A,White blood cells,Red blood cells,Platelets,Plasma,NA,NA,NA,NA,"Blood contains cells that help fight germs. These are the White blood cells.<br/>-White blood cells are an important part of the immune system which helps in fighting infections by attacking bacteria, viruses, and germs that invade the body.<br/>White blood cells are also known as leukocytes.<br/>They help in protecting the body against both infectious diseases and foreign invaders.<br/>WBC are produced in the bone marrow.",NA
The blood vessels that carry blood from the heart to the various parts of the body are called ________.,NA,A,Arteries,Veins,Septum,Capillaries,NA,NA,NA,NA,"<b>Key Points:</b><br/>- The blood vessels that carry blood from the heart to the various parts of the body are called Arteries.<br/>- The main artery is the aorta, the principal high-pressure duct linked to the left ventricle of the heart.<br/>- The smaller branches of the arteries are called capillaries and arterioles.<br/>- Veins are vessels of the blood which carry blood to the heart.<br/>- The septum is the cartilage that divides the heart into right and left chambers, this prevents the mixing of blood.",NA
The blood coagulation factor IV is:,NA,B,Prothrombin,Calcium ions,Fibrinogen,Thromboplastin,NA,NA,NA,NA,<b>- Blood clotting or coagulation</b> is a process by which blood changes from liquid to gel-like mass to stop bleeding.<br/>- It is important for the body as it prevents excessive loss of blood from an injured part.<br/>- The mechanism of blood clotting involves 13 coagulation factors which remain in blood in an inactive state.<br/>- The coagulation factors get activated by other factors in a cascade mechanism when there is an injury.<br/><br/>Additional Information<br/>- Prothrombin - Factor II is synthesized in the liver in the presence of Vitamin K.<br/>- Fibrinogen - Factor I is synthesized by the liver and released into the blood plasma.<br/>- Thromboplastin - Tissue thromboplastin or factor III is released from the injured tissues and platelets on injury.,NA
The total volume of blood in a normal adult human being is?,NA,A,5-6 litres,3-4 litres,8-10 litres,None of the above,NA,NA,NA,NA,"The total volume of blood in a normal adult human being is 5-6 litres.<br/><br/><b>Blood:</b><br/>-Blood is one of the most important components of life.<br/>- Almost any animal that possesses a circulatory system has blood.<br/>- From an evolutionary perspective, blood was speculated to have risen from a type of cell that was responsible for phagocytosis and nutrition.<br/>- Billions of years later, blood and the circulatory system have drastically helped the evolution of more complex lifeforms.<br/>- There are many cellular structures in the composition of blood.<br/>- When a sample of blood is spun in a centrifuge machine, they separate into the following constituents: Plasma, buffy coat, and erythrocytes.",NA
Which blood group has no antibody?,NA,B,Type O,Type AB,Type A,Type B,NA,NA,NA,NA,"Key Points:<br/>- Type AB blood is rare it&#39;s found in less than 5% of the population.<br/>- And it is the <b>newest</b> of the blood types.<br/>- Until ten or twelve centuries ago, there was little to no Type AB blood type.<br/>- That is because type AB results from the intermingling of Type A with Type B.<br/>- Type AB has both A and B antigens, but no antibodies.<br/><br/>Additional Information<br/>- In the years 1900 -1902, K. Landsteiner divided human blood into four groups : A, B, AB, and O.<br/>- Rh factor is a type of blood antigen discovered in 1940 by Landsteiner and A.K.s. was done by Veneer.<br/>- Each person has a blood type (O, A, B, or AB). Everyone also has an Rh factor (positive or negative).",https://abhigyanacademy.com/upload/gallery/1724839967.png
Which of the following pairs has a double circulation pathway?,NA,B,Amphibians and Mammals,Birds and Mammals,Reptiles and Mammals,Fishes and Birds,NA,NA,NA,NA,"Birds and Mammals have a double circulatory pathway.<br/><br/><b>Key Points</b><br/>- No, mixing of oxygenated and deoxygenated blood in this pathway.<br/>- The ventricles pump it out without mixing which means two separate circulatory pathways are present in these organisms.<br/>- Hence, these animals have double circulation.<br/>- Fishes have single circulatory pathways of circulation which is why known as a single circulation system.<br/>- In this system oxygenated blood is supplied to the body from where deoxygenated blood is returned to the heart. <br/>- In Amphibian and reptiles has incomplete circulation.<br/>- Here oxygenated and deoxygenated blood gets to mix up within the single ventricle.",NA
Which one of the following is NOT true of WBCs?,NA,A,Size : 18-25 ?m,They act as <q>soldiers</q> and eat up the germs,Nucleus - Nucleated,Shape - Irregular shape,NA,NA,NA,NA,"The correct answer is Size - 18-25 µm.<br/><br/><b>Key Points</b><br/>Cells are the basic, fundamental, structural, and functional unit of life responsible for all life&#39;s processes, hence they are called Building blocks of life.<br/><br/>On the basis of the count, cells are of three types:- 1. RBCs 2. WBCs 3. Platelets. <br/>- RBCs are called red blood cells and help in oxygen transport from the lungs to all body organs and tissues. <br/>- WBCs are called white blood cells and help to fight infection and eat up all germs.<br/>- Platelets help in blood clotting.",NA
Which vessels carry CO<sub>2</sub> rich blood from all parts of the body back to the heart?,NA,B,Arteries,Veins,Capillaries,Arterioles,NA,NA,NA,NA,<br/>- The blood vessels carrying the blood from the body towards the heart is called vein.<br/>- Veins carry CO<sub>2</sub> rich blood from all parts of the body back to the heart.<br/>- Veins carry impure blood.<br/>- The pulmonary vein is the only vein that carries pure blood.<br/>- The pulmonary vein carries the blood from the lungs to the left auricle.<br/><br/><b>Additional Information</b><br/>- Arteries carry O<sub>2</sub> rich blood from the heart to parts of the body.<br/>- Arteries carry pure blood.<br/>- The pulmonary artery is the only artery that carries impure blood.<br/>- The blood vessels that connect arteries and veins are called Capillaries.<br/>- Arterioles are the branches of arteries.,NA
Human heart is covered by a double membrane sac called ________.,NA,D,Plura,Kura,Epicardium,Pericardium,NA,NA,NA,NA,"The correct answer is Option 4 i.e. <b>Pericardium</b><br/>- <u>The pericardium</u> is the outermost covering of the Heart.<br/>- It is a membrane enclosing the heart, consisting of an outer fibrous layer and an inner double layer of serous membrane.<br/>- The Heart is a muscular organ in most animals, which pumps blood through the blood vessels of the circulatory system.<br/>- The Liver helps in digesting the fat molecules.<br/>- The Kidney helps in removing the waste and toxins of the body by means of balancing the fluids.<br/>- Bones help in supporting the body structurally and protect our vital organs.",https://abhigyanacademy.com/upload/gallery/1724842243.png
Which is the largest artery in the body?,NA,A,Aorta,Pulmonary Artery,Coronary arteries,Pulmonary veins,NA,NA,NA,NA,The Aorta is the largest artery in the body.<br/>The Aorta begins at the top of the left Ventricle which is the Heart&#39;s muscular pumping chamber.<br/>The Heart pumps blood from the left ventricle into the Aorta through the Aortic valve.<br/><br/><b>Additional Information</b><br/>- Coronary arteries carry oxygenated blood to the muscles of the heart.<br/>- Any type of hindrance in Coronary arteries causes a heart attack.<br/>- The Pulmonary artery carries deoxygenated blood from the right ventricle to the lungs.<br/>- The pulmonary artery contains impure blood.<br/>- Pulmonary veins are responsible for carrying oxygenated blood from the lungs back to the left atrium of the heart.,NA
"In blood, platelets are required for:",NA,C,Transporting oxygen,Transporting carbon dioxide,Initiating blood clotting,Initiating degradation of urea,NA,NA,NA,NA,"<b>Blood Platelets</b><br/>- Platelets are tiny cell fragments that circulate through our bloodstream.<br/>- Their role is to help stop bleeding when there is an injury to our body by initiating blood clotting. Hence option 3 is correct.<br/>- Any damage within the blood vessels sends signals to the platelets.<br/>- The platelets rush to the location of the injury and form clots to repair the damage.<br/>- They are formed in the bone marrow and are neither smooth nor round, but are shaped more like paper that has been ripped into tiny bits.",NA
Which of the following are NOT a part of the circulatory system?,NA,B,Capillaries,Villi,Veins,Arteries,NA,NA,NA,NA,"Correct answer is B. Villi.<br/>-Capillaries are called very tiny blood vessels.<br/>- The Capillaries expand like a mesh in the whole body.<br/>- Through these capillaries, blood is transported to all parts of the whole body.<br/>- The arteries are the blood vessels that carry blood from the heart.<br/>- All arteries carry oxygen-rich blood, except for pulmonary and avascular arteries.<br/>- A tube that carries blood from the body to the heart and returns back is called a <q>vein</q>.<br/>- <q>Villy</q> is a structure found in the intestine that helps to absorb nutrients from the food eaten.",NA
Which of the following parts of blood carry out the function of body defence ?,NA,B,Red blood cells,White blood cells,Platelets,Haemoglobins,NA,NA,NA,NA,"<b>White blood cells are the part of blood that carry out the function of body defense.</b><br/>1. Red blood cells (option 1) primarily carry oxygen to the cells and remove carbon dioxide. They are not involved in the body&#39;s defense against pathogens or foreign substances.<br/>2. White blood cells (option 2) are responsible for protecting the body against infections and diseases. They are the main players in the immune system and help to identify and destroy foreign invaders, such as bacteria, viruses, and parasites. There are different types of white blood cells, each with specific roles in the defense mechanism.<br/>3. Platelets (option 3) are responsible for blood clotting. When there is an injury and blood vessels are damaged, platelets help to form a clot to stop bleeding. While they do contribute to the overall functioning of the immune system, they are not the primary defense mechanism against pathogens.<br/>4. Hemoglobin (option 4) is a protein found in red blood cells that helps carry oxygen to the cells. It does not have a direct role in body defense.<br/>In conclusion, white blood cells are the specific part of the blood that carries out the function of body defense.",NA
The scientist who explained about blood circulation for the first time was,NA,B,Antonyvan Leewen Hock,William Harvey,gregor mendel,Ronald Ross,NA,NA,NA,NA,"The correct answer is option 2: William Harvey.<br/>He was the scientist who first explained about blood circulation. William Harvey, an English physician, made this groundbreaking discovery in the 17th century. Prior to his research, people believed that blood was consumed by the body and then produced again. However, Harvey`s studies challenged this belief and provided evidence for the circulation of blood through the heart and body. He conducted experiments on animals and observed the movement and flow of blood. Harvey`s work revolutionized the understanding of human physiology and laid the foundation for modern medicine. He is recognized as one of the most important figures in the history of biology and medicine.",NA
Match List I with List II and select the correct answer using the codes given below the lists,https://abhigyanacademy.com/upload/gallery/1724913534.png,A,A B C D : 1 4 2 3,A B C D : 2 3 5 4,A B C D : 1 3 2 4,A B C D : 2 4 5 3,NA,NA,NA,NA,"The correct matches are:<br/>A. Circulation of blood - William Harvey<br/>B. Stethoscope - Rene Laennec<br/>C. X-ray - Wilhelm C. Roentgen<br/>D. Electro-cardiogram (ECG) - Willem Einthoven<br/><br/>Therefore, the correct answer is option 1: A - 1, B - 4, C - 2, D - 3.",NA
"When a child is born, what happens to its blood circulation ?",NA,D,Its blood flows for the first time,Its blood reverses its flow through the heart,Its blood ceases to pass from one atrium to the other,Its blood carries wastes for the first time,NA,NA,NA,NA,"When a child is born, its blood circulation undergoes several changes. <br/>Option 1 is incorrect because the bay&#39;s blood does not start flowing for the first time at birth.<br/>Option 2 is also incorrect because the flow of blood through the heart does not reverse after birth. <br/>Option 3 is incorrect as well because the blood continues to pass from one atrium to the other through the forearm ovale, a small opening between the two atria.<br/><br/>The correct answer is Option 4. At birth, the baby&#39;s blood carries waste products for the first time. During fetal development, the placenta provides oxygen and nutrients to the fetus and removes waste products. However, after birth, the baby&#39;s lungs take over the role of oxygenation, and the blood begins to carry wate products, such as carbon dioxide, away from the cells.",NA
