question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following gases is released mostly from landfills in urban areas?,NA,C,Nitrogen,Hydrogen,Methane,Oxygen,NA,NA,NA,NA,"<b>The correct answer is option 3 - Methane.<br/> Methane is the gas that is primarily released from landfills in urban areas.</b><br/><br/>To understand why methane is released from landfills, we need to consider the process of decomposition. When organic waste, such as food scraps and yard waste, is thrown into a landfill, it undergoes anaerobic decomposition. Anaerobic decomposition occurs in the absence of oxygen, and it produces methane gas as a byproduct.<br/>Methane is a greenhouse gas that contributes to global warming and climate change. It has a much higher global warming potential compared to carbon dioxide, making it a significant concern for environmental impact.<br/>The other options - Nitrogen, Hydrogen, and Oxygen - are not released primarily from landfills. Nitrogen is a component of the Earth&#39;s atmosphere and is not specifically associated with landfills. Hydrogen is a highly flammable gas and is not commonly released from landfills. Oxygen is also not released in significant amounts from landfills, as the decomposition process occurs in an oxygen-deprived environment.",NA
Which one of the following is most sensitive to environmental change?,NA,C,Amphibian,Reptile,Mammal,Insect,NA,NA,NA,NA,"<b>The correct answer is option 3: Mammal.<br/> This is because mammals have a higher sensitivity to environmental changes compared to other options listed.</b><br/><br/>Amphibians (option 1) are also sensitive to environmental changes, but they have the ability to adapt to a certain extent. They are often used as indicator species in environmental monitoring programs due to their sensitivity to pollution and habitat loss. However, mammals have a more versatile ability to adapt to various environmental conditions.<br/>Reptiles (option 2) have a lower sensitivity to environmental changes compared to mammals. They are ectothermic, which means their body temperature is mainly regulated by the environment. While they can adapt to different temperatures, they generally have a more limited ability to cope with drastic environmental changes.<br/>Insects (option 4) are highly adaptable and can survive in a wide range of environments. They have evolved to have various physiological and behavioral adaptations, allowing them to withstand environmental changes to some extent. However, mammals have a higher sensitivity to changes in their surroundings.<br/><b>In summary, while all options listed have some level of sensitivity to environmental changes, mammals (option 3) are generally considered the most sensitive due to their ability to adapt to a wide range of conditions.</b>",NA
Which one of the following is the largest source of electricity in India?,NA,C,Hydropower plants,Nuclear power plants,Thermal power plants,Wind energy,NA,NA,NA,NA,"<b>The correct answer is option 3: Thermal power plants.</b><br/>Thermal power plants are the largest source of electricity in India. These plants generate electricity by using coal, oil, or natural gas to produce steam that drives turbines and generates electricity.<br/><br/>Option 1: Hydropower plants are a source of electricity in India, but they are not the largest source. Hydropower plants generate electricity by harnessing the energy of flowing or falling water and converting it into electricity. Although India has several hydropower plants, they do not contribute as much electricity as thermal power plants.<br/>Option 2: Nuclear power plants are another source of electricity, but they are not the largest source in India. Nuclear power plants generate electricity by harnessing the energy released from nuclear reactions. While India does have nuclear power plants, their contribution to electricity generation is not as significant as that of thermal power plants.<br/>Option 4: Wind energy is also a source of electricity, but it is not the largest source in India. Wind energy is generated by harnessing the power of wind turbines. India has been increasingly investing in wind energy, but it does not produce as much electricity as thermal power plants.<br/><b>In conclusion, thermal power plants are the largest source of electricity in India, making option 3</b>",NA
The HIV virus weakens the immunity of a person because it destroys,NA,D,mast cells,platelets,erythrocytes,lymphocytes,NA,NA,NA,NA,"<b>The correct answer is option 4, lymphocytes.<br/> The human immunodeficiency virus (HIV) attacks and destroys a specific type of white blood cell called lymphocytes, particularly a subcategory known as CD4+ T cells. These lymphocytes are a crucial part of the immune system and play a significant role in defending the body against infections and diseases.</b><br/><br/>When HIV infects and destroys these lymphocytes, it weakens the immune system, making it harder for the body to fight off infections and diseases. This progressive destruction of CD4+ T cells eventually leads to acquired immunodeficiency syndrome (AIDS), a condition in which the immune system is severely compromised.<br/>Options 1, 2, and 3 are not correct. Mast cells are involved in allergic reactions and inflammatory responses, platelets are responsible for blood clotting, and erythrocytes are red blood cells involved in oxygen transportation. While HIV may have indirect effects on these cells, it primarily targets and destroys lymphocytes.",NA
"Which one of the following air pollutants combines with the haemoglobin of human blood and reduces its oxygen- carrying capacity, leading to suffocation and may cause even death?",NA,C,Chlorofluorocarbon,Fly ash,Carbon monoxide,Sulphur dioxide,NA,NA,NA,NA,"Option 1: Chlorofluorocarbon (CFC) is a type of air pollutant that is primarily responsible for ozone depletion. It does not directly affect the oxygen-carrying capacity of hemoglobin in human blood, leading to suffocation or death. Therefore, option 1 is not the correct answer.<br/>Option 2: Fly ash is a fine powder that is produced as a byproduct of burning coal in power plants. While it is an air pollutant and can have various negative health effects, it does not directly combine with hemoglobin in human blood. It does not lead to suffocation or reduced oxygen-carrying capacity. Hence, option 2 is not the correct answer.<br/>Option 3: Carbon monoxide (CO) is the correct answer. Carbon monoxide is a poisonous gas that is produced by the incomplete combustion of fossil fuels such as gasoline, coal, and wood. When inhaled, it combines with hemoglobin in the blood, forming carboxyhemoglobin. This reduces the blood`s ability to transport oxygen to the body&#39;s tissues, leading to suffocation and potentially fatal consequences. Therefore, option 3 is the correct answer.<br/><br/><b>Option 4: Sulphur dioxide (SO2) is a harmful gas that is primarily</b>",NA
Which one of the following is not an allotrope of carbon?,NA,A,Coal,Diamond,Graphite,Graphene,NA,NA,NA,NA,"<b>The correct answer is option 1: Coal.<br/> Coal is not an allotrope of carbon. An allotrope is a different form or structure of an element, in this case, carbon. Allotropes have different physical and chemical properties.</b><br/><br/>Option 2: Diamond is an allotrope of carbon. It is a naturally occurring form of carbon that is known for its hardness and clarity. It forms under high temperature and pressure and is made up of a three-dimensional arrangement of carbon atoms.<br/>Option 3: Graphite is another allotrope of carbon. It is a soft, black, and slippery substance. It consists of layers of carbon atoms arranged in a hexagonal lattice structure.<br/>Option 4: Graphene is also an allotrope of carbon. It is a single layer of graphite and is one of the thinnest and strongest materials known. Graphene has unique electronic properties and is being studied for a wide range of applications.<br/><b>In summary, while coal is made up of carbon, it is not considered an allotrope of carbon. Allotropes of carbon include diamond, graphite, and graphene.</b>",NA
"In paper manufacturing, degumming of the raw material is done using",NA,C,sulphuric acid,bleaching powder,caustic soda,nitric acid,NA,NA,NA,NA,"<b>The correct option for degumming of raw material in paper manufacturing is option 3: caustic soda.</b><br/><br/>Caustic soda, also known as sodium hydroxide, is commonly used in the paper industry for various purposes, including the degumming process. Degumming refers to the removal of gums, waxes, and other impurities from the raw materials used in paper production, such as wood pulp or other plant fibers.<br/>Sulphuric acid (option 1) is not typically used for degumming in the paper industry. It is more commonly used in processes such as bleaching and pH adjustment.<br/>Bleaching powder (option 2) is primarily used for bleaching purposes in paper manufacturing, rather than degumming.<br/>Nitric acid (option 4) also has various uses in the paper industry, but not specifically for degumming. It is commonly used in processes such as nitration and oxidation.<br/><b>Therefore, the correct answer is option 3: caustic soda, as it is commonly used for degumming in the paper manufacturing process.</b>",NA
Dolomite powder is applied in some agricultural lands. The purpose of applying it is to,NA,A,increase the pH of the soil,lower the pH of the soil,increase the phosphorus content of the soil,increase the nitrogen content of the soil,NA,NA,NA,NA,"Dolomite powder is often applied to agricultural lands to increase the pH of the soil. pH is a measurement of the acidity or alkalinity of the soil, and it is an important factor that affects plant growth.<br/>Option 1: Increase the pH of the soil - This is the correct answer. Dolomite powder is a natural source of calcium and magnesium, which can help to neutralize acidic soil and increase its pH. This is beneficial because most plants prefer a slightly alkaline soil pH for optimal growth. By increasing the pH, dolomite powder can improve the availability of nutrients to plants and enhance their overall health and productivity.<br/>Option 2: Lower the pH of the soil - This is incorrect. Dolomite powder is used to raise the pH of acidic soil, not lower it.<br/>Option 3: Increase the phosphorus content of the soil - This is incorrect. Dolomite powder does not contain phosphorus, so it does not directly increase the phosphorus content of the soil.<br/>Option 4: Increase the nitrogen content of the soil - This is incorrect. Dolomite powder does not contain nitrogen, so it does not directly increase the nitrogen content of the soil.<br/><br/><b>In conclusion, dolomite powder is applied in agricultural lands to increase the pH of the soil.</b> ",NA
Deficiency of fluoride leads to which one of the following health problems?,NA,A,Tooth caries,Mottling of tooth,Bending of bones,Stiffening of joints,NA,NA,NA,NA,"<b>The correct answer is option 1: Tooth caries. <br/>Deficiency of fluoride, a mineral found in water and certain foods, can lead to tooth decay or tooth caries. Fluoride plays a crucial role in preventing tooth decay by strengthening the tooth enamel, which is the outer protective layer of the teeth. When there is a deficiency of fluoride, the enamel becomes weaker and more susceptible to the acids produced by bacteria in the mouth. As a result, cavities or tooth decay can occur.</b><br/><br/>Option 2, mottling of tooth, is not a health problem caused by fluoride deficiency but rather an excessive intake of fluoride, known as dental fluorosis. Dental fluorosis can cause white or brown spots on the teeth but does not lead to tooth caries.<br/>Options 3 and 4, bending of bones and stiffening of joints, are not directly related to fluoride deficiency. These health problems are more commonly associated with other conditions such as osteoporosis or arthritis.<br/><b>Therefore, the correct health problem associated with fluoride deficiency is tooth caries.</b>",NA
"According to Census 2011, which one of the following is the correct sequence of States in decreasing order of their total size of population?",NA,A,"Kerala, Jharkhand, Assam, Punjab","Jharkhand, Kerala, Assam, Punjab","Kerala, Jharkhand, Punjab, Assam","Jharkhand, Kerala, Punjab, Assam",NA,NA,NA,NA,"<b>According to the Census 2011 data, the correct sequence of states in decreasing order of their total population size is option 1, which is Kerala, Jharkhand, Assam, Punjab.</b><br/>To understand why this sequence is correct,<br/><br/> let&#39;s analyze each option:Option 1: Kerala, Jharkhand, Assam, Punjab - This is the correct answer. Kerala has the highest population among these states, followed by Jharkhand, Assam, and Punjab.<br/>Option 2: Jharkhand, Kerala, Assam, Punjab - This option is incorrect because Jharkhand does not have a larger population than Kerala.<br/>Option 3: Kerala, Jharkhand, Punjab, Assam - This option is incorrect because Punjab has a larger population than Assam.<br/>Option 4: Jharkhand, Kerala, Punjab, Assam - This option is incorrect because Punjab has a larger population than Jharkhand.<br/><b>Therefore, the correct answer is option 1: Kerala, Jharkhand, Assam, Punjab.</b>",NA
