question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which among the following is not correct about primary and secondary Meristematic tissues?,NA,D,Primary meristem rises at the early stage of a plant and comprises of apical and intercalary meristem,Secondary meristem rises at the later stage of a plant and comprises of later meristem,Apical meristem is present at tips of root and shoot and also helps in the increase of length,Intercalary meristem helps in the increase of girth in plants,NA,NA,NA,NA,Primary meristem rises at the early stage of a plant and comprises of apical and intercalary meristem.<br/> Secondary meristem rises at the later stage of a plant and comprises of later meristem. <br/>Later meristem helps in the increase of girth in plants.,NA
Which among the following is not correct about permanent tissues?,NA,D,Permanent cells are formed from the meristem tissues that gradually lose their ability to divide and perform few other specific functions,Process by which meristem tissues gradually change to permanent tissues is called Differentiation,Permanent tissues are classified into simple and complex permanent tissues,Simple permanent tissues and complex permanent tissues are classified based on their intercellular gaps,NA,NA,NA,NA,Permanent cells are formed from the meristem tissues that gradually lose their ability to divide and perform few other specific functions. Process by which meristem tissues gradually change to permanent tissues is called Differentiation.<br/>Permanent tissues are classified into simple and complex permanent tissues. Simple permanent tissues and complex permanent tissues are classified based on their similarity in structure,NA
Which among the following is incorrect about Parenchyma?,NA,C,"The packing tissues in plants that stores food, nutrients and water are called Parenchyma",Parenchyma with chlorophyll is called chlorenchyma and parenchyma with air is called aerenchyma,The intercellular gaps in Parenchyma are negligible,Aerenchyma is mostly present in aquatic plants and chlorenchyma is present in leaves,NA,NA,NA,NA,"Explanation: <br/>The packing tissues in plants that stores food, nutrients and water are called Parenchyma.<br/>Parenchyma with chlorophyll is called chlorenchyma and parenchyma with air is called aerenchyma.<br/>The intercellular gaps in Parenchyma are large.<br/>Aerenchyma is mostly present in aquatic plants and chlorenchyma is present in leaves.",NA
Which among the following statements is incorrect about collenchyma?,NA,D,These are the tissue responsible for flexibility in plants and provides support and strength for the plants,They have less intercellular spaces in between them,They allow bending of stems and leaves without breaking,Their cell walls are regularly thickened,NA,NA,NA,NA,Collenchyma are the tissues responsible for flexibility in plants and provides support and strength for the plants. They have less intercellular spaces in between them. They allow bending of stems and leaves without breaking. Their cell walls are irregularly thickened.,NA
Which among the following is incorrect about Sclerenchyma?,NA,A,These are the living tissues responsible for stiffness in plants,The husk of a coconut is made of Sclerenchymatous tissue,"They are of two kinds, namely, sclereids and fibers", Simple pits are present in thickened cell walls of sclerenchyma,NA,NA,NA,NA,"Sclerenchymatous cells are the dead cells responsible for stiffness in plants. The husk of a coconut is made of Sclerenchymatous tissue. They are of two kinds, namely, sclereids and fibers. Simple pits are present in thickened cell walls of sclerenchyma.",NA
Which among the following are incorrect about Xylem?,NA,D,Complex permanent tissues are made of many types of cells and comprises of Xylem and Phloem,Xylem and Phloem are together termed as vascular bundles,Xylem contains mostly of dead cells and helps in conduction of water and minerals from roots to the stem and leaves,Tracheids are the living cells that conduct water and minerals vertically,NA,NA,NA,NA,Complex permanent tissues are made of many types of cells and comprises of Xylem and Phloem.<br/>Complex permanent tissues are made of many types of cells and comprises of Xylem and Phloem.<br/>Xylem contains mostly of dead cells and helps in conduction of water and minerals from roots to the stem and leaves.<br/>Tracheids are the dead cells that conduct water and minerals vertically.,NA
Which among the following is incorrect about different cells in Xylem?,NA,D,Tracheids are tubular structures made of dead cells without protoplasm,Xylem vessels have lignified walls without protoplasm,Xylem parenchymatic tissues are made of thin-walled living cells and conduct water sideways,Xylem fibers are perforated and help in conduction of water to branches,NA,NA,NA,NA,Tracheids are tubular structures made of dead cells without protoplasm. Xylem vessels have lignified walls without protoplasm.<br/>Xylem parenchymatic tissues are made of thin-walled living cells and conduct water sideways.<br/>Xylem vessels are perforated and help in conduction of water to branches.,NA
Which among the following is incorrect about Stomata?,NA,A,The closing and opening of stomata is due to diffusion,"the factors affecting stomatal movement are light, CO2, O2, availability of water, potassium levels and temperature",Some plants like grass have dumb-bell shaped guard cells,The cells that are just beside the guard cells are called subsidiary cells,NA,NA,NA,NA,"The closing and opening of stomata is due to osmosis.<br/>The factors affecting stomatal movement are light, CO2, O2, availability of water, potassium levels and temperature. <br/>Some plants like grass have dumb-belled shaped guard cells. <br/>Some plants like grass have dumb-belled shaped guard cells. <br/>The cells that are just beside the guard cells are called subsidiary cells.",NA
Which among the following is incorrect about different cells in Phloem?,NA,D,"Sieve tubes are tubular cells with perforated walls with large vacuoles, peripheral cytoplasm and without nucleus",Companion cells are specialized parenchyma cells that help in regulation of metabolic activities,Phloem parenchyma cells are elongated cylindrical cells that support sieve tubes,Phloem fibers are living cells with extremely thick cell walls and provide mechanical strength,NA,NA,NA,NA,"All three statements are correct except Statement D, which states that Phloem fibers are living cells, instead the correct statement would be: <br/> Phloem fibers are dead cells with extremely thick cell walls and provide mechanical strength.<br/><br/>Sieve tubes are tubular cells with perforated walls with large vacuoles, peripheral cytoplasm and without nucleus. <br/>Companion cells are specialized parenchyma cells that help in regulation of metabolic activities. <br/>Phloem parenchyma cells are elongated cylindrical cells that support sieve tubes.",NA
Which among the following is incorrect about epidermal tissue system?,NA,D,"Epidermal tissue system provides protection and stops too much loss of water and comprises of epidermis, stomata and epidermal appendages",Single continuous layer of compactly arranged parenchymatous cells that provides complete protection are present in epidermis,Cuticle provides water proof nature for leaves and stems and stomata regulates exchange of air and water,Stomata are surrounded by a pair of kidney-shaped cells called guard cells and the inner walls of stomata are comparatively thinner than that of outer walls.,NA,NA,NA,NA,Answer is D.<br/>The correct statement would be: Stomata are surrounded by a pair of kidney-shaped cells called guard cells and the inner walls of stomata are comparatively <b>thicker</b> than that of outer walls,NA
