question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
How does the Sun rotate?,NA,A,Differentially,Clockwise,Counter clockwise,"Faster at the pole, slower at the equator",NA,NA,NA,NA,"The Sun rotates differentially, which means that different parts of the Sun rotate at different speeds. This is because the Sun is not a solid object, but rather a ball of gas. The equator of the Sun rotates faster than the poles, causing a differential rotation. This differential rotation is due to the fact that the Sun is not a rigid body and its rotation is influenced by the movement of the gases and plasma within it",NA
The light we see from the Sun comes from which layer?,NA,C,Ionosphere,Troposphere,Photosphere,Corona,NA,NA,NA,NA,"The correct answer is photosphere. The photosphere is the outermost layer of the Sun's surface that emits visible light. It is the layer where most of the Sun's energy is generated through nuclear fusion. The other layers mentioned in the options, such as the ionosphere, troposphere, and corona, are not responsible for the visible light we see from the Sun.",NA
The temperature of the layer of gas that produces the visible light of the Sun is:,NA,B,15 million K," 5,800 K","90,000 K","12,540 K",NA,NA,NA,NA,"The correct answer is 5,800 K. This is the temperature of the layer of gas in the Sun that produces the visible light. The Sun's core is much hotter, but the visible light is emitted from the photosphere, which has a temperature of approximately 5,800 K.",NA
A loop of gas following the magnetic field lines between sunspots&#39; poles is:,NA,D,A coronal hole,A solar flare,A ray,A prominence,NA,NA,NA,NA,"A prominence is a loop of gas that follows the magnetic field lines between sunspots' poles. It is a visible feature on the Sun's surface, often appearing as a bright arc or loop extending outwards from the Sun's surface. Prominences are formed by the interaction of the Sun's magnetic field and the plasma (ionized gas) in the Sun's atmosphere. They can last for days or even weeks and can release large amounts of energy in the form of solar flares or coronal mass ejections.",NA
How many planet Earths could fit inside the Sun?,NA,C,1000,Close to a billion,A little over a million,2000,NA,NA,NA,NA,"The Sun is significantly larger than the Earth, with a diameter about 109 times greater. Therefore, if we calculate the volume of the Sun and divide it by the volume of the Earth, we can estimate how many Earths could fit inside the Sun. The volume of a sphere is calculated using the formula (4/3)?r^3, where r is the radius. Based on this calculation, it is estimated that a little over a million Earths could fit inside the Sun.",NA
The density of the Sun is most similar to which object?,NA,A,Jupiter,Earth,Haley's Comet,Mercury,NA,NA,NA,NA,"The density of the Sun is most similar to Jupiter because both Jupiter and the Sun are composed mostly of hydrogen and helium gases. Jupiter is a gas giant, just like the Sun, and its composition is similar to that of a star. Both objects have a relatively low density due to their gaseous nature, making Jupiter the most similar in terms of density to the Sun.",NA
Energy generated by nuclear fusion occurs where?,NA,B,Radiation Zone,Core,Chromosphere,Corona,NA,NA,NA,NA,"Nuclear fusion, the process that powers stars, occurs in the core. The core is the central region of a star where the temperature and pressure are extremely high. In this intense environment, hydrogen atoms fuse together to form helium, releasing a tremendous amount of energy in the process. The radiation zone, chromosphere, and corona are other regions of a star, but they do not experience the same conditions necessary for nuclear fusion to occur.",NA
Which layer is energy transported by electromagnetic radiation?,NA,B,Core,Radiation Zone,Photosphere,Corona,NA,NA,NA,NA,"Electromagnetic radiation is transported by the radiation zone. The radiation zone is the layer of the Sun where energy is transferred through the movement of photons. In this layer, photons are constantly absorbed and re-emitted by atoms, gradually making their way towards the surface of the Sun. This process takes millions of years, as the photons bounce around and interact with the particles in the radiation zone. Therefore, the radiation zone is responsible for the transport of energy through electromagnetic radiation.",NA
What happens in the photosphere?,NA,A,Electromagnetic radiation can escape,Nuclear Fusion,Nuclear Fission,Energy carried by convection,NA,NA,NA,NA,"In the photosphere, which is the outermost layer of the Sun's surface, electromagnetic radiation can escape. This is because the photosphere is the layer where the Sun's energy is emitted in the form of light and other electromagnetic waves. The high temperature and density of the photosphere allow for the continuous release of electromagnetic radiation, which includes visible light that we can see. This radiation is produced by the nuclear fusion reactions happening in the Sun's core and is able to escape into space from the photosphere.",NA
Cool lower atmosphere:,NA,D,Solarsphere,Borosphere,Cramsphere,Chromosphere,NA,NA,NA,NA,"The term ""chromosphere"" refers to the cool lower atmosphere of the sun. The other options, solarsphere, borosphere, and crasmphere, are not valid scientific terms and do not describe the cool lower atmosphere of the sun. Therefore, the correct answer is chromosphere.",NA
