question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one among the following statements regarding the social and religious reform ideas of Raja Rammohan Roy is not correct?,NA,D,His efforts lead to the formation of the Brahmo Samaj in 1828.,He considered different religions as embodiments of this universal theism,His Vedantic monism was strengthened after 1815 since an exposure to Christian Unitarianism,He paid attention exclusively on the problems and issues of the emerging middle class of India,NA,NA,NA,NA,"Option 1: This statement is correct. Raja Rammohan Roy&#39;s efforts did indeed lead to the formation of the Brahmo Samaj in 1828. The Brahmo Samaj was a socio-religious reform movement that aimed to establish a monotheistic Hindu society, free from idol worship and other social evils.<br/><br/>Option 2: This statement is correct. Raja Rammohan Roy believed in the concept of universal theism and considered different religions as embodiments of this universal theism. He emphasized the unity of all religions and sought to promote a rational understanding of religion.<br/><br/>Option 3: This statement is correct. Raja Rammohan Roy&#39;s Vedantic monism, which emphasized the philosophical oneness of all religions, was strengthened after 1815 due to his exposure to Christian Unitarianism. Roy&#39;s interactions with Christian Unitarians in England influenced his ideas and further shaped his approach to religious reform.<br/><br/>Option 4: This statement is not correct. Raja Rammohan Roy&#39;s focus was not exclusively on the problems and issues of the emerging middle class of India. He was a social reformer who tackled various issues such as sati, the caste system, women&#39;s rights, and education reforms. His efforts aimed to bring about social and religious reforms.",NA
Which of the following was/were founded by Raja Ram Mohan Roy?<br/>1. Atmiya Sabha<br/>2. Brahmo Samaj<br/>3. Prarthana Samaj<br/>4. Arya Samaj<br/>Select the correct answer using the code given below.,NA,C,"1, 2 and 3",2 only,1 and 2 only,"1, 3 and 4",NA,NA,NA,NA,"The correct answer is option 3 - 1 and 2 only.<br/>Raja Ram Mohan Roy was a prominent Indian social reformer during the early 19th century. He played a key role in the Bengal Renaissance and worked towards the upliftment of the society.<br/>The Atmiya Sabha, also known as the Friendly Society, was founded by Raja Ram Mohan Roy in 1814. It was an organization aimed at promoting social and intellectual interaction among its members.<br/>The Brahmo Samaj was another major organization founded by Raja Ram Mohan Roy in 1828. It aimed to reform Hindu society by advocating for monotheism, equality for women, and the eradication of social evils such as caste discrimination and child marriage.<br/><br/>Prarthana Samaj, founded by Atmaram Pandurang in Bombay (now Mumbai) in 1867, was inspired by the ideals of Raja Ram Mohan Roy and the Brahmo Samaj. It focused on promoting education, women&#39;s rights, and social reform.<br/>Arya Samaj, on the other hand, was founded by Swami Dayanand Saraswati in 1875, almost 100 years after the time of Raja Ram Mohan Roy.The mission of the Arya Samaj is to eradicate Poverty or Indigence (Abhav), Injustice (Anayay), and Ignorance (Agyan) from this earth.",NA
Which among the following statements with regard to Raja Rammohan Roy are correct?<br/>I. He started the Atmiya Sabha <br/>II. He wrote the Gift of Monotheist <br/>III. He published the Precepts of Jesus <br/>IV. He founded the Brahmo Sabha <br/>Select the correct answer using the code given below:,NA,D,"II, III and IV only","I, II and III only","I, III and IV only","I, II, III and IV",NA,NA,NA,NA,"The correct answer is option D: I, II, III and IV. <br/><br/>Below is the explanation to each statement to understand why it is correct or incorrect:<br/><u>I. Raja Rammohan Roy started the Atmiya Sabha</u> - This statement is correct. Raja Rammohan Roy did start the Atmiya Sabha, which was a socio-religious reform organization, in 1814.<br/><br/>II. Raja Rammohan Roy wrote the Gift of Monotheist - This statement is correct. Raja Rammohan Roy wrote the Gift of Monotheist. While in Murshidabad, he wrote <q>A Gift to Monotheists</q> (Tulfat-ul-Muwahhidin) in Persian in 1804. Then in 1809, Raja Ram Mohan Roy wrote <q>Gift to Monotheists</q> and translated into Bengali in which he put forward the idea that people must worship a single God.<br/><br/>III. Raja Rammohan Roy published the Precepts of Jesus - This statement is correct. Raja Rammohan Roy translated and published the Precepts of Jesus in 1820 to promote social and religious reforms.<br/><br/>IV. Raja Rammohan Roy founded the Brahmo Sabha - This statement is correct. Raja Rammohan Roy founded the Brahmo Sabha in 1828, which later evolved into Brahmo Samaj, a socio-religious reform movement.",NA
Which one among the following was a newspaper founded and edited by Raja Rammohan Roy?,NA,B,Calcutta Gazette,Mirat-ul Akhbar,Harijan,Bharat Mihir,NA,NA,NA,NA,"The correct answer is option 2 - Mirat-ul Akhbar.<br/><br/>Option 1, The Calcutta Gazette, was not founded by Raja Rammohan Roy. It was actually the first newspaper published in India, established in 1780 by William Bolts.<br/>Option 3, Harijan, was a newspaper founded by Mahatma Gandhi in 1933, which focused on the issues and rights of the lower castes in India.<br/>Option 4, The Bharat Mihir, was not founded by Raja Rammohan Roy. It was a Hindi newspaper founded by Mahesh Chandra Nyayratna Bhattacharyya in the early 20th century.<br/><br/>Therefore, the correct answer is option 2, Mirat-ul Akhbar, which was indeed a newspaper founded and edited by Raja Rammohan Roy. Mirat-ul Akhbar was a Persian-language newspaper established in 1822 and played a significant role in the social and political reforms initiated by Raja Rammohan Roy during the Bengal Renaissance period.",NA
Raja Rammohan Roy died on 7th September 1833 at,NA,A,Bristol,Birmingham,Calcutta,Lucknow,NA,NA,NA,NA,"Explanation:<br/>- Raja Rammohan Roy was a renowned social reformer and the founder of the Brahmo Samaj.<br/>- He passed away on 7th September 1833.<br/>- The correct answer is A: Bristol, as Raja Rammohan Roy died in Bristol, England.<br/>- He was in Bristol at the time seeking medical treatment.<br/>- His death was a significant loss to the Indian socio-religious reform movement.",NA
Bengali intellectuals started a trend which was more modern than Rammohan Roy&#39;s. Its leader was an Anglo Indian H.V. Derozio. This trend is known as,NA,A,Young Bengal Movement,Bengal Youth Movement,Revolutionary Bengal Movement,None of these,NA,NA,NA,NA,"The correct answer is A. Young Bengal Movement.<br/>Henry Louis Vivian Derozio was a radical thinker who urged his students to challenge everything they were told. His students, known as Derozians, challenged tradition and custom, demanded women&#39;s education and pushed for freedom of thought and speech. Henry was the founder of the <q>Young Bengal Movement</q>. In the late 1820s and early 1830s, Henry Vivian Derozio had a major influence on this movement. From 1826 until 1831, he was a teacher at Hindu College in Calcutta, where the ideas of the French Revolution influenced him.<br/><br/>The primary motto of Derozio was to unfold intellectual revolution among young students. He was an excellent propounder of liberal thinking. His motto was to bring an end to social evils such as child marriages, child labour, Sati practice, etc. and to promote women&#39;s education. Spreading concepts of the French Revolution like liberty, fraternity, and equality. Through scientific-based information, they wished to push value-based and rational thinking instead of rote learning.",NA
Derozio taught at Hindu College from 1826 to 1831. He followed the most radical views of the time and drew his inspiration from,NA,C,The movement for the betterment of Ireland,The American War of Independence.,The French Revolution,All of the above,NA,NA,NA,NA,"Derozio was born in 1809 and taught at Hindu college from 1826 to 1831.<br/>Derozio followed the most radical views of the time drawing his inspiration from the great French revolution. <br/>He inspired the students to think rationally and freely, to question all authority, to love liberty, equality and freedom and to worship truth. <br/>Derozio&#39;s followers were known as the Derozians and Young Bengal. They were great patrots. Derozio was perhaps the first nationalist poet of modern India.",NA
"The Derozians thought rationally, attacked old customs and loved liberty and equality. But they could not succeed in creating a movement because",NA,C,Many of them were condemned by both the British and most Indians.,They did not have an effective leadership after H.V. Derozio.,Social conditions were not yet ripe for their ideas to flourish.,None of these,NA,NA,NA,NA,"Explanation:<br/>Lack of Support: Despite their rational thinking and advocacy for liberty and equality, the Derozians did not receive widespread support from the British or the Indian population. This lack of support hindered the growth of their movement.<br/><br/>Opposition: Many Derozians were condemned by both the British rulers and conservative sections of Indian society for their radical ideas and criticism of traditional customs. This opposition made it difficult for the movement to gain momentum.<br/><br/>Leadership Crisis: After the death of H.V. Derozio, the movement lacked effective leadership to guide and organize its followers. This leadership vacuum weakened the movement and prevented it from achieving its goals.<br/><br/>Unripe Social Conditions: The social conditions in India during the time of the Derozians were not conducive for the flourishing of their ideas. The society was still deeply rooted in traditional customs and beliefs, making it challenging for the Derozians to bring about significant change.<br/><br/>By considering these factors, it becomes evident that the Derozians faced various challenges that prevented them from creating a successful movement despite their rational thinking and progressive ideals.",NA
The Derozians failed to take up the cause of,NA,A,Peasants,Women,Both (a) and (b),None of these,NA,NA,NA,NA,"The correct answer is A as The Derozians failed to take up the cause of Peasants<br/><br/>Derozio was removed from the Hindu college in 1831 because of radicalism. The main reason for their limited success was social conditions prevailing at that time which were not ripe for adoption of radical ideas by the mainstream societies, eventually they failed to gather support from the Bengali academics and literati. Further, they did not link masses through peasant causes.",NA
"Who described the Derozians as <q>the pioneers of the modern civilization of Bengal, the conscript fathers of our race whose virtues will excite veneration and whose failings will be treated with gentlest consideration</q>?",NA,A,S.N. Banerjee,A.O. Hume,Rabindra Nath Tagore,M.N. Roy,NA,NA,NA,NA,"Explanation:<br/><br/>S.N. Banerjee: He described the Derozians as <q>the pioneers of the modern civilization of Bengal, the conscript fathers of our race whose virtues will excite veneration and whose failings will be treated with gentlest consideration.</q><br/>A.O. Hume: A key figure in the Indian National Congress, known for his role in the Indian independence movement.<br/>Rabindra Nath Tagore: A prominent Bengali poet, writer, and musician, known for his contributions to literature and music.<br/>M.N. Roy: A prominent Indian philosopher, politician, and founder of the Communist Party of India.",NA
