question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which of the following statements are correctly matched regarding fundamental rights given in Article 25?

1. Freedom of conscience: Inner freedom of an individual to mould his relation with God or Creatures in whatever way he desires

2. Right to profess: Declaration of beliefs and faith openly and freely

3. Right to practice: Performance of religious worship, rituals, ceremonies and exhibition of beliefs and ideas",NA,All of them,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"The correct answer is option D: All of them.

All three statements correctly describe different aspects of the fundamental rights given in Article 25 of the Indian Constitution.

Statement 1: Freedom of conscience refers to the inner freedom of an individual to mold their relationship with God or creatures in any way they desire. It emphasizes the personal and individual nature of religious beliefs and the freedom to hold and change those beliefs.

Statement 2: The right to profess refers to the freedom to openly and freely declare one's beliefs and faith. It entails the right to express one's religious beliefs and communicate them to others without fear of persecution or discrimination.

Statement 3: The right to practice encompasses the freedom to engage in religious worship, rituals, ceremonies, and the exhibition of beliefs and ideas. It includes the right to perform religious rituals, observe religious customs and practices, and express one's religious beliefs through actions and conduct.

Therefore, all three statements accurately describe different aspects of the fundamental rights guaranteed under Article 25 of the Indian Constitution.",NA
"Which of the following statements are correct regarding article 27?

1. It prohibits the state from favouring one religion over the another

2. The taxes can't be used for the promotion or maintenance of any one religion.

Which of these statements is/are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"Both of the given statements are correct regarding Article 27 of the Indian Constitution.

Article 27 of the Constitution of India states that no person shall be compelled to pay any taxes, the proceeds of which are specifically appropriated in payment of expenses for the promotion or maintenance of any particular religion or religious denomination.

Thus, the second statement is correct. Additionally, Article 27 also prohibits the State from favoring any particular religion or religious denomination by law or by financial aid, making the first statement also correct.",NA
"Consider the following statements.

1. A remedy under Article 32 is in itself a Fundamental Right and hence, the Supreme Court may not refuse to exercise its writ jurisdiction

2. A remedy under Article 226 is discretionary and hence, a high court may refuse to exercise its writ jurisdiction

Which of these statements is/are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The writ jurisdiction of the high court (under Article 226) is not exclusive but concurrent with the writ jurisdiction of the Supreme Court (under Article 32). It means, when the fundamental rights of a citizen are violated, the aggrieved party has the option of moving either the high court or the Supreme Court directly. However, the writ jurisdiction of the high court is wider than that of the Supreme Court. This is because, the Supreme Court can issue writs only for the enforcement of fundamental rights and not for any other purpose, that is, it does not extend to a case where the breach of an ordinary legal right is alleged.",NA
"The writ of prohibition is not available against:

1. Quasi-judicial authority

2. Administrative authority

3. Legislative body

Choose from the following options.",NA,2 and 3 Only,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"The Correct Answer is option B: 2 and 3 Only.

The writ of prohibition is not available against administrative authorities and legislative bodies.
It is primarily used to control or restrain judicial or quasi-judicial authorities from exceeding their jurisdiction or acting in excess of their authority. Administrative authorities perform executive functions, and legislative bodies exercise legislative functions, which are outside the scope of the writ of prohibition.
Therefore, the correct answer is option B: 2 and 3 Only. The writ of prohibition is not available against administrative authorities and legislative bodies. Thank you for pointing out the mistake.",NA
"The writ of mandamus cannot be issued:

1. Against a private individual or body
2. To enforce departmental instruction that does not possess statutory force
3. When the duty is mandatory

Choose from the following options.",NA,1 and 2 Only,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,"The correct answer is option A: 1 and 2 Only.

The writ of mandamus cannot be issued against a private individual or body, and it cannot be used to enforce departmental instructions that do not possess statutory force.

1. Against a private individual or body: The writ of mandamus is primarily used to compel public officials or bodies to perform their public or statutory duties. It is not applicable to private individuals or bodies as they do not have a statutory duty to perform.

2. To enforce departmental instruction that does not possess statutory force: The writ of mandamus can only be used to enforce a legal duty that is backed by a statute or a legal provision. It cannot be employed to enforce mere departmental instructions that do not have the force of law.

However, statement 3 is incorrect. The writ of mandamus can be issued when the duty in question is mandatory and the petitioner has a legal right to enforce that duty.

Therefore, the correct answer is option A: 1 and 2 Only. The writ of mandamus cannot be issued against a private individual or body, and it cannot be used to enforce departmental instructions that do not possess statutory force.",NA
"Consider the following statements about Quo Warranto.

1. The writ can be issued only in case of a substantive public office of a permanent character created by a statute or by the Constitution.

2. It cannot be issued in cases of ministerial office or private office.

Which of these statements is/are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,The writ can be issued only in case of a substantive public office of a permanent character created by a statute or by the Constitution. It cannot be issued in cases of ministerial office or private office. Both statement 1 and 2 are correct.,NA
"Consider the following statements.

1. The concept of martial law has been borrowed in India from the English common law

2. The expression ‘martial law' means the military rule and it has been defined in the Constitution

Which of these statements is/are correct?",NA,1 Only,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"The concept of martial law has been borrowed in India from the English common law. However, the expression ‘martial law' has not been defined anywhere in the Constitution. It means “military rule'. It refers to a situation where civil administration is run by the military authorities according to their own rules and regulations framed outside the ordinary law. It thus implies the suspension of ordinary law and the government by military tribunals. It is different from military law that applies to the armed forces.",NA
The power to make laws and to give effect to certain specified fundamental rights is vested on:,NA,Parliament,Parliament,State legislatures,Both of A & B,Neither A nor B,NA,NA,NA,NA,"Article 35 lays down that the power to make laws, to give effect to certain specified fundamental rights shall vest only in the Parliament and not in the state legislatures. This provision ensures that there is uniformity throughout India about the nature of those fundamental rights and punishment for their infringement.",NA
Which Article of the Constitution of India safeguards one’s right to marry the person of one’s choice?,NA,Article 21,Article 19,Article 21,Article 25,Article 29,NA,NA,NA,NA,The right to marry a person of one’s choice is integral to Article 21 (right to life and liberty) of the Constitution”. SC Judgement on Hadiya Case.,NA
Which one among the following is not a Fundamental Right under the Constitution of India?,NA,Right to citizenship,Right to equality,Right to freedom,Right to citizenship,Right against exploitation,NA,NA,NA,NA,"According to Indian constitution there are six fundamental rights of Indian citizens which are right to equality, right to freedom of religion, cultural and educational rights, right to freedom, right to constitutional remedies, and right against exploitation. Right to citizenship is not a fundamental right.",NA
Which of the following would be construed as a reasonable restriction of the 'right to freedom'?,NA,All of the above,When the State disallows a candidate from securing votes in the name of religion,When the State disallows citizens from forming a club out of State funds that denies access to women,When the Government of Nagaland disallows temporary residents to buy immovable property in Nagaland,All of the above,NA,NA,NA,NA,"Art. 19 of the constitution now provides six freedoms, namely: * the right to freedom of speech and expression, * right to assemble peaceably and without arms * right to form associations or unions * right to move freely throughout the territory of India * right to reside and settle in any part of the territory of India * right to practice any profession or to carry on any occupation trade or business. Restrictions: * defamation * contempt of court * decency or morality security of the state * friendly relations with other states * incitement of offence and sovereignty * the integrity of India.",NA
