question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"The tissue composed of the living, thin-walled, polyhedral cell",NA,B,collenchyma,parenchyma,sclerenchyma,striated muscle,NA,NA,NA,NA,"The tissue composed of the living, thin-walled, polyhedral cell. <br/><br/>Explanation: <br/>1. The tissue described in the question is a type of plant tissue. <br/>2. It is composed of living cells that have thin walls and a polyhedral shape. <br/>3. This tissue is responsible for various functions, such as storage, photosynthesis, and secretion. <br/>4. The correct answer is parenchyma. <br/>5. Parenchyma tissue is found in various parts of plants, including leaves, stems, roots, and fruits. <br/>6. It is made up of relatively unspecialized cells that have thin cell walls and large intracellular spaces. <br/>7. The cells of parenchyma tissue are often responsible for carrying out metabolic activities, such as photosynthesis in the case of parenchyma cells in leaves. <br/>8. Parenchyma tissue can also be involved in storage functions, storing nutrients and water. <br/>9. The thin walls and polyhedral shape of the cells allow for efficient exchange of gases and nutrients. <br/>10. Overall, parenchyma tissue is an important and versatile tissue in plants, contributing to their growth, development, and survival.",NA
Each neuron has a single long part called:,NA,B,dendrite,axon,cell body,cytoplasm,NA,NA,NA,NA,"Answer: The single long part of a neuron is called the axon. The axon is responsible for transmitting electrical signals away from the neuron&#39;s cell body to other neurons, muscles, or glands. Here is a detailed explanation of each part of a neuron: <br/>Dendrite: <br/>- Dendrites are the short, branch-like extensions of a neuron that receive signals from other neurons or sensory receptors. <br/>- They play a crucial role in collecting information from the external environment or other neurons and transmitting it to the cell body. <br/>Axon: <br/>- The axon is a long, slender extension of a neuron that carries electrical signals away from the cell body. <br/>- It is covered by a fatty substance called myelin, which helps to insulate and speed up the transmission of signals. <br/>- Axons can vary in length, with some reaching up to several feet in the human body. <br/>Cell Body: <br/>- Also known as the soma, the cell body is the main part of the neuron.<br/>- It contains the nucleus, which houses the genetic material of the neuron, and other organelles necessary for its functioning. <br/>- The cell body integrates incoming signals from dendrites and generates the electrical impulses that are transmitted through the axon. <br/>Cytoplasm:
- The cytoplasm is the gel-like substance that fills the interior of the neuron. <br/>- It contains various structures and molecules that are essential for the neuron's metabolic processes and the maintenance of its overall function. <br/>In summary, while each part of a neuron plays a crucial role in its functioning, the single long part responsible for transmitting signals away from the cell body is the axon.",NA
"Cells with evenly thickened, hard, lignified walls are seen in:",NA,B,collenchyma,sclerenchyma,striated muscle cells,parenchyma,NA,NA,NA,NA,"Cells with evenly thickened, hard, lignified walls are seen in sclerenchyma. <br/>Sclerenchyma is a type of plant tissue that provides support and strength to the plant. It is characterized by thickened, hard, and lignified cell walls. These cell walls contain a substance called lignin, which makes them tough and rigid. <br/>Key points:<br/>- Sclerenchyma cells have evenly thickened cell walls, unlike other types of plant cells. <br/>- The thickening of the cell walls is due to the deposition of lignin, a complex polymer. <br/>- Lignified cell walls provide strength and support to the plant, allowing it to withstand mechanical stress. <br/>- Sclerenchyma cells are dead at maturity and lack protoplasts. <br/>- They are found in various parts of the plant, such as the stems, roots, and seed coats. <br/><br/>In contrast: <br/>- Collenchyma cells have unevenly thickened cell walls and provide support to growing plant parts. <br/>- Striated muscle cells are found in animals and have a completely different structure and function. <br/>- Parenchyma cells are the most common type of plant cells and have thin cell walls. They are involved in various functions, such as photosynthesis and storage. <br/>Overall, the presence of evenly thickened, hard, lignified walls is a characteristic feature of sclerenchyma cells in plants.",NA
"Two slides of plant tissues, parenchyma and sclerenchyma, are shown to you. You can identify the sclerenchyma by the:",NA,D,position of nucleus,size of the cell,location of nucleus,thickness of cell wall,NA,NA,NA,NA,"Answer: <br/>The sclerenchyma can be identified by the thickness of its cell wall. The cell wall of sclerenchyma cells is significantly thicker than that of parenchyma cells. <br/><br/>Explanation: <br/>To differentiate between parenchyma and sclerenchyma tissues, you need to examine the characteristics of the cell wall. The cell wall of sclerenchyma cells is composed of lignin, which makes it thick and rigid. On the other hand, the cell wall of parenchyma cells is thin and flexible. <br/>Here are the key differences between parenchyma and sclerenchyma tissues: <br/>Parenchyma tissue: <br/>- Comprises living cells with thin and flexible cell walls. <br/>- The cell walls contain cellulose. <br/>- The cells have a large central vacuole. <br/>- The cells are generally isodiametric (similar in size in all dimensions). <br/>- The nucleus is located towards the center of the cell. <br/>- Functions include storage, photosynthesis, and secretion. <br/>Sclerenchyma tissue: <br/>- Comprises dead cells with thick and rigid cell walls. <br/>- The cell walls contain lignin.<br/>- The cells have a small central vacuole or may lack a vacuole altogether. <br/>- The cells are elongated and have tapering ends. <br/>- The nucleus is typically located towards the periphery of the cell. <br/>- Functions include support and protection. <br/>In summary, the thickness of the cell wall is the key characteristic that can be used to identify sclerenchyma tissue in comparison to parenchyma tissue.",NA
"Given below is a list of different types of muscles in a human body, <br/>(i) Smooth <br/>(ii) Striated <br/>(iii) Cardiac <br/>(iv) Skeletal <br/><br/>Which of the above-mentioned muscles are termed involuntary?",NA,B,(i) & (ii),(i) & (iii),(ii) & (iii),(ii) & (iv),NA,NA,NA,NA,"The cell was first discovered and named by Robert Hooke in 1665. <br/>However, Hooke actually saw was the dead cell walls of plant cells (cork) as they appeared under the microscope. Hooke&#39;s description of these cells was published in Micrographia.",NA
"A student was asked to write the characteristic feature of a nerve cell, after viewing it under the microscope. What will be the correct feature?",NA,B,Oval cells with lobed nucleus,A cell body with branched cytoplasmic extensions at one end and a long projection at the other end,Loosely packed cells floating in matrix,Spindle-shaped cells with bands,NA,NA,NA,NA,Mitochondria are tiny organelles inside cells that are involved in releasing energy from food. This process is known as cellular respiration. Due to which they are referred to as the powerhouses of the cell.,NA
The shape of striated muscle cells is: ,NA,B,spindle-shaped,cylindrical,elongated with tapering ends,spherical,NA,NA,NA,NA,"The shape of striated muscle cells is cylindrical. <br/>-Striated muscle cells are long and cylindrical in shape.<br/>-They have a uniform diameter along their length.<br/>-Their ends are not tapered or pointed. <br/>-These cells are also known as skeletal muscle cells. <br/>-They are multinucleated, meaning they have multiple nuclei. <br/>-The nuclei are located on the periphery of the cell, just beneath the cell membrane. <br/>-Each striated muscle cell is composed of myofibrils, which are responsible for muscle contraction. <br/>-These myofibrils give the cell its striated or striped appearance. <br/>-The cylindrical shape of striated muscle cells allows for efficient force generation and transmission during muscle contraction. <br/>-These cells are typically attached to tendons, which connect them to bones and allow for movement.",NA
Branched muscle fibres interconnected by oblique bridges are:,NA,C,unstriated muscle fibres,striated muscle,cardiac muscle fibres,skeletal muscle fibres,NA,NA,NA,NA,"Explanation: <br/>To answer this question, we need to understand the characteristics of different muscle types and identify which one fits the description of branched muscle fibers interconnected by oblique bridges. <br/><br/>A. Unstriated muscle fibers: <br/>- Unstriated muscle fibers, also known as smooth muscle fibers, are found in the walls of hollow organs, such as the digestive tract and blood vessels. <br/>- They are not branched and do not have oblique bridges. Therefore, option A is incorrect. <br/><br/>B. Striated muscle fibers: <br/>- Striated muscle fibers, also known as skeletal muscle fibers, are responsible for voluntary movement and are attached to bones. <br/>- They have a striped or striated appearance due to the arrangement of contractile proteins. <br/>- However, striated muscle fibers are not branched and do not have oblique bridges. <br/>Therefore, option B is incorrect. <br/><br/>C. Cardiac muscle fibers: <br/>- Cardiac muscle fibers make up the walls of the heart and are responsible for involuntary contractions. <br/>- They are branched and interconnected by oblique bridges called intercalated discs. <br/>- Cardiac muscle fibers fit the description mentioned in the question, so option C is correct. <br/><br/>D. Skeletal muscle fibers: <br/>- Skeletal muscle fibers, as mentioned earlier, are striated and responsible for voluntary movement. <br/>- However, they are not branched and do not have oblique bridges. Therefore, option D is incorrect. <br/>In conclusion, the correct answer is option C: cardiac muscle fibers. They are branched muscle fibers interconnected by oblique bridges.",NA
Plant cells with thickened walls at corners and non-lignified cell walls are seen in:,NA,B,Parenchyma,Collenchyma,Aerenchyma,Epidermal cell,NA,NA,NA,NA,"Plant cells with thickened walls at corners and non-lignified cell walls are seen in collenchyma. <br/>Collenchyma cells are a type of ground tissue found in plants. They have a thickened primary cell wall, particularly at the corners, which provides support and flexibility to the plant. The cell walls of collenchyma cells are primarily made up of cellulose and pectin, and they lack lignin, which is responsible for the hardening and lignification of cell walls. <br/>Here are the key characteristics of collenchyma cells: <br/>1. Thickened walls at corners: The corners of collenchyma cells have extra layers of cell wall material, making them stronger and able to withstand mechanical stress. <br/>2. Non-lignified cell walls: Unlike other types of cells, such as xylem cells, collenchyma cells do not contain lignin. This lack of lignification allows the cell walls to remain flexible and stretchable, contributing to the plant's ability to grow and adapt. <br/>3. Support and flexibility: The primary function of collenchyma cells is to provide support to young and growing parts of the plant. The thickened cell walls at the corners and the absence of lignin allow them to provide structural support while still being flexible enough to accommodate growth. <br/>In conclusion, cells with thickened walls at corners and non-lignified cell walls are characteristic of collenchyma cells in plants.",NA
"The structure/organelle of a cell that functions as a passage for intracellular transport as well as a manufacturing surface, is",NA,B,ribosome,endoplasmic reticulum,plastids,plasma membrane,NA,NA,NA,NA,The endoplasmic reticulum functions both as a passageway for intracellular transport and as a manufacturing surface.,NA
