question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"In the north of the equator, the Mid-Atlantic Ridge of the Atlantic ocean is known as _______.",NA,A,Dolphin Rise,Telegraphic Plateau,Challenger Rise,None of the above,NA,NA,NA,NA,"The correct answer is Dolphin Rise.<br/><br/>Key Points<br/>- The Mid-Atlantic Ocean is a submerged mountain range extending from Dolphin Rise to the north and Challenger Rise to the south.<br/>- The Mid-Atlantic Ocean extends in <b>S</b> shape.<br/>- The mid-Atlantic ridge extended from Iceland in the north to Bouvet island in the south in 14,450 km length.",NA
The average depth of the continental slope ranges between:,NA,C,10 - 100 m,1 - 10 m ,200 - 3000 m,None of the above,NA,NA,NA,NA,"Key Points<br/><br/>The continental slope connects the continental shelf and the ocean basins.<br/> It begins where the bottom of the continental shelf sharply drops off into a steep slope.<br/> The gradient of the slope region varies between 2-5&deg;.<br/> The depth of the slope region varies between 200 and 3,000 m.<br/> The slope boundary indicates the end of the continents.<br/> Canyons and trenches are observed in this region.",NA
Which of the following connects the continental shelf and the ocean basins?,NA,B,Deep sea plains,Continental slope,Mid oceanic ridges,More than one of the above,NA,NA,NA,NA,"Ocean Floor Division can be divided into various parts such as Continental Shelf, Continental Slope, Continental Rise or Foot, Deep Ocean basins, Abyssal plains or Deep Sea plain, Oceanic Trenches, Seamounts, and Guyots.<br/><br/>Continental Slope<br/>The continental slope connects the continental shelf and the ocean basins. Hence, the correct answer is Continental slope.<br/>It begins where the bottom of the continental shelf sharply drops off into a steep slope.<br/>The gradient of the slope region varies between 2-5&deg;. The depth of the slope region varies between 200 and 3,000 m.",NA
Which one of the following statements with regard to growth of coral reefs is not correct?,NA,A,Coral can grow abundantly in fresh- water.,It requires warm water between 23 &deg;C-25 &deg;C,"It requires shallow saltwater, not deeper than 50 metres",None of the above,NA,NA,NA,NA,"Coral Reefs can grow only in the clean salt water of oceans, which lack any kind of instability.<br/>Corals thrive in tropical water with a temperature between 23&deg;C-25&deg;C.<br/>A fair amount of sunlight for survival.<br/>Ideal depth between 45 m to 55 m.<br/>No marine pollution.<br/>Corals need saltwater to survive and require a certain balance in the ratio of salt to the water. This is why corals don&#39;t live in areas where rivers drain freshwater into the ocean.",NA
What is the maximum depth of Atlantic Ocean?,NA,C,"9,784 metres","6,734 metres","8,605 metres",None of the above,NA,NA,NA,NA,"The correct answer is 8,605 metres.<br/><br/>Key Points: <br/>The Atlantic Ocean is the second-largest of the world&#39;s five oceans, with an area of about 106,460,000 km<sup>2</sup>.<br/>It covers approximately 20% of Earth&#39;s surface and about 29% of its water surface area.<br/>The deepest part of the Atlantic Ocean is thought to be the Milwaukee Deep within the roughly east-west oriented Puerto Rico Trench.<br/>It is located around 120 km north of the island of Puerto Rico.<br/>It lies at a depth of 8,605 m.",NA
The Grand Canyon located in which country?,NA,D,Canada,Bolivia,Ghana,USA,NA,NA,NA,NA,"The Grand Canyon is a steep-sided canyon carved by the Colorado River in Arizona, United States. The Grand Canyon is 277 miles (446 km) long, up to 18 miles (29 km) wide and attains a depth of over a mile (6,093 feet or 1,857 meters).",NA
The _____ is the extended margin of each continent occupied by relatively shallow seas and gulfs.,NA,D,deep sea plain,continental slope,oceanic deeps,continental shelf,NA,NA,NA,NA,"Important Points:<br/><br/>The continental shelf is the extended margin of each continent occupied by relatively shallow seas and gulfs.<br/>The Continental Shelf of all oceans together covers 7.5% of the total area of the oceans.<br/>The gradient of continental is 1&deg; or even less.<br/>The continental shelves are covered with variable thicknesses of sediments brought down by rivers, glaciers, etc.<br/>Massive sedimentary deposits received over a long time by the continental shelves become the source of fossil fuels [Petroleum].<br/>Seaward extension of the continent from the shoreline to the continental edge approx. 200 m deep. <br/>In some places, where the coasts are extremely mountainous, such as in the Rocky Mountains, the continental shelf may be entirely absent.",https://abhigyanacademy.com/upload/gallery/1720800353.png
The maximum depth of Lithosphere is found in the,NA,A,Pacific Ocean,Siberian Plain,Patagonian Desert,Himalayan Mountains,NA,NA,NA,NA,"The correct answer is Pacific Ocean.<br/><br/>Key Points:<br/>The lithosphere is the solid, outer part of the Earth.<br/>The lithosphere includes the brittle upper portion of the mantle and the crust, the outermost layers of Earth&#39;s structure.<br/>It is bounded by the atmosphere above and the asthenosphere (another part of the upper mantle) below.<br/><br/>There are two types of lithosphere: ?Oceanic lithosphere and continental lithosphere.<br/>The Oceanic lithosphere is associated with oceanic crust and is slightly denser than the continental lithosphere.<br/>The Mariana Trench is the deepest part of the ocean and the deepest location on Earth about 11,035 meters (36,201 feet) deep.<br/> The deepest point of Mariana Trench is Challenger Deep.<br/>It is located in the South Pacific Ocean and hence the maximum depth of Lithosphere is found in the Pacific Ocean.",https://abhigyanacademy.com/upload/gallery/1720801695.png
______ are gently sloping areas of the ocean basins.,NA,D,Oceanic deeps,Continental shelfs,Continental slopes,Deep sea plains,NA,NA,NA,NA,"Deep-sea plains are gently sloping areas of the ocean basins.<br/><br/>Ocean Floor Division can be divided into various parts such as Continental Shelf, Continental Slope, Continental Rise or Foot, Deep Ocean basins, Abyssal plains or Deep Sea plain, Oceanic Trenches, Seamounts, and Guyots.<br/><br/>Deep-Sea Plain or Abyssal plain: <br/>These plains are gently sloping areas of the ocean basins.<br/>These are the flattest and smoothest regions of the world.<br/>It is an underwater plain on the deep ocean floor, usually found at depths between 3,000 and 6,000m.<br/>These plains are covered with fine-grained sediments like clay and silt.<br/>Lying generally between the foot of a continental rise and a mid-ocean ridge, abyssal plains cover more than 50% of the Earth&#39;s surface.",https://abhigyanacademy.com/upload/gallery/1720802801.png
In which ocean is <q>Mariana Trench</q> located?,NA,B,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean,NA,NA,NA,NA,"The Pacific Ocean got its name from the explorer Ferdinand Magellan. He called the ocean <q>mar pacific</q>, which meant a peaceful sea. The Pacific Ocean is the largest and deepest ocean on Earth. The Pacific ocean covers more than 30% of the earth&#39;s surface.<br/><br/>Important facts about Mariana Trench:<br/>The Mariana Trench or Marianas Trench is located in the western Pacific Ocean.<br/>It is located about 200 kilometres (124 mi) east of the Mariana Islands.<br/><b>Mariana Trench</q> is the deepest location on Earth.<br/>It is crescent-shaped and measures about 2,550 km (1,580 mi) in length and 69 km (43 mi) in width.<br/>The maximum known depth is 10,984 metres (36,037 ft), known as the Challenger Deep.<br/>Some unrepeated measurements place the deepest portion at 11,034 metres (36,201 ft).<br/>The Mariana Trench is part of the Izu-Bonin-Mariana subduction system that forms the boundary between two tectonic plates.<br/>In this system, the western edge of one plate, the Pacific Plate, is subducted (i.e., thrust) beneath the smaller Mariana Plate that lies to the west.<br/>The United States has authority on Trench and its resources.<br/><b>Hence, on the basis of the above facts, we can infer that the Mariana Trench is located in the Pacific Ocean.</b>",NA
