question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following inscriptions gives us the genealogy of the five Sangama brothers?,NA,B,Bagepellsi Copper Plate,Bitragunta Grant,Srirangam Copper Plates,Devalapalli Copper Plate,NA,NA,NA,NA,The Bitragunta grant of Sangama II (son of Kampana) gives us the genealogy of the five Sangama brothers responsible for the foundation of the Vijayanagar empire.,NA
Who were the <q>Tarafdars</q>?,NA,C,Revenue officials of the districts in the Bahmani splinter states.,Officials incharge of enforcement of Islamic law in the Bahmani kingdom and later in its splinter states.,Provincial governors under the Bahmani Sultans.,Military commanders stationed in different directions in the Bahmani Kingdom,NA,NA,NA,NA,The Bahmani kingdom was divided into four divisions or provinces during the time of the founder of the dynasty-Ala-ud-din Bahman Shah. His son Muhammad called these provinces as tarafs each under a tarafdar.,NA
What are Varahas?,NA,A,Gold coins of the Vijayanagar rulers.,Boars kept as pets by the Vijayanagar rulers.,Elephant Corps of the Vijayanagar armed forces.,Lands granted to the officials in lien of salaries.,NA,NA,NA,NA,"The standard unit of coin issued by the Vijayanagara Empire was the gold Pagoda in English or Varaha of 3.4 gr. The Varaha was also called the Hon, Gadyana or a Pon and came in the Ghattivaraha, Doddavaraha and Suddhavaraha coin.",NA
"Harihara-II, in one of his inscriptions, gives a detailed account of the military achievements of Bukka-I. What is that?",NA,D,Penugonda Inscription,Kondavidu Grant,Bitragunta Grant,Channarayapateena Inscription,NA,NA,NA,NA,"Harihara I, also called Hakka and Vira Harihara I, was the founder of the Vijayanagara empire, which he ruled from 1336 to 1356 CE. He and his successors formed the Sangama dynasty, the first of four dynasties to rule the empire. He was Bhavana Sangama&#39;s eldest son. Harihara I and Bukka Raya I, the founders of great Vijayanagara Empire were the nephews of prince Kumara Rama. The mother of these two brothers was Maravve Nayakiti the elder sister of prince Kumara Rama.",NA
Which Vijayanagara ruler was decisively defeated by Firuz Bahmani and forced to pay a huge war indemnity as well as offer his daughter in marriage?,NA,A,Deva Raya-I,Bukka-I,Deva Raya-II,Harihara-II,NA,NA,NA,NA,"Firuz Shah fought against the Vijayanagara Empire on many occasions and the rivalry between the two dynasties continued unabated throughout his reign, with victories in 1398 and 1406, but a defeat in 1419. One of his victories resulted in his marriage to Deva Raya&#39;s daughter.<br/>At the beginning of his reign, Harihara II of the Vijayanagar Empire had advanced as far as the Raichur Doab and posed a threat to the Bahmanis. This threat was thwarted by a calculated and incisive attack by Firuz.<br/>Firuz led a successful expedition against Narsingh Rai of Kherla who had to surrender forty elephants and his daughter to Firuz. In 1420, an attack on Pangal, which had been taken by Vijayanagar, proved disastrous. Firuz was trounced by Vijayanagar and Firuz retreated, surrendering the southern and eastern districts of his kingdom. This defeat had a deep impact on his morale and he was henceforth a broken man. He spends his final two years in asceticism and piety.",NA
Who was the first Vijayanagar ruler to wrest the important port of Goa from the Bahmanis?,NA,A,Harihara-II,Bukka-I,Deva Raya-II,Harihara-I,NA,NA,NA,NA,Harihara-II was the first ruler of Vijaynagar to seize important fort of Goa from the Bahamanis.,NA
Who was the Portuguse Governor in India to conclude a friendship treaty with Krishnadeva Raya around 1511 A.D.?,NA,B,Almedia,Albuquerque,Vasco de Gama,None of the above,NA,NA,NA,NA,"In 1500, a new Portuguese company, Estado Da India was found by few merchants to trade in India and other Asian countries. This was a private company.<br/>They had set up the trading stations in India for carrying on business. A governor was appointed in the various stations.<br/>Albuquerque (1509-1515) conquered Goa from Bijapur and in 1511 he concluded a friendly treaty with Krishnadeva Raya.",NA
"In the medieval times, the kingdom of Vijayanagar was known by several names. Which one of the following names does not refer to Vijayanagar?",NA,C,Hastinavati-Vidyanagar,Vidyanagara,Vijayagiri,Hampe Hastinavati,NA,NA,NA,NA,"The Vijayanagara Empire (also called Karnata Empire, and the Kingdom of Bisnegar by the Portuguese) was based in the Deccan Plateau region in South India. It was established in 1336 by Harihara I and his brother Bukka Raya I of the Sangama Dynasty. The other names of Vijaynagar are Hastinavati-Vidyanagar, Vidyanagara and Hampe Hastinavati. Hence the correct answer is option (C).",NA
"Who wrote, <q>what I saw (Vijayanagar) was some-what as large as Rome and very beautiful to light. This is the best provided city in the world?</q>",NA,A,Paes,Nikitin,Nuniz,Abdur Razzaq,NA,NA,NA,NA,"The correct answer is option (A). Domingo Paes(1520-22) was a great Portugese traveler who visited Vijaynagar during the reign of Krishnadeva Raya. Paes saw the glory of Vijaynagar and has written what he saw, without relating legends, fables, stories etc. The Narrative of Domingo Paes provides an eyewitness account to the rign of the greatest Vijaynagr king, Krishnadeva Raya, Paes found the city of Vijaynagar <q>as large as Rome, and very beautiful to sight</q>. <q>This is the best provided city  in the world.</q>",NA
What was the second capital of Vijayanagar empire?,NA,B,Kampali,Penugonda,Udayagiri,Padaividu,NA,NA,NA,NA,"The correct option is B.<br/>When we talk about the Vijayanagara Empire, we all remember the popular and great king, Sri Krishnadevaraya and the capital city of his kingdom, Hampi. Many people do not know about the second capital and summer capital of Vijayanagara Empire, Penukonda. Penukonda means <q>Big Hill</q>.",NA
"Barbosa writes about in Indian king : <q>The king allows such freedom that every man may come and go and live according to his own creed without suffering any annoyance and without enquiring whether he is Christian, a Jew, a Moor or a Hindu</q>. What was the name of that king?",NA,C,Harihara I,Deva Raya II,Krishnadeva Raya,Bukka I,NA,NA,NA,NA,"Krishna Deva Raya, though a follower of Vaishnavism, treated Shaivites, Jains, Christians and Jews with kindness and compassion. The slaughter of cows, considered sacred by the Hinduus , was permitted too. This rare spirit of tolerance attracted the attention of many foreign travelers like Barbosa. He remarked in admiration, <q>The king allows such freedom that every man may come and go and live according to his own creed without suffering any annoyance and without enquiring whether he is Christian, a Jew, a Moor or a Hindu. Great equity and justice is observed by all.</q>",NA
Which one of the following statements about Krishnadeva Raya is correct?,NA,D,He belonged to Taluva dynasty. He ruled from 1509 to 1530 A.D.,He recaptured Raichur doab.,He was the author of Amuktamalayada.,All the above,NA,NA,NA,NA,"Krishnadevaraya was an emperor of the Vijayanagara Empire who reigned from 1509-1529. He was the third ruler of the Tuluva Dynasty, and is widely considered to be the greatest ruler of the empire.<br/>In 1520, Ismail Adil Shah recaptured the Raichur Doab from Vijayanagara. In May 1520, Krishnadevaraya sent his forces to Raichur and in the battle that ensued, Adil Shah was defeated and his forces were routed.br/>He wrote famous book Amuktamalayada in Telugu language.",NA
