question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What should be the proportion of forest cover for India to maintain her ecological balance?,NA,C,11.1 percent,22.2 percent,33.3 percent,44.4 percent,NA,NA,NA,NA,"Explanation:<br/>The correct answer is option 3, which states that the proportion of forest cover for India to maintain her ecological balance should be 33.3 percent.<br/>Ecological balance refers to the equilibrium and sustainability of ecological systems. Forests play a crucial role in maintaining this balance as they provide habitat for various species, contribute to climate regulation, conserve water, and prevent soil erosion. A 33.3 percent forest cover is necessary to ensure these functions are adequately fulfilled. <br/>Option 1 (11.1 percent) and option 2 (22.2 percent) would be insufficient for maintaining the ecological balance, while option 4 (44.4 percent) would exceed the required proportion. <br/>Therefore, option 3 is the most appropriate answer.",NA
Which of the following are the major factors responsible for the monsoon type of climate in India?<br/>1. Location <br/>2. Thermal contrast <br/>3. Upper air circulation <br/>4. The Himalayan Mountains <br/>Select the correct answer using the code given below.,NA,B,1 and 4 only,"1, 2, 3 and 4","2, 3 and 4 only","1, 2 and 3 only",NA,NA,NA,NA,"The correct answer is option B: 1, 2, 3, and 4.<br/><br/>Option A states that the major factors responsible for the monsoon type of climate in India are location and the Himalayan Mountains. This is partially correct as both location and the presence of the Himalayan Mountains play a significant role in shaping the monsoon climate in India.<br/><br/>Option B states that the major factors responsible for the monsoon type of climate in India are location, thermal contrast, upper air circulation, and the Himalayan Mountains. This is the correct answer as all four factors mentioned in this option contribute to the monsoon climate in India.<br/><br/>Option C states that the major factors responsible for the monsoon type of climate in India are thermal contrast, upper air circulation, and the Himalayan Mountains. This is incorrect as it does not include the location factor, which is also crucial in determining the monsoon climate in India.<br/><br/>Option D states that the major factors responsible for the monsoon type of climate in India are location, thermal contrast, and upper air circulation. This is also incorrect as it does not include the Himalayan Mountains, which have a significant impact on the monsoon climate.<br/><br/>Therefore, the correct answer is option B: 1, 2, 3 and 4.",NA
Which one of the following statements concerning the natural vegetation of India is not correct?,NA,D,Sal is found in moist deciduos forests,Casuarina is largely found along the coastal region of Tamil Nadu,Deodar is a coniferous species of tree,Shola forests are found mainly on the upper reaches of Himalaya,NA,NA,NA,NA,"Option 1: Sal is found in moist deciduous forests. This statement is correct. Sal is a prominent tree species in India and is typically found in moist deciduous forests.<br/><br/>Option 2: Casuarina is largely found along the coastal region of Tamil Nadu. This statement is correct. Casuarina is a coastal tree species and is commonly found along the coastal regions of Tamil Nadu and other coastal areas in India.<br/><br/>Option 3: Deodar is a coniferous species of tree. This statement is correct. Deodar is a coniferous tree species native to the western Himalayas and is widely found in India, particularly in the states of Himachal Pradesh and Jammu and Kashmir.<br/><br/>Option 4: Shola forests are found mainly on the upper reaches of the Himalaya. This statement is incorrect. Shola forests are not found mainly on the upper reaches of the Himalayas. Shola forests are actually found in the Western Ghats of South India, primarily in the states of Kerala and Tamil Nadu. These forests are known for their unique ecosystem and are characterized by stunted evergreen trees, grasslands, and unusual plants.<br/><br/>In conclusion, option 4 is the correct answer as it inaccurately states the location of Shola forests.",NA
Which one of the following is correct?,NA,D,Guindy National park is known for tiger reserve,namdapha National Park is meant for lion conservation,Jaldapara is a biosphere reserve,Rann of Kutch is a Wild Ass Sanctuary,NA,NA,NA,NA,"Option 1: The statement is incorrect. Guindy National Park is not known for tiger reserve. It is actually a national park located in Chennai, India, known for its rich biodiversity and conservation efforts.<br/>Option 2: The statement is incorrect. Namdapha National Park is not meant for lion conservation. It is a national park located in Arunachal Pradesh, India, known for its diverse flora and fauna, including several endangered species.<br/>Option 3: The statement is incorrect. Jaldapara is not a biosphere reserve. It is actually a national park located in West Bengal, India, known for its population of Indian one-horned rhinoceros.<br/>Option 4: The statement is correct. Rann of Kutch is indeed a Wild Ass Sanctuary. It is a protected area located in Gujarat, India, known for its vast salt marshes and the presence of the Indian wild ass.<br/>Therefore, the correct answer is option 4.",NA
Alluvial soils vary in nature from sandy loam to clay. They are generally,NA,D,poor in potash and rich in phosphorous,poor in both potash and phosphorous,rich in both potash and phosphorous,rich in potash and poor in phosphorus,NA,NA,NA,NA,"Alluvial soils are sedimentary soils that are deposited by rivers and streams. They are known for their fertile nature and are commonly found in river valleys and floodplains. These soils can vary in composition from sandy loam to clay, indicating different levels of sand, silt, and clay particles in the soil.<br/><br/>The given correct answer is option 4, which states that alluvial soils are rich in potash and poor in phosphorus. Potash refers to a group of minerals that are a source of potassium, an essential nutrient for plant growth. Alluvial soils generally have a good amount of potassium, making them rich in potash.<br/><br/>On the other hand, alluvial soils are poor in phosphorus. Phosphorus is another crucial nutrient required for plant growth, but it is not typically abundant in alluvial soils. Plants may need to supplement their phosphorus requirements through fertilizers or organic matter.<br/><br/>Therefore, it is important to note that although alluvial soils vary in nature from sandy loam to clay, they are generally rich in potash and poor in phosphorus, making option 4 the correct answer.",NA
The soil which originate under tall-grass prairie vegetation is called,NA,C,Black soils,Chestnut soils,Chernozem soils,Terra rosa soils,NA,NA,NA,NA,"The soil that originates under tall-grass prairie vegetation is called Chernozem soils. Chernozem soils are characterized by their high fertility and dark color, which is due to the presence of a significant amount of organic matter. These soils are typically found in grassland regions with a temperate climate, such as the tall-grass prairies of North America.<br/><br/>Option 1, Black soils, refer to a different type of soil that is characterized by its high clay content and dark color. This type of soil is typically found in areas with a tropical climate.<br/><br/>Option 2, Chestnut soils, refer to a type of soil that is often found in temperate regions and is characterized by its high clay content and reddish-brown color.<br/><br/>Option 4, Terra rosa soils, refer to a type of soil that is typically found in Mediterranean climates and is characterized by its reddish color and high fertility.<br/><br/>Therefore, the correct answer is option 3, Chernozem soils.",NA
A natural region has the similarity of,NA,A,Climate and natural vegetation,Climate and occuptation,Soils and drainage,Economic base and reces,NA,NA,NA,NA,"Option 1: Climate and natural vegetation. <br/>This means that in a natural region, there is a similarity in the type of climate experienced across the entire region and the types of natural vegetation that grow there. <br/>This connection exists because different types of vegetation are adapted to specific climate conditions. For example, a tropical rainforest region will typically have a hot and humid climate, which supports the growth of lush, dense vegetation. <br/>On the other hand, a desert region will have a dry and arid climate, leading to the presence of cacti and other drought-resistant plants. It is important to note that while climate and natural vegetation are closely related, they are not the only factors that define a natural region. Other elements, such as geology and topography, may also play a role.",NA
The distribution of characteristic vegetation of a region is determined mainly by,NA,A,"soil, water and temperature","water, greenhouse efect and altitude","wind, water and latitude","sunlight, water and wind",NA,NA,NA,NA,"The correct answer is option A: soil, water, and temperature. <br/>The distribution of characteristic vegetation in a region is primarily determined by these factors.<br/>Soil plays a crucial role in determining the availability of nutrients and water retention capacity, which directly affects the types of plants that can grow in an area.<br/>Water availability is another vital factor. Plants require water for their growth and survival. Regions with abundant rainfall or proximity to water bodies may have different types of vegetation compared to arid regions.<br/>Temperature influences the growth and adaptation of plants. Different plants have specific temperature requirements, and extreme temperatures can limit the distribution of certain species.<br/><br/>While options B, C, and D also include significant environmental factors, they are not the primary factors determining the distribution of characteristic vegetation.",NA
Match List I with List II and select the correct answer using the code given below the Lists: <br/>List I (Region) <br/>A. Selvas <br/>B. Savannas <br/>C. Taiga <br/>D. Tundra <br/><br/>List II (Vegetation) <br/>1. Conifers <br/>2. Mosses and Lichens <br/>3. Epiphytes <br/>4. Grasses and trees <br/>Code : A B C D,NA,C,4 1 2 3,3 2 1 4,3 4 1 2,4 2 1 3,NA,NA,NA,NA,"Option 3: 3 4 1 2 <br/>According to this option, Selvas is matched with Epiphytes; Savannas with Grasses and trees; Taiga with Conifers and Tundra with Mosses and Lichens.",NA
Which one of the following is not a soil forming factor?,NA,D,Parent material,Topography,Climate,Human habitation,NA,NA,NA,NA,"The correct answer is 4) Human habitation.<br/>Soil formation is influenced by several factors, including parent material, topography, climate, organisms, and time. However, human habitation is not considered a soil forming factor.<br/><br/>1) Parent material: Parent material refers to the material from which the soil is derived. It can consist of rocks, minerals, weathered material, or organic matter. The characteristics of the parent material greatly influence the properties of the resulting soil.<br/>2) Topography: Topography refers to the physical features of the land, such as slopes, hills, and valleys. It affects the accumulation and movement of water, which in turn influences soil formation.<br/>3) Climate: Climate plays a crucial role in soil formation. Factors such as temperature, precipitation, and the length of the growing season affect the rates of weathering, erosion, and organic matter decomposition.<br/>4) Human habitation: While human activities can affect soil properties and quality, they are not considered a soil forming factor. Human habitation can lead to soil erosion, contamination, compaction, or alteration of natural vegetation, but it does not play a direct role in the actual formation of soil.<br/><br/>Therefore, option 4 - Human habitation is the correct answer.",NA
