question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
In which state is the Bhadra Wildlife Sanctuary situated?,NA,C,Kerala,Madhya Pradesh,Karnataka,More than one of the above,NA,NA,NA,NA,"The <b>Bhadra Wildlife Sanctuary:</b><br/><br/>The <b>Bhadra Wildlife Sanctuary is in Karnataka.</b><br/>The area was first declared as <b><q>Jagara Valley Wildlife Sanctuary</q> in 1951</b> by the then government.<br/>The area was extended to its present extent and renamed <b>Bhadra Wildlife Sanctuary in 1974.</b><br/>The Wildlife Sanctuary was <b>declared a Project Tiger Reserve in 1998.</b><br/>It is home to not just the tiger and elephant, but to the <b>panther, bison, sloth bear, wild dog, flying squirrel (including the giant Indian squirrel) and wild boar.</b><br/> It also has over 120 species of flora, such as teak, rose-wood, mathi, honne, nandi, tadasalu and kindal.",NA
The state in which the <q>Jim Corbett National Park</q> is located is: ,NA,D,Rajasthan,Uttar Pradesh,Gujarat,None of the above,NA,NA,NA,NA,"<b>Jim Corbett National Park :</b><br/><br/>It is the oldest national park in India, located in Uttarakhand. <b>H</b><br/>It was established in 1936 as <b>Hailey National Park</b> to protect the endangered Bengal tiger. <br/><b>Jim Corbett National Park</b> is the <b>largest tiger reserve</b> located in the <b>Nainital district</b> of <b>Uttarakhand.</b><br/>It was <b>established</b> in the year <b>1936.</b><br/>It is famous for being home to a <b>large number of tigers,</b> the highest among any Indian national park.<br/>The Park itself <b>occupies 520 square kilometres,</b> and its whole area comprises hills, marshy depressions, riverine belts, grasslands and a large lake.<br/>It is <b>India&#39;s oldest</b> and most prestigious National Park. ",NA
National Parks are important for the preservation of wildlife. Which National Park is the oldest in India?,NA,B,Kaziranga National Park,Jim Corbet National Park,Kanha National Park,Bandhavgarh National Park,NA,NA,NA,NA,"<b>Jim Corbet National Park:</b><br/><br/>Hailey National Park or Jim Corbet National Park, <b>India&#39;s first and oldest national park,</b> was established on ,<b>August 8, 1936 in Uttarakhand.</b><br/>The reserve was 324 square kilometres in size.<br/>It is also the first national park in Asia.<br/>Mammals, reptiles, and birds were barred from being hunted, killed, or captured soon after the park was founded.<br/>In 1954-55, it was renamed Ramganga National Park, then in 1955-56, it was renamed, Corbett National Park.",https://abhigyanacademy.com/upload/gallery/1726293799.pngs
A wildlife sanctuary that is famous for the conservation and protection of <q>Hangul Deer</q> is:,NA,B,Sariska,Dachigam,Jim Corbett,Ranikhet,NA,NA,NA,NA,"<b><u>Explanation:</b></u><br/><br/>The <b>wildlife sanctuary famous for Hangul deer or Kashmir Stag</b> is situated in Srinagar, named <b>Dachigam National Park.</b><br/>As the Sariska Tiger reserve is clear by the name itself, it is a tiger reserve.<br/><br/><b>The Hangul deer is found in <u>Dachigam National Park.</u></b>",NA
Bird sanctuary of our state (Rajasthan) is situated in which district?,NA,C,Sawai Madhopur,Alwar,Bharatpur,Udaipur,NA,NA,NA,NA,"The Keoladeo National Park or Keoladeo Ghana National Park is formerly known as the <b>Bharatpur Bird Sanctuary</b> is situated in the <b>Bharatpur district in Rajasthan.</b><br/>It was declared a protected sanctuary in <b>1971.</b><br/>It is also a declared <b>World Heritage Site.</b><br/>Over 230 species of birds are known to have made the National Park their home.<br/><br/><b><u>Hence, the bird sanctuary of our state (Rajasthan) is situated in Bharatpur district.</u></b>",NA
Which of the following elephant reserves is a part of the Nilgiri Biosphere Reserve?,NA,A,Mysore Elephant Reserve,Lemru Elephant Reserve,Sonitpur Elephant Reserve,More than one of the above,NA,NA,NA,NA,"<b>Mysore Elephant Reserve</b> is part of the Nilgiri Biosphere Reserve.<br/>The Nilgiri Biosphere Reserve is a UNESCO-declared International Biosphere Reserve located in the Western Ghats and Nilgiri Hills ranges of Southern India.<br/>The reserve spans across the states of Tamil Nadu, Karnataka, and Kerala.<br/>It is recognized for its rich biodiversity and is home to several endangered species, including the Indian elephant.",NA
Which biosphere of Southern Andhra Pradesh is home to many endemic species including the famous Red Sanders and Slender Loris?,NA,B,Cold Desert,Seshachalam,Pachmarhi,Agasthyamalai,NA,NA,NA,NA,"The <b>Seshachalam</b> biosphere in Southern Andhra Pradesh is recognized for its rich biodiversity and is home to many endemic species.<br/>This region is particularly famous for the <b>Red Sanders</b> (Pterocarpus santalinus), a valuable and rare tree species known for its distinctive red wood.<br/>Another notable species found here is the <b>Slender Loris</b> (Loris tardigradus), a small, nocturnal primate that inhabits this unique ecosystem.<br/>The Seshachalam biosphere plays a crucial role in the conservation of these species and their habitats.",NA
In which state is the Nanda Devi Biosphere Reserve located?,NA,C,Himachal Pradesh,Assam,Uttarakhand,Odisha,NA,NA,NA,NA,"The <b>Nanda Devi Biosphere Reserve</b> is located in the state of <b>Uttarakhand.</b><br/>It is recognized for its diverse flora and fauna, including several endangered species.<br/>The reserve is part of the <b>UNESCO World Network of Biosphere Reserves since 2004.</b><br/>It encompasses the <b>Nanda Devi and Valley of Flowers National Parks,</b> which are known for their scenic beauty and rich biodiversity.<br/>The region is also culturally significant with many ancient temples and pilgrimage sites.",NA
The Saraswati Wildlife Sanctuary is located in which of the following districts?,NA,B,Jind,Kaithal,Yamunanagar,Gurugram,NA,NA,NA,NA,"The <b>Saraswati Wildlife Sanctuary also called Seonsar Forest,</b> is situated in the Kaithal district of Haryana.<br/>It <b>covers an area of approximately 4,452.85 hectares (11,003.2 acres).</b><br/>This <b>Sanctuary is the 3rd largest protected reserve in Haryana (Kalesar National Park and Morni Hills being the first two).<br/>Saraswati Wildlife Sanctuary was notified on 29th July 1988.</b>",NA
The Western Ghats is a mountain range that runs parallel to the western coast of the Indian peninsula. Which elephant reserve is located at the southernmost end of the Western Ghats? ,NA,C,Periyar Elephant Reserve (Kerala),Wayanad Elephant Reserve (Kerala),Agasthyamalai Elephant Reserve (Tamil Nadu),More than one of the above,NA,NA,NA,NA,"<b>Agasthyamalai Elephant Reserve</b> is located at the southernmost end of the Western Ghats.<br/>It is situated in the state of <b>Tamil Nadu.</b><br/>This reserve is known for its rich biodiversity and is a crucial habitat for the Asian elephant.<br/>The Western Ghats, including the Agasthyamalai Elephant Reserve, are recognized as one of the world&#39;s biodiversity hotspots.<br/>The reserve plays a significant role in the conservation of various endangered species apart from elephants, such as the lion-tailed macaque and the Nilgiri tahr.",NA
<q>Simlipal Biosphere Niche</q> is situated in :,NA,D,Punjab,Delhi,West Bengal,Odisha,NA,NA,NA,NA,"<b>Similipal National Park</b> is a national park and a <b>tiger reserve in the Mayurbhanj district</b> in the Indian state of <b>Odisha covering 2,750 km2.</b><br/>It is part of the Mayurbhanj Elephant Reserve, which includes three protected areas — Similipal Tiger Reserve, Hadgarh Wildlife Sanctuary with 191.06 km2, and Kuldiha Wildlife Sanctuary with 272.75 km2.<br/>Simlipal National Park derives its name from the <b>abundance of red silk cotton trees growing in the area.</b><br/>It is the <b>7th largest national park</b> in India.<br/>The park is home to the Bengal tiger, Asian elephant, gaur, and Chausingha. along with some of the beautiful waterfalls like Joranda and Barehipani Falls.<br/>The government of India declared <b>Simlipal as a biosphere in 1994.</b><br/>This protected area is part of the <b>UNESCO World Network of Biosphere Reserves since 2009.</b>",NA
Which of the following is the first biosphere reserve of India?,NA,B,Sunderbans,Nilgiri,Nanda Devi,Pachmari,NA,NA,NA,NA,"<b>Nilgiri Biosphere Reserve</b><br/><br/>The name <b><q>Nilgiris</q> with literary meaning <q>blue mountains</q></b> has originated from the blue flower-clad mountains of the Nilgiris plateau within the State of Tamil Nadu.<br/><b>It was the first biosphere reserve in India established in the year 1986. Hence, Option 2 is correct.</b><br/>The total area of the Nilgiri Biosphere Reserve is 5,520 sq. km.<br/>It is <b>located in the Western Ghats</b> and encompasses parts of <b>Tamil Nadu, Kerala, and Karnataka.</b><br/><b>The confluence of Biotic zones:</b> It exemplifies the tropical forest biome which portrays the <b>confluence of Afro-tropical and Indo-Malayan biotic zones</b> of the world.<br/>Many of the major tributaries of the river <b>Cauvery</b> like the <b>Bhavani, Moyar, Kabini, and other rivers like Chaliyar, Punampuzha,</b> etc., have their source and catchment areas within the reserve boundary.<br/>Tribal groups like the <b>Todas, Kotas, Irullas, Kurumbas, Paniyas, Adiyans, Edanadan Chettis, Cholanaickens, Allar, Malayan,</b> etc., are native to the reserve.<br/>The <b>Mudumalai Wildlife Sanctuary, Wayanad Wildlife Sanctuary, Bandipur National Park, Nagarhole National Park, Mukurthi National Park,</b> and <b>Silent Valley</b> are the protected areas present within this reserve.",https://abhigyanacademy.com/upload/gallery/1726293857.png
"After Wildlife Protection Act in 1972, the name of India&#39;s first wildlife conservation project was",NA,B,Gir,Tiger,rhino,Hangul,NA,NA,NA,NA,"<b>Project Tiger:</b><br/><br/>It was the <b>first</b> project for wildlife protection in India taken up after the passing of the Indian <b>Wildlife Protection Act in 1972.</b><br/>It was initiated on <b>April 1, 1973, in Jim Corbett National Park.?</b><br/>It was launched to promote the conservation of the tiger.<br/>Project Tiger has been the <b>largest species conservation initiative</b> of its kind in the world.<br/>This project aims to stem the dwindling population of big cats and work to increase their numbers.?<br/>The first director of the project was <b>Kailash Sankhala.</b><br/>It was launched by the Union Government of India under the <b>Ministry of Environment, Forest, and Climate Change.</b><br/>Nodal Implementing Agency: <b>National Tiger Conservation Authority.</b>",NA
Where is Manas Tiger Reserve situated?,NA,C,Andhra Pradesh,Karnataka,Assam,Arunachal Pradesh,NA,NA,NA,NA,"Manas Tiger Reserve is a <b>UNESCO World Heritage Site.</b><br/>
Manas National Park is a <b>national park, a tiger reserve, an elephant reserve, and a biosphere reserve.</b><br/>Manas National Park gets its name from the <b>River Manas,</b> which flows through the reserve and is also the major tributary of the Brahmaputra River.<br/>Sprawling in a large area of <b>950 sq km,</b> the national park shares a border with Bhutan&#39;s Royal Manas National Park and is also home to species like Assam roofed turtle, hispid hare, golden langur, and pygmy hog.",NA
Baghmara Pitcher Plant Sanctuary is located in which of the following states?,NA,D,Assam,Karnataka,Goa,Meghalaya,NA,NA,NA,NA,"Baghmara Pitcher Plant Sanctuary is a sanctuary located in the South Garo Hills district of <b>Meghalaya.</b><br/>It is named after a rare insectivorous Pitcher Plant, Nepenthes khasiana.<br/>Nepenthes khasiana is endemic to the Meghalaya region only.<br/>The Pitcher plant is locally known as <b><q>Me&#39;mang-Koksi</q></b> (Ghost Basket).<br/>Locals regard it as a sacred plant or the Ghost basket.<br/>Baghmara Pitcher Plant Sanctuary is the only Sanctuary in Meghalaya where in-situ conservation of Pitcher Plant is being carried out.<br/>The Sanctuary also protects soil erosion and provides water to a section of the surrounding villages.",NA
Keoladeo National Park is located in:,NA,B,Madhya Pradesh,Rajasthan,Jharkhand,Chhattisgarh,NA,NA,NA,NA,Keoladeo National Park is located in <b><u>Rajasthan.</u></b><br/>Keoladeo Ghana National Park was formerly known as the <b>Bharatpur Bird Sanctuary.</b><br/><b>India&#39;s first national park</b> was established in 1936 as Hailey National Park.<br/>Hailey National Park is now known as <b>Jim Corbett National Park</b> which lies in Uttarakhand.,NA
In which state is Vedanthangal Bird Sanctuary located ?,NA,C,Kerala,Rajasthan,Tamil Nadu,Jharkhand,NA,NA,NA,NA,"<b>Vedanthangal Bird Sanctuary</b> is located in <b>Tamil Nadu.</b><br/>Vedanthangal is <b>home to migratory birds</b> such as pintail, garganey, grey wagtail, blue-winged teal, common sandpiper.<br/>Vedanthangal is the <b>oldest water bird sanctuary</b> in the country.<br/>The Vedanthangal lake bird sanctuary has a tradition of the <b>people actively protecting birds</b> coming to the area since time immemorial. ",NA
Nokrek Biosphere reserve is located at,NA,B,Tamil Nadu,Meghalaya ,Manipur,Sikkim,NA,NA,NA,NA,"The <b>representative parts</b> of <b>natural and cultural landscapes</b> extending over <b>large areas of terrestrial or coastal/ marine ecosystems</b> or a <b>combination of both</b> designated by the <b>United Nations Educational, Scientific and Cultural Organisation</b> (UNESCO)  is called a <b>Biosphere Reserve.</b>",https://abhigyanacademy.com/upload/gallery/1726297187.png
In which of the following years did the Ramsar convention to promote conservation and wise use of all wetlands through regional actions and international cooperation come to force in India?,NA,A,1982,1980,1989,1990,NA,NA,NA,NA,<b>Ramsar convention</b> to promote conservation and wise use of all wetlands through regional actions and international cooperation came to force in India in <b>1982.</b><br/>India is a party to the Ramsar Convention. India signed under it on 1st February 1982.<br/> The term was coined when the <b>International Treaty for the Conservation and Sustainable</b> Use of Wetlands was signed in a city in Iran called Ramsar in 1971.,NA
Which wildlife sanctuary was recently in the news due to the death of six elephants due to <q>hemorrhagic septicemia</q>?,NA,B,Lemru Elephant Reserve,"Karlapat Wildlife Sanctuary
",Theppakadu Elephant Reserve,Bhitarkanika National Park,NA,NA,NA,NA,"<b>Karlapat Wildlife Sanctuary:-<ul>The Karlapat Wildlife Sanctuary in Kalahandi district, Odisha, India was recently in the news due to the death of six elephants due to hemorrhagic septicemia (HS).</b></ul><ul>The deaths occurred in a span of two weeks in February 2021.</ul><br/><b>Hemorrhagic septicemia:-<ul>It is a highly contagious and often fatal bacterial infection that can affect a wide range of animals, including elephants.</b></ul><ul>It is caused by the bacteria Pasteurella multocida, which can be transmitted through contact with contaminated water, feed, or other animals.</ul><ul>The exact cause of the HS outbreak in the Karlapat Wildlife Sanctuary is still under investigation, but it is possible that the elephants were infected through contact with stagnant water bodies in the forest.</ul>",
