question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is incorrect about Akbar&#39;s mansabdari system?,NA,A,It was for the military only.,Mansab meant a rank.,The ranks were divided into zat and sawar,It centralised the bureaucracy.,NA,NA,NA,NA,"Akbar introduced a new system for regulating imperial services which was called Mansabdari system. It was introduced in 1570 A.D. All the gazette imperial officers of the state were styled as Mansabdars. They were classified into (66) grades, from the rank of (10) to ten thousands (10,000) constituted. The (10) was the lowest rank and the ten thousand (10,000) was the highest. The Mansabdars belonged to both Civil and Military department.",NA
What was Zawabits?,NA,B,Agricultural taxes,State decrees or laws,Affairs concerning Hindus,None of these,NA,NA,NA,NA,The term <q> Zawabit</q> literally mean <q>State laws</q> in Persian language but it is used contextually as <q>Secular Decrees</q> issued by the Mughal state undersigned by the ruler.,NA
Which of the following is correct about the system of escheat under Akbar?,NA,C,The deceased noble&#39;s property was inherited by his son.,The deceased noble&#39;s property was given to his widow.,The deceased noble&#39;s property was taken away by the State.,None of these.,NA,NA,NA,NA,"The law of escheat (zabti), according to which when a Mansabdar died, all his property was confiscated by the king. The Mansabdari system, introduced by Akbar, was a unique feature of the administrative system of the Mughal empire.",NA
Which of the following is incorrect about the institution of Vakil under Akbar?,NA,A,Bairam Khan was the <q>limited</q> vakil.,Akbar transferred and appointed vakils,The institution of Diwan was created to curb the power of the vakil.,None of these.,NA,NA,NA,NA,"During era of Babur and Humayun, it had the powers of prime minister while during early era of Akbar, Vakil Bairam Khan acted as regent and ruled on the behalf of Emperor.",NA
Jehangir&#39;s greatest achievement was the signing of a peace treaty with Mewar in 1614. Which was not one of its clauses?,NA,A,Chittor fort was to be repaired.,Prince Karan got a mansab of 5000 zat/sawar at Jehangir&#39;s court.,"Rana Amar Singh was to supply 1,500 horses to the Mughals",All territories including Chittor were given to Rana Amar Singh,NA,NA,NA,NA,"A is the correct option. In the treaty, it was agreed that: <br/><br/>The ruler of Mewar, will not be bound to present himself in person at Mughal court, instead, a relative of the Rana would wait upon the Mughal Emperor and serve him. <br/>It was also agreed that the Ranas of Mewar would not enter matrimonial relations with the Mughals. <br/>Mewar would have to keep a contingent of 1500 horsemen in the Mughal service. <br/>Chittor and other Mughal occupied areas of Mewar would be returned to the Rana, but Chittor fort would never be repaired. The reason for this last condition was that the Chittor fort was a very powerful bastion and the mughals were wary of it being used in any future rebellion. <br/>The Rana would be given a Mughal rank of 5000 zat and 5000 sowar. <br/>The rulers of Dungarpur and Banswarra (who had become independent during Akbar&#39;s reign) would once again become vassals of Mewar and pay tribute to the Rana.",NA
Jehangir&#39;s faithful general Mahabat Khan revolted against him in 1626 A.D. because,NA,C,Mahabat Khan wanted to rule independently in Bengal and Bihar.,His son was executed by Jehangir.,Of Nur Jahan&#39;s intrigues.,All of the above.,NA,NA,NA,NA,"As a result of Nur Jahan&#39;s machinations against Jahangir, Mahabat Khan decided to take action, and so in 1626, he led an army of loyal Rajput soldiers to Punjab. He had also brought the wives and families of many of them, so that, if driven to extremity, they would fight to the last for the lives and honour of themselves and their families. Meanwhile, Jahangir and his retinue were preparing to head to Kabul, and were encamped on the banks of the River Jhelum. Mahabat Khan and his forces attacked the royal encampment, and successfully took the emperor hostage; Nur Jahan, however, managed to escape.",NA
Prince Khurram (Shahjahan) rebelled against Jehangir in 1623 A.D. because of,NA,B,The unfair treatment he got in the Deccan due to Jehangir.,The intrigues of Nur Jahan.,The excellent opportunity he had of declaring his independence in the Deccan.,The harmful influence of Mahabat Khan.,NA,NA,NA,NA,Prince Khurram feared that in his absence Nur Jahan would attempt to poison his father against him and convince Jahangir to name Shahryar the heir in his place. This fear brought Prince Khurram to rebel against his father rather than fight against the Persians.,NA
Jehangir was buried at Shahdara near,NA,A,Lahore,Agra,Delhi,Badakshan,NA,NA,NA,NA,"The Tomb of Jahangir is a 17th-century mausoleum built for the Mughal Emperor Jahangir. The mausoleum dates from 1637, and is located in Shahdara Bagh in Lahore, Punjab, Pakistan, along the banks of the Ravi River. The site is famous for its interiors that are extensively embellished with frescoes and marble, and its exterior that is richly decorated with pietra dura.",NA
Which of the following events occurred during Shahjahan&#39;s reign?,NA,D,Rebellion of Bundela Rajputs.,Death of Nur Jahan.,Suppression of the Portuguese in Bengal,All of the above.,NA,NA,NA,NA,"Option D is correct. All of the events listed occurred during Shahjahan&#39;s reign. The Rebellion of Bundela Rajputs took place in 1635, the death of Nur Jahan occurred in 1645, and the suppression of the Portuguese in Bengal happened in 1631.",NA
The immediate cause of Shahjahan&#39;s rebellion against Jehangir was,NA,C,That Shahjahan had become too powerful.,That Shahjahan had insulted Jehangir in the Mughal court cover the question of Deccan.,That Shahjahan refused to go to Qandhar which had been beseiged by the Persians,None of these.,NA,NA,NA,NA,"Option C is correct. The immediate cause of Shahjahan&#39;s rebellion against Jahangir was that Shahjahan refused to go to Qandhar, which had been besieged by the Persians. Shahjahan believed that Jahangir&#39;s orders were reckless and that he should not have to risk his life in such a risky campaign. This led to a rift between the two and eventually resulted in Shahjahan&#39;s rebellion against Jahangir.",NA
