question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which one of the following has been constituted under the Environment (Protection) Act, 1986?",NA,C,Central Water Commision,Central Ground Water Board,Central Ground Water Authority,National Water Development Agency,NA,NA,NA,NA,"Central Water Commission: This is a government agency responsible for water resource management in India. It was established in 1945 and comes under the Ministry of Jal Shakti. Its main functions include advising the government on water resource planning and management, monitoring water levels and river flows, and providing flood forecasting and warning services.<br/><br/>Central Ground Water Board: This is also a government agency that comes under the Ministry of Jal Shakti. It is responsible for developing and managing the country&#39;s groundwater resources. Its main functions include groundwater exploration, assessment, and mapping, as well as regulation of groundwater development and use.<br/><br/>Central Ground Water Authority: This is a statutory authority established under the Environment (Protection) Act, 1986. Its main role is to regulate and control groundwater development and use in the country. It also deals with issues related to over-exploitation of groundwater and pollution of groundwater resources.<br/><br/>National Water Development Agency: This is a government agency under the Ministry of Jal Shakti that was established in 1982. Its main functions include conducting water resource assessments, preparing feasibility reports for water resource development projects, and coordinating inter-state water disputes. It also provides technical support to the government on water resource planning and management.",NA
"With reference to the <q>United Nations Credentials Committee</q>, consider the following statements :<br/>1. It is a committee set up by the UN Security Council and works under its supervision.<br/>2. It traditionally meets in March, June and September every year.<br/>3. It assesses the credentials of all UN members before submitting a report to the General Assembly for approval.<br/><br/>Which of the statements given above is/are correct ?",NA,A,3 only,1 and 3,2 and 3,1 and 2,NA,NA,NA,NA,"Statement 3 is correct as it reflects the main responsibility of the committee. <br/>The United Nations Credentials Committee is a standing committee of the United Nations General Assembly that is responsible for examining the credentials of representatives of UN member states. It was established by the General Assembly in 1958, and it reports to the General Assembly, not the Security Council. The committee meets annually, usually in September, at the start of the General Assembly session, and its main task is to consider and make recommendations on the credentials of the representatives of UN member states who have been elected to serve in the General Assembly or its subsidiary bodies.<br/>Therefore, statement 1 and 2 are incorrect.",NA
Which one of the following statements best describes the Polar Code ?,NA,A,It is the international code of safety for ships operating in polar region,It is the agreement of the countries around the North Pole regarding the demarcation off their territiories in the polar region,It is a set of norms to be followed by the countries whose scientists undertake research studies in the North Pole and South Pole,It is a trade and security agreement of the member countries of the Arctic Council,NA,NA,NA,NA,"Correct answer Option A: The Polar Code is an international code of safety that provides requirements for ships operating in the polar waters of the Arctic and Antarctic regions. The code was adopted by the International Maritime Organization (IMO) in 2014 and entered into force on January 1, 2017.<br/>The code sets out safety and environmental standards for ships operating in the harsh and remote polar waters, including requirements for ship design, construction, equipment, operations, crew training, and environmental protection. The Polar Code aims to ensure the safety of ships, crew, and passengers, as well as the protection of the environment in the polar regions.",NA
Which one of the following statements regarding the Human Rights Council is NOT correct?,NA,A,It is an inter-governmental body within the United Nations system made up of all members of the UN,It is responsible for the promotion and protection of all human rights around the globe,It replaced the former United Nations Commission on Human Rights.,It is made of 47 UN Member States which are elected by the UN General Assembly,NA,NA,NA,NA,"The answer is option A: T statement is not correct. The Human Rights Council is not made up of all members of the UN. Instead, option 4, it is composed of 47 UN Member States, which are elected by the UN General Assembly. This means that not all UN member states participate in the Human Rights Council.<br/>Option 2, is correct. The primary purpose of the Human Rights Council is to address and address human rights issues globally.<br/>Option 3 is also correct. The United Nations Commission on Human Rights was replaced by the Human Rights Council. The change was made to improve the effectiveness and efficiency of the UN&#39;s human rights mechanisms.<br/>In summary, the incorrect statement is option 1, which suggests that all members of the UN are part of the Human Rights Council.",NA
"In October 2018, India was elected as a member to the United Nations Human Rights Council for a period of",NA,C,Five Years,Four Years,Three Years,Two Years,NA,NA,NA,NA,"The correct answer is three years.<br/>In October 2018, India was indeed elected as a member to the UNHRC for a period of three years. The UNHRC is an intergovernmental body within the United Nations system responsible for promoting and protecting human rights around the world. India`s election reflects its commitment to human rights and its active participation in international efforts to address human rights issues.",NA
"Consider the following statements :<br/>1. Animal Welfare Board of India is established under the Environment (Protection) Act 1986.<br/>2. National Tiger Conservation Authority Is a statutory body, <br/>3. National Ganga River Basin Authority is chaired by the Prime Minister,<br/><br/>Which of the statements given above is/are correct?",NA,B,1 only,2 and 3,2 only,"1, 2 and 3",NA,NA,NA,NA,"The Animal Welfare Board of India is established under the Prevention of Cruelty to Animals Act, 1960 and not under the Environment (Protection) Act, 1986.<br/>The National Tiger Conservation Authority is a statutory body established under the Wildlife (Protection) Act, 1972.<br/>The National Ganga River Basin Authority was chaired by the Prime Minister of India from its inception in 2009 until its dissolution in 2016.",NA
"With reference to the Tea Board in India, consider the following statements: <br/>1 The Tea Board is a statutory body.<br/>2. It is a regulatory body attached to the Ministry of Agriculture and Farmers Welfare.<br/>3. The Tea Boards Head Office is situated in Bengaluru.<br/>4. The Board has overseas offices at Dubai and Moscow.<br/><br/>Which of the statements given above are correct ?",NA,D,1 and 3,2 and 4,3 and 4,1 and 4,NA,NA,NA,NA,"Answer: D, 1 and 4 <br/>Statement 1 is correct: The Tea Board is a statutory body established under the Tea Act, 1953.<br/>Statement 2 is incorrect: The Tea Board is not attached to the Ministry of Agriculture and Farmers Welfare, but is an independent organization under the Ministry of Commerce and Industry.<br/>Statement 3 is incorrect: The Tea Board&#39;s head office is situated in Kolkata, not in Bengaluru.<br/>Statement 4 is correct: The Tea Board has overseas offices at Dubai and Moscow.",NA
E.K. Janaki Ammal National Award on Taxonomy is administered by the,NA,D,Ministry of Agriculture and Farmers Welfare,Ministry of New and Renewable Energy,Ministry of Health and Family Welfare,"Ministry of Environment, Forest and Climate Change",NA,NA,NA,NA,"The E.K. Janaki Ammal National Award on Taxonomy is an award given for outstanding contributions in the field of taxonomy. The correct answer for the administering ministry of this award is the Ministry of Environment, Forest and Climate Change, which is option 4.nThis ministry is responsible for environmental policies and programs, conservation of forests, and addressing climate change issues in India.<br/><br/>Option 1, the Ministry of Agriculture and Farmers Welfare  focuses on agricultural policies, rural development, and welfare of farmers. Hence, not correct.<br/>Option 2, the Ministry of New and Renewable Energy is responsible for formulating and implementing policies related to the development and promotion of renewable energy sources in India. Therefore, not correct<br/>Option 3, the Ministry of Health and Family Welfare is responsible for public health, healthcare infrastructure, and family welfare programs in the country. Hence, not correct answer either.",NA
The National Disaster Management Authority functions under the Ministry of____________.,NA,B,"Environment, Forest and Climate Change",Home Affairs,Commerce and Industry,Finance,NA,NA,NA,NA,"The correct answer is option B, Ministry of Home Affairs. The National Disaster Management Authority (NDMA) is a government body that is responsible for planning, coordinating, and implementing measures to minimize the impact of disasters in India. It functions under the Ministry of Home Affairs.<br/><br/>Option 1, Environment, Forest and Climate Change, is incorrect because this ministry primarily focuses on environmental conservation and climate change-related issues, rather than disaster management.<br/>Option 3, Commerce and Industry, is incorrect because this ministry primarily deals with matters related to trade, industry, and economic development, rather than disaster management.<br/>Option 4, Finance, is incorrect because this ministry primarily deals with matters related to public finance, taxation, and economic policies, rather than disaster management.<br/>It is important to note that the Ministry of Home Affairs plays a crucial role in coordinating various aspects of disaster management, including response, recovery, and mitigating future risks. Thus, the correct answer is option 2, Home Affairs.",NA
Which one of the following is the nodal agency in India for the United Nations Environment Programme?,NA,A,"Ministry of Environment, Forest and Climate Change",Ministry of Science and Technology,Ministry of Earth Sciences,Ministry of Home Affairs,NA,NA,NA,NA,"The United Nations Environment Programme (UNEP) is a program of the United Nations that coordinates the organization&#39;s environmental activities, assisting developing countries in implementing environmentally sound policies and practices. In India, the nodal agency for UNEP is the Ministry of Environment, Forest and Climate Change, denoted by Option 1. This is because this Ministry holds primary responsibility for environmental protection, including overseeing forest conservation and policies to combat climate change in India. It is therefore the logical liasion for UNEP in the country.<br/><br/>Option 2, the Ministry of Science and Technology, and Option 3, the Ministry of Earth Sciences, while involved in scientific research and policy making relevant to the environment, are not the primary entities handling environmental matters in India. Lastly, Option 4, the Ministry of Home Affairs, largely concerns itself with internal security matters and is unrelated to environmental policies. Thus, option 1 is indeed the correct answer.",NA
