question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"During the period between 1973 to 2003, the production has increased most in the",NA,C,Primary sector,Secondary sector,Tertiary sector,All the three sectors,NA,NA,NA,NA,"The share of tertiary sector in employment (%) has also increased in last 30 years. In 1973, share was nearly 10 to 15% but it has increased from 20 to 22% in 2003. Though tertiary sector is not playing the role of providing employment over expectation, the primary sector continues to be the largest employer even in the year 2000.",NA
India according to the World Bank classification falls in the category of,NA,B,Low-income economies,Lower-middle income economies,Upper-middle income economies,High-income economies,NA,NA,NA,NA,"According to World Bank reports India has been classified under lower-middle income economy. According to  IBTimes, it has got the same tag along with countries like Lesotho, Zambia, Honduras, Ghana, Guatemala and Djibouti. All the other countries in the BRICS:- Brazil, Russia, China, South Africa - belong to upper-middle income group.",NA
What is meant by two-party system?,NA,C,Two parties run the government,Two members run a party,Two parties contest elections,None of these,NA,NA,NA,NA,"The correct option is C.<br/><br/>In politics, a two-party system is a party system in which two major political parties dominate the political landscape. At any point in time, one of the two parties typically holds a majority in the legislature and is usually referred to as the majority or governing party while the other is the minority or opposition party.",NA
NREGA 2005 guarantees work for how many days in a year,NA,A,100,120,150,90,NA,NA,NA,NA,"Notified on September 7, 2005, MGNREGA aims at enhancing livelihood security by providing at least one hundred days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled manual work.",NA
Which one of the following is a public sector enterprise?,NA,C,TISCO,RIL,Indian Railway,WIPRO,NA,NA,NA,NA,"1. Railways are cheap and very convenient mode of transport for long distances.<br/>2. They help in transportation of finished goods or raw materials from one place to another. This helps in growth and development of our country.<br/>3. Railway forms  a link between major cities of our country and travelling time has been reduced.<br/>4. Railways are even capable of transporting bulky material like crude oil, coal etc  in large quantities.<br/>5. Railway facilitates quick movement of troops, police, defence equipment etc.",NA
Which was the largest producing sector in 1973?,NA,A,Primary sector,Secondary sector,Tertiary sector,Public sector,NA,NA,NA,NA,"It is involved with  agriculture and direct  use of natural resource. <br/>Examples : Farming,  apiculture, cattle farming, etc.",NA
"On which of the following basis, the sectors are classified into public and private sector?",NA,C,Employment conditions,The nature of economic activity,Ownership of enterprises,Number of workers employed in an enterprise,NA,NA,NA,NA,"The public sector includes all the public services and enterprises. Public services include public goods and services like roads, water supply, transport, health, military etc. Public enterprises are state-owned that are under public ownership. Private sector includes enterprises that are owned by private people with the aim to gain profit. These are not owned and run by state or government.",NA
"In which one of the following sectors, the production of a commodity is mostly through the natural processes?",NA,A,Primary,Secondary,Tertiary,Service sector,NA,NA,NA,NA,"Primary sector of the economy is the sector that produces products through a natural process. It involves activities such as mining, crop production and animal husbandry. It involves lots of human labor used in the production of preparing the raw material before it goes into other sectors such as manufacturing for it to turn into consumable commodity.",NA
National Rural Employment Guarantee Act was implemented in which one of the following years?,NA,B,2004,2005,2008,2009,NA,NA,NA,NA,"National Rural Employment Guarantee Act, 2005. National Rural Employment Guarantee Act 2005 (or, NREGA No 42, later renamed as the <q>Mahatma Gandhi National Rural Employment Guarantee Act</q>, MGNREGA), is an Indian labour law and social security measure that aims to guarantee the <q>right to work</q>.",NA
Public enterprises are owned by:,NA,B,Individual owners,Government,Both government and individual,None of the above,NA,NA,NA,NA,Public sector refers to government-owned organizations and government-provided services.,NA
The report <q>Global employment and social Outlook</q> is released by,NA,A,International Labour Organisation,World Bank,World Economic Forum,World Trade Organization,NA,NA,NA,NA,Global employment and social outlook is released by the International Labour Organisation.,NA
Consider the following statements about Internal Trade.<br/>1. It refers to the movement of goods and services across different geographical regions in the country.<br/>2 It includes self-employed and persons engaged in both wholesale and retail trade.<br/>Which of these statements is/are correct?,NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"It refers to the movement of goods and services across different geographical regions in the country.<br/>It includes self-employed and persons engaged in both wholesale and retail trade. Presently internal trade is governed by a diversity of controls, multiple organizations and a plethora of orders.",NA
"Which of the following are correctly matched?<br/>1. SETU (Self Employment and Talent Utilization) programme - aimed at setting up world-class technology business incubators to promote start-up business in India coupled with Start-up-India, Make in India<br/>2. IMPRINT (Impacting Research Innovation and Technology) - Initiative by CSIR to develop a roadmap for research to solve major engineering and technology challenges in ten technology domains relevant to India<br/>Choose from the following options.",NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"SETU (Self Employment and Talent Utilization) programme, aimed at setting up world-class technology business incubators to promote start-up business in India coupled with Start-up-India, Make in India.<br/><br/>IMPRINT (Impacting Research Innovation and Technology), a Pan- IIT and IISc joint initiative to develop a roadmap for research to solve major engineering and technology challenges in ten technology domains relevant to India.",NA
"Which of the following are correct about Atal innovation mission?<br/>1. This will be an innovation promotion platform involving academics, entrepreneurs, Band researchers and draw upon national and international experiences to foster a culture of innovation, R&D and scientific research in India.<br/>2. The World Bank and UNDP are collaborating with the Government of India to implement this initiative.<br/>Choose from the following options.",NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Correct Statement is 1 as Atal innovation mission will be an innovation promotion platform involving academics, entrepreneurs, Band researchers and draw upon national and international experiences to foster a culture of innovation, R&D and scientific research in India. <br/><br/>Statement 2 is wrong as The World Bank and UNDP are collaborating with the Government of India on Generation Unlimited, which includes partnership agreements with NITI Aayog, a think tank of the Government of India.<br/>Hence option 1 is correct.",NA
Which of the following statements are correct regarding the legal services sector in India?<br/>1. FDI is not permitted in this sector.<br/>2. Foreign service providers can be appointed as partners.<br/>3. Indian advocates are not permitted to enter into profit-sharing arrangements with persons other than Indian advocates.<br/>Choose from the following options.,NA,C,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"In this sector, FDI is not permitted and international law firms are not authorised to advertise and open offices in India.<br/><br/>Foreign service providers can neither be appointed as partners nor sign legal documents and represent clients.<br/><br/>The Bar Council is opposed to the entry of foreign lawyers/law firms in any manner.<br/><br/>Indian advocates are not permitted to enter into profit-sharing arrangements with persons other than Indian advocates.",NA
Education services comes under:,NA,C,Union List,State List,Concurrent List,Residue List,NA,NA,NA,NA,Education Services: These come under the Concurrent List with multiple controls and regulations by central and state governments and statutory bodies.,NA
Consider the following statements regarding the accountancy services sector.<br/>1. Accountancy professionals are allowed to operate either as a partnership firm or as a sole proprietorship firm.<br/>2. FDI is not allowed in this sector but foreign service providers are allowed to undertake a statutory audit of Companies.<br/>Which of these statements is/are correct?,NA,C,1 and 2 Only,2 Only,1 Only,All of them,NA,NA,NA,NA,Foreign service providers are not allowed to undertake a statutory audit of companies as per the provisions of the laws in India.<br/>There are also domestic regulations like the prohibition on the use of individual logos for partnership and single proprietorship accounting firms.<br/>These regulations need to be relaxed and streamlined to facilitate tie-ups and penetrate foreign markets given the potential for exporting these services by the outsourcing model.,NA
