question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which of the following protocols was followed related to banning the use of chlorofluorocarbon, bromine and chlorine compounds?",NA,C,Kyoto,Appiko,Montreal,More than one of the above,NA,NA,NA,NA,"The Montreal Protocol was followed related to banning the use of chlorofluorocarbon (CFC), bromine and chlorine compounds.<br/>The Montreal Protocol is an international treaty that was designed to protect the ozone layer by phasing out the production and consumption of ozone-depleting substances (ODS), such as CFCs, brominated halocarbons, and halons.<br/>The protocol was signed by 193 countries in 1987 and has been ratified by 198 countries as of October 2023.",NA
Which country is not part of the Indo-Pacific Quad grouping ?,NA,D,US,India,Japan,Indonesia,NA,NA,NA,NA,"<b>Indo-Pacific Quad grouping</b><br/><br/>It is an <b>informal</b> strategic dialogue.<ul><b>India<br/>Japan<br/>Australia<br/>US</ul></b><br/><br/>Objective-To keep open, free and prosperous Indo-Pacific region.<br/>The idea for the QUAD Group was given by former Japanese Prime Minister Shinzo Abe in 2007.",NA
India joined the Missile Technology Control Regime (MTCR) in the year,NA,C,2011,1998,2016,2007,NA,NA,NA,NA,"The Missile Technology Control Regime (MTCR) is an informal political understanding among states that seek to limit the proliferation of missiles and missile technology.<br/>The regime was formed in <b>1987</b> by the <b>G-7 industrialized countries (Canada, France, Germany, Italy, Japan, the UK, and the United States).</b><br/>India officially became a member on 27 June <b>2016</b> with the consensus of the 34 member nations.<br/>The <b>MTCR</b> has <b>35 members.</b>",NA
<q>Uniting for Peace Resolution</q> is also called as:,NA,B,Roosevelt Plan,Truman Plan,Kennedy Plan,Acheson Plan,NA,NA,NA,NA,"General Assembly resolution 377(V) is known as the Uniting for peace resolution.<br/>It was adopted in <b>1950,</b> the resolution resolves that if the Security Council, because of lack of unanimity of the permanent members, fails to exercise its primary responsibility to act as required to maintain international peace and security, the General Assembly shall consider the matter immediately with the view to making recommendations to Members in order to restore international peace and security.<br/>If not in session, the General Assembly may meet using the mechanism of the emergency special session.",NA
Which among the following conventions of ILO is NOT ratified by India?,NA,D,Discrimination (Employment Occupation) Convention,Abolition of Forced Labour Convention,Minimum Age Convention,"Right to Organise and Collective Bargaining Convention, 1949",NA,NA,NA,NA,"The correct answer is Option <b><u>4, i.e Right to Organise and Collective Bargaining Convention, 1949.</u></b><br/><br/>India has ratified <b>six</b> out of the <b>eight-core/fundamental ILO conventions.</b> These conventions are:<ul>Forced Labour Convention (No. 29)</ul><ul>Abolition of Forced Labour Convention (No.105)</ul><ul>Equal Remuneration Convention (No.100)</ul><ul>Discrimination (Employment Occupation) Convention (No.111)</ul><ul>Minimum Age Convention (No.138)</ul><ul>Worst forms of Child Labour Convention (No.182)</ul><ul><br/>India has NOT ratified the two core/fundamental conventions, namely
<ul>Freedom of Association and Protection of the Right to Organize Convention, 1948 (No. 87) and</ul><ul>Right to Organise and Collective Bargaining Convention, 1949 (No. 98).</ul><br/><br/>The main reason for non-ratification of ILO conventions No.87 & 98 is due to certain restrictions imposed on the government servants.<br/>The ratification of these conventions would involve granting of certain rights that are prohibited under the statutory rules, for the government employees, namely, the right to strike, to openly criticize government policies, to freely accept a financial contribution, to freely join foreign organizations etc.",NA
The International Treaty (Agreement) signed in 1987 to control the depletion of ozone layer is known as,NA,B,Kyoto Protocol,Montreal protocol,Paris Agreement,More than one of the above,NA,NA,NA,NA,<b><u>Explanation:</u><br/><br/>The Montreal Protocol:</b><br/>The Montreal Protocol on Substances that Deplete the Ozone Layer (the Montreal Protocol) is an international agreement made in 1987.<br/>The Montreal Protocol is widely considered as the most successful environment protection agreement. It sets out a mandatory timetable for the phase-out of ozone-depleting substances like CFC&#39;s (Chlorofluorocarbons).,NA
Which of the following are the chief exponents of the <q>Theory of Consent</q> regarding basis of International Law? ,NA,A,"Anzilotti, Triepel, Oppenheim","Starke, Smith, Brierly","Fawett, Jellinck, Pollock","Kelson, Hart, Edward Collins",NA,NA,NA,NA,"<b>Anzilotti, Triepel, and Oppenheim are renowned jurists who have significantly contributed to the development of the <q>Theory of Consent</q> in International Law.</b><br/>This theory posits that international law is based on the consent of states, which agree to be bound by its rules and norms.<br/>According to this perspective, the legal obligations of states are not imposed externally but arise from their own voluntary commitments.<br/>Dionisio Anzilotti, a leading Italian jurist, emphasized the role of state consent in the formation of international legal obligations.<br/>Heinrich Triepel, a German legal scholar, argued for the dualist theory, which also underscores the importance of national consent in the international legal system.<br/>Lassa Oppenheim, an influential British jurist, articulated how consent underpins the legal binding force of international law on states.<br/>The contributions of these scholars have shaped the understanding of international law as a system rooted in the mutual consent of sovereign states.",NA
Which theory of State recognition in International law states that the existence of a new state does not depend on being recognised by the existing state.,NA,A,Declaratory theory,Consecutive theory,Estrada theory,Tobar Doctrine,NA,NA,NA,NA,"The term <b><q><u>Recognition</u></q></b>means ratification, confirmation, acknowledgment that something done by any other person in one name had one&#39;s authority.<br/>The recognition of a new entity as a sovereign state is based on two main theories:<ul>1.<b><u>Declaratory theory of state recognition in International Law</u></b></ul><ul>The main exponents of the Declaratory Theory of Statehood are <b><u>Wigner, Hall, Fisher and Brierly.</u></b></ul><br/>According to this theory, any new state is independent of the consent by existing states.<br/>This theory has been laid down under <b><u>Article 3 of the Montevideo Conference of 1933.<br/>This theory states that the existence of a new state does not depend on being recognised by the existing state.</u></b><br/>Even before recognition by other states, the new state has the right to defend its integrity and independence under International law.<br/>The followers of theory consider the process of recognition as merely a formal acknowledgement of statehood by other states.<br/>2.<b><u>Consecutive theory of state recognition in International Law</u></b><ul>The main exponents related to this theory are <b><u>Oppenheim, Hegal and Anziloti.</u></b></ul>According to the consecutive theory of state recognition in International Law, for a <b><u>State to be considered an international person, its recognition by the existing states as a sovereign required.</u></b><br/>Consecutive theory of state recognition in International Law is of the view that only after recognition a State gets the status of an International Person and becomes a subject to International Law.<br/>So, even if an entity possesses all the characteristics of a state, it does not get the status of an international person unless recognised by the existing States.<br/>Consecutive theory of state recognition in International Law does not mean that a State does not exist unless recognised, but according to this theory, a state only gets the exclusive rights and obligations and becomes a subject to International Law after its recognition by other existing States.",NA
<q>Red Data Book</q> is published by,NA,B,World Wildlife Fund (WWF),International Union for Conservation of Nature (IUCN),United Nations Environment Program (UNEP),More than one of the above,NA,NA,NA,NA,"The <b>World Conservation Union, formerly the International Union for the Conservation Health of Nature and Natural Resources (IUCN)</b> has enlisted endangered plants and animals in the <b>Red Data Book.<br/>IUCN was founded in 1948 and is headquartered in the Gland, Switzerland.</b><br/>It works in the field of the <b>conservation of nature</b> and sustainable use of natural resources.<br/>It aims to conserve species with the help of scientific knowledge and international cooperation.<br/>The IUCN Red List is a critical indicator of the health of the world's biodiversity.<br/>It is the <b>World&#39;s most comprehensive inventory of the global conservation status of biological species</b><br/>Species are classified by the IUCN Red List specified through criteria such as rate of decline, population size, area of geographic distribution, and degree of population and distribution fragmentation",NA
Carbon trading was introduced after the,NA,B,Montreal Protocol,Kyoto Protocol,Nagoya Protocol,More than one of the above.,NA,NA,NA,NA,"<b><u>Concept:</u><br/><br/>Carbon trading:</b><br/><br/>Carbon trading is an effort to control pollution.<br/>Just like simple trading, it is a trading of carbon.<br/>Here a central authority sets the number of pollutants that can be emitted.<br/>This allowance is termed <b>credit.</b><br/>And when the emitted pollutant is carbon dioxide then it is called <b>carbon credit.</b><br/>If a company crosses the set limit of this credit then they have to buy extra allowance from those who have emitted pollutants lesser than the set limit.<br/>This transfer of <b>carbon credit is termed carbon trading.</b><br/>It was introduced after the <b>Kyoto Protocol.</b>",NA
