question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements: <br/>1. The Prime Minister shall be appointed by the President and the other Ministers shall be appointed by the President on the advice of the Prime Minister <br/>2. The total number of ministers, including the Prime Minister, in the Council of Ministers shall not exceed 15% of the total strength of the Lok Sabha <br/>Which of these statements are correct?",NA,C,1 Only,2 Only,Both 1 and 2,None,NA,NA,NA,NA,"The Prime Minister shall be appointed by the President and the other Ministers shall be appointed by the President on the advice of the Prime Minister. The total number of ministers, including the Prime Minister, in the Council of Ministers, shall not exceed 15% of the total strength of the Lok Sabha.",NA
Consider the following pairs:<br/>1. Neelam Sanjiva Reddy - Appointed Charan Singh as PM in 1979 <br/>2. Zail Singh - Appointed Rajiv Gandhi as PM after Indira Gandhi&#39;s assassination in 1984 <br/>3. Morarji Desai - Appointed by the President in 1977 <br/>4. Charan Singh - Appointed by the President in 1980 <br/>How many pairs given above are correctly matched?,NA,B,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. Neelam Sanjiva Reddy - Appointed Charan Singh as PM in 1979:<br/>- Correct. Neelam Sanjiva Reddy, the then President, appointed Charan Singh as the Prime Minister in 1979 after the fall of the Janata Party government headed by Morarji Desai.<br/><br/>2. Zail Singh - Appointed Rajiv Gandhi as PM after Indira Gandhi's assassination in 1984:<br/>- Correct. After Indira Gandhi was assassinated in 1984, President Zail Singh appointed Rajiv Gandhi as the Prime Minister.<br/><br/>3. Morarji Desai - Appointed by the President in 1977:<br/>- Incorrect. Morarji Desai became the Prime Minister in 1977 as the leader of the Janata Party, which had won the general elections. He was not directly appointed by the President but was the leader of the majority party in the Lok Sabha.<br/><br/>4. Charan Singh - Appointed by the President in 1980:<br/>- Incorrect. Charan Singh was appointed as Prime Minister by President Neelam Sanjiva Reddy in 1979, not in 1980.<br/><br/>So, only pairs 1 and 2 are correctly matched.",NA
Consider the following statements:<br/><br/>Statement-I: The President is the nominal executive authority (de jure executive) and Prime Minister is the real executive authority (de facto executive).<br/><br/>Statement-II: The President has the authority to appoint the Prime Minister based on the conventions of the parliamentary system of government.<br/><br/>Which one of the following is correct in respect of the above statements?,NA,B,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I correctly defines the roles of the President and Prime Minister in the government structure. The President holds a symbolic position while the Prime Minister wields actual executive power.<br/><br/>Statement-II accurately mentions that the President appoints the Prime Minister following the parliamentary system&#39;s conventions. However, it does not elaborate on the distinct roles of the President and Prime Minister as highlighted in Statement-I. <br/>Hence, both statements are correct, but Statement-II does not explain Statement-I",NA
Which of the following statements is/are correct about the cabinet committee? <br/>1. They are extra-constitutional in the emergence <br/>2. They are not mentioned in the constitution <br/>3. The rules of business provide for their establishment <br/><br/>Choose from the following options.,NA,D,1 and 3 Only,2 and 3 Only,1 and 2 Only,All of them,NA,NA,NA,NA,All the statements mentioned in the options are correct about the Cabinet Committee.,NA
"Consider the following statements:<br/>1. The President of India is the nominal executive authority, while the Prime Minister is the real executive authority. <br/>2. The President has the discretion to appoint anyone as the Prime Minister, regardless of the majority party in the Lok Sabha. <br/>3. The President exercised his discretion in appointing the Prime Minister for the first time in 1984. <br/>Which of the statements given above is/are correct?",NA,A,1 Only,1 and 2 Only,1 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"1. Statement 1 is correct: The President of India is indeed the nominal executive authority (de jure executive), while the Prime Minister is the real executive authority (de facto executive). The President is the head of the State, and the Prime Minister is the head of the government.<br/><br/>2. Statement 2 is incorrect: According to the conventions of the parliamentary system of government, the President of India must appoint the leader of the majority party in the Lok Sabha as the Prime Minister. The President does not have the discretion to appoint anyone as the Prime Minister regardless of whether they belong to the majority party or not.<br/><br/>3. Statement 3 is incorrect: The President first exercised his discretion in appointing the Prime Minister in 1979, not 1984. In 1979, President Neelam Sanjiva Reddy appointed Charan Singh as the Prime Minister after the fall of the Janata Party government.<br/><br/>Therefore, only Statement 1 is correct.",NA
Consider the following statements:<br/>Statement-I: The Prime Minister recommends persons who can be appointed as ministers by the president and presides over the meeting of the council of ministers.<br/>Statement-II: The Prime Minister is the principal channel of communication between the President and the council of ministers and advises the president on the appointment of important officials. <br/><br/>Which one of the following is correct in respect of the above statements?,NA,B,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I is correct because the Prime Minister does recommend persons who can be appointed as ministers by the president and also presides over the council of ministers. Statement-II is also correct as the Prime Minister is indeed the principal channel of communication between the President and the council of ministers and advises on important official appointments. However, Statement-II does not directly explain Statement-I but rather provides additional powers and functions of the Prime Minister in relation to the President.",NA
Consider the following statements about Cabinet Committees:<br/>1. They are not mentioned in the Constitution.<br/>2. They are set up by the Prime Minister according to the exigencies of the time and requirements of the situation. <br/>3. The Cabinet cannot review the decisions taken by Cabinet Committees. <br/>Which of the statements given above is/are correct?,NA,B,1 and 3 only,1 and 2 only,2 and 3 only,1 only,NA,NA,NA,NA,"The correct answer is 1 and 2 only.<br/><br/>Important Points:<br/>?The following are the features of Cabinet Committees:<br/>- They are extra-constitutional in emergence. In other words, they are not mentioned in the Constitution. Hence, statement 1 is correct. However, the Rules of Business provide for their establishment.<br/>-They are of two types : standing and ad hoc. <br/>The former is of a permanent nature while the latter is of a temporary nature. The ad hoc committees are constituted from time to time to deal with special problems. They are disbanded after their task is completed.<br/>- They are set up by the Prime Minister according to the exigencies of the time and requirements of the situation. Hence, statement 2 is correct.<br/>-Hence, their number, nomenclature, and composition vary from time to time. Their membership varies from three to eight. They usually include only Cabinet Ministers. However, the non-cabinet Ministers are not debarred from their membership.They not only sort out issues and formulate proposals for the consideration of the Cabinet but also take decisions.<br/><br/>However, the Cabinet can review their decisions. Hence, statement 3 is NOT correct.<br/>-They are an organisational device to reduce the enormous workload of the Cabinet.<br/>-They also facilitate in-depth examination of policy issues and effective coordination.<br/>- They are based on the principles of division of labour and effective delegation.",NA
"As per the constitution, it is the duty of the Prime Minister to <br/>1. Communicate to the President all decisions of the council of ministers relating to the administration of the Union&#39;s affairs and proposals for legislation. <br/>2. Submit for the consideration of the council of ministers any matter on which a minister has taken a decision but which has not been considered by the council, if required by the President. <br/>Which of the above is/are correct?",NA,C,1 only,2 only,Both 1 and 2,None,NA,NA,NA,NA,"Solution: <br/>- These are the provisions as per Article 78 constitution.<br/>- It also requires the Prime Minister to furnish such information relating to the administration of the Union&#39;s affairs and proposals for legislation as the President may call for.<br/>- This article is one of the most important ones in the constitution delineating the relationship between Prime Minister and President.<br/>- On the other hand, the legislature can pass no-confidence motion to remove the council of Ministers from office.<br/>- Speaker, Lok Sabha only is authorised to do so.",NA
Which of the following is/are the eligibility criteria for the prime minister&#39;s office?<br/> 1. He should not have been a former President of India.<br/>2. the people of India should have directly elected him.<br/>3. He should be the leader of a political party.<br/>Choose the correct answer using the codes below.,NA,D,1 and 2 only,2 and 3 only,3 only,None of the above,NA,NA,NA,NA,"Article 75 says only that the president shall appoint the Prime Minister. The President has to appoint the leader of the majority party as the Prime Minister. Though he/she is not a member of parliament at the time of appointment, he/she has to acquire parliament membership within six months. This means one has to be eligible to be a Lok Sabha member or Rajya Sabha to be a Prime Minister.",NA
"Which of the following is/are common to the oath taken by the Prime Minister and other Members of Parliament (MPs)?<br/>1. To bear true faith and allegiance to the Constitution of India. <br/>2. To uphold the sovereignty and integrity of India.<br/>3. To do right to all manner of people following the Constitution and the law, without fear or favour, affection or ill will.<br/>Select the correct answer using the codes below:",NA,A,"1, 2 and 3",2 only,2 and 3 only,3 only,NA,NA,NA,NA,"Before the Prime Minister enters upon his office, the president administers the oaths of office and secrecy to him. In his oath of office, the Prime Minister swears:<br/>- To bear true faith and allegiance to the Constitution of India,<br/>- To uphold the sovereignty and integrity of India,<br/>- To faithfully and conscientiously discharge the duties of his office, and<br/>- To do right to all manner of people following the Constitution and the law, without fear or favour, affection or ill will.<br/><br/>The MP also takes a similar oath apart from the oath of secrecy and the last point in the oath of Prime Minister (or Union Ministers). The oath of MPs is to:<br/>1. bear true faith and allegiance to the Constitution of India; <br/>2. uphold the sovereignty and integrity of India; and <br/>3. faithfully discharge the duty upon which he is about to enter. <br/>Unless a member takes the oath, he cannot vote and participate in the House&#39;s proceedings and does not become eligible for parliamentary privileges and immunities.",NA
