question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is the definition of inflation?<br/>1. Rise in the general level of prices<br/>2. Sustained rise in the general level of prices<br/>3. Persistent increases in the general level of prices<br/><br/>Which of these statements is/are correct?,NA,D,1 and 2 Only,2 Only,3 Only,All of them,NA,NA,NA,NA,These are some of the most common academic definitions of inflation.<br/>A rise in the general level of prices; <br/>a sustained rise in the general level of prices; <br/>persistent increases in the general level of prices; <br/>an increase in the general level of prices in an economy that is sustained over time; <br/>rising prices across the boards is inflation.,NA
"Consider the following statements.<br/>1. Deflation is the general level of prices is falling over some time.<br/>2. Disinflation means a reduction in the level of national income and output, unlike the deflation.<br/>Which of these statements is/are correct?",NA,A,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"When the general level of prices is falling over some time this is deflation, the opposite situation of inflation.<br/><br/>It is also known as disinflation. But in contemporary economics deflation or disinflation not used to indicate fall in prices.<br/><br/>In policy terms, deflation or disinflation means a reduction in the level of national income and output, usually accompanied by a fall in the general price level.",NA
Which of the following is Demand-Pull Inflation:,NA,D,"According to Keynesian it is that the demand increases over the same level of supply, or the supply decreases with the same level of demand.","According to monetarists, it is the creation of extra purchasing power to the consumer over the same level of production.",Neither of them,Both of them,NA,NA,NA,NA,"A mismatch between demand and supply pulls up prices.<br/>Either the demand increases over the same level of supply, or the supply decreases with the same level of demand and thus the situation of demand-pull inflation arises.<br/><br/>This was a Keynesian idea. The Keynesian School suggests cuts in spending as the way of tackling excess demand mainly by increasing taxes and reducing government expenditure.<br/>Monetarists view Demand-pull inflation as the creation of extra purchasing power to the consumer over the same level of production.<br/>This is the type of creating extra money (either by the printing or public borrowing) without equivalent creation in production/supply i.e. too much money chasing too little output.",NA
"Consider the following statements.<br/>1. For the monetarists, a particular level of money supply for a particular level of production is healthy for an economy<br/>2. Extra creation of money over the same level of production causes inflation<br/>3. Monetarists accepted this Keynesian theory of inflation. <br/><br/>Which of these statements is/are correct?",NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"For the monetarists, a particular level of money supply for a particular level of production is healthy for an economy.<br/>Extra creation of money over the same level of production causes inflation.<br/>They suggested proper monetary policy (money supply, interest rates, the printing of currencies, public borrowing etc.), to check situations of inflationary pressure on the economy.<br/>Monetarists rejected the Keynesian theory of inflation.",NA
Consider the following statements.<br/>1. The governments may take recourse to tighter monetary policy to cool down either the demand-pull or the cost-push inflations.<br/>2. This is intended to increase the money supply in the economy.<br/>Which of these statements is/are correct?,NA,A,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"Statement 1 is correct, while statement 2 is incorrect.<br/><br/>Explanation:<br/>1. Tighter monetary policy is used by governments to reduce inflation, whether it is demand-pull or cost-push inflation. It involves increasing interest rates or reducing the money supply in the economy, making borrowing more expensive and discouraging excessive spending. This helps to reduce aggregate demand, thus cooling down inflationary pressures.<br/>2. The statement is incorrect because tighter monetary policy is not intended to increase the money supply in the economy; rather, it is aimed at reducing the money supply. An increase in the money supply is associated with looser monetary policy, which is used to stimulate economic growth during periods of slow economic activity or recession.",NA
Consider the following statements.<br/>1. The long term measure is to cool down Inflation is to make money costlier.<br/>2. The short term is to increase the Bank Rate or Repo Rate.<br/>3. Other short term is measure is to increase production.<br/>Which of these statements is/are correct?,NA,A,2 only,3 Only,1 Only,1 and 3 Only,NA,NA,NA,NA,"The governments may take recourse to tighter monetary policy to cool down either the demand-pull or the cost-push inflations.<br/>This is intended to cut down the money supply in the economy by siphoning out the extra money (as RBI increases the Cash Reserve Ratio of banks in India) from the economy and by making money costlier (as RBI increases the Bank Rate or Repo Rate in India) This is a short-term measure.<br/>In the long-run, the best way is to increase production with the help of the best production practices.",NA
Which of the following is also known as Jumping Inflation?,NA,C,Core Inflation,Bottleneck Inflation,Galloping Inflation,Creeping Inflation,NA,NA,NA,NA,Gallopin Inflation is a type of inflation that occurs when the prices of goods and services increase at two-digit or three-digit rate per annum. Galloping inflation is also known as jumping inflation.,NA
"Consider the following statements about GDP Deflator.<br/>1. This is the ratio between GDP at Current Price and GDP at Constant Prices <br/>2. If GDP at Current Prices is equal to the GDP at Constant Prices, GDP deflator will be 1, implying no change in the price level<br/>3. GDP deflator is acclaimed as a better measure of price behaviour because it covers all goods and services produced in the country<br/>Which of these statements is/are correct?",NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"This is the ratio between GDP at Current Price and GDP at Constant Prices.<br/>If GDP at Current Prices is equal to the GDP at Constant Prices, GDP deflator will be 1, implying no change in the price level. If GDP deflator is found to be 2, it implies a rise in price level by a factor of 2.<br/>GDP deflator is acclaimed as a better measure of price behaviour because it covers all goods and services produced in the country (because the weight of services has not been equitably accounted in the Indian <q>headline inflation</q>, i.e., inflation at WPI).",NA
Consider the following statements.<br/>1. Rising inflation indicates rising aggregate demand and indicates comparatively lower supply and higher purchasing capacity among the consumers<br/>2. Higher inflation suggests the producers to increase their production level as it is generally considered as an Inflation of higher demand in the economy<br/>Which of these statements is/are incorrect?,NA,D,1 Only,2 Only,None of them,Both 1 and 2 ,NA,NA,NA,NA,"The first statement says that rising inflation indicates rising aggregate demand, which suggests a comparatively lower supply and higher purchasing capacity among consumers. This is False. Rising inflation could indicate rising demand, but it doesn&#39;t necessarily mean there is a higher purchasing capacity among consumers. Inflation can erode purchasing power if wages do not increase at the same rate as prices. Additionally, inflation can also be caused by factors other than aggregate demand, such as increased costs of production or supply chain disruptions.<br/>The second statement suggests that higher inflation prompts producers to increase their production level as it is generally considered a sign of higher demand. This is false; producers might increase production if they perceive inflation as a sign of increased demand. However, if inflation is caused by supply-side factors (like increased costs of raw materials), higher production levels may not be feasible or profitable. Furthermore, inflation could also be a result of too much money chasing too few goods, which doesn&#39;t necessarily mean that demand has increased in real terms - it could just mean that the money supply has increased.",NA
"Consider the following statements.<br/>1. Higher inflation indicates higher demand and suggests entrepreneurs expand their production level.<br/>2. Higher the inflation, the higher the cost of the loan.<br/>Which of these statements is/are correct?",NA,B,1 Only,Both 1 and 2,2 Only,None of them,NA,NA,NA,NA,"Rising inflation indicates rising aggregate demand and indicates comparatively lower supply and higher purchasing capacity among the consumers. Usually, higher inflation suggests the producers to increase their production level as it is generally considered as an indication of higher demand in the economy. Higher inflation indicates higher demand and suggests entrepreneurs to expand their production level and Higher the inflation, higher the cost of loan.",NA
