question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The lower Gangetic plain is characterized by a humid climate with high temperature throughout the year. <br/>Which one among the following pairs of crops is most suitable for this region?,NA,C,Paddy and Cotton,Wheat and Jute,Paddy and Jute,Wheat and Cotton,NA,NA,NA,NA,Paddy and jute are the correct answer.,NA
What are the conditions favourable for tea cultivation?<br/>1. Warm temperature<br/>2. High rainfall<br/>3. High altitude<br/>4. Sloping land,NA,C,"1, 2 and 3","2, 3 and 4","1, 2 and 4",All the four,NA,NA,NA,NA,"India is the largest producer and exporter of tea in the world. The ideal climatic conditions for the production and growing of tea are as follows:<br/><br/>Temperature: 21&deg;C to 29&deg;C is ideal for the production of tea. High temperature is required in summer. The lowest temperature for the growth of tea is 16&deg;C.<br/><br/>Rainfall: 150-250 cm of rainfall is required for tea cultivation.<br/><br/>Soil: Tea shrubs require fertile mountain soil mixed with lime and iron. The soil should be rich in humus.<br/><br/>Land: Tea cultivation needs well-drained land. Stagnation of water is not good for tea plants. Heavy rainfall but no stagnancy of water, such mountain slopes are good for tea cultivation.",NA
What is the chief cause of low yields of crops in India?<br/>1. Small size of holdings <br/>2. Traditional methods of farming <br/>3. less farmers <br/>4. Low level of farm mechanization <br/><b>Codes:</b>,NA,B,"1, 2 and 3","1, 2 and 4","2, 3 and 4","1, 3 and 4",NA,NA,NA,NA,"The low productivity in India is a result of the following factors:<br/>- The average size of land holdings is very small (less than 2 hectares) and is subject to fragmentation due to land ceiling acts, and in some cases, family disputes <br/>- Adoption of modern agricultural practices and use of technology is inadequate<br/>- India has inadequate infrastructure and services.<br/>- Illiteracy, general socio-economic backwardness, slow progress in implementing land reforms and inadequate or inefficient finance and marketing services.<br/>- Inconsistent government policy.<br/>- Irrigation facilities are inadequate,",NA
Which soil needs little irrigation as it retains soil moisture?,NA,B,Alluvial soil,Black soil,Red soil,Laterite soil,NA,NA,NA,NA,Black soil is formed due to Solidification of lava spread over large areas during volcanic activity in the Deccan plateau. The Soil is rich in iron and nitrogen. It is suitable for cotton and groundnuts.,NA
Monoculture is a distinct characteristic of,NA,A,Commercial grain farming,Shifting cultivation,Subsistence farming,Organic farming,NA,NA,NA,NA,Monoculture is a distinct characteristic of commercial grain farming. Monoculture is the agricultural practise of producing or growing a single crop or plant species over a wide area and for a large number of consecutive years.,NA
Which of the following crops are grown mostly under subsistence farming?,NA,A,Millets and Rice,Cotton and Tobacco,Tea and Coffee,Vegetables and Fruits,NA,NA,NA,NA,Millets and Rice are grown mostly under subsistence farming. Subsistence agriculture is self-sufficiency farming in which the farmers focus on growing enough food to feed themselves and their families. The typical subsistence farm has a range of crops and animals needed by the family to feed and clothe themselves during the year.,NA
Dapog method of rice nursery was developed in,NA,D,China,Indonesia,Japan,Philippines,NA,NA,NA,NA,"The answer is D: Philippines. <br/><br/>-The Dapog method of rice nursery was developed in the Philippines. The dapog method of raising seedlings originated in the Philippines and is now fairly common in South and Southeast.<br/>- The dapog nursery is constructed for the raising of seedlings without any soil whatsoever.<br/>- Rice seeds contain sufficient food in the endosperm to permit the young seedling to grow for up to 14 days without receiving any outside nutrients except air, water, and sunlight.<br/>- Consequently, it is possible to nurse seedlings without actually sowing them in soil.",NA
Which crop is afflicted by the disease called red rot?,NA,D,Rice,Wheat,Bajra,Sugarcane,NA,NA,NA,NA,Red rot disease is caused by fungus and sugarcane is affected by it.,NA
Which of the following statements relating to Indian agriculture is/are correct ?<br/>1. India has the World&#39;s largest cropped area.<br/>2. Cropping pattern is dominated by cereal crop.<br/>3. The average size of an Indian farm holding is too small for several agricultural operations.<br/>Select the correct answer using the code given below:,NA,D,1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",NA,NA,NA,NA,"The correct answer is option 4, which means that all of the statements provided in the options are correct.<br/><br/>Statement 1: India has the world&#39;s largest cropped area. This means that India has the most amount of land used for cultivating crops in the world. This statement is correct.<br/><br/>Statement 2: The cropping pattern in India is dominated by cereal crops. This means that a large proportion of the crops grown in India are cereal crops such as rice, wheat, and maize. This statement is also correct.<br/><br/>Statement 3: The average size of an Indian farm holding is too small for several agricultural operations. This means that the average size of farms in India is relatively small, which can limit the implementation of certain agricultural operations. This statement is also correct.<br/><br/>Therefore, all three statements provided in the options are correct, making option 4 the correct answer.",NA
Which of the following regarding Revised Macro Management of Agriculture Scheme (2008-2009) is/arc correct?<br/>1. Allocate funds to States and Union Territories on a criterion based on gross cropped area and area under small and marginal holdings.<br/>2. The assistance is provided to the States and Union Territories as 100% grant.<br/>Select the correct answer using the code given below: <br/>Code:,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is option C: Both 1 and 2.<br/><br/>Explanation:<br/>The Revised Macro Management of Agriculture Scheme (2008-2009) has two correct characteristics:<br/>1. The scheme allocates funds to states and union territories based on two criteria:<br/>a. Gross cropped area<br/>b. Area under small and marginal holdings<br/>This means that the funds are distributed to states and union territories based on the total area of land used for farming and the area specifically utilized by small and marginal farmers.<br/><br/>2. The assistance provided under this scheme is in the form of a 100% grant. This means that the funds given to states and union territories are not a loan or repayable amount but a grant that does not need to be repaid.<br/><br/>Therefore, both statement 1 and statement 2 are correct.",NA
