question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What is the SI unit of speed?,NA,A,Meter/Second,Kilogram/Meter,Meter/Second^2,Newton,NA,NA,NA,NA,"The SI unit of speed is <q>Meter/Second</q> Speed is defined as the rate at which an object covers distance per unit of time. In SI units, it is measured in meters per second (m/s). This unit represents how many meters an object travels in one second.",NA
"According to Newton&#39;s Third Law of Motion, what happens when body A exerts a force on body B?",NA,C,Body B exerts a force on body A in the same direction.,Body B exerts no force on body A.,Body B exerts an equal and opposite force on body A.,Body B exerts a force on body A in a random direction.,NA,NA,NA,NA,"According to Newton&#39;s Third Law of Motion, <q>To every action, there is an equal and opposite reaction</q>. This means that when body A exerts a force on body B, body B exerts an equal and opposite force on body A along the same line of action. This law explains interactions between objects and how forces are always mutual and in opposite directions.",NA
Which of the following is a vector quantity?,NA,C,Mass,Time,Density,Force,NA,NA,NA,NA,"Force is a vector quantity because it has both magnitude and direction. It is represented by an arrow indicating the direction of the force, and the length of the arrow represents the magnitude of the force. In contrast, scalar quantities like mass, time, and density have only magnitude without a specific direction.",NA
Which law of motion states that <q>The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts</q>?,NA,B,Newton&#39;s First Law,Newton&#39;s Second Law,Newton&#39;s Third Law,Archimedes&#39; Principle,NA,NA,NA,NA,"Newton&#39;s Second Law of Motion states that <q>The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts</q>. This law is expressed mathematically as F = ma, where F is the force, m is the mass, and a is the acceleration.",NA
What is the SI unit of pressure?,NA,A,Pascal,Newton,Dyne,Kilogram/Meter^2,NA,NA,NA,NA,"The SI unit of pressure is the <q>Pascal</q> (Pa). Pressure is defined as a force acting per unit area, and the Pascal represents one Newton of force per square meter. It is used to measure various pressures, including atmospheric pressure and pressure in fluid systems.",NA
What is the unit of linear momentum?,NA,C,Newton/Second,Kilogram/Meter,Kilogram-Meter/Second,Kilogram-Meter/Second^2,NA,NA,NA,NA,The unit of linear momentum is <q>Kilogram-Meter/Second</q> (kgm/s). Linear momentum is calculated as the product of an object&#39;s mass and its linear velocity. It measures the motion of an object in a straight line and is used to analyze collisions and motion.,NA
Which of the following is an example of a scalar quantity?,NA,C,Velocity,Force,Temperature,Acceleration,NA,NA,NA,NA,"Temperature is a scalar quantity because it has only magnitude and no specific direction. Scalar quantities are described solely by their magnitude, and temperature is a measure of the average kinetic energy of particles in a substance.",NA
What is the property of all material bodies due to which they naturally tend to continue in a state of rest or of uniform linear motion?,NA,A,Inertia,Friction,Momentum,Pressure,NA,NA,NA,NA,The property of all material bodies due to which they naturally tend to continue in a state of rest or of uniform linear motion is called <q>Inertia</q>. Inertia is the resistance of an object to changes in its state of motion and is measured by its mass.,NA
What type of force opposes the relative motion between two surfaces in contact with each other?,NA,D,Centripetal Force,Centrifugal Force,Gravitational Force,Frictional Force,NA,NA,NA,NA,The force that opposes the relative motion between two surfaces in contact with each other is known as <q>Frictional Force</q>. Friction is a force that acts to resist the sliding or rolling motion of objects when they are in contact with each other.,NA
"What is the pressure in a given region of space when all the fluid, which is the source of pressure, has been removed from that region?",NA,B,Atmospheric Pressure,Zero Pressure,Gauge Pressure,Absolute Pressure,NA,NA,NA,NA,"When all the fluid, which is the source of pressure, has been removed from a region of space, the pressure in that region is referred to as <q>Zero Pressure</q>. An example of this is a perfect vacuum, which has no fluid or matter to exert pressure.",NA
"What instrument is used to find the specific gravity of liquids quickly and directly without calculations, working on the principle of floatation?",NA,C,Thermometer,Barometer,Hydrometer,Manometer,NA,NA,NA,NA,A hydrometer is used to find the specific gravity of liquids quickly and directly without the need for complex calculations. It operates based on the principle of floatation,NA
What is the term for the ratio of the weight of any volume of a substance to the weight of an equal volume of water at 4&deg;C?,NA,A,Relative Density,Absolute Density,Specific Mass,Fluidity Ratio,NA,NA,NA,NA,"Relative density, also known as specific gravity, is the ratio of the weight of any volume of a substance to the weight of an equal volume of water at 4&deg;C. It is sometimes referred to as specific gravity because it is a pure number without units.",NA
The law of floatation states that a floating body displaces what in the fluid in which it floats?,NA,B,Its own volume of fluid,Its own weight of fluid,Half of its weight of fluid,Twice its volume of fluid,NA,NA,NA,NA,"According to the law of floatation, a floating body displaces its own weight of the fluid in which it floats.",NA
