question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The PURA scheme by the former President Dr. Abdul Kalam refers to:,NA,A,Providing Urban Amenities in Rural Areas,A Plan for Urban and Rural Areas ,A model for the growth of the metro Cities,Providing Urban-Rural Alignment,NA,NA,NA,NA,"<b>Providing Urban Amenities in Rural Areas (PURA)</b> is a scheme envisioned by former President Dr. A.P.J. Abdul Kalam.<br/>The scheme aims to bridge the rural-urban divide by providing essential urban amenities and services to rural areas.<br/>PURA focuses on improving the quality of life in rural areas by ensuring the provision of physical, electronic, and knowledge connectivity.<br/>The initiative includes infrastructure development such as roads, water supply, sanitation, and electricity, as well as social infrastructure like schools and healthcare facilities.<br/>By fostering economic activities and enhancing livelihood opportunities, PURA aims to curb rural-to-urban migration and promote sustainable development in rural areas.",NA
When was the first ever National Agriculture Policy announced?,NA,B,01-03-2*004,01-07-2*000,Mar-02,Jan-04,NA,NA,NA,NA,"<b>The first ever National Agriculture Policy</b> in India was announced on <b>July 2000.</b><br/>The policy aimed at achieving a growth rate of over 4% per annum in the agriculture sector.<br/>It focused on sustainable agriculture, food and nutritional security, generation and transfer of technology, and better management of natural resources.<br/>The policy emphasized the importance of private sector participation and aimed at creating a favorable economic environment for increasing capital formation and farmer&#39;s income.",NA
What does M stand for in MUDRA yojana?,NA,A,Micro ,Money,Major,Macro,NA,NA,NA,NA,"<b>Micro</b> stands for micro enterprises, which are the primary focus of the MUDRA (Micro Units Development and Refinance Agency) Yojana.<br/>MUDRA Yojana was launched by the Government of India to provide funding to the non-corporate, non-farm small/micro enterprises.<br/>The scheme aims to support the growth and development of micro-enterprises in India by providing financial assistance up to Rs. 10 lakh.<br/>MUDRA loans are categorized into three products: Shishu (covering loans up to Rs. 50,000), Kishor (covering loans above Rs. 50,000 and up to Rs. 5 lakh), and Tarun (covering loans above Rs. 5 lakh and up to Rs. 10 lakh).<br/>The initiative is aimed at promoting entrepreneurship and employment generation at the grassroots level.",NA
What is the maximum age of a girl eligible for opening an account in Sukanya Samriddhi Yojana?,NA,D,7 years,8 years,9 years,10 years,NA,NA,NA,NA,"Sukanya Samriddhi Yojana is a <b>savings scheme</b> launched by the government of India.<br/>The scheme was launched in <b>2015.</b><br/>It was launched by prime minister <b>Narendra Modi.</b><br/>Under this scheme, a special deposit account can be opened for girl children in her name by her parents in any post office or authorized branches of commercial banks.<br/>The maximum age of a girl eligible for opening an account in Sukanya Samriddhi Yojana is <b>10 years.</b><br/>The initial deposit required to open an account is <b>Rs 250</b>(initially which was Rs.1000).<br/>The maximum deposit limit under this scheme is <b>Rs 150,000.</b><br/>Only <b>two girl children</b> from a family will get the benefit of Sukanya Samriddhi Yojana.",NA
Which among the following is a scheme that is aimed at the development of girl child in the country?,NA,C,Vidya Lakshmi Scheme ,"
Pradhan Mantri Shishu Vikas Yojana ",Pradhan Mantri Sukanya Samriddhi Yojana ,Pradhan Mantri Balika Suraksha Yojana ,NA,NA,NA,NA,"The correct answer is <b><u>Pradhan Mantri Sukanya Samriddhi Yojana.</u></b><br/><br/>Pradhan Mantri Sukanya Samriddhi Scheme is aimed at the security of girl child in the country.<br/>It was launched on 22 January 2015.<br/>The parents of the girl child can open the account before she attains the age of 10 years and deposit money till the child becomes 14 years old.<br/>After the age of 21 years, the amount can be withdrawn by the girl child.<br/>The minimum amount required to be deposited in this account every year is Rs 250 whereas the maximum investment in a year can be up to Rs 1.5 lakhs.",NA
Pradhan Mantri Ujjwala yojna is related to :,NA,C,Skill imparting,Financial Inclusion,LPG connection,Electricity connection,NA,NA,NA,NA,"<b>Pradhan Mantri Ujjwala yojna:</b><br/><br/>The PMUY was <b>launched on May 1st, 2016</b> in Ballia, Uttar Pradesh.<br/>It was to provide a <b>free LPG connection to women belonging to BPL.</b><br/>It is one of the best ways to create <b>smokeless cooking</b> and to make women&#39;s life healthy.",NA
PM Gram Sadak Yojana was started in Uttar Pradesh in the year  _______,NA,A,2012,2015,2009,2010,NA,NA,NA,NA,"PM Gram Sadak Yojana (PMGSY) was started in <b>Uttar Pradesh in the year 2012.</b><br/>PM Gram Sadak Yojana was introduced <b>in 2000 by the then-Prime Minister of India Late Shri Atal Bihari Vajpayee.</b><br/>Mukhya Mantri Gram Sadak Yojana run by various state governments are the schemes that complement PMGSY
The aim was to provide roads to all villages with a population of 1000 persons and above by 2003.<br/>The aim was also to provide roads to all villages with a population of 500 persons and above by 2007.<br/>Mahatma Gandhi National Rural Employment Guarantee Act was passed on <b>September 7, 2005,</b> but it came into force on February 2, 2006.",NA
<q>Handmade Paper</q> is selected as a product from the ______ district of Uttar Pradesh under the <q>One district One Product</q> scheme.,NA,B,Amethi,Jalaun,Deoria,Kushinagar,NA,NA,NA,NA,"<b>One District, One Product Programme</b> aims to encourage indigenous and specialized products and crafts in India.<br/>It was first started by the <b>Uttar Pradesh</b> government.<br/>This scheme will provide job opportunities to 25 lakh unemployed candidates across the state.<br/>Improvement in product quality and <b>skill development</b> is one of the main objective of the One District, One Product Programme.<br/>Uttar Pradesh government had launched this scheme on <b>24 January 2018.</b><br/><q>Handmade Paper</q> is selected as a product from the <b><u>Jalaun district</u></b> of Uttar Pradesh under the <q>One District One Product</q> scheme.",NA
The Mid-Day Meal scheme comes under the purview of which ministry?,NA,A,Ministry of Education,Ministry of Women and Child Development,Ministry of Social Justice and Empowerment,Ministry of Health and Family Welfare,NA,NA,NA,NA,"Mid-day Meal Scheme was started in <b><u>1995</u></b> throughout India by the <b>Ministry of Education.</b><br/>Mid-day Meal Scheme is a school meal program of the Government of India.<br/>The Midday Meal Scheme is now covered under the <b>National Food Security Act, 2013.<br/>Objectives of the Mid Day Meal Scheme:</b><ul>
Boost student enrolment.</ul><ul>It helps to promote students&#39; attendance.</ul><ul>Serves as an incentive not only for the children but also for the parents as it has an implicit subsidy.</ul><ul>The attraction for children who are otherwise reluctant to go to school.</ul>",NA
"Which state launched the SAHAY scheme aimed at nurturing young sporting talents in Maoist-hit districts, in December 2021?",NA,C,Madhya Pradesh,Chhattisgarh,Jharkhand,West Bengal,NA,NA,NA,NA,"<b>Jharkhand</b> CM Hemant Soren launched a scheme aimed at nurturing young sporting talents in <b>Maoist-hit districts,</b> in December 2021.<br/>The scheme is called <b>Sports Action toward Harnessing Aspiration of Youth (SAHAY).<br./>Boys and girls</b> in the <b>14-19 age group</b> from villages to ward level will be registered under the scheme and given opportunities to display their skills in <b>basketball, volleyball, etc.</b>",NA
