question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"About whose kingdom it is said, <q>The dominion of the Lord of the universe extended from Delhi to Palam</q>?",NA,B,Alam Shah,Nasir-ud-din Muhammad Tughlaq,Qutb-ud-din Mubarak,Ibrahim Lodi,NA,NA,NA,NA,"B is the correct option. It is said for Nasir-ud-Din Mahmud Shah Tughluq (reign: 1394 - February 1413 CE), also known as Nasiruddin Mohammad Shah, was the last sultan of the Tughlaq dynasty to rule the Islamic Delhi Sultanate.",NA
Which one of the following statement about the nature of the Muslim state in India during the Sultanate period is correct?,NA,D,It was a militaristic and aristocratic.,It was based not on the idea of equality but on the notion of privileges and power.,There was a king of tacit sharing of power between the rural Hindu aristocracy and the city-based administrators.,All of the above.,NA,NA,NA,NA,Additional Information: <br/>It was initially a military state but evolved into a stable administration with a complex bureaucracy and legal system. The sultans were absolute rulers who imposed a tax on non-Muslims and granted land to their nobles in exchange for military service.,NA
"The nobility exercised a predominant influence in the state as generals, administrators and sometimes as king makers. Which one of the following formed the majority in this class?",NA,B,Arabs,Turks,Abyssinians,Afghans,NA,NA,NA,NA,"In medieval India, the nobility formed an influential class that exercised power in the state. This class was made up of people from different backgrounds, including Arabs, Abyssinians, Afghans and Turks. However, the Turks formed the majority in this class and had a significant impact on Indian history. <br/>Turkish Nobility: The Turkish nobility was made up of various groups, including Ghilzai, Khilji, Tughlaq, Lodi and Mughal. These groups had distinct characteristics and played different roles in Indian history. However, they all shared a common Turkish heritage and were known for their military prowess and administrative skills. <br/>Impact on Indian History: The Turkish nobility had a significant impact on Indian history. They established several dynasties, including the Delhi Sultanate and the Mughal Empire, which ruled over India for centuries. They also introduced new cultural practices, such as the Persianate culture, which had a lasting influence on Indian society. <br/><br/>In conclusion, the Turkish nobility formed the majority in the class of medieval India&#39;s nobility. They played a significant role in the military and administration of the region and had a lasting impact on Indian history.",NA
Who constituted a council known as Umara-i Chahalgana?,NA,A,Iltutmish,Balban,Ala-ud-din Khalji,Firuz Tughlaq,NA,NA,NA,NA,The term Umara-i Chahalgani literally means the group of forty nobles. This council was constituted by Iltutmish and consisted of forty high-ranking officials. The members of this council were appointed by the Sultan and were responsible for advising him on matters of administration and governance.,NA
Which one of the following was the most well known powerful and first group of nobles created during the Sultanate period?,NA,C,Amiran-i-Sadahs,Umara-i-Chahalgana,Turkan-i-Chahalgani,None of these,NA,NA,NA,NA,"The Corps of forty was the council of 40 Turkic and non - Turkic nobles that was administered under the Delhi Sultanate. It was formed by Qutb-al-Din Aibak but later was modified by Sultan Iltutmish. It was the first ministerial body formed in India. <br/><br/>The Turkan-i-Chahalgani, also known as the <q>Forty Turks</q>, was a group of nobles that played a crucial role in the governance and administration of the Delhi Sultanate. They were initially Turkic slaves who were brought to India, converted to Islam, and rose to positions of power within the Sultanate. The Turkan-i-Chahalgani were known for their military prowess and administrative capabilities.",NA
Which one of the cities was founded by Firuz Tughlaq?,NA,D,Jaunpur,Hissar,"Firuzpur, Firuzabad",All of the above,NA,NA,NA,NA,"Firuz Tughlaq founded several cities around Delhi, including Jaunpur, Firozpur, Hissar, Firozabad, Fatehabad. Most of Firozabad was destroyed as subsequent rulers dismantled its buildings and reused the spolia as building materials, and the rest was subsumed as New Delhi grew.",NA
What was the name of Delhi sultan to whom belongs to credit of being the first sultan of Delhi to lay the foundation of permanent standing army?,NA,B,Iltutmish,Ala-ud-din Khalji,Balban,Muhammad-bin-Tughlaq,NA,NA,NA,NA,Correct Answer is B i.e Ala-ud-din Khilji. Ala-ud-din Khilji (1296 -1316): He adopted the policy of blood and iron. He was the first among the Delhi sultanate to lay the foundation of standing army which was based on the Turkish model.,NA
Which of the following is correct?,NA,D,"Ala-ud-din Khalji instituted the practice of maintaining the descriptive roll of individual soldiers in the army register, and also branding system (dagh) of the horses.",The army of Ala-ud-din Khalji was directly recruited by the army minister. The soldiers of Ala-ud-din Khalji were paid in cash.,"The soldiers of Ala-ud-din Khalji were provided with horses, arms and other equipments at the expense of the State.",All of the above.,NA,NA,NA,NA,"Administration Under Alauddin Khilji: <br/>Alauddin excelled as both a military and administrative leader. To bring peace to the nation, he destroyed the influence of the nobles. <br/>He seized their extra cash and belongings, stopped their social gatherings, and forbade them from drinking wine. <br/>He forbade the Ulemas from meddling in the state&#39;s political activities. He is also recognized for bringing up several improvements in the military and land revenue ministries. <br/>One of the wonders of medieval statesmanship is his command of the markets. <br/>During his rule, quiet and peaceful prevailed. Alauddin was a devoted supporter of education. He was patronising Amir Khusrau.",NA
Who were barids during Sultanate period?,NA,C,The officers in charge of the accounts and receipts.,The custodian of peace and order.,The news reporters and secret spies.,The revenue officers.,NA,NA,NA,NA,"Barid-i-mumalik was the head of the information and intelligence department. Someone whom the Sultan holds his confidence in was appointed as Barid. He had to keep the information of everything that was happening in the Sultanate. <br/><br/>The Barids were tasked with collecting news and information from various regions of the Sultanate. They would travel extensively, visiting different cities, towns, and villages, to gather first-hand information about political developments, social issues, and economic activities.",NA
Make pairs out of the following: <br/>A. Malwa            I. Harananda <br/>B. Chittor         II. Ratan Singh <br/>C. Warangal        III. Prataprudra Deva <br/>D. Devagiri        IV. Ramachandra <br/>E. Ranthambore      V. Hamir Deva,NA,A,(A-I) (B-II) (C-III) (D-IV),(A-II) (B-I) (C-III) (D-IV),(A-III) (B-I) (C-II) (D-IV),(A-III) (B-II) (C-I) (D-IV),NA,NA,NA,NA,"1. Harnanda Koka was the general of Alauddin Khalji&#39;s army. Malwa along with Mandu, Dhara and Chanderi fell to Alauddin Khalji. Ain-ul-Mulk Multani was appointed the governor of Malwa. <br/>2. The Rajasthani legends mention him as the Rajput ruler Ratan Singh. A fictionalized version of him appears as Ratan Sen in Malik Muhammad Jayasi&#39;s Padmavat. According to this poem, Alauddin attacked Chittorgarh to obtain his beautiful wife Rani Padmini; Alauddin captured the fort after Ratan Sen died in a combat with king Devpal of Kumbhalner; subsequently, Padmini and other women committed Jauhar to protect their honour. <br/>3. Prataparudra, also known as Rudradeva II, was the last ruler of the Kakatiya dynasty of India. He ruled the eastern part of Deccan, with his capital at Warangal. <br/>4. Ramachandra also known as Ramadeva, was a ruler of the Seuna (Yadava) dynasty of Deccan region in India. He seized the throne from his cousin Ammana, after staging a coup in the capital Devagiri.",NA
