question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The forex reserves of an economy is its foreign currency assets added with its:<br/>1. Gold Reserves<br/>2. Special drawing rights in the World Bank<br/>3. Special drawing rights in the IMF<br/>Choose from the following options.,NA,C,1 Only,1 and 2 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"The total foreign currencies (of different countries) an economy possesses at a point of time is its foreign currency assets/reserves.<br/><br/>The Forex Reserves (short for foreign exchange reserves) of an economy is its <q>foreign currency assets</q> added with its gold reserves, SDRs (Special Drawing Rights) and Reserve Tranche in the IMF.<br/><br/>In a sense, the Forex reserves are the upper limit up to which an economy can manage foreign currency in standard times if need be.",NA
When RBI purchase dollars:<br/>1. It leads to infusion of rupee into the system<br/>2. It leaves inflationary effects on the economy<br/>Which of these statements is/are correct?,NA,C,1 only,2 only,Both 1 and 2,None of the above,NA,NA,NA,NA,"While forex reserves act as insurance when the rupee tends to be volatile against the dollar, there are costs attached to it. When RBI purchases dollars in the spot, it leads to infusion of rupee into the system which leaves an inflationary effect on the economy.<br/>Since the RBI does not want such actions to create inflationary pressure, it converts spot purchases into forwards.<br/>This way, it is a direct cost because of the forward premiums. If RBI opts for open market operations (OMOs) to mop up excess liquidity, that also involves costs.",NA
"Consider the following statements.<br/>1. In the floating exchange rate system, a domestic currency is left free to float against several foreign currencies in its foreign exchange market and determine its value.<br/>2. These exchanges are regulated by factors like demand and supply of the domestic and foreign currencies in the World.<br/>Which of these statements is/are correct?",NA,A,Both 1 and 2,1 only,2 only,Neither 1 nor 2,NA,NA,NA,NA,"In the floating exchange rate system, a domestic currency is left free to float against several foreign currencies in its foreign exchange market and determine its value. Such exchange rates are regulated by factors such as demand and supply of the domestic and foreign currencies in the concerned economy.",NA
The Government of the economy attempts to affect the exchange rate:<br/>1. Directly by buying or selling foreign currencies<br/>2. Indirectly through monetary policy<br/>Which of these statements is/are correct?,NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"A managed-exchange-rate system is a hybrid or mixture of the fixed and flexible exchange rate systems.<br/><br/>Government of the economy attempts to affect the exchange rate directly by buying or selling foreign currencies or indirectly, through monetary policy (i.e., by lowering or raising interest rates on foreign currency bank accounts, affecting foreign investment, etc.).",NA
"Consider the following statements.<br/>1. Some economies, particularly small ones, peg their currencies to a major currency which is known as the pegging of currencies.<br/>2. At times, they peg their currencies to a basket of currency in a fixed exchange rate which is known as Gliding.<br/>Which of these statements is/are incorrect?",NA,D,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"Some economies, particularly small ones, peg their currencies to a major currency or a basket of currency in a fixed exchange rate-known as the pegging of currencies.<br/><br/>At times, the peg is allowed to glide smoothly upward or downward-a system, which is known as gliding or crawling peg. Some economies have a hard fix of a currency board.",NA
Consider the following statements.<br/>1. The monetary difference of the total export and import of an economy in one financial year is called trade balance.<br/>2. The economic policy which regulates the export-import activities of any economy is known as the trade policy.<br/>3. The monetary policy which governs the exports of any economy is known as Exim Policy.<br/>Which of these statements is/are correct?,NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"TRADE BALANCE: The monetary difference between the total export and import of an economy in one financial year is called trade balance. It might be positive or negative, known to be either favourable or unfavourable, respectively to the economy.<br/><br/>TRADE POLICY: Broadly speaking, the economic policy which regulates the export-import activities of any economy is known as the trade policy. It is also called the foreign trade policy or the Exim Policy. This policy needs regular modifications depending upon the economic policies of the economies of the World or the trading partners.",NA
"In the foreign exchange market when its Government cuts down the exchange rate of a domestic currency against any foreign currency, it is called",NA,C,Capital consumption,Depreciation,Devaluation,None of them,NA,NA,NA,NA,"In the foreign exchange market when its Government cuts down the exchange rate of a domestic currency against any foreign currency, it is called devaluation. It means official depreciation is devaluation.",NA
"Consider the following statements.<br/>1. In the foreign exchange market, if a free-floating domestic currency increases its value against the value of a foreign currency, it is known as appreciation.<br/>2. In the domestic economy, if a fixed asset has seen an increase in its value, it is known as revaluation.<br/>Which of these statements is/are correct?",NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"In the foreign exchange market, if a free-floating domestic currency increases its value against the value of a foreign currency, it is appreciated.<br/>In the domestic economy, if a fixed asset has seen an increase in its value it is known as appreciation. <br/>Any government does not set appreciation rates for different assets as they depend upon many unseen factors.",NA
Which of the following comes under the capital account of India?<br/>1. Foreign direct investment<br/>2. Interest payments<br/>3. External bonds issued by Indian Government<br/>Which of these statements is/are correct?,NA,C,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Every Government of the World maintains a capital account, which shows the capital kind of transactions of the economy with outside economies.<br/>Every transaction in foreign currency (inflow or outflow) considered as capital is shown in this account-external lending and borrowing, foreign currency deposits of banks, external bonds issued by the Government of India, FDI, PIS and security market investment of the QFIs (Rupee is fully convertible in this case).<br/>There is no deficit or surplus in this account like the current account.",NA
Consider the following statements.<br/>1. Current account is maintained by the central Government of the economy.<br/>2. Indian never had a surplus current account.<br/>Which of these statements is/are correct?,NA,D,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"In the external sector, it refers to the account maintained by every Government of the World in which every kind of current transaction is shown basically this account is maintained by the central banking body of the economy (RBI in case of India) on behalf of the Government.<br/><br/>India had surplus current accounts for three consecutive years (2000-03) the only such period in Indian economic history.",NA
Who carries economic activities?,NA,D,Individuals,Firms,Government,All of the above,NA,NA,NA,NA,"Economic activities are those activities which are undertaken by a man to earn income, money and wealth for his life.<br/>These activities include investment, production, distribution and consumption of goods and services at all levels within the society.<br/>The country where these economic activities are undertaken is called an economy. e.g. Worker works in the factory and get wages.",NA
Which sector has the lowest share in the employment in 2000 ?,NA,B,Primary sector,Secondary sector,Tertiary sector,None of the above,NA,NA,NA,NA,"To determine the sector with the lowest share in employment in 2000, we need to analyze the primary, secondary, and tertiary sectors individually.<br/>Primary Sector:<br/>- The primary sector includes activities related to natural resources, such as agriculture, fishing, mining, and forestry.<br/>- In 2000, the primary sector employed a significant number of people but had a higher share in employment compared to the other two sectors.<br/>Secondary Sector:<br/>- The secondary sector consists of activities related to manufacturing, construction, and industrial production.<br/>- In 2000, the secondary sector saw a decline in employment due to automation and outsourcing, resulting in a lower share of employment compared to the primary sector.<br/>Tertiary Sector:<br/>- The tertiary sector includes activities related to services, such as healthcare, education, finance, tourism, and hospitality.<br/>- In 2000, the tertiary sector experienced significant growth and expansion, leading to a higher share in employment compared to the primary and secondary sectors.<br/><br/>Based on the above analysis, we can conclude that the secondary sector had the lowest share in employment in 2000 among the given options. Therefore, the correct answer is B: Secondary sector.",NA
The economy is classified into public and private sectors on the basis of :,NA,C,Employment conditions,The nature of economic activity,Ownership of enterprises,Number of workers employed in the enterprise,NA,NA,NA,NA,"The public sector includes all the public services and enterprises. Public services include public goods and services like roads, water supply, transport, health, military etc. Public enterprises are state-owned that are under public ownership. Private sector includes enterprises that are owned by private people with the aim to gain profit. These are not owned and run by state or government.",NA
What distinguishes the tertiary sector from the primary and secondary sectors in the Indian economy?,NA,C,The tertiary sector provides goods rather than services.,The tertiary sector involves the extraction of raw materials.,The tertiary sector is based on providing services rather than producing goods.,The tertiary sector is not critical for economic development.,NA,NA,NA,NA,"The primary sector involves the extraction of raw materials from the earth, such as agriculture, fishing, and mining. The secondary sector concerns manufacturing where raw materials are converted into products, such as factories producing cars or furniture. The tertiary sector, distinct from the other two, focuses on providing services rather than goods. This includes a wide range of activities like banking, education, and healthcare. Services are intangible and cannot be stored or transported. The importance of the tertiary sector has been growing as economies develop, reflecting a higher demand for services like technology, finance, and wellness, which are pivotal for economic growth and development.",NA
