question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which part of the Indian Constitution contains the Directive Principles of State Policy?,NA,C,Part II,Part III,Part IV,Part V,NA,NA,NA,NA,"The Directive Principles of State Policy are contained in Part IV of the Indian Constitution. These principles reflect a mix of humanitarian socialist precepts, Gandhian ideals, and democratic socialism.",NA
Which article defines the term  <q>state</q> as in Part III of the Indian Constitution?,NA,B,Art. 35,Art. 36,Art. 37,Art. 38,NA,NA,NA,NA,Article 36 defines the term <q>state</q>as in Part III of the Indian Constitution. It is important to understand the meaning of the term  <q>state</q> to comprehend the scope and applicability of the Directive Principles of State Policy.,NA
Which article states that the provisions of Part IV shall not be enforceable by any court?,NA,B,Art. 36,Art. 37,Art. 38,Art. 39,NA,NA,NA,NA,"Article 37 of the Indian Constitution states that the provisions of Part IV shall not be enforceable by any court. However, these principles are fundamental in the governance of the country, and it is the duty of the State to apply these principles in making laws.",NA
"Which article requires the State to make effective provisions for securing the right to work, to education, and to public assistance in cases of unemployment, old age, sickness, and disablement?",NA,B,Art. 40,Art. 41,Art. 42,Art. 43,NA,NA,NA,NA,"Article 41 of the Indian Constitution requires the State to make effective provisions for securing the right to work, to education, and to public assistance in cases of unemployment, old age, sickness, and disablement, and in other cases of undeserved want.",NA
"Which article directs the State to secure, to all workers, a living wage and conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities?",NA,B,Art. 42,Art. 43,Art. 44,Art. 45,NA,NA,NA,NA,"Article 43 of the Indian Constitution directs the State to secure, to all workers, a living wage and conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities.",NA
Which article requires the State to secure for citizens a uniform civil code throughout the territory of India?,NA,B,Art. 43,Art. 44,Art. 45,Art. 46,NA,NA,NA,NA,Article 44 of the Indian Constitution requires the State to secure for citizens a uniform civil code throughout the territory of India. This uniform civil code would apply to all citizens irrespective of their religion or personal law.,NA
Which article directs the State to provide free and compulsory education for all children up to the age of fourteen years?,NA,B,Art. 44,Art. 45,Art. 46,Art. 47,NA,NA,NA,NA,Article 45 of the Indian Constitution directs the State to provide free and compulsory education for all children up to the age of fourteen years. This directive is aimed at ensuring that every child in India has access to quality education.,NA
"Which article requires the State to promote educational and economic interests of the weaker sections of the people, particularly the Scheduled Castes and Scheduled Tribes?",NA,B,Art. 45,Art. 46,Art. 47,Art. 48,NA,NA,NA,NA,"Article 46 of the Indian Constitution requires the State to promote educational and economic interests of the weaker sections of the people, particularly the Scheduled Castes and Scheduled Tribes, and protect them from social injustice and all forms of exploitation.",NA
Which article directs the State to raise the level of nutrition and the standard of living and to improve public health?,NA,B,Art. 46,Art. 47,Art. 48,Art. 49,NA,NA,NA,NA,Article 47 of the Indian Constitution directs the State to raise the level of nutrition and the standard of living and to improve public health. This directive emphasizes the need for a healthy population for the overall development of the country.,NA
Which article directs the State to organize agriculture and animal husbandry on modern and scientific lines and prohibit the slaughter of cows and calves and other milch and draught cattle?,NA,B,Art. 47,Art. 48,Art. 49,Art. 50,NA,NA,NA,NA,Article 48 of the Indian Constitution directs the State to organize agriculture and animal husbandry on modern and scientific lines and prohibit the slaughter of cows and calves and other milch and draught cattle. This directive aims at promoting sustainable agricultural practices and animal husbandry.,NA
