question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
At which place in Bengal was the East India Company given permission to trade and build a factory by the Mughals in 1651?,NA,B,Calcutta,Qasim Bazar,Singur,Burdwan,NA,NA,NA,NA,"The correct answer is option 2, Qasim Bazar. In 1651, the Mughals gave permission to the East India Company to trade and establish a factory in Qasim Bazar, which is located in Bengal. This permission allowed the East India Company to carry out its trading activities in the region and build a factory to support their operations.<br/><br/>Option 1, Calcutta, is incorrect as the East India Company received permission to build a factory in Calcutta in 1690, not 1651.<br/><br/>Option 3, Singur, and option 4, Burdwan, are also incorrect as these places were not mentioned in the context of granting permission to the East India Company for trade and building a factory by the Mughals in 1651.",NA
Which mughal emperor issued a ferman granting The East India Company the right to trade duty free?,NA,C,Akbar,Humayun,Aurangzeb,Shah Jahan,NA,NA,NA,NA,"The correct answer is option 3, Aurangzeb. Aurangzeb was a Mughal emperor who issued a ferman (royal order) granting <q>The East India Company</q> the right to carry out duty-free trade.<br/>A ferman was a significant document issued by the emperor to grant privileges or rights. This grant allowed The East India Company to conduct its trade activities without having to pay any duties or taxes to the Mughal empire. This gave the company a favorable advantage in its trading operations and greatly benefited its profits.",NA
What were the rights denied by the Nawabs of Bengal to the East India Company?<br/>(a) To mint coins<br/>(b) To build forts<br/>(c) To impose taxes<br/>(d) To use salt,NA,B,Only (a) and (c) are correct,"Only (a), (b), and (c) are correct",Only (b) and (c) are correct,"Only (a), (c) and (d) are correct",NA,NA,NA,NA,"The correct answer is Only (a), (b), and (c) are correct.<br/><br/><b>Key Points:</b><br/>The conflict between the Bengal nawabs and the East India Company started when the Nawabs refused to grant the Company concessions and demanded large tributes for the Company&#39;s right to trade.<br/>The Nawabs also denied the Company any right to mint coins and stopped it from extending its fortifications.<br/>The company denied paying taxes.<br/>The company wanted to enlarge its fortification and build forts, but the Nawab stop them.",NA
"When the East India Company was formed, the Mughal emperor in India was",NA,D,Jehangir,Humayun,Aurangzeb,Akbar,NA,NA,NA,NA,"During the formation of the East India Company, the Mughal emperor in India was Akbar.<br/>- Akbar, also known as Akbar the Great, ruled the Mughal Empire from 1556 to 1605. <br/>- He was considered one of the most prominent and successful rulers of the Mughal dynasty.<br/>- Akbar implemented policies such as religious tolerance, administrative reforms, and centralized government, which helped to consolidate his empire.<br/>- His reign was known for its patronage of the arts, particularly the Mughal miniature paintings.<br/>- Akbar&#39;s openness to trade and diplomacy allowed European powers, like the East India Company, to establish economic and political alliances with the Mughal Empire.<br/> Hence, during the time of the East India Company&#39;s formation, Akbar was the Mughal emperor in India.",NA
Which Mughal Emperor granted the Dewani of Bengal to the British East India Company in the year 1765 ?,NA,D,Jehangir,Shah Jahan,Aurangzeb,Shah Alam II,NA,NA,NA,NA,"The correct answer is option 4, Shah Alam II. Shah Alam II was the Mughal Emperor who granted the Dewani (revenue collection rights) of Bengal to the British East India Company in the year 1765.<br/><br/>Option 1, Jehangir, is incorrect as he was not the emperor who granted the Dewani of Bengal to the British East India Company.<br/>Option 2, Shah Jahan, is also incorrect as he reigned from 1628 to 1658, which is much earlier than the year 1765 when the Dewani of Bengal was granted.<br/>Option 3, Aurangzeb, is also incorrect as he reigned from 1658 to 1707, again much earlier than the year 1765 when the Dewani of Bengal was granted.<br/>Therefore, the correct answer is option 4, Shah Alam II, as he was the Mughal Emperor who granted the Dewani of Bengal to the British East India Company in the year 1765.",NA
Which one of the following statements about the Treaty of Allahabad is NOT correct ?,NA,D,It was signed in the year 1765.,"The Mughal Emperor by a ferman formally granted the Diwani of Bengal, Bihar, and Orissa to the East India Company.",Awadh was restored to its Nawab on payment of Rs. 50 Lakhs.,Banaras and the surrounding tracts were detached from Awadh and handed over to Shah Alam II.,NA,NA,NA,NA,"The incorrect statement about the Treaty of Allahabad is option D.<br/><br/>Statement A: The Treaty of Allahabad was signed in the year 1765. <b>This statement is correct.</b> The treaty was an agreement between the Mughal Emperor Shah Alam II and the East India Company.<br/>Statement B: The Mughal Emperor granted the Diwani, or the right to collect revenue, of Bengal, Bihar, and Orissa to the East India Company through a ferman. <b>This statement is also correct.</b> The ferman formalized the transfer of the Diwani rights from the Mughal Empire to the British.<br/>Statement C: Awadh, which had been under the control of the British, was restored to its Nawab as per the terms of the treaty. However, this restoration came with a condition that the Nawab had to pay Rs. 50 Lakhs as a fine. <b>This statement is correct.</b><br/>Statement D: Banaras and the surrounding tracts were detached from Awadh and handed over to the Mughal Emperor Shah Alam II. <b>This statement is incorrect.</b> The correct statement is that Banaras and the surrounding tracts were detached from Awadh and handed over to the East India Company.<br/><br/>In summary, statement 4 is the one that is not correct because it mistakenly states that Banaras and the surrounding tracts were handed over to Shah Alam II.",NA
Which among the following statements is/are correct ?<br/>1. The Battle of Plassey was won by the British more by their diplomatic skill than by their strength of arms.<br/>2. The Battle of Buxar was culminated with the Treaty of Allahabad and settlement with the Nawab of Awadh.<br/>Select the correct answer using the code given below :,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Option 1 states that the Battle of Plassey was won by the British more by their diplomatic skill than by their strength of arms. This statement is correct. The Battle of Plassey took place in 1757 between the British East India Company and the Nawab of Bengal. The British were able to secure victory by forming alliances and using their diplomatic influence to gain support from local Indian rulers. The British also used bribery and deceit to weaken the Nawab&#39;s forces. Thus, their diplomatic strategy played a significant role in their victory.<br/>Option 2 states that the Battle of Buxar was culminated with the Treaty of Allahabad and settlement with the Nawab of Awadh. This statement is also correct. The Battle of Buxar took place in 1764 between the British East India Company and the combined forces of the Nawab of Bengal, the Nawab of Awadh, and the Mughal Emperor. The British emerged victorious, and as a result of the Treaty of Allahabad in 1765, they gained significant territorial and administrative control over Bengal, Bihar, and Odisha. The Nawab of Awadh was also forced to submit to British authority and negotiate a settlement.<br/><br/>Therefore, both statements 1 and 2 are correct.",NA
Who was the Nawab of Bengal during <q>Battle of Plassey</q>?,NA,C,Mir Jafar,Mir Qasim,Siraj-ud-duala,None of these,NA,NA,NA,NA,"The Battle of Plassey was a significant event in Indian history that took place in 1757. It was fought between the forces of the East India Company and the Nawab of Bengal.<br/>The question asks about the Nawab of Bengal during the Battle of Plassey. Option 1, Mir Jafar, and option 2, Mir Qasim, were both subsequent Nawabs of Bengal, but they were not in power during the Battle of Plassey. Option 3, Siraj-ud-duala, is the correct answer as he was the Nawab of Bengal at the time of the battle. He was young and inexperienced, and his defeat in the battle marked the beginning of British control over Bengal. With this victory, the East India Company established its dominance in India and laid the foundations of British colonial rule. Option 4, None of these, is incorrect as the Nawab of Bengal during the Battle of Plassey was indeed Siraj-ud-duala.",NA
Which of the following was the initial slogan of the East India Company?,NA,C,terrain only,trade only,"not terrain, trade",None of the above,NA,NA,NA,NA,"<q>Not terrain, trade</q> was the initial slogan of the East India Company.<br/><br/><b>Important Points:</b><br/>By the second half of the eighteenth century, a new power was emerging on the political horizon of India - the Britishers.<br/>The British originally came as a small trading company and were reluctant to acquire territories.<br/>In 1600, the East India Company acquired a charter from the ruler of England, Queen Elizabeth I, granting it the sole right to trade with the East.<br/>The initial slogan of the East India Company was <q>Not terrain, trade</q>.<br/>The royal charter, however, could not prevent other European powers from entering the Eastern markets.<br/>The problem was that all the companies were interested in buying the same things.<br/>The urge to secure markets therefore led to fierce battles between the trading companies.<br/>Through the seventeenth and eighteenth centuries they regularly sank each other&#39;s ships, blockaded routes, and prevented rival ships from moving with supplies of goods.<br/>Trade was carried on with arms and trading posts were protected through fortification.<br/>This effort to fortify settlements and carry on profitable trade also led to intense conflict with local rulers.<br/>The company therefore found it difficult to separate trade from politics.<br/><br/>Thus, we can conclude that the  initial slogan of the East India Company was <q>Not terrain, trade</q>.",NA
Where was the French East India Company established in India?,NA,A,Chandannagar,Karikal,Mahi,None of the above,NA,NA,NA,NA,"The East India Company was established at Chandannagar in India.<br/><br/>Key Points:<br/>*Chandannagar is a city situated about 35 km north of Kolkata in the Indian State of West Bengal.<br/>*At the time of Indian independence from Britain in 1947, Chandannagar, along with Mahe, Puducherry, Karaikal and Yanam were French colonies.<br/>*Unlike the other French possessions in India, Chandannagar started raising voices of protest against French rule only after the British had left India.<br/>*The French first established a colony in Chandannagar in 1673 after buying the land from the then Nawab of Bengal, Ibrahim Khan.<br/>*The place became a permanent settlement of the French in 1688.<br/>*Joseph Dupleix became the city’s governor in 1730.<br/>*At that time, the British and the French were competing for supremacy in the Indian subcontinent.<br/>*In 1757, the British captured Chandannagar from the French after the Battle of Chandannagar.<br/>*In 1763, it was given back to the French who again lost the city&#39;s control to the British in 1794 during the Napoleonic Wars.<br/>*In 1816, the French were returned control of the city including a surrounding area of 3 square miles.<br/>*Chandannagar remained a French possession until 1950.<br/><br/>Therefore, we can conclude that the East India Company was established at Chandannagar in India.",NA
