question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following approaches of BOP explains the relationship between domestic output and trade balance ?  ,NA,D,the monetary approach ,"the Keynesian approach
",the elasticity approach ,the absorption approach ,NA,NA,NA,NA,"The most relevant approach in this case is the absorption approach. Here&#39;s why:<ul>Absorption approach: This framework focuses on the demand and supply balance within an economy. It posits that the trade balance (difference between exports and imports) is determined by the difference between aggregate demand (domestic expenditure + exports) and aggregate supply (domestic output). If aggregate demand exceeds aggregate supply, the country tends to import more and have a trade deficit. Conversely, if aggregate supply exceeds aggregate demand, the country tends to export more and have a trade surplus.</ul><ul>Monetary approach: While the monetary approach also examines the balance of payments, it primarily focuses on the relationship between money supply and the exchange rate. While it indirectly connects to output through its impact on investment and trade, it doesn't directly explain the trade balance based on demand and supply dynamics.</ul><ul>Keynesian approach: This approach emphasizes the role of aggregate demand in influencing economic activity. While it acknowledges the potential impact of output on trade through income effects, it doesn't explain the trade balance as a consequence of the direct interplay between demand and supply as the absorption approach does.</ul><ul>Elasticity approach: This approach focuses on the responsiveness of trade flows to changes in prices and income. While it can help understand how domestic output prices might affect import and export quantities, it doesn't provide a complete explanation for the trade balance based on the broader demand and supply framework as the absorption approach.</ul><br/><br/>Therefore, based on the options provided, the absorption approach is the most appropriate in explaining the relationship between domestic output and trade balance. It offers a clear analytical framework to understand how domestic demand and supply dynamics translate into trade imbalances.",NA
"As per IMF balance of payment manual, import and export of goods should be presented on ",NA,C,FOR basis,CIF basis,FOB basis ,Ex. Works basis ,NA,NA,NA,NA," As per the International Monetary Fund (IMF) Balance of Payments Manual, the recommended basis for presenting imports and exports of goods is typically the <q>Free On Board</q> (FOB) basis.<br/><br/><b>FOB Basis:</b><ul>FOB Export: The value of goods when they pass the ship's rail at the port of export. It includes the value of the goods, inland transportation to the point of export, loading charges, and export duties.</ul><ul>FOB Import: The value of goods when they cross the ship's rail at the port of import. It includes the value of the goods, plus the cost of loading onto the vessel.</ul><ul>On the FOB basis, the transportation costs beyond the ship's rail are the responsibility of the buyer. This basis provides clarity on where the responsibility for the goods shifts from the seller to the buyer.</ul><br/><br/>It&#39;s worth noting that while FOB is commonly used, there may be cases where other terms such as Cost, Insurance, and Freight (CIF) or Free Alongside Ship (FAS) are used depending on the agreement between the buyer and the seller. However, FOB is a widely recognized international trade term and is often recommended for consistency in reporting in balance of payments statistics.",NA
Which of the following approaches of BOP explains the relationship between domestic output and trade balance ? ,NA,D,the monetary approach ,the Keynesian approach,the elasticity approach ,the absorption approach ,NA,NA,NA,NA,"The most relevant approach in this case is the absorption approach. Here&#39;s why:<ul>Absorption approach: This framework focuses on the demand and supply balance within an economy. It posits that the trade balance (difference between exports and imports) is determined by the difference between aggregate demand (domestic expenditure + exports) and aggregate supply (domestic output). If aggregate demand exceeds aggregate supply, the country tends to import more and have a trade deficit. Conversely, if aggregate supply exceeds aggregate demand, the country tends to export more and have a trade surplus.</ul><ul>Monetary approach: While the monetary approach also examines the balance of payments, it primarily focuses on the relationship between money supply and the exchange rate. While it indirectly connects to output through its impact on investment and trade, it doesn&#39;t directly explain the trade balance based on demand and supply dynamics.</ul><ul>Keynesian approach: This approach emphasizes the role of aggregate demand in influencing economic activity. While it acknowledges the potential impact of output on trade through income effects, it doesn&#39;t explain the trade balance as a consequence of the direct interplay between demand and supply as the absorption approach does.</ul><ul>Elasticity approach: This approach focuses on the responsiveness of trade flows to changes in prices and income. While it can help understand how domestic output prices might affect import and export quantities, it doesn&#39;t provide a complete explanation for the trade balance based on the broader demand and supply framework as the absorption approach.</ul><br/><br/>Therefore, based on the options provided, the absorption approach is the most appropriate in explaining the relationship between domestic output and trade balance. It offers a clear analytical framework to understand how domestic demand and supply dynamics translate into trade imbalances.",NA
Which of the following is not types of disequilibrium in the balance of payment?,NA,C,Structural disequilibrium,Secular disequilibrium,Transactional disequilibrium,Cyclical disequilibrium,NA,NA,NA,NA,"<b>Disequilibrium</b> is a lack of balance or harmony in a specific market or economy. This is usually in terms of supply and demand, where one far exceeds the other, resulting in a significant imbalance.<br/>Market disequilibrium often results in market instability, inefficient market activity, and substantial fluctuations in market variables, such as prices.<br/>Disequilibrium may also refer to a situation in which a country has a strong deficit or surplus in its balance of payments.<br/><br/>There are <b>several types of disequilibrium.</b> Three common types are <b>cyclical, secular, and structural.</b>",NA
Which of the following statements is correct?,NA,A,Balance of trade is a part of balance of payment.,Trade in goods and services and net transfers result in capital account surplus.,"When exports exceed imports, there is a trade deficit.",More than one of the above,NA,NA,NA,NA,"The Balance of Trade (BOT) is a part of the current account in the Balance of Payments of a country. It refers to the difference between the monetary value of a country&#39;s exports and imports over a certain period. If a country exports more than it imports, it has a trade surplus. If imports are greater than exports, it represents a trade deficit.<br/><br/>The Balance of Payments (BOP) is a broader term that includes not only the balance of trade but also other financial transfers like remittances, aid, and foreign direct and portfolio investment. The BOP encompasses the current account (which includes the BOT), the capital account, and the financial account, thus providing a more comprehensive snapshot of a country&#39;s economic transactions with the rest of the world.<br/><br/>So, the balance of trade focuses exclusively on trade in goods and services, while the balance of payments includes a wider array of financial transfers.",NA
The Balance of Payment Account of an economy is related to the ________.,NA,B,agriculture sector,external sector,government sector,private sector,NA,NA,NA,NA,"The <b>balance of payments</b> summarizes an <b>economy&#39;s international economic dealings.</b><br/> 
These transactions consist of <b>transfer payments</b> as well as the </b>export and import of products, services, and financial assets (like foreign aid).</b><br/> The <b>current account, the capital account, and the financial account</b> are the three primary subcategories of the BOP.<br/> The <b>influx and outflow</b> of goods and services into a nation are represented by the <b>current account.</b><br/> All <b>overseas capital transfers</b> are noted in the capital account.<br/> <b>International monetary</b> flows associated with investments in <b>companies, properties, bonds, and stocks</b> are recorded in the financial account.<br/> The BOP should be <b>0</b> when the <b>current account</b> is in balance with the total of the <b>capital and finance accounts,</b> but this rarely happens.",NA
The balance of exports and imports of goods is referred to as:,NA,D,current account,Current account balance,current account deficit,Balance of trade ,NA,NA,NA,NA,"<b>The difference between the value of a country&#39;s exports and the value of its imports for a certain period is known as the balance of trade (BOT).</b><br/>The main component of a country&#39;s balance of payments is the balance of trade (BOP).<br/>The balance of trade between a country&#39;s goods and the balance of trade between its services are sometimes reported separately. The trade balance, also known as the international trade balance, commercial balance, or net exports, is a term used to describe the balance of commerce.<br/>The total value of exports minus the total value of imports is a simple method for determining the BOT. The BOT is a metric used by economists to assess a country&#39;s economic strength.<br/>A trade deficit or a negative trade balance is when a country buys more products and services in terms of value than it exports. A trade surplus or positive trade balance occurs when a country exports more products and services than it imports.",NA
The items on the capital account of Balance of Payments are:,NA,A,Flow variables,Stock variables,Changes in stock magnitudes,Both Stock and Flow variables,NA,NA,NA,NA,"BOP is a <b>flow concept</b> as it is measured over (during) a period of time.<br/>Since BOP is measured over a time interval, it can be said that they have an element of time attached to them. Similarly, current account is also a flow variable. ",NA
One of the problems of India&#39;s Foreign Trade is,NA,C,Payment of imports in rupees,Increasing quantity of exports,Unfavorable terms of trade,None of the above,NA,NA,NA,NA,The key element in any country&#39;s economic development is foreign trade.<br/><b>All imports and exports into and out of India are considered part of the country&#39;s foreign trade.</b><br/>Such operations are managed by the Ministry of Commerce and Industry at the Central Government level.,NA
Improvement in the balance of payments deficit may be effected through:<br/><br/>A. Import controls<br/>B. Export promotion<br/>C. Foreign exchange control<br/>D. Devaluation<br/><br/>Choose the correct answer from the options given below:,NA,A,"A, B, C and D",A and B only,C and D only,"A, B and C only",NA,NA,NA,NA,"The country&#39;s economic dealings with the rest of the world for a given time period, often a year, are documented in the balance of payments (BoP).<br/><b>It is a comprehensive accounting balance sheet that covers both debit and credit transactions for the entire nation.</b><br/>When the current account balance is totally financed by foreign lending and the non-reserve capital account is equal to zero, the country is considered to be in balance of payments equilibrium.<br/><b>A balance of payments deficit means the country imports more goods, services, and capital than it exports. It must borrow from other countries to pay for its imports.</b>",NA
