question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which war was won by British and concluded with Treaty of Pondicherry?,NA,C,First Anglo Maratha War,Second Anglo Maratha War,Second Carnatic War,First Anglo French War,NA,NA,NA,NA,The Correct Answer is Second Carnatic War. <br/><br/><u>First Anglo Maratha War (1775-1782)</u> : Fought between British EIC and Marathas : The war begins as a result of the treaty of surat between British and Raghunath Rao. The war was won by Marathas and ended with the Treaty of Salbai<br/><br/><u>Second Anglo Maratha War (1803-1805)</u> : Fought between British EIC and Marathas : Peshwa of Maratha signed a subsidiary alliance with the British in the form of Treaty of Bassein (1802) which resulted in the second Anglo Maratha war which was won by British. <br/><br/><u>First Anglo-French War (1746-48)</u> : Fought between British EIC and French : Nawab of Carnatic&#39;s army was defeated by French under Dupleix. Treaty of Aix-la-Chapelle (1748) ended the War of Austrian Succession in Europe and the First Anglo-French war in India.<br/><br/><u>Second Carnatic War (Second Anglo French War) (1749-54)</u> : Between English and French : The war was won by the British and ended with the Treaty of Pondicherry<br/><br/><u>Third Anglo-French War (1758-63)</u> : Between British EIC and French : French lost the war and the Treaty of Paris ended the war through this treaty French possessions in India were restored by the British.,NA
The famous Battle of Wandiwash in 1760 was fought by the British against whom?,NA,A,The French,Mysore,Spain,Carnatic,NA,NA,NA,NA,"In 1760, The Battle of Wandiwash was a battle in India between the British and French.<br/>The battle of Wandiwash was part of the Third Carnatic War fought between the French and British colonial empires.<br/>The British army was led by Sir Eyre Coote and the french army was commanded by Comte de Lally.<br/>The war concluded with the signing of the Treaty of Paris in 1763.<br/>It itself was a part of the global Seven Years War.",NA
Arrange the following conquests of Ranjit Singh in the chronological order:<br/>I. Ludhiana<br/>II. Amritsar<br/>III. Kangra<br/>IV. Lahore,NA,B,"II, I, III, IV","IV, II, I, III","I, II, III, IV","IV, III, II, I",NA,NA,NA,NA,"In 1799, Raja Ranjit Singh&#39;s army of 25,000 Khalsa, supported by another 25,000 Khalsa led by his mother-in-law Rani Sada Kaur of Kanhaiya misl, in a joint operation attacked the region controlled by Bhangi Sikhs centered around Lahore. The rulers escaped, marking Lahore as the first major conquest of Ranjit Singh.<br/>In 1809, the British East India Company and the head of the Sikh kingdom named Ranjit Singh signed an agreement which is called the Treaty of Amritsar. After the conquest of Amritsar, Ranjit Singh took possession of the city.<br/>The Treaty of Amritsar of 1809 was an agreement between the British East India Company and Maharaja Ranjit Singh, the Sikh leader who founded the Sikh empire. Among the outcomes was that Singh gained a carte blanche to further consolidate his territorial gains north of the Sutlej river at the expense both of other Sikh chiefs and their peers among the other dominant communities. It was a pact between Charles T. Metcalfe and Maharaja Ranjit Singh.<br/>Maharaja Sansar Chand fought multiple battles with Gurkhas on one side and Sikh King Maharaja Ranjit Singh on the other. The Fort remained with the Katochs until 1828 when Ranjit Singh annexed it after Sansar Chand&#39;s death. The fort was finally taken by the British after the Sikh war of 1846.<br/>Therefore, the correct order is given in option B. ",NA
From which of the following countries did Tipu seek help to expel the British from India?<br/>I. Afghanistan<br/>II. Arabia<br/>III. France<br/>IV. Russia,NA,D,"I, II","II, III, IV","I, III","I, II, III, IV",NA,NA,NA,NA,"Tipu had not reconciled to the loss of his prestige by the treaty of Srirangapattana.<br/>- Lord Wellesley forced Tipu to sign the subsidiary alliance but he refused and tried to get help from France, Afghanistan, Russia, Turkey and Arabia.<br/>- British along with the Maratha and Nizam attacked Mysore.<br/>- Tipu fought undauntedly. He was the greatest enemy of the British and was very courageous.<br/>- Hence, the correct answer is D.",NA
"Treaty of Seringapatam, signed by Tipu and Cornwallis, contained <br/>I. Payment of a war indemnity of about Rs.3 crores by Tipu. <br/>II. Stationing of a British Resident at Seringapatam. <br/>III. Sending two of his sons by Tipu as hostages to the British camp. <br/>IV. Surrender of almost half of Tipu&#39;s territories <br/>Which were to be shared among the English, the Nizam and the Marathas.",NA,C,"I, II, IV","II, III, IV","I, II, III, IV","I, II, III",NA,NA,NA,NA,"The provision of the Treaty of Seringapatnam, signed between Tipu and Cornwallis were Surrender of almost half of Tipu&#39;s territories, which were to be shared among the English, the Nizam and the Marathas, Stationing of British resident at Seringapatnam. <br/><br/>Addition Information :<br/>-The war ended with the Treaty of Seringapatam in 1792.<br/>-As per the treaty, Tipu had to cede half of his kingdom to the English including the areas of Malabar, Dindigul, Coorg, and Baramahal.<br/>-He also had to pay Rs. 3 Crore as war indemnity to the British.<br/>-Tipu also had to surrender two of his sons as surety to the British till he paid his due.<br/><br/>So, the correct answer is option C.",NA
Who was the Governor of Madras who concluded the Treaty of Mangalore with Tipu Sultan?,NA,D,Lord Harris,Lord Stephenson,Lord Hamilton,Lord Macartney,NA,NA,NA,NA,"In 1782, Hyder suddenly died and Tipu became king.<br/>In 1783, the British took the town of Coimbatore and by January 1784, Tipu retook Mangalore from the British.<br/>With neither side in a position to win, the war ended in a a stalemate and was then concluded with the Treaty of Mangalore.<br/>George Macartney was governor of Madras Presidency at that time.<br/>Hence, the correct option is D.",NA
Which of the following statements about the Anglo-Nizam relations are true?,NA,D,The British tried to interfere in the affairs of Hyderabad for the first time in 1750.,They supported Nasir Jang against Muzaffar Jang in the succession dispute between the two.,Colonel Forde concluded a friendship treaty with Muzaffar Jang in 1760.,All of the above.,NA,NA,NA,NA,"All the given statements are correct with reference to Anglo-Nizam relations.<br/>Lord Wellesley offered Soonda and Harponelly districts of Mysore Kingdom to the Marathas, which the latter refused.<br/>The Nizam was given the districts of Gooty and Gurramkonda.<br/>The British took possession of Kanara, Wayanad, Coimbatore, Dwaraporam and Seringapatam.<br/>The new state of Mysore was handed over to the old Hindu dynasty (Wodeyars) under a minor ruler Krishnaraja III, who accepted the subsidiary alliance.<br/>Hence, the correct option is D.",NA
The Mughal Empire declined during the first half of the 18th century. Matters became so worse that the British army occupied Delhi in,NA,A,1803,1810,1815,1827,NA,NA,NA,NA,"The great Mughal Empire, the envy of its contemporaries for almost two centuries, declined and disintegrated during the first half of the eighteenth century. The Mughal emperors lost their power and glory and their empire shrank to a few square miles around Delhi.<br/>In the end, in 1803, Delhi itself was occupied by the British army and the proud Mughal emperor was reduced to the status of a mere pensioner of a foreign power.<br/>Hence, the correct option is A.",NA
"Muazzam, who took the title of Bahadur Shah, tried to gain control over the Rajput state of Amber by replacing Jai Singh by his younger brother",NA,C,Partap Singh,Ajit Singh,Vijay Singh,Sangram Singh,NA,NA,NA,NA,"Bahadur Shah I (1707-12) was the first and the last of the later Mughal rulers to exercise real authority.<br/> He followed a conciliatory policy towards the Rajput&#39;s and Marathas but a strict policy towards the Sikhs.<br/>To have better control over Marwar and Amber he forced Ajit Singh of Marwar to submit to the Mughal authority.<br/>He made attempts to garrison Amber and replace Jai Singh with his younger brother Vijay Singh. <br/>Both Ajit Singh and Jai Singh were later restored but their demand for high mansabs (ranks) and offices of subahdars of important provinces were not accepted.<br/>Hence, the correct option is C.",NA
Which of the following was not granted to the Marathas in the Deccan by Bahadur Shah?,NA,A,Chauth,Sardeshmukhi,Both (a) and (b),The control over Berar,NA,NA,NA,,"Chauth was a regular tax or tribute imposed, the from early 18th century, by the Maratha Empire in India.<br/>It was an annual tax nominally levied at 25% on revenue or produce, hence the name. It was levied on the lands which were under nominal Mughal rule.<br/>The sardeshmukhi was an additional 10% levy on top of the chauth. <br/>Hence, the correct answer is A.",NA
