question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements regarding the Marginal Standing Facility (MSF) of RBI:<br/>1. It is similar to the repo rate for the financial institutions.<br/>2. It is on the lines of the liquidity adjustment facility and part of it.<br/>3. Though it is a costlier route to fulfill overnight requirement of funds, it is not a penal rate.<br/>4. Banks use this route once they exhaust all channels to raise short-term funds.<br/>Which of the statements given above is/are not correct?",NA,A,"1, 2 and 3 only","1, 3 and 4 only","1, 2 and 4 only","1, 2, 3 and 4",NA,NA,NA,NA,"This route is only for banks, on the lines of the LAF but it is not its part. It is a penal rate that is why remains always higher than the repo rate. While putting this route in place the RBI has permitted banks to borrow maximum 1 per cent of their Net Demand and Time Liabilities, in coming times it was cut down, too. Similarly, it commenced with a rate 1 per cent higher than the current repo rate but over the time it went upto 3 per cent higher than the current repo (in the process of checking inflation, by end 2013).",NA
Consider the following statements about Cash Reserve Ratio (CRR): <br/>1. It can be increased to curb deflation or low inflation. <br/>2. RBI pays interest on CRR to the scheduled banks. <br/>Which of the statements given above is/are correct?,NA,D,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Option 4, Neither 1 nor 2, is correct.<br/>Cash Reserve Ratio (CRR) is a percentage of the total deposits of a bank that it is required to maintain with the central bank (in this case, the Reserve Bank of India or RBI). The main purpose of CRR is to ensure that banks have sufficient liquidity to meet the cash withdrawal and payment needs of their customers.<br/>Statement 1 is incorrect because increasing the CRR tends to have the opposite effect of curbing deflation or low inflation. When the CRR is increased, banks are required to hold a larger proportion of their deposits with the RBI, which reduces the amount of money they have available for lending. This can lead to a contraction in the money supply and potentially contribute to deflation or low inflation.<br/>Statement 2 is also incorrect because the RBI does not pay interest on the CRR that banks are required to maintain. The CRR is a percentage of the total deposits of a bank and is not a separate deposit or investment.",NA
Consider the following statements about Monetary Policy Committee (MPC): <br/>1. Its members are appointed by the President on the recommendations of the Central Government. <br/>2. Its core mandate is to fix the benchmark policy interest rate to contain inflation within the target level. <br/>3. It is headed by the Governor of RBI. <br/>Which of the statements given above is/are correct?,NA,B,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",NA,NA,NA,NA,It is a 6 member body.3 members are nominated by the central government and 3 are from the RBI. It sets the policy rate to keep inflation within the band decided by the central government.,NA
Consider the following statements about Statutory Liquidity Ratio (SLR): <br/>1. It includes cash and gold. 2. Banks may earn returns on money parked as SLR. <br/>Which of the statements given above is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Both statements are correct. SLR includes cash, gold and other government securities. Banks are eligible to earn interest on SLR .",NA
"Consider the following statements: <br/>1. Repo rate and Reverse repo rate as an instrument of money market were introduced post economic reforms of 1991.<br/>2. In reverse repo, RBI is the lender whereas Banks and Financial Institutions are borrowers. <br/>Which of the statements given above is/are correct?",NA,A,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,In reverse repo RBI absorbs excess liquidity and acts a borrower. IN Repo rate transaction the RBI acts as a lender as it infuses more money in the system.,NA
"Sale/purchase of government bonds, as a means to control the money supply in the market, is termed as:",NA,A,Open Market Operation,Liquidity Adjustment Facility,Marginal Standing Facility,Market Capitalisation,NA,NA,NA,NA,Open market operations are defined as the sale and purchase of government securities to control the money supply. They are usually done on an overnight basis.,NA
Which of the following tools are used by RBI to maintain money supply in the economy?<br/>1. Statutory liquidity ratio<br/>2. Repo Rate<br/>3. Bank Rate<br/>Select the correct answer using the code given below:,NA,D,1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",NA,NA,NA,NA,All of the above are used to maintain money supply in the economy. They are quantitative  measures for the same.,NA
"With reference to Open Market Operations (OMO), consider the following statements: <br/>1. It refers to the sale and purchase of government securities and treasury bills by RBI.<br/>2. Its objective is to regulate the money supply in the economy. <br/>3. RBI deals with the public directly to carry out Open Market Operations.<br/>Which of the statements given above is/are correct?",NA,A,1 and 2 only,1 and 3 only,2 only,"1, 2 and 3",NA,NA,NA,NA,RBI deals with banks and other financial institutions for open market operations. RBI does not deal with the public directly.,NA
"With reference to Cash Reserve Ratio (CRR) in India, consider the following statements:<br/>1. It is a monetary policy tool used by RBI to control the liquidity in the banking sector.<br/>2. Banks earn a certain amount of return on money reserved as CRR.<br/>3. The CRR requires every commercial bank to have reserves in terms of cash and gold.<br/>Which of the statements given above is/are correct?",NA,A,1 only,1 and 2 only,3 only,1 and 3 only,NA,NA,NA,NA,"CRR is the Cash reserve ratio. As the name suggests, it only deals with cash and no other form of monetary tool. It earns no interest.",NA
Consider the following statements on Marginal Standing Facility (MSF):<br/>1. It is always fixed above Repo rate. <br/>2. It is overnight scheme of lending funds to banks by the central bank.<br/>Which of the above statement(s) is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,MSF is always above the repo rate as it is a penal rate. It is used for overnight lending by the RBI.,NA
