question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The earth moves from ______________ to east.,NA,B,South,West,North,East,NA,NA,NA,NA,"The Earth rotates from west to east. This means that when viewed from above the North Pole, the Earth rotates counterclockwise, causing the movement of the sun and stars from east to west in the sky.",NA
The distance from the equator to either of the poles is one-fourth of a circle round the earth and it will measure 1/4 of ______________ degree.,NA,A,360,180,90,0,NA,NA,NA,NA,"A full circle is 360 degrees. The distance from the equator to either of the poles is one-fourth of the circumference of the Earth. Since a circle measures 360 degrees, one-fourth of that circle (representing the distance from the equator to either pole) would also measure 1/4 of 360 degrees, which is 90 degrees.",NA
Northern half of the Earth is known as the _____ and the southern half is known as the _________.,NA,A,Northern Hemisphere and Southern Hemisphere,Eastern Hemisphere and Southern Hemisphere.,Northern Hemisphere and Western Hemisphere.,Southern Hemisphere and Northern Hemisphere.,NA,NA,NA,NA,"The Northern Hemisphere is the half of Earth that is north of the Equator. For other planets in the Solar System, north is defined as being in the same celestial hemisphere relative to the invariable plane of the solar system as Earth's North Pole. <br/><br/>The Southern Hemisphere is the half of Earth that is south of the Equator. It contains all or parts of five continents, four oceans and most of the Pacific Islands in Oceania. Its surface is 80.9% water, compared with 60.7% water in the case of the Northern Hemisphere, and it contains 32.7% of Earth&#39;s land.",NA
The Standard Meridian of India is:,NA,C,88&deg;30' E,86&deg;30' E,82&deg;30' E,84&deg;30' E,NA,NA,NA,NA,The standard meridian of India is 82&deg;30'E. It passes through Mirzapur (Uttar Pradesh). The time of this meridian is taken as the standard time for the whole country.,NA
The Frigid Zone lies near:,NA,A,The Poles,The Tropic of Capricorn,The Equator,The Tropic of Cancer,NA,NA,NA,NA,The Frigid Zone lies near the Poles. The climate in the Polar Regions is very cold that is why the area is known as the Frigid Zone. It includes the area around the North Pole and the South Pole.,NA
The Prime Meridian passes through:,NA,D,Greenwood,Greenfield,Greenshire,Greenwich,NA,NA,NA,NA,"The Prime Meridian runs through Greenwich, England and is at 0&deg; longitude. For many years, different countries measured longitude from different meridians. <br/>The French and Algerians, for example, used the Paris Meridian; the Swedes measured from one that passed through Stockholm.",NA
What is a globe?,NA,B,It is a five-dimensional representation of the Earth.,It is a three-dimensional representation of the Earth.,It is a four-dimensional representation of the Earth.,It is a two-dimensional representation of the Earth.,NA,NA,NA,NA,"The word globe comes from the Latin word globus which means round mass or sphere. <br/>A terrestrial globe is a three dimensional scaled model of Earth. <br/>The fact that earth resembles a sphere was established by Greek astronomy in the third century BC and the earliest globes came from that period. <br/>Unlike maps, the globe is a representation which is free from distortions (distortion in shape, area).",NA
What are meridian of longitude?,NA,A,The lines running from north pole to the south poles.,The lines running from north pole to the east poles.,The lines running from north pole to the west poles.,The lines running from east pole to the south poles.,NA,NA,NA,NA,"Longitude lines are a numerical way to show/measure how far a location is east or west of a universal vertical line called the Prime Meridian. <br/>This Prime Meridian line runs vertically, north and south, right over the British Royal Observatory in Greenwich England, from the North Pole to the South Pole.",NA
Why does the Torrid Zone receive maximum amount of heat?,NA,D,The mid day Sun is not exactly overhead at least once in a year on all latitude in between the Tropic of Cancer and the Tropic of Capricorn.,The mid day Sun is exactly overhead at least once in a year on frigid zone.,The mid day Sun is exactly overhead at least once in a year on all latitude in between the Arctic circle and Antarctic circle.,The mid day Sun is exactly overhead at least once in a year on all latitude in between the Tropic of Cancer and the Tropic of Capricorn.,NA,NA,NA,NA,"The area between the Tropic of Cancer and the Tropic of Capricorn is known as the Torrid Zone. <br/>The mid-day Sun is exactly overhead at least once a year on all the latitudes in this area; hence, this area receives maximum amount of heat.",NA
The value of the Prime Meridian is:,NA,A,0 degree,90 degree,60 degree,32 degree,NA,NA,NA,NA,A Prime Meridian is a meridian (a line of longitude) in a geographic coordinate system at which longitude is defined to be 0&deg;.,NA
Equator is an,NA,B,Imaginary rectangular line,Imaginary circular line,Imaginary straight line,Imaginary triangular line,NA,NA,NA,NA,"The Equator is an imaginary line around the middle of the Earth. It is halfway between the North and South Poles, and divides the Earth into the Northern and Southern Hemispheres. The Equator is the invisible line that runs around the center of the Earth at 0 degrees latitude.",NA
The Standard Meridian of India is 82 degree 30,NA,D,South,West,North,East,NA,NA,NA,NA,Time along the Standard Meridian of India (82&deg; 30' E) passing through Mirzapur (in Uttar Pradesh) is taken as the standard time for the whole country. 82&deg;30' E has been selected as the Standard Meridian of India because it is situated in the centre of all longitudes and latitudes in which our country is located. 82&deg;30 minutes is selected as standard meridian because it lies almost in center of the india.,NA
The 0 degree Meridian is also known as,NA,B,Prime Standard,Prime Meridian,Equator Prime,Greenfield,NA,NA,NA,NA,"This is why prime meridian is also known as the Greenwich Meridian. In a geographical coordinate system, the Greenwich Meridian (or prime meridian) is the 0&deg; line of longitude from which we measure 180&deg; to the west and 180&deg; to the east. Most coordinate systems define a zero line at the equator that runs east-west.",NA
The distance between the longitude,NA,A,Decreases towards Poles,Increases towards Poles,Decreases towards North Poles only,Decreases towards South Poles only,NA,NA,NA,NA,"Angular distance of any place from the prime meridian(that is 0&deg; also known as Greenwich Line), on its East or West, is known as Longitude. The distance between two adjacent longitudes is maximum at Equator that is 111.32 km, which keeps on decreasing towards the poles because longitudes taper towards the poles.",NA
"In the globe, Two end point of the axis are called",NA,B,Grid,Poles,Equator,Axis,NA,NA,NA,NA,"The two end points on the axis of rotation are called the poles. To the north is the North Pole, and to the south is the South Pole.",NA
The Arctic Circle is located in the,NA,C,Western hemisphere,Southern hemisphere,Northern hemisphere,Eastern hemisphere,NA,NA,NA,NA,The Arctic Circle is a region on Earth that is marked as one of the five major circles of latitude on maps of our planet. It is located between the Arctic to its north and the Northern Temperate Zone to its south. Its counterpart in the Southern Hemisphere is known as the Antarctic Circle.,NA
______ measure the distance north and south of the Equator,NA,D,Primary,Longitude,Standard,Latitude,NA,NA,NA,NA,"The distance east or west of the Greenwich meridian is an imaginary line from the top of the Earth to the bottom, measured in degrees and minutes. Latitude is the distance from north or south of the equator.",NA
This marks the location of the equator on Earth,NA,D,20 degree,90 degree,180 degree,0 degree,NA,NA,NA,NA,"The equator divides the earth into the Northern Hemisphere and the Southern Hemisphere is marks the location of 0 degrees latitude. The equator marks the locations on earth that are equidistance from the North and South Poles. The Equator crosses 78.7% water and 21.3% land and is about 24,901 miles (40,075 km) long.",NA
Longitude measure the distance from ______ to ______.,NA,C,"East, North","South, West","East, West","North, South",NA,NA,NA,NA,Longitude measures the angular distance east or west of the Prime Meridian. Longitudes range from 0&deg; to 180&deg; eastward and westward of the Prime Meridian.,NA
What are latitude and longitude lines?,NA,B,Thick and thin line that divide the Earth,An imaginary line that divide the Earth,A real line that divides the Earth,Long and short line that divide the Earth,NA,NA,NA,NA,Latitude and longitude lines form an imaginary grid over the entire surface of Earth. Latitude is based on an imaginary line that circles Earth halfway between the north and south poles. This line is called the equator and it divides Earth into northern and southern hemispheres. Latitude is a distance in degrees north or south of the equator. Longitude is a distance in degrees east or west of the Prime Meridian.,NA
Days and nights are equal throughout the globe when the sun is above:,NA,B,Poles,Equator,Tropic of Cancer,Tropic of Capricorn,NA,NA,NA,NA,"The event known as Equinox, is eagerly awaited by space enthusiasts as it take place twice a year on 21st March and 23rd September. On the Equinox day, the sun move across the celestial equator, which lie directly above the Earth&#39;s equator.",NA
The tropic of cancer and tropic of Capricorn are of,NA,A,Equal length,Capricorn is shorter than the Cancer,Capricorn is bigger than the Cancer,Very big difference between these two,NA,NA,NA,NA,The reason why the Tropic of Cancer and the Tropic of Capricorn are of equal length is due to the Earth&#39;s axial tilt. The Earth&#39;s axis is tilted at an angle of approximately 23.5 degrees relative to its orbit around the Sun. This tilt is responsible for the changing seasons and the variation in daylight hours throughout the year.,NA
At 23 x 1 / 2&deg; S lies,NA,C,Tropic of Cancer,Arctic Circle,Tropic of Capricorn,Antarctic Circle,NA,NA,NA,NA,"The Tropic of Capricorn is one of the five major circles of latitude marked on maps of Earth. Tropic of Capricorn, latitude approximately 23&deg;27&#39; S of the terrestrial Equator. This latitude corresponds to the southernmost declination of the Sun&#39;s ecliptic to the celestial Equator, but it is very gradually moving northward, currently at the rate of 0.47 arc seconds, or 15 metres, per year.",NA
