question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is not a way to enter the foreign market ?,NA,C,Exporting,Joint venture,Negotiations,Licensing,NA,NA,NA,NA,"<b>International business</b> refers to the <b>business activities</b> which are carried out beyond the <b>national borders.</b> It can occur in different modes like <b>exporting, licensing, contract, manufacturing, joint venturing, and others.</b> Countries depend upon other countries for goods and services and through international business, these types of transactions are made possible. ",NA
Which element of the promotion mix does wholesalers generally apply to obtain their promotional objective?,NA,B,Advertising,Personal Selling,Trade Promotion,Direct Marketing,NA,NA,NA,NA,"<b>Wholesalers generally apply the element of <q>Personal Selling</q> to obtain their promotional objectives.</b><br/>Personal selling involves direct communication between the wholesaler's sales representatives and the customers. Wholesalers often have a sales force dedicated to building relationships, promoting products, and securing orders from retailers or other businesses that purchase goods in bulk.<br/>By engaging in personal selling, wholesalers can provide detailed product information, demonstrate the features and benefits of their offerings, address customer concerns, negotiate pricing and terms, and ultimately persuade customers to make purchases.<br/>Personal selling allows wholesalers to establish direct relationships with their customers, understand their needs, and tailor their offerings accordingly.<br/>In addition to personal selling, wholesalers may also employ other elements of the promotion mix to support their promotional objectives, such as advertising, sales promotion, and public relations.<br/>However, personal selling is particularly important for wholesalers as it enables them to have direct and personalized interactions with their customers to fulfill their promotional objectives.",NA
Value for money products means:,NA,B,low-priced products with low unit packaging,no-frills functional products at a low cost,large volume products,high-priced products,NA,NA,NA,NA,"Value for money products typically refer to products that offer a good balance between price and quality, providing customers with satisfactory benefits relative to the price paid.<br/><b>Value for money products often prioritize functionality and affordability.</b><br/>They are designed to meet the basic needs of customers without unnecessary features or embellishments, resulting in a lower cost compared to products with additional frills or luxury elements.<br/>The emphasis is on providing quality and utility at a reasonable price point, making them accessible and attractive to a wide range of consumers.<br/> <br/><b>Hence, Value for money products means no-frills functional products at a low cost.</b>",NA
Rural marketing means:,NA,C,Movement of goods from urban to rural ,Movement of goods from rural to urban,Exchange between rural and urban ,Exchange between rural areas ,NA,NA,NA,NA,"<b>Rural Marketing:</b><br/><br/>Rural marketing is the process of developing, pricing, promoting, and distributing products and services to rural consumers.<br/>Rural consumers are those who live in rural areas, which are defined as areas with a population density of less than 2,500 people per square mile.<br/>Rural marketing is a complex and challenging endeavour, as rural consumers have different needs and wants than urban consumers.<br/>They also have different access to information and resources, which can make it difficult for businesses to reach them.",NA
Which of the following is considered the most volatile investment?,NA,B,FDI,FPI,ECB,All of the above,NA,NA,NA,NA,"<b>Foreign Portfolio Investment (FPI):</b><ul>FPI involves investing in financial assets such as stocks and bonds in a foreign country.</ul><ul>It is considered highly volatile because it is subject to quick inflows and outflows based on market sentiment, economic news, and geopolitical events.</ul><ul>Investors can easily enter and exit markets, leading to high volatility and potential rapid changes in asset prices.</ul>",NA
Which of the following is not a part of the Money Market?,NA,C,Commercial Papers,T-bills,Derivatives,Certificate of Deposits,NA,NA,NA,NA,"<b>Derivatives:</b><ul>Derivatives are financial instruments whose value is derived from other underlying assets, such as stocks, bonds, commodities, or currencies.</ul><ul>They are primarily used for hedging risk or for speculative purposes.</ul><ul>Derivatives are not typically traded in the money market but rather in the derivatives market, which is separate and distinct.</ul>",NA
Which instrument is used by foreign entities not registered with SEBI to invest in Indian markets via registered brokers?,NA,A,Participatory Notes,IDR,GDR,Both 2 and 3,NA,NA,NA,NA,"<b>Participatory Notes (P-Notes):</b><ul>These are financial instruments used by foreign investors who are not registered with the Securities and Exchange Board of India (SEBI) to invest in Indian stock markets.</ul><ul>They are issued by registered foreign institutional investors (FIIs) to overseas investors who wish to participate in the Indian market without directly registering with SEBI.</ul><ul>P-Notes provide anonymity to investors, which can be beneficial for those who prefer not to disclose their identity.</ul>",NA
Roles and Responsibilities of forwarding Market Commission duties are transferred to ,NA,A,SEBI,RBI,SBI,NSE,NA,NA,NA,NA,"<b>SEBI:</b><ul>The Securities and Exchange Board of India (SEBI) is the regulatory body for securities and commodity market in India.</ul><ul>SEBI ensures that the market operates in an orderly manner and that investors' interests are protected.</ul><ul>This organization has the expertise and authority to regulate the forwarding market, ensuring transparency and efficiency.</ul><ul>By transferring the forwarding market commission duties to SEBI, the government aims to enhance market integrity and investor confidence.</ul>",NA
Which of the following apps is launched by SEBI?,NA,A,SaaRthi,YONO,BHIM,UMANG,NA,NA,NA,NA,"<b>SaaRthi:</b><ul>SaaRthi is a mobile app launched by the Securities and Exchange Board of India (SEBI).</ul><ul>The app aims to empower investors with accurate information about the securities market.</ul><ul>It provides education and awareness about various aspects of financial markets, investment schemes, and investor rights.</ul><ul>In financial enterprises, such tools are essential for ensuring informed decision-making by investors and enhancing market transparency.</ul>",NA
Which of the following stock exchanges has its index named as <q>Sensex</q> ?,NA,B,India Commodity Exchange Ltd.,Bombay Stock Exchange (BSE),Calcutta Stock Exchange,National Stock Exchange (NSE),NA,NA,NA,NA,"The correct answer is  <b><u>Bombay Stock Exchange (BSE).</u></b><br/><br/>Sensex, also known as the <b>S&P BSE Sensex index,</b> is the benchmark index of India's BSE, formerly known as the <b>Bombay Stock Exchange.</b>",NA
