question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following pairs:<br/>1. General Service Enlistment Act - Passed in 1856 <br/>2. Mangal Pande - Sepoy of the 34th Native Infantry <br/>3. Nana Saheb - Leader associated with Lucknow <br/>4. Kunwar Singh - Zamindar of Jagdishpur<br/><br/>How many pairs given above are correctly matched?,NA,C,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. General Service Enlistment Act - Passed in 1856<br/>This is correctly matched. The General Service Enlistment Act was indeed passed in 1856 and it required new recruits to serve anywhere required by the government.<br/><br/>2. Mangal Pande - Sepoy of the 34th Native Infantry<br/>This is correctly matched. Mangal Pande was a sepoy in the 34th Native Infantry who played a key role in the events leading up to the Revolt of 1857.<br/><br/>3. Nana Saheb - Leader associated with Lucknow<br/>This is incorrectly matched. Nana Saheb was a leader associated with Kanpur, not Lucknow. Begum Hazrat Mahal was the leader associated with Lucknow.<br/><br/>4. Kunwar Singh - Zamindar of Jagdishpur<br/>This is correctly matched. Kunwar Singh was indeed the zamindar of Jagdishpur and a prominent leader in the Revolt of 1857.<br/><br/>Hence, only three pairs are correctly matched.",NA
"What were the consequences of the revolt of 1857? <br/>1. As per the Queen&#39;s proclamation, the era of annexation and expansion has ended, and the British promised to respect the dignity and rights of the native princes <br/><br/>2. The people of India were promised freedom of religion without interference from British officials <br/><br/>Which of these statements is/are correct?",NA,C,1 Only,2 Only,Both 1 and 2,None of the above,NA,NA,NA,NA,"Answer is C <br/>- As per the Queen&#39;s proclamation, the era of annexations and expansion had ended, and the British promised to respect the dignity and rights of the native princes. <br/>- Henceforth, the Indian states were to recognise the Paramountcy of the British Crown and were to be treated as parts of a single charge. <br/>-The people of India were promised freedom of religion without interference from British officials. The proclamation also promised equal and impartial protection under the law to all Indians, besides equal opportunities in government services irrespective of race or creed.",NA
"The Indian war of independence, 1857 was written by",NA,D,RC Majumdar,SN Sen,Henry Lawrence,V D Sawarkar,NA,NA,NA,NA,"V D Savarkar in his book, the Indian war of independence, 1857 called The Revolt the first war of Indian independence. He said the lofty ideal of self-Rule inspired it by Indians through a Nationalist upsurge.",NA
" Consider the following statements:<br/><br/>Statement-I: The revolt of 1857 coincided with certain outside events in which the British suffered serious losses - the First Afghan War (1838-42), Punjab Wars (1845-49), and the Crimean Wars (1854-56).<br/>Statement-II: The immediate cause of the sepoys&#39; dissatisfaction during the revolt of 1857 was the order that they would not be given the foreign service allowance (Bhatta) when serving in Sindh or in Punjab.<br/><br/>Which one of the following is correct in respect of the above statements?",NA,C,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I is accurate as it highlights the correlation between the revolt of 1857 and the external events like the First Afghan War, Punjab Wars, and the Crimean Wars, which had weakened the British. <br/>However, Statement-II is not directly related to the immediate cause of the sepoys&#39; dissatisfaction during the revolt and thus is incorrect. <br/>The dissatisfaction of the sepoys was more closely linked to the General Service Enlistment Act and the denial of foreign service allowance, not specifically related to their service in Sindh or Punjab during the revolt of 1857.",NA
"Consider the following statements. <br/>1. The events of 1857 demonstrated that the people in India&#39;s politics were not basically communal or sectarian before 1858. <br/>2. Rani Lakshmibai had the solid support of Afghan soldiers. <br/>3. There was deep loyalty which the people felt for the Mughal crown. <br/>4. During the entire revolt, there was complete cooperation between Hindus and Muslims at all levels. <br/><br/>Which of these statements is/are correct?",NA,D,1 and 2 only,2 and 3 Only,"1, 3 and 4 only",All of them,NA,NA,NA,NA,"Explanation: <br/>- During the entire revolt, there was complete cooperation between Hindus and Muslims at all levels-people, soldiers, leaders. <br/>- All rebels acknowledged Bahadur Shah Zafar, a Muslim, as the emperor and the first impulse of the Hindu sepoys at Meerut was to march to Delhi, the Mughal imperial capital.<br/>- According to Maulana Azad, Two facts stand out clearly in the midst of the tangled story of the Rising of 1857. <br/>- The first is the remarkable sense of unity among the Hindus and the Muslims of India in this period. The other is the deep loyalty which the people felt for the Mughal Crown. <br/>- Rebels and sepoys, both Hindu and Muslim, respected each other&#39;s sentiments. Immediate banning of cow slaughter was ordered once the revolt was successful in a particular area. <br/>- Both Hindus and Muslims were well represented in leadership; for instance, Nana Saheb had Azimullah, a Muslim and an expert in political propaganda, as an aide. In contrast, Laxmibai had the solid support of Afghan soldiers. <br/>- The events of 1857 demonstrated India's people and politics was not basically communal or sectarian before 1858.",NA
Consider the following pairs:<br/>1. Sir John Seeley: <q>Planned war of national independence</q><br/>2. Dr. K. Datta: Marxist historian <br/>3. M.N. Roy: Commercial capitalism <br/>4. S.B. Chaudhuri: Feudalism <br/><br/>How many pairs given above are correctly matched?,NA,A,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. Sir John Seeley: <q>Planned war of national independence</q> - Incorrect. Sir John Seeley did not describe the Revolt of 1857 as a <q>planned war of national independence.</q> He viewed it more as a series of uncoordinated uprisings.<br/><br/>2. Dr. K. Datta: Marxist historian - Incorrect. Dr. K. Datta is not identified as a Marxist historian. Marxist historians, such as R.P. Dutt, typically analyzed the Revolt of 1857 from a class struggle perspective.<br/><br/>3. M.N. Roy: Commercial capitalism - Correct. M.N. Roy viewed the Revolt of 1857 within the broader context of commercial capitalism and its impacts.<br/><br/>4. S.B. Chaudhuri: Feudalism - Incorrect. S.B. Chaudhuri is known for his work on the economic history of India, but he did not specifically focus on feudalism in the context of the Revolt of 1857.<br/><br/>Thus, only one pair is correctly matched.",NA
The resistant to the revolt in Banaras was put by,NA,D,Henry Lawrence,Sir Colin Campbell,Sir Hugh Rose,Colonel James Neill,NA,NA,NA,NA,"<u>The British Resistance:</u> <br/>Delhi - Lieutenant Willoughby, John Nicholson, Lieutenant Hudson <br/>Kanpur - Sir Hugh Wheeler, Sir Colin Campbell <br/>Lucknow - Henry Lawrence, Brigadier Inglis, Henry Havelock, James Outram, Sir Colin Campbell <br/>Jhansi - Sir Hugh Rose <br/><b>Benaras - Colonel James Neill</b>",NA
"Consider the following statements:<br/>1. The annexation of Indian states by the East India Company cut off a major source of patronage for artisans and handicrafts people.<br/>2. The Doctrine of Lapse was a policy that contributed to the suspicion and discontent among Indian rulers.<br/>3. The Religious Disabilities Act, 1856, aimed to protect the religious rights and properties of Indian communities.<br/>Which of the statements given above is/are correct?",NA,B,1 Only,1 and 2 Only,1 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"Statement 1: The annexation of Indian states by the East India Company indeed cut off a major source of patronage for artisans and handicrafts people. This led to significant economic distress among these communities, as they lost their traditional sources of support and income.<br/><br/>Statement 2: The Doctrine of Lapse was a policy implemented by the British which allowed them to annex any princely state where the ruler did not have a direct heir. This policy contributed significantly to the suspicion and discontent among Indian rulers, as it threatened their sovereignty and autonomy.<br/><br/>Statement 3: The Religious Disabilities Act, 1856, did not aim to protect religious rights and properties; rather, it was perceived as an interference in religious affairs. It allowed individuals who converted to other religions to inherit property, which was seen as undermining traditional religious practices and beliefs.<br/><br/>Therefore, the correct statements are 1 and 2, making Option B: 1 and 2 Only the correct answer.",NA
Which of the following are correct about White Mutiny? <br/>1. The white mutiny was seen as a potential threat to the already precarious British position India. <br/>2. Lord Canning&#39;s legalistic interpretation of the laws surrounding the transfer also infuriated the affected white soldiers.<br/>Choose from the following options:,NA,C,1 only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Explanation: <br/>- White Mutiny: In the wake of the transfer of power from the British East India Company to the British Crown, a section of European forces employed under the Company resented the move that required three Presidency Armies to transfer their allegiance from the defunct Company to the Queen, as in the British Army. This resentment resulted in some unrest termed as White Mutiny. <br/>- Lord Canning&#39;s legalistic interpretation of the laws surrounding the transfer also infuriated the affected White soldiers. <br/>- The White Mutiny was seen as a potential threat to India&#39;s already precarious British position with a potential of inciting renewed rebellion among the <q>still excited population in India</q>. The demands of the European Forces&#39; included an enlistment bonus or a choice of release from their obligations. <br/>- Finally, the demand for free and clear release with free passage home was accepted, and men opted to return home. It is also believed that open rebellion and physical violence on the part of European Forces&#39; were such that there was little possibility of being accepted into the <q>Queen&#39;s Army</q>.",NA
Which of the following was probably the weakest link in the chain of leadership of the Revolt of 1857?,NA,A,Bahadur Shah II,Kunwar Singh,Nana Sahib,None of these,NA,NA,NA,NA,"The Sepoy&#39;s of Meerut reached Delhi and killed the European officers and entered the red fort. They urged the Mughal Emperor Bahadur shah [a pensioner for the east India Company] to become their leader and give legitimacy to their cause. The Mughal emperor was initially reluctant but gave in and was declared Shahenshah of Hindustan. Capture of Delhi provided a rallying point to the movement. The revolt of the sepoys was accompanied by a rebellion of the civil population, particularly in the north-western provinces and Awadh. Their accumulated grievances found immediate expression and they rose en masse to give vent to their opposition to British rule. Emperor Bahadur Shah was perhaps the weakest link in the chain of leadership of the revolt. His weak personality, old age and lack of leadership qualities created political weakness at the nerve centre of the revolt and did incalculable damage to it.",NA
