question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements. <br/>1. The Parliament can create new all-India services except for an all-India judicial service, if the Rajya Sabha passes a resolution declaring that it is necessary or expedient in the national interest to do so <br/>2. Such a resolution in the Rajya Sabha should be supported by two-thirds of the members present and voting<br/>Which of these statements is/are correct?",NA,B,1 Only,Both 1 and 2,2 Only,Neither 1 nor 2,NA,NA,NA,NA,"Article 312 of the Constitution of India empowers the Parliament to create new All India Services other than the All India Judicial Service (AIJS). However, before creating any new service, a resolution must be passed by the Rajya Sabha with a majority of not less than two-thirds of the members present and voting, declaring that it is necessary or expedient in the national interest to do so. Once the resolution is passed, Parliament may create such new service by passing a law. <br/>Therefore, statement 1 is correct. Statement 2 is also correct, as the Rajya Sabha resolution must be supported by two-thirds of the members present and voting.",NA
Which of these are correctly matched?<br/>1. Private Member&#39;s Resolution: It is one that is moved by a private member <br/>2. Government Resolution: It is one that is moved by a minister <br/>3. Statutory Resolution: It can be moved either by a private member or a minister <br/>Choose from the following options.,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,<u>Private Member&#39;s Resolution:</u> It is one moved by a private member (other than a minister). It is discussed only on alternate Fridays and in the afternoon sitting. Government Resolution: It is one that is moved by a minister. It can be taken up any day from Monday to Thursday. <br/><u>Statutory Resolution:</u> It can be moved either by a private member or a minister. It is so-called because it is always tabled in pursuance of a provision in the Constitution or an Act of Parliament.,NA
The scheme of youth parliament was started on the Recommendation of,NA,D,First all India whips conference,Second all India whips conference,Third all India whips conference,Fourth all India whips conference,NA,NA,NA,NA,The scheme of Youth Parliament was started on the recommendation of the Fourth All India Whips Conference. <br/>Its objectives are: <br/>1. to acquaint the younger generations with practices and procedures of Parliament; <br/>2. to imbibe the spirit of discipline and tolerance cultivating character in the minds of youth; <br/>3. to inculcate in the student community the basic values of democracy and to enable them to acquire a proper perspective on the functioning of democratic institutions. The ministry of parliamentary affairs provides necessary training and encouragement to the states in introducing the scheme.,NA
Which of the following is introduced in the Parliament to draw the attention of the house to a definite matter of urgent public importance?,NA,D,Closure Motion,Censure Motion,Both  A and B,Adjournment Motion,NA,NA,NA,NA,"Adjourn Motion: An adjournment motion is a motion used to adjourn the proceedings of the House for the purpose of discussing a specific matter of urgent public importance. It is used to interrupt the normal business of the House to address an urgent issue. <br/>Censure Motion: A censure motion is a motion moved by a member in either House of Parliament expressing a strong disapproval of or condemnation of actions or policies of the government or ministers. <br/>Closure Motion: Closure motion is a procedural motion used in the Parliament to bring an end to the debate on a matter under discussion. It aims to hasten the legislative process by limiting further debate and moving to a vote. <br/>Hence, option D is correct.",NA
"Consider the following statements. <br/>1. The governor can also prorogue the House which is in session <br/>2. Unlike an adjournment, a prorogation terminates a session of the House <br/>Which of these statements is/are correct?",NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The presiding officer (Speaker or Chairman) declares the House adjourned sine die when the business of the session is completed. Within the next few days, the governor issues notification for the prorogation of the session. However, the governor can also prorogue the House which is in session. Unlike an adjournment, a prorogation terminates a session of the House.",NA
Consider the following statements.<br/><br/>1. A Money Bill cannot be introduced in the legislative council<br/><br/>2. It can be introduced in the legislative assembly only and that too on the recommendation of the governor<br/><br/>3. Every such bill is considered to be a government bill and can be introduced only by a minister<br/><br/>Choose the correct option from the following options.,NA,D,1 and 2,2 and 3 Only,1 and 3 Only,All of the Above,NA,NA,NA,NA,"The correct option is D. <br/><br/>Statement 1 is correct. A Money Bill cannot be introduced in the Legislative Council of a state, as per Article 198 of the Indian Constitution.<br/>Statement 2 is correct. Yes, a money bill can only be introduced in the Legislative Assembly of a state on the recommendation of the Governor. <br/>Statement 3 is correct. Every Money Bill is considered to be a government bill, and it can only be introduced by a minister.",NA
"Consider the following statements:<br/>1. An amendment to the Constitution of India can be initiated by an introduction of a bill in the Lok Sabha only.<br/>2. If such an amendment seeks to make changes in the federal character of the Constitution, the amendment also requires to be ratified by the legislature of all the States of India.<br/>Which of the statements given above is/are correct?",NA,D,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"Under Article 368(2), Parliament can amend the constitution by passing a Bill in each House by a majority of the total membership of that House and by a majority of not less than two-thirds of the members of that House present and voting. Those provisions of the Constitution which are related to the federal structure of the polity can be amended by a special majority of the Parliament and also with the consent of half of the state legislatures by a simple majority. If one or some or all the remaining states take no action on the bill, it does not matter; the moment half of the states give their consent, the formality is completed. There is no time limit within which the states should give their consent to the bill.",NA
The Parliament can make any law for whole or any part of India for implementing international treaties:,NA,D,with the consent of all the States,with the consent of the majority of States,with the consent of the States concerned,without the consent of any State,NA,NA,NA,NA,"The constitution empowers parliament to make laws on any matter in-state list under five extraordinary circumstances - Rajya sabha passes the resolution, national emergency, states make a request, to implement international agreements, during president&#39;s rule.",NA
"Consider the following statements. <br/>1. A Money Bill can be introduced only in Legislative assembly and not in the Legislative council <br/>2. The council can amend but cannot reject a money bill <br/>3. It should return the bill to the assembly within 14 days, either with recommendations or without recommendations <br/>Which of these statements is/are correct?",NA,C,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"<u>Explanation:</u><br/>Statement 1 is correct. A Money Bill can only be introduced in the Lower House of the Parliament, i.e., the Lok Sabha in the case of the central government, and in the Legislative Assembly in the case of the state government.<br/><br/>Statement 2 is incorrect. The Legislative Council cannot amend a Money Bill. It can only make recommendations. The Legislative Assembly has the power to either accept or reject these recommendations.<br/><br/>Statement 3 is correct. Once a Money Bill is passed by the Legislative Assembly, it is sent to the Legislative Council. The Council cannot withhold the Bill for more than 14 days. If it does not return the Bill within this period, it is deemed to have been passed by both Houses.",NA
Consider the following statements. <br/>1. The Legislative Council can remove the Council of Ministers by passing a no-confidence motion. <br/>2. Legislative Council can discuss and criticize the policies and activities of the government because the Council of Ministers is collectively responsible to the Legislative assembly and Legislative Council <br/>Which of these statements is/are correct?,NA,D,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,Council of Ministers is collectively responsible only to the Assembly.,NA
