question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Article 368 provides for the procedure for amendment of the Constitution. About amendment, consider the following:<br/>1. All amendments to the Constitution are initiated only in the Parliament.<br/>2. The Constitution Commission is required to amend the Constitution. <br/>3. After the passage of the amendment bill in the Parliament and, in some cases, in State legislatures, the referendum is required for ratification of the amendment.<br/>4. Sovereignty of elected representatives is the basis of the amendment procedure.<br/><br/>Q. Which of the above statements is/are correct?",NA,A,1 and 4 Only,1 and 2 Only,2 and 3 Only,"1, 2 and 4 Only",NA,NA,NA,NA,There are two methods of amending the Constitution and they apply to two different sets of articles of the Constitution: <br/>1. A special majority can amend the two houses of the Parliament. <br/>2. It requires a special majority of the Parliament and consent of half of the State legislatures. This method is more difficult. <br/><br/>Additional Information:<br/>-Special Majority according to Article 249.<br/>-This refers to a two-thirds majority of those present and voting. This is used to approve a Rajya Sabha resolution authorizing the Parliament to make State List laws.<br/>-Special Majority according to Article 368.<br/>-This refers to a vote backed by more than half of the House&#39;s total strength and a majority of 2/3rd of the members present and voting. The majority of Constitution Amendment Bills are written in this format.,http://abhigyanacademy.com/upload/gallery/1718086317.png 
Consider the following statements about the Constitutional amendment in India.<br/>1. A private member of the Parliament cannot introduce a constitutional amendment bill <br/>2. The prior permission of the President is required for the introduction of every constitutional amendment bill <br/>3. Special days are reserved for introducing constitutional amendment bills <br/><br/>Q. Which of the above statements is/are correct?,NA,D,1 and 2 only,2 only,1 and 3 only,None of the above,NA,NA,NA,NA,"The bill can be introduced either by a minister or by a private member and does not require prior permission of the president.<br/>A private member here means an MP who does not belong to the ruling coalition.<br/>Special days in the Parliament are reserved for Private member bills - not constitutional amendment bills.<br/><br/><u>Additional Information:</u><br/>The legislative process begins with the introduction of a bill in either house of Parliament, i.e. the Lok Sabha or the Rajya Sabha. A bill can be introduced either by a minister or by a private member. In the former case it is known as a government bill and in the latter case it is known as a private member&#39;s bill.",NA
Consider the following statements about the procedure to amend the Indian constitution:<br/>1. A constitutional amendment bill requires the prior permission of the President. <br/>2. It can only be introduced in the Lok Sabha first as it is the house of the people from which the constitution derives its authority.<br/><br/>Q. Which of the above statements is/are correct?,NA,D,Only 1,Only 2,Both,None,NA,NA,NA,NA,The prior permission of the President is required only in the case of money bills and other bills like the one which seeks to divide a state. It can be introduced in any House.<br/><br/><u>Additional Information:</u><br/>No Bill or amendment which imposes or varies any tax which varies any tax or duty in which States are interested:<br/>(a) A tax or duty the whole or part of the net proceeds whereof are assigned to any State.<br/>(b) A tax or duty by reference to the net proceeds whereof sums are for the time being payable out of the Consolidated Fund of India to any State.,NA
A constitutional amendment bill must be passed in each house by a combination of which of these conditions?<br/>1. Two-thirds of the total membership of each house <br/>2. Majority of those present and voting in each house <br/>3. Two-thirds of those present and voting in each house <br/>4. Majority of the total membership of each house <br/><br/>Q. Which of the above statements is/are correct?,NA,D,1 Only,None of the above,4 Only,3 and 4,NA,NA,NA,NA,"The correct conditions for passing a constitutional amendment bill in India are:<br/>1. Two-thirds of those present and voting in each house (Option 3) <br/>2. Majority of the total membership of each house (Option 4)<br/><br/><u>Explanation:</u><br/>In India, the process of constitutional amendment is governed by Article 368 of the Indian Constitution. According to this article, an amendment bill must be passed in each house (Lok Sabha and Rajya Sabha) by a majority of the total membership of that house and a majority of not less than two-thirds of the members present and voting.<br/><br/>This means that both the conditions mentioned above must be met for the successful passage of a constitutional amendment bill in each house of the Indian Parliament.",NA
If a bill seeks to amend the federal provisions of the Constitution.,NA,D,It must also be ratified by the legislatures of at least two-thirds of the states by a special majority ,It must be introduced in the Parliament with prior consent from the President,It must receive the approval of a constitutional bench of Supreme Court under Article 143 before introduction in the Parliament,None of the above is correct in this regard,NA,NA,NA,NA,"It should be ratified by the legislatures of half of the states by a simple majority, that is, a majority of the members of the House present and voting. No special majority or two-thirds states are needed. So, A is incorrect.<br/>After duly passed by both the Houses of Parliament and ratified by the state legislatures, where necessary, the bill is presented to the President for assent. No prior consent is required.<br/>The power to initiate an amendment to the Constitution lies with the Parliament.",NA
The first president of India who got elected unanimously is ________,NA,D,Pranab Mukherjee,Babu Rajendra Prasad,Dr. APJ. Abdul Kalam,Neelam Sanjeeva Reddy,NA,NA,NA,NA,"<u>Key Points:-</u><br/>- The first president of India who got elected unanimously Neelam Sanjeeva Reddy.<br/>-He was elected in the 1977 poll.<br/>-Reddy also lost in the race to Rashtrapathi Bhavan during the election held on August 16, 1969, when V.V. Giri was victorious.<br/>-Rajendra Prasad held office for two consecutive terms.<br/>-He holds the record of serving as President for the longest number of years and securing the highest percentage of votes.<br/>-Dr. APJ Abdul Kalam was served as the 11th President of India from 2002 to 2007.<br/><br/>Hence, the correct option is D.",NA
"Consider the following statements about the position of states concerning constitutional amendments: <br/><br/>1. The states can initiate a constitutional amendment bill in the USA, unlike in India. <br/>2. The constitution does not provide a time limit for getting the required amendment cleared by the states in India.<br/><br/>Q. Which of the above statements is/are correct?",NA,C,Only 1 ,Only 2,Both,None,NA,NA,NA,NA,"The USA is a truly federal nation, gives power to its states to initiate amendments to the constitution. It is not the case in India, which is a quasi-federal nation.<br/><br/>Additional information:<br/>An amendment may be proposed by a two-thirds vote of both Houses of Congress, or, if two-thirds of the States request one, by a convention called for that purpose. The amendment must then be ratified by three-fourths of the State legislatures, or three-fourths of conventions called in each State for ratification.",NA
Consider the following statements.<br/>1. The President cannot send back a constitutional amendment bill for reconsideration to the Parliament.<br/>2. Elected representatives alone have the power to amend the Constitution.<br/>3. The judiciary cannot initiate the process of Constitutional Amendment but can effectively change the Constitution by interpreting it differently.<br/>4. The Parliament can amend any section of the Constitution.<br/><br/>Q. Which of the above statements is/are correct?,NA,C,1 and 4 only,"1, 2 and 3 only","1, 3  only",All of the above,NA,NA,NA,NA,"Statements 1, 3 only correct.<br/><br/>Statement 1 is Correct: According to Article 368 of the Constitution, the President cannot use his/her veto power to send back a constitutional amendment bill. The President must either give his/her assent or withhold it.<br/>Statement 2 is incorrect. While elected representatives in the Parliament (Lok Sabha and Rajya Sabha) have the primary role in amending the Constitution, the President also plays a crucial role by giving assent to the amendment bill.<br/>Statement 3 is Correct. The judiciary&#39;s role is to interpret the Constitution and ensure its provisions are upheld. While it cannot initiate the process of amending the Constitution, the judiciary can influence constitutional interpretation through its judgments, which may effectively change the meaning or application of certain provisions.<br/>Statement 4 is incorrect. According to Article 368 of the Constitution, the Parliament has the power to amend any part of the Constitution, subject to certain limitations. Some provisions require a special majority in both Houses of Parliament and ratification by at least half of the states, while others require only a simple majority. However, the basic structure of the Constitution cannot be altered, as established by the Supreme Court.",NA
"Given below are two statements, one labelled as Assertion (A) and the other labelled as Reason (R):<br/><br/>Assertion (A): The reservation of 33% of seats for women in Parliament and state Legislature does not require constitutional Amendment.<br/>Reason (R): Political parties contesting elections can allocate 33% of seats they contest to women candidates without any constitutional amendment.<br/><br/>Q. In the context of the above two statements, which one of the following is correct?",NA,D,"Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is not a correct explanation of A.","A is true, but R is false","A is false, but R is true",NA,NA,NA,NA,"This is to encourage women to not underestimate them.<br/>As Many women politicians are in a very low minority in the respective parties and may feel marginalised.<br/>It is a 108th amendment bill, popularly called reservation for women and the major step taken to boost and encourage women&#39;s in the society and other areas.<br/><br/>Additional Information:<br/>The Constitution (106th Amendment) Act, 2023, reserves one-third of all seats for women in Lok Sabha, State legislative assemblies, and the Legislative Assembly of the National Capital Territory of Delhi, including those reserved for SCs and STs.",NA
"Several provisions in the Constitution can be amended by a simple majority of the two Houses of Parliament outside the scope of Article 368. These provisions include, inter alia <br/>1. Citizenship clauses <br/>2. Abolition or creation of legislative councils in states <br/>3. Election of the President and its manner <br/><br/>Q. Which of the above statements is/are correct?",NA,A,1 and 2 only,2 only,1 and 3 only,None of the above,NA,NA,NA,NA,"These matters include:<br/>-Admission or establishment of new states.<br/>-Formation of new states and alteration of areas, boundaries or names of existing states. <br/>-Abolition or creation of legislative councils in states. <br/>-Second Schedule - emoluments, allowances, privileges and so on of the President, the Governors, the Speakers, judges, etc. <br/>-Quorum in Parliament. <br/>-Salaries and allowances of the members of Parliament. <br/>-Rules of procedure in Parliament.<br/>-Privileges of the Parliament, its members and its committees. <br/>-Use of English language in Parliament.<br/>-Several puisne judges in the Supreme Court. <br/>-Conferment of more jurisdictions on the Supreme Court. <br/>-Use of official language.<br/>-Citizenship - acquisition and termination.<br/>-Elections to Parliament and state legislatures. <br/>-Delimitation of constituencies. <br/>-Union territories. <br/>-Fifth Schedule - administration of scheduled areas and scheduled tribes.<br/>-Sixth Schedule - administration of tribal areas.",NA
