question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which form of power sharing is most commonly referred to as federalism?,NA,B,Horizontal division of power,Vertical division of power,Division of power among various communities,Sharing of power among political parties,NA,NA,NA,NA,"That vertical division of power among different levels of government is one of the major forms of power- sharing in modern democracies. In this chapter, we focus on this form of power-sharing. It is most commonly referred to as federalism.",NA
Choose the incorrect statement.,NA,D,Usually a federation has two levels of governments.,Both the levels of governments enjoy theirs powers independent of one another.,"In a federal system, a state government has powers of its own.","In a federal system, the state government is answerable to the central government.",NA,NA,NA,NA,"A state government is the government of a country subdivision in a federal form of government, which shares political power with the federal or national government. A state government may have some level of political autonomy, or be subject to the direct control of the federal government. This relationship may be defined by a constitution.<br/><br/>The reference to <q>state</q> denotes country subdivisions which are officially or widely known as <q>states</q>, and should not be confused with a <q>sovereign state</q>. Provinces are usually divisions of unitary states. Their governments, which are also provincial governments, are not the subject of this article.<br/><br/>The United States and Australia are the main examples of federal systems in which the term <q>state</q> is used for the subnational components of the federation. In addition, the Canadian provinces fulfil a similar role. The term for subnational units in non-English-speaking federal countries may also often be translated as <q>state</q>, e.g. States of Germany.",NA
Which are the basic objectives of a federal system?,NA,D,To safeguard and promote unity of the country,To accommodate regional diversity,To share powers among different communities,Both (a) and (b),NA,NA,NA,NA,A federal government safeguards and promotes unity of the country by equal distribution of power or by decentralizing of by each have given a chance to participate and to enjoy some political powers.<br/><br/>It accommodates regional diversity because in some parts of the country with different religion background does not get equal chance to participate and enjoy some political power but in the federal country it ensures everyone to take part and ensures that everyone should enjoy political power.,NA
There are two kinds of routes through which federations have been formed. Which are they?,NA,C,One route involves independent states coming together on their own to form a bigger unit,Second route is where a large country decides to divide its powers between the states and the national government,Both the above,None of the above,NA,NA,NA,NA,"First route involves independent states coming together on their own to form a bigger unit. this is known as coming together federation. e.g. - USA, Australia, Switzerland. <br/>The second route is where a large country decides to devide its power between the constituent states and the national government. this is holding together federation. e.g. - India, Belgium .",NA
"According to William Riker, what is the commonality found across many cases of federalism?",NA,A,It is the result of a bargain among regional actors and a prospective national government that is driven by external threats,It is the result of bargaining by foreign powers as they impose a political system on a territory,It is a result of territorial bargaining by elite powers as they develop a national system in a region,"This is a trick question: Riker identifies no such commonality, declaring that <q>all cases are perfectly unique</q>.",NA,NA,NA,NA,A is the correct option. Riker&#39;s claim that federalism is always a result of a collective response to external or internal threats to dominant central and regional coalitions needs to be qualified to include economic and cultural threats.,NA
Which of the following is incorrect regarding a unitary government?,NA,D,There is either only one level of government or the sub-units are subordinate to the central government,The central government can pass on orders to the provincial government,A state government is answerable to central government,The powers of state governments are guaranteed by the Constitution,NA,NA,NA,NA,"Unitary government is a kind of government system in which a single power, which is known as the central government, controls the whole government. In fact, all powers and administrative divisions authorities lies at the central place.<br/>Hence, D is the answer.",NA
Which of the following is not one of the key features of federalism?,NA,D,There are two or more levels of governments,"Each tier has its own jurisdiction in specific matters of legislation, taxation and administation",The existence and authority of each tier of government is constitutionally guaranteed,The Constitution can be unilaterally changed by any one level of government,NA,NA,NA,NA,The fundamental provisions of the constitution cannot be unilaterally changed by one level of government. Such changes require the consent of both the levels of government. Courts have the power to interpret the constitution and the powers of different levels of government.,NA
What is true regarding sources of revenue in a federal system?,NA,C,States have no financial powers or independent sources of revenue.,States are dependent for revenue or funds on the central government.,Sources of revenue for each level of government are clearly specified to ensure its financial autonomy.,States have no financial autonomy.,NA,NA,NA,NA,"In a federal system, there are different levels of government, and each level has its own sources of revenue. The sources of revenue for each level of government are clearly specified to ensure its financial autonomy.<br/>The true statement regarding sources of revenue in a federal system is Option C: Sources of revenue for each level of government are clearly specified to ensure its financial autonomy. <br/>The sources of revenue for the central government include taxes, customs duties, and fees from public sector enterprises. The state government&#39;s sources of revenue include sales tax, excise duty, and stamp duty. The local government&#39;s sources of revenue include property tax, entertainment tax, and octroi.<br/>In a federal system, the sources of revenue for each level of government are clearly specified to ensure its financial autonomy. This allows each level of government to raise its own revenue and spend it according to its own priorities, promoting healthy competition and better governance.",NA
When was the report of the States Reorganisation Commission implemented?,NA,A,1956,1958,1960,1965,NA,NA,NA,NA,"The States Reorganisation Act, 1956 was a major reform of the boundaries of India&#39;s states and territories, organising them along linguistic lines.<br/>Although additional changes to India&#39;s state boundaries have been made since 1956, the States Reorganisation Act of 1956 remains the single most extensive change in state boundaries since the independence of India in 1947.",NA
What is the third tier of government known as?,NA,C,Village Panchayats,State government,Local self-government,Zila Parishad,NA,NA,NA,NA,"There are 3 tiers of government that are provided by the Indian Constitution. 1. Union Government  2. State Government  3. Local Government<br/><br/><u>Two Tiers (Union and State Government):</u> The Constitution originally provided for a two-tier system of government, the Union Government or what we call the Central Government, representing the Union of India and the State government. Different tiers of government govern the same citizens, but each tier has its own jurisdiction in its own specific matters of legislation, taxation, and administration. <br/><br/><u>Third Tier (Local Government):</u> Later, the third tier of federalism was also added within the form of Panchayats and Municipalities which is called the Local Government. Local Government Includes Gram Panchayat at the village level, Panchayat Samiti at the block level, and Zila Parishad at the district level.<br/>Hence correct answer is C: Local Self Government.",NA
