question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements: <br/><br/>1. Robert Clive introduced the dual system of government.<br/>2. For the exercise of Diwani functions, the company appointed Deputy Diwans.<br/>Which of these statements is/are correct?",NA,C,1 Only,2 Only,Both of them,None of them,NA,NA,NA,NA,"For the exercise of Diwani functions, the company appointed Deputy Diwans.<br/>After the battle of Buxar, the East India Company became the real masters of Bengal. <br/>Robert Clive introduced the dual system of government.<br/>The rule of the two: the Company and the Nawab in Bengal in which both the Diwani: Collecting revenues and nizamat, Police and judicial functions came under the control of the Company. <br/><br/>The Company exercised Diwani rights as the diwan and the nizamat rights through its right to nominate the deputy subahdar. The Company acquired the Diwani functions from the emperor and nizamat functions from the Subahdar of Bengal. The system held a great advantage for the Company.",NA
"Consider the following statements, regarding Haider Ali:<br/>1. Haidar Ali took the help of the French to set up an arms factory at Dindigul (now in Tamil Nadu), and also introduced Western methods of training for his army <br/>2. Haidar Ali became de facto ruler of Mysore in 1710 .<br/>Which of these statements is/are correct?",NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Haidar Ali became de facto ruler of Mysore in 1761. Hence, statement 2nd is incorrect. <br/>Haidar Ali fulfilled that need and usurped the royal authority by becoming the de facto ruler of Mysore in 1761. Hence, Statement 1 is Correct. ",NA
"Treaty of Bassein (1802) Under the treaty, the Peshwa agreed: <br/>1. To surrender the city of Surat; <br/>2. To give up all claims for Chauth on the Nizam&#39;s dominions<br/>3. To accept the Company&#39;s arbitration in all differences between him and the Nizam or the Gaekwad; <br/>4. Not to keep in his employment Europeans of any nation at war with the English <br/>Which of these statements is/are correct?",NA,D,"1, 2 and 3 Only","1, 3 and 4 Only",1 and 2 Only,All are correct,NA,NA,NA,NA,"Treaty of Bassein (1802) Under the treaty, the Peshwa agreed: <br/>1. To receive from the Company a native infantry (consisting of not less than 6,000 troops), with the usual proportion of field artillery and European artillerymen attached, to be permanently stationed in his territories.<br/>2. To cede to the Company territories yielding an income of Rs 26 lakh.<br/>3.To surrender the city of Surat.<br/>4. To give up all claims for Chauth on the Nizam&#39;s dominions.<br/>5. To accept the Company&#39;s arbitration in all differences between him and the Nizam or the Gaekwad.<br/>6. Not to keep in his employment Europeans of any nation at war with the English.<br/>7. To subject his relations with other states to the control of the English.",NA
Which among the following were the causes for the defeat of the Marathas against the English?<br/>1. Inept leadership <br/>2. Defective nature of the state <br/>3. Loose political set-up <br/>4. Inferior military system <br/>5. Unstable economic policy <br/>Choose from the following options:,NA,D,"1, 2, and 3 Only","1, 4.and 5 Only","2, 3, and 4 only",All are correct,NA,NA,NA,NA,All these factors caused the defeat of the Marathas against the English: <br/>1. Inept leadership <br/>2. Defective nature of the state <br/>3. Loose political set-up <br/>4. Inferior military system <br/>5. Unstable economic policy<br/>6.Superior English diplomacy and espionage<br/>7. Progressive English outlook,NA
Which among the following is not correctly matched? <br/>1. First Anglo Mysore war - Treaty of Madras <br/>2. Second Anglo Maratha war - Treaty of Salbai <br/>3. Fourth Anglo Mysore war - Treaty of seringapatam <br/>Choose among the following options.,NA,B,1 and 2 only,2 and 3 Only,1 and 3 Only,None of them,NA,NA,NA,NA,"<u>British Conquest of Mysore:</u><br/>1. First Anglo-Mysore War (1767-69); Treaty of Madras <br/>2. Second Anglo-Mysore War (1779-1784); Treaty of Mangalore <br/>3. Third Anglo-Mysore War (1790-92), Treaty of Seringapatam <br/>4. Fourth Anglo-Mysore War (1799); Mysore is conquered by British forces <br/><br/><u>Anglo-Maratha Struggle for Supremacy:</u><br/>1. First Anglo-Maratha War (1775-82); Treaty of Surat (1775). Treaty of Purandhar (1776), and Treaty of Salbai (1782) <br/>2. Second Anglo-Maratha War (1803-05): Treaty of Bassein, 1802 <br/>3. Third Anglo-Maratha War (1817-1819)",NA
Treaty of Gandamak is associated with,NA,D,First Anglo Sikh war,First Burma war,First Anglo-Afghan war,Second Anglo-Afghan war,NA,NA,NA,NA,"Second Anglo-Afghan War (1870-80): Lytton made an offer of a favourable treaty to Sher Ali, but the Amir wanted friendship with both his powerful neighbours. <br/>Sher Ali fled in face of the British invasion, and the Treaty of Gandamak (May 1879) was signed with Yakub Khan, the eldest son of Sher Ali.",NA
"Under the Treaty of Allahabad, Nawab Shuja Ud Daula agreed to: <br/>1. Surrender Allahabad and kara to English <br/>2. Pay rupees 50 lakh to the company as war indemnity <br/>3. Give Balwant Singh, the zamindar of Banaras, full possession of his estate <br/>Which of these statements is/are correct?",NA,B,1 and 2 only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Under the Treaty of Allahabad, Nawab Shuja ud-Daula agreed to surrender Allahabad and Kara to Shah Alam <br/> Robert Clive concluded two important treaties at Allahabad in August 1765 one with the Nawab of Awadh and the other with the Mughal Emperor, Shah Alam II. <br/>Nawab Shuja-ud-Daula agreed to <br/>(i) surrender Allahabad and Kara to Emperor Shah Alam II; <br/>(ii) pay Rs 50 lakh to the Company as war indemnity: and <br/>(iii) give Balwant Singh, Zamindar of Banaras, full possession of his estate. <br/>Shah Alam II agreed to: <br/>(i) reside at Allahabad, to be ceded to him by the Nawab of Awadh, under the Company&#39;s protection; <br/>(ii) issue a Farman granting the Diwani of Bengal, Bihar, and Orissa to the East India Company in place of an annual payment of Rs 26 lakh, and <br/>(iii) a provision of Rs 53 lakh to the Company in return for nizamat functions (military defense, police, and administration of justice) of the said provinces.",NA
Which among the following are the factors that gave success to the British in India?<br/>1. Superior Arms <br/>2. Military Discipline <br/>3. Civil Discipline <br/>4. Brilliant Leadership (which did not bother about adopting unscrupulous practices) <br/>5. Financial Strength <br/>Choose from the following options.,NA,D,"1, 2, and 3 Only","1, 2, 3 and 5 Only","2, 4, and 5 only",All of them,NA,NA,NA,NA,Factors Which Gave Success to British in India: Superior Arms Military Discipline Civil Discipline Brilliant Leadership (which did not bother about adopting unscrupulous practices) Financial Strength Nationalist Pride.,NA
Treaty of Yandabo is related to,NA,D,Second Burma war,First Afghan war,Second Anglo Sikh war,First Anglo Burmese war,NA,NA,NA,NA,"The first war with Burma was fought when the Burmese expansion westwards and occupation of Arakan and Manipur, and the threat to Assam and the Brahmaputra Valley led to continuous friction along the ill-defined border between Bengal and Burma, in the opening decades of the nineteenth century.",NA
Arrange the subsidized states chronologically under the subsidiary Alliance of Wellesley? <br/>1. Hyderabad <br/>2. Peshwa <br/>3. Jaipur <br/>4. Bharatpur,NA,A,1-2-3-4,2-1-3-4,1-3-2-4,1-2-4-3,NA,NA,NA,NA,Subsidiary Alliance of Wellesley: Subsidised States: Hyderabad (1798; 1800) Mysore (1799) Tanjore (October 1799) Awadh (November 1801) Peshwa (December 1801) Bhonsle of Berar (December 1803) Sindhia (February 1804) Jodhpur (1818) Jaipur (1818) Macheri (1818) Bundi (1818) Bharatpur (1818),NA
