question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
<b>Select the most appropriate option to fill in the blank.</b><br/><br/>The air quality is so bad ______it becomes difficult to breathe.,NA,B,when,that,as,since,NA,NA,NA,NA,"In the second part of the given sentence, the <b>singular form of the verb <q>was</q> is incorrect.</b><br/>In the given sentence, one <b>subject <q>Mukesh</q></b> is <b>singular</b> and the other <b>subject <q>friends</q></b> is <b>plural.</b><br/>
If <b>one subject is singular and the other is plural</b> and the words are <b>connected by</b> the words <b><q>not/but, not, or, nor, neither/nor, either/or, not only/but also, etc.</q>,</b> use the <b>verb form of the subject (here, friends)</b> that is <b>nearest or closest to the verb.<ul>Example: Neither</b> the <b>lion nor</b> the <b>elephants have</b> escaped from the zoo.</ul><br/>
Therefore, the <b>plural form of the verb <q>were</q></b> should be used <b>in place of</b> the <b>singular form <q>was</q>.</b><br/><br/>Hence, the correct answer is <b>option 2.</b><br/>Correct sentence:</b> Not Mukesh but his friends <b>were involved</b> in the conspiracy.",NA
<b>Choose the correct option that completes the sentence logically and grammatically:</b><br/><br/>I ran _______ I was afraid.,NA,B,so,because,but,and,NA,NA,NA,NA,"In the given sentence, the conjunction <b><q>because</q></b> is used to show the reason why the action (running) was taken.<br/>The other options <b><q>so</q>, <q>but</q>,</b> and <b><q>and</q></b> do not <b>logically fit</b> the context of the sentence.<br/>Therefore, the <b>conjunction <q>because</q></b> should be used <b>to indicate</b> the cause.<br/><br/>Hence, the correct answer is <b>option 2.<br/>Complete sentence:</b> I ran <b>because</b> I was afraid.",NA
<b>Choose the correct option that completes the sentence logically and grammatically:</b><br/><br/>We decided to go for a walk ______ the weather was pleasant.,NA,C,but,and,because,so,NA,NA,NA,NA,"In the given sentence, the conjunction <b><q>because</q></b> is used to show <b>the reason</b> for going for a walk.<br/>The other options <b><q>but</q>, <q>and</q>,</b> and <b><q>so</q></b> do not logically fit <b>the context</b> of the sentence.<br/>Therefore, the <b>conjunction <q>because</q></b> should be used <b>to indicate</b> the cause.<br/><br/>Hence, the correct answer is <b>option 3.<br/>Complete sentence:</b> We decided to go for a walk <b>because</b> the weather was pleasant.",NA
"<b>Direction : Fill in the blanks with appropriate word.</b><br/><br/> _______ she is clever, she often makes mistakes. ",NA,C,Despite ,Since,Although,More than one of the above,NA,NA,NA,NA,"Here, the sentence is trying to juxtapose or contrast two contradictory ideas: being clever and still making mistakes.<br/>For such scenarios, you need a conjunction that signifies contrast or contradiction.<br/><b><q>Although</q></b> is a conjunction used to contrast two ideas, which fits perfectly here.<br/>After <q>although,</q> we can directly use a subject and a verb, which corresponds to the pattern of the sentence.<br/>Given these explanations, <b><q>although</q></b> is the most suitable choice to fill in the blank.<br/>So, the correct sentence is: <b><q>Although she is clever, she often makes mistakes.</q></b><ul>This sentence accurately expresses the contrast between being clever and making mistakes.</ul><br/><br/>Therefore, the correct answer is <b><q>Option 3</q>.</b> ",NA
"<b>Combine the sentences with suitable options.</b><br/><br/>Many students complained that the test was difficult, ________ many students managed to score full marks. ",NA,A,Yet,So,because,More than one of the above,NA,NA,NA,NA,"<q>Yet</q> is used as a conjunction to introduce a contrasting part that may seem surprising or unexpected.<br/>In this context, <q>yet</q> presents a contrast between the difficulty of the test and the actual results achieved by many students.<br/><q>Yet</q> introduces an element of contrast between the two parts of the sentence, linking them cohesively.<br/><q>Yet</q> effectively communicates the intended meaning by signaling a surprising turn in information.<br/><br/><b>Therefore, the correct answer is <q>yet</q>.<b>",NA
"<b>Direction: Choose the appropriate option that fills in the given sentence correctly:</b><br/><br/>Smoking will never be given up, ______ the tobacco industry thrives.",NA,B,so that,as long as ,though,as if,NA,NA,NA,NA,"Let us see the <b>meanings</b> of given conjunctions:<br/><b>So that:</b> We use <b><q>so that</q></b> and in order that to talk about purpose.<ul>We often use them with modal verbs (can, would, will, etc.).</ul><ul><b>Example:</b> I&#39;ll go by car <b><u>so that</u></b> I can take more luggage.</ul><br/><b>?As long as:</b> We use <b><q>as long as</q></b> to refer to the intended duration of a plan or idea, most commonly referring to the future.<ul>We always use the present simple to refer to the future after <b><q>as long as.</q></b></ul><ul><b>Example:</b> We are very happy for you to stay at our house <b><u>as long as</u></b> you like. </ul><br/><b>Though: It means</b> <b><q>in spite of something.</q></b><ul>It is a subordinating conjunction.</ul><ul>This means that the clause which they introduce is a subordinate clause, which needs a main clause to make it complete.</ul><ul>When the <b>though</b> clause comes after the main clause, it can also mean <b><q>but it is also true that …</q></b></ul><ul><b>Example:</b> We didn&#39;t make any profit <b><q>though</q></b> nobody knows why.</ul><br/><b>??As if:</b> We use <b><q>as if</q></b> to talk about an imaginary situation or a situation that may not be true but that is likely or possible.<ul><b>Example:</b> It looks <b><u>as if</u></b> they&#39;ve had a shock.</ul><br/>The given sentence refers to the presence of tobacco being permanent provided that the tobacco industry thrives<br/>Therefore, the correct answer is <b>Option 2.?<br/><br/>Correct sentence:</b> Smoking will never be given up, <b><u>as long as</u></b> the tobacco industry thrives. ",NA
"<b>Select the most appropriate option to fill in the blank.</b><br/><br/>______ or not you allow me, I am going to the fair. ",NA,A,Whether ,Unless,If,Until,NA,NA,NA,NA,"The most appropriate word for the given blank is <q><b>Whether</q>.<br/><q>Whether….or</q></b>is a fixed conjunction pair. <ul>Example: <b>Whether or</q></b> not he will get the job is mere speculation.</ul><br/>Thus, the correct answer is <b>Option 1.</b><br/><br/><b><u>Correct Sentence:</u></b> Whether or not you allow me, I am going to the fair.",NA
"<b>Choose the appropriate conjunction for the given sentence:</b><br/><br/>______ he got married to that rich woman, he gave up his job.",NA,B,On the other hand,As soon as,Though,Moreover,NA,NA,NA,NA,"<b>As soon as</b> means at the moment (that); when<ul>For example:- She said that she alerted the police <b>as soon as</b> she realised what was happening.</ul><br/><b>On the other hand</b> is used to introduce a contrasting point of view, fact, or situation.<br/><b>Though</b> means despite the fact that; although. <br/>
<b>Moreover</b> means as a further matter; besides.<br/>By referring to the above explanation, it can be concluded that <b>as soon as</b> should be the appropriate option to be chosen for filling the blank.<br/><br/>Hence, the correct answer is <b>option 2.</b> ",NA
<b>Fill in the blank in the given sentence by choosing the correct option.</b><br/><br/>The old woman walked carefully with her heavy load ______ she should fall.,NA,D,unless,until,although,lest,NA,NA,NA,NA,"Some conjunctions given below are used in a <b>pair</b> known as <b>correlative conjunctions:</b><br/>
Whether...or, either...or, lest...should, so...that, neither...nor, not only...but also, though...yet, etc.<br/>
?<b><u>Correct Sentence:</u></b> The old woman walked carefully with her heavy load lest she should fall.",NA
<b>Fill in the blank with the correct conjunction.</b><br/><br/>Either I drive to the airport ________ I get a taxi.,NA,C,and,if,or,nor,NA,NA,NA,NA,"In the given sentence the most appropriate conjunction to fill-in-the-given blank is <b><q>or</q>.</b><br/>Some <b>Conjunctions</b> are in pairs. They are called <b><q>Correlative Conjunctions</q></b> or merely  <b><q>Correlatives</q>.</b><br/>These pairs are: <b>As ... as, So ... as, Neither ... nor, Either ... or, Hardly ... when, No sooner ... than, Scarcely ... when, So ... that, Too ... to, Such ... as, Such ... that, Though/ Although ... yet, Lest ... should, Whether ... or, etc.</b><br/>Example:<ul>It&#39;s either black <b>or</b> grey.</ul><ul>It&#39;s either black <b>nor</b> grey.</ul><br/>We know that <b><q>either</q></b> is followed by <b><q>or</q>.</b><br/>
Therefore, as per the points mentioned above, we find that the correct answer is <b>Option 3.</b><br/><br/><b><u>Correct Sentence:</u></b> Either I drive to the airport <b>or</b> I get a taxi.",NA
<b>Select the most appropriate option to fill in the blank.</b><br/><br/>_________ did she open her lunch box than everyone gathered around her.,NA,A,No sooner,Hardly,Just as,As soon as,NA,NA,NA,NA,"The most appropriate answer for the given blank is <b><q>No sooner</q>.</b><br/><b><q>No sooner</q> and <q>than</q> are correlative conjunctions.<br/><br/><u>Correct Sentence:</u> No sooner </b>did she open her lunch box than everyone gathered around her.

",NA
<b>Select the most appropriate word to fill in the blank.</b><br/><br/>He helped me with the lessons ______ I should fail.,NA,D,because,unless,so that,lest,NA,NA,NA,NA,"The most appropriate option for the given blank is <b><q>lest</q>.</b><br/>We know that <b><q>Lest</q></b> is always followed by <b><q>should</q></b>.<ul>Example: Go through the notes again and again <b>lest</b> you should fail.</ul><br/>In the given sentence <b><q>should</q></b> is already used. Hence, <b><q>lest</q></b> should be used for the given blank.<br/><br/><b><u>Correct Sentence:</u></b> He helped me with the lessons <b>lest</b> I should fail.",NA
<b>Fill in the blank with the most appropriate word.</b><br/><br/>The wise try to improve themselves ______ the fools keep blaming their luck.,NA,B,therefore,whereas,whether,still,NA,NA,NA,NA,"Let&#39;s have a look at the meanings of the conjunctions:<ul><b>therefore-</b> for the reason that</ul><ul><b>whereas-</b> in contrast, or comparison with the fact that</ul><ul><b>whether-</b> expressing a doubt or choice between alternatives</ul><ul><b>still-</b> nevertheless; all the same</ul><br/>In the given sentence, the wise put efforts to make themselves better <b>in contradiction with</b> the fools who hold destiny responsible for everything.<br/>Hence in the given blank, the conjunction <b><q>whereas</q></b> will be the correct choice.<br/><br/><b><u>Correct sentence:</u></b> The wise try to improve themselves <b>whereas</b> the fools keep blaming their luck.",NA
"<b>Select the most appropriate option to fill in the blank.</b><br/><br/>_____ the boys were afraid at heart, they decided to stay on in the jungle.",NA,C,So that,because,Although,in case,NA,NA,NA,NA,"The most appropriate option to fill the given blank is <b><q>Although</q>.</b><br/>It means <b><q>in spite of the fact that</q>.</b><ul>Example: <b>Although</b> she was tired, she stayed up late watching television.</ul><br/>You use <b><q>although</q></b> to introduce a <b><q>subordinate clause</b></q> that contains a statement that makes the <b><q>main clause</q></b> of the sentence seem surprising or unexpected.<br/>The given sentence is trying to express the fact that in spite of the fact that the boys were afraid, they decided to stay in the jungle.<br/>Thus, the correct answer is <b>Option 3.</b><br/><b><u>Correct Sentence:</u></b> Although the boys were afraid at heart, they decided to stay on in the jungle.",NA
"<b>Select the most appropriate option to fill in the blank.</b><br/><br/>_______ he became a minister, he didn’t allow any of his relatives to live with him.",NA,B,In order that,As soon as,in case,as long as,NA,NA,NA,NA,"In the given fill in the blank, the most appropriate option is <b><q>As soon as</q>.</b> The usage of <b><q>as soon as</q></b> as follows: <br/>We use <b><q>as soon as</q></b> to show that something happens immediately, <b>i.e. at the very moment another action is completed, or shortly after another action is completed.<br/>As soon as</b> comes at the beginning of a subordinate clause. We can begin our sentence with either the subordinate clause or the main clause – the meaning is the same.<ul> Example: <b>As soon as</b> we got out of the car, it started raining.</ul>Therefore, the correct answer is <b>Option 2.</b> ",NA
" 
Martha . . . Jack will come to their friends, Asoka tonight after dinner. Appropriate word for the statement above is . . . .",NA,A,and,or,but,nor,NA,NA,NA,NA,"<b>Explanation</b><br/>The appropriate word for the statement is <q>and</q>. This is because the sentence suggests that Martha and Jack will both come to their friends, Asoka, tonight after dinner. The word <q>and</q> is used to join two subjects or actions together, indicating that both Martha and Jack will be present.",NA
Do you want to go to the market with me . . . with James? The best choice for the text above is . . . .,NA,D,but,for,and,or,NA,NA,NA,NA,"<b>Explanation</b><br/>The best choice for the text above is <q>or</q>. This conjunction is used to present two alternatives or choices. In this case, the speaker is asking if the listener wants to go to the market with them or with James, implying that they can choose to go with either one of them.",NA
Neither you . . . I have been here since yesterday.,NA,B,for,nor,or,but,NA,NA,NA,NA,"<b>Explanation</b><br/>The correct answer is <q>nor</q> because it is used to connect two negative alternatives. In this sentence, <q>Neither you nor I have been here since yesterday,</q> it indicates that both the speaker and the person they are addressing have not been there since yesterday.",NA
Either James . . . Sam comes to my grandmother's house every week.,NA,B,but,or,nor,and,NA,NA,NA,NA,"<b>Explanation</b><br/>The correct answer is <q>or</q> because it indicates that either James or Sam comes to my grandmother&#39;s house every week. <q>Or</q> is used to present two alternatives or choices, suggesting that one of them is true.",NA
Will you go by taxi . . . bus?,NA,C,but,nor,or,and,NA,NA,NA,NA,"<b>Explanation</b><br/>The correct answer is <q>or</q> because it is used to present a choice or alternative between two things, in this case, going by taxi or going by bus.",NA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,3.3333E+265,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,3.33333E+12,
,,,,,,,,,,,33,
,,,,,,,,,,,3.33333E+14,
