question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
A cell will swell up if,NA,B,The concentration of water molecules in the cell is higher than the concentration of water molecules in surrounding medium.,The concentration of water molecules in surrounding medium is higher than water molecules concentration in the cell.,The concentration of water molecules is same in the cell and in the surrounding medium.,Concentration of water molecules does not matter.,NA,NA,NA,NA,"Water molecules will move from a region of higher concentration to a region of lower concentration. Thus, if the cells are placed in a solution where the concentration of water is more outside, the cell will absorb water. It will help in imbibition of the cell and thus, cell will swell up.",NA
"If a plant cell is kept in a hypotonic solution, it will",NA,A,Increase in its volume,Maintain the same volume,Decrease in its volume,Burst,NA,NA,NA,NA,"When the plant cell is placed in a hypotonic solution, it takes up water by osmosis and starts to swell, but the cell wall prevents it from bursting.",NA
The only cell organelle present in prokaryotic cell is,NA,B,Mitochondria ,Ribosome ,Plastids,Lysosome,NA,NA,NA,NA,"Prokaryotes are organisms without a distinct cell nucleus or any other membrane-bound organelles. Most are unicellular, but some prokaryotes are multicellular. <br/>The ribosome is found in prokaryotic cell and it functions in the translation of messenger RNA into proteins. <br/>Prokaryotes and eukaryotes are the two different type of cell. The structure of cell differentiate the prokaryotic and eukaryotic cells. Eukaryotic cells contain membrane-bound organelles, such as the nucleus, while prokaryotic cells do not but the ribosome is the only organelle that can be seen in both cells prokaryotic and eukaryotic.",NA
The cell organelles (other than the nucleus) which contain DNA are,NA,D,Plastids and Lysosomes,Mitochondria and Golgi apparatus,Golgi apparatus and Lysosomes,Plastids and Mitochondria,NA,NA,NA,NA,Both mitochondria and plastids possess  their  own genetic material and ribosomes. <br/>The mitochondria DNA and plastid DNA possess genes which produce the proteins necessary for the functioning  of mitochondria and plastids  respectively.,NA
"The proteins and lipids, essential for building the cell membrane, are manufactured by",NA,A,endoplasmic reticulum,Golgi apparatus,Plasma membrane,Mitochondria,NA,NA,NA,NA,The endoplasmic reticulum is of two types on the basis of the presence of ribosomes. <br/> i) If the endoplasmic reticulum ribosomes are attached to them then it is called a rough endoplasmic reticulum and <br/> ii) If there are no ribosomes on the endoplasmic reticulum then it is called a smooth endoplasmic reticulum. <br/>Rough endoplasmic reticulum produces and transports protein and smooth endoplasmic reticulum produces and transports lipids which provide a framework to the plasma membrane by a known as membrane biogenesis.,NA
Engulfing of food materials or foreign bodies by cells like Amoeba is called,NA,B,Diffusion,Endocytosis,Osmosis,Plasmolysis,NA,NA,NA,NA,Organisms like Amoeba have flexible cell membrane due to which they can take in food material or engulf foreign bodies through the process called endocytosis.,NA
Which out of the following is not a function of the vacuole?,NA,D,Storage ,Providing turgidity and rigidity to the cell,Waste excretion,Locomotion,NA,NA,NA,NA,"Vacuoles are storage bubbles found mostly in plant cells. These are used for storage of food or water. <br/>The vacuolar membrane is a single layered and is called as tonoplast.  <br/>Osmotic pressure and turgidity is maintained by vacuoles.  <br/>They store toxic metabolic by-products or end products of plant cells. Such vacuoles are thrown out of the cell by exocytosis. <br/>Thus, the correct answer is Locomotion is not a function.",NA
A prokaryotic cell does not possess,NA,C,Cell membrane,Cell wall,Nuclear membrane,Both (a) and (c ),NA,NA,NA,NA,Prokaryotes are unicellular primitive organisms that possess nucleus without the nuclear membrane. <br/>They do not possess membrane-bound cell organelles. As they are unicellular organism they lack division of labor.,NA
Which cell organelle plays a crucial role in detoxifying many poisons and drugs in a cell?,NA,C,Golgi apparatus,Lysosomes,Smooth endoplasmic reticulum,Vacuoles,NA,NA,NA,NA,"Smooth endoplasmic reticulum in liver cells of vertebrates helps in detoxification. <br/>It metabolises various toxic or poisonous substances such as drugs, aspirin, insecticides (DDT), petroleum products and pollutants. <br/>These toxic substances make their entry in animal's body through food, air or water.",NA
The membrane of Golgi apparatus has connections with those of,NA,B,Nuclear membrane,Endoplasmic reticulum,Cell membrane,Mitochondria,NA,NA,NA,NA,"The Golgi apparatus receives proteins and lipids (fats) from the rough endoplasmic reticulum. <br/>It modifies some of them and sorts, concentrates and packs them into sealed droplets called vesicles.",NA
