question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following statements:<br/><br/>1. The word economics is derived from Latin words <q>Oikos</q> and <q>Nomos</q>. <br/>2. British economist J.M.Keynes called economics a science of scarcity.<br/><br/>Which of the above given statements is/are incorrect? ,NA,C,1 Only,Both,2 Only,Neither,NA,NA,NA,NA,"Incorrect statement is 2 only. <br/><br/>Lionel Robbins called economics a science of scarcity not J.M.Keynes. In his landmark essay on the nature of economics, Lionel Robbins defined economics as <q>the science which studies human behaviour as a relationship between ends and scarce means which have alternative uses</q>.",NA
The concept of <q>invisible hand</q> propagated by Adam Smith means,NA,A,"Every person, by looking out for themselves, inadvertently helps to create the best outcome for all.",A wealthy nation is one that is populated with citizens working productively.,An institutional framework is necessary to steer humans toward productive pursuits that are beneficial to society.,None of the above.,NA,NA,NA,NA,The phrase invisible hand was introduced by Adam Smith in his book <q>The Wealth of Nations</q>. He assumed that an economy can work well in a free market scenario where everyone will work for his/her own interest. <br/>He explained that an economy will comparatively work and function well if the government will leave people alone to buy and sell freely among themselves. <br/>The unobservable market force that helps the demand and supply of goods in a free market to reach equilibrium automatically is the invisible hand.,NA
Which type of economy is also called <q>dual economy</q>?,NA,D,Free market economy,Socialist economy,Communist economy,Mixed economy,NA,NA,NA,NA,"The correct answer is 4. Mixed economy. <br/>A mixed economy is a type of economy that combines elements of both market-based systems and government intervention. <br/>In a mixed economy, there is a blend of free market principles and government regulations and controls. <br/>This combination allows for both private ownership and control of resources as well as government intervention to correct market failures, provide public goods, and promote social welfare. <br/>The term <q>dual economy</q> is sometimes used to describe the coexistence of both a market sector and a non-market sector within a mixed economy.",NA
The concept of <q>collective ownership</q> of means of production is associated with which of the following?,NA,B,Only communism,Only socialism,Both a and b,Neither,NA,NA,NA,NA,"Socialism is a system based on public ownership (also known as collective or common ownership) of the means of production. Those means include the machinery, tools, and factories used to produce goods that aim to directly satisfy human needs. <br/>In communism, most property and economic resources are owned and controlled by the state /government. Under socialism, all citizens share equally in economic resources (Collective ownership).",NA
"Which economic system led to increase in inequality, class conflicts and economic depressions?",NA,A,Capitalism,Communism,Mixed economy,Both A and B,NA,NA,NA,NA,"Capitalism is an economic system where individuals and businesses operate for profit and private ownership of resources and means of production is emphasized leading to an increase in inequality, class conflicts, and economic depressions in the economic systems. <br/><br/>Key points: <br/>1. Inequality: - Capitalism promotes the accumulation of wealth in the hands of a few individuals or corporations. <br/>- The pursuit of profit often leads to income and wealth disparities between the rich and the poor, widening the gap over time.<br/>2. Class Conflicts: - Capitalism creates a social divide between the bourgeoisie (owners of capital) and the proletariat (working class). <br/>- The bourgeoisie control the means of production, while the proletariat sells their labor for wages. <br/>- This unequal power dynamic can lead to class conflicts as the interests of the capitalists and workers often diverge. <br/>3. Economic Depressions: - The pursuit of profit can lead to overproduction, speculation, and financial crises. <br/>- During economic depressions, businesses may fail, unemployment rises, and overall economic activity declines. <br/><br/>Conclusion: Capitalism, with its emphasis on profit, private ownership, and market competition, has resulted in increased inequality, class conflicts, and economic depressions. However, it is important to note that the extent and impact of these issues can vary depending on the specific policies and regulations implemented within a capitalist system.",NA
_________________ provides better and cheaper goods and services to consumers but often leads to exploitation of workers.,NA,A,Free market economy,Command economy,Mixed economy,All of the above,NA,NA,NA,NA,"In a market system, producers compete with each other by offering wider variety and better quality of goods and services, therefore consumers have more choice, and this may even lead to lower prices. Workers in a free market are compelled by their lack of ownership of the means of production to sell their labor power to capitalists for less than the full value of the goods they produce.",NA
The French word <q>Laissez faire</q> means,NA,A,Hands off,Hands on,Hands around,No hands,NA,NA,NA,NA,"Laissez-faire is an economic theory from the 18th century that opposed any government intervention in business affairs. The driving principle behind laissez-faire, a French term that translates as <q>leave alone</q> or <q>hands off</q> is that the less the government is involved in the economy, the better off business will be and by extension, society as a whole. Laissez-faire economics are a key part of free market capitalism.",NA
Which of the following is not an intermediate good?,NA,D,Flour used to make cake,Wood used to make a chair,Steel used in manufacturing a car,Car tyre sold in a retail showroom,NA,NA,NA,NA,"Intermediate goods refer to those goods which are used either for resale or for further production. Final goods refer to those goods which are used for final consumption. <br/>Options A, B and C are intermediate goods where as option D is a final good as it is directly consumed by the user.",NA
Which of the following is/are not included in GDP calculation? <br/><br/>1. Foods and services provided free of cost by a NGO <br/>2. Housewives&#39; works <br/>3. A doctor treating his own children <br/>4. Goods in the inventory,NA,B,1 and 2 only,"1 ,2 and 3",2 and 3 only,"1,2,3 and 4",NA,NA,NA,NA,Only those goods and services which have a monetary value affixed to them are considered while calculating GDP.,NA
Consider the following statements. <br/><br/>1. Factor income from abroad is included in the GDP. <br/>2. GDP gives importance to who produces goods and services rather than where it is produced. <br/>3. Negative externalities are taken in to consideration while calculating GDP. <br/>4. Care economy is excluded from GDP. <br/><br/>Which of the above statements is/are not correct?,NA,A,"1, 2 and 3",3 and 4,2 and 4,All of the above,NA,NA,NA,NA,Net factor income from abroad is included in GNP <br/>GDP gives importance to where goods and services are produced. <br/>Negative externalities such as environmental pollution are not considered while calculating GDP,NA
Consider the following statements. <br/><br/>1. The concept of economic growth is quantitative whereas economic development is qualitative. <br/>2. The concept of inclusive growth is associated with economic development. <br/>Identify the correct statement/s.,NA,C,1 only,2 only,Both,Neither,NA,NA,NA,NA,"Answer C: Both Are correct. <br/><br/>Growth is the expansion of some object, institution or population which is measurable and is always quantitative whereas development is related to qualitative improvement, said the Reader of the department of Economics, Mangalore University Prof Shripathi Kalluraya. <br/>Inclusive growth is a concept that advances equitable opportunities for economic participants during economic growth with benefits incurred by every section of society. <br/>The definition of inclusive growth implies direct links between the macroeconomic and microeconomic determinants of the economy and economic growth.",NA
<q>Remittances</q> are included in,NA,B,G.N.P and G.D.P,G.N.P only,G.D.P only,None of the above,NA,NA,NA,NA,Remittances are money sent home from emigrants working abroad. It is included in GNP and not GDP because GDP takes in to account the value of only those goods and services which are produced within the country.,NA
"In terms of Purchasing Power Parity (PPP), India is the ______ largest economy in the world.",NA,C,Fifth,Sixth,Third,Fourth,NA,NA,NA,NA,"In terms of Purchasing Power Parity (PPP) terms, India is the third largest economy in the world behind US and China.",NA
Who publishes the Human Development Report every year?,NA,B,The World Bank,United Nations Development Programme,International Monetary Fund,UNICEF,NA,NA,NA,NA,"The Human Development Report (HDR) is published annually by the United Nations Development Programme (UNDP). It was first launched in 1990 and has since become a widely influential publication on human development worldwide. The report includes statistics, analysis, and recommendations on various aspects of human development, such as health, education, income, gender equality, and sustainability. <br/><br/>Global Impact: The HDR is considered an authoritative source of information on human development and is used by policymakers, academics, and development practitioners around the world to inform their work and decision-making. <br/><br/>Focus: Each year, the report focuses on a specific theme related to human development, such as climate change, inequality, or technology, providing in-depth analysis and insights on the chosen topic.",NA
The Economist who developed Human Development Index (HDI) is,NA,D,Simon Kuznets,David Ricardo,Joseph Schumpeter,Mahbub Ul Haq,NA,NA,NA,NA,HDI was developed by a team of economists led by Pakistani economist Mahbub ul Haq,NA
The concept of Gross National Happiness (GNH) was first introduced in,NA,A,Bhutan,Tibet,Nepal,India,NA,NA,NA,NA,"The phrase <q>gross national happiness</q> was first coined by the 4th King of Bhutan, King Jigme Singye Wangchuck, in 1972 when he declared, <q>Gross National Happiness is more important than Gross Domestic Product.</q> <br/><br/>The following 4 parameters are used to measure the happiness: <br/>1. Higher per capita income <br/>2. Good Governance <br/>3. Environmental protection <br/>4. Cultural promotion (i.e., inculcation of ethics and spiritual values in life without which, progress may become curse rather than a blessing).",NA
"Consider the following statements regarding the <q>distribution system</q>: <br/><br/>1. In the state model of the distribution system, the state takes the sole responsibility of supplying goods and services. <br/>2. In the market model of the distribution system, goods and services are made available in the market and based on their demand and supply, their prices are determined in the open market and finally, they get distributed to the population.<br/>Which of these statements is/are incorrect?",NA,D,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"In the arena of the distribution network, we have three historically existing models-state, market, and state-market mix.<br/>In the first type of distribution system, the state (i.e., the government) takes the sole responsibility of supplying goods and services required by the population with no payments being done by the consumer-the former Soviet Union and Communist China being the best examples.<br/>In the second category comes the market model of distribution which functions based on the price mechanism. In this system, goods and services are made available in the market and based on their demand and supply, their prices are determined in the open market and finally, they get distributed to the population. This was the distribution system of the capitalist economies of the whole of Euro-America.<br/>The third and the most prevalent mode of distribution, the state market mix, developed out of the experiences of the former two systems.",NA
According to Keynes : <br/><br/>1. Price and wages are not flexible enough to employ all. <br/>. To employ all people the economy should be at its full potential. <br/><br/>Which of these statements is/are correct?,NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,Keynes questioned the very principle <q>laissez-faire</q> and <q>the nature of the invisible hand</q>. <br/>He even opined that the invisible hand brings equilibrium to the economy but by <q>strangulating the poor</q>. He suggested that prices and wages are not flexible enough to employ all.,NA
"Consider the following statements <q>Capitalist economies</q>: <br/><br/>1. In the capitalist economies of the time, all the basic goods and services were part of the market mechanism, i.e., being produced and supplied by the private sector. <br/>2. Almost everything required by the people was supplied by private enterprises via the market. <br/>3. It strengthens the purchasing power of the masses. <br/><br/>Which of these statements is/are correct?",NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of the above,NA,NA,NA,NA,"In the capitalist economies of the time, all the basic goods and services were part of the market mechanism, i.e., being produced and supplied by the private sector.<br/>It meant that almost everything the people required was supplied by the private enterprises via the market which was ultimately an un-dimensional movement of money and wealth (from the mass of people to the few who controlled the production and supply chain) and the masses were going through the process of pauperization every day, thereby weakening their purchasing power.",NA
Consider the following statements regarding the Gross domestic product (GDP)? <br/><br/>1. It is a quantitative concept whose volume/size indicates the internal strength of the economy. <br/>2. It does not say anything about the qualitative aspects of the goods and services produced. <br/>3. It is used by the IMF/World Bank. <br/><br/>Which of these statements is/are correct?,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"When we use the term <q>a growing economy</q>, it means that the economy is adding up its income, i.e., in quantitative terms. <br/>It (GDP) is a quantitative concept and its volume/size indicates the internal strength of the economy. But it does not say anything about the qualitative aspects of the goods and services produced. <br/>It is used by the IMF/WB in the comparative analyses of its member nations.",NA
Consider the following statements regarding NDP and GDP: <br/><br/>1. The NDP of an economy has to be always lower than its GDP for the given year. <br/>2. There is no way to cut the depreciation to zero. <br/><br/>Which of these statements is/are incorrect?,NA,D,1 Only,2 Only,Both 1 and 2,None of the above,NA,NA,NA,NA,"NDP = GDP - Depreciation. This way, the NDP of an economy has to be always lower than its GDP for the same year, since there is no way to cut the depreciation to zero.",NA
Net Domestic Product can be used : <br/><br/>1. To understand the historical situation of the loss due to depreciation to the economy. <br/>2. To show the achievements of the economy in the area of research and development. <br/>3. To compare the economies of the world. <br/><br/>Which of these statements is/are correct?,NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"NDP is not used in comparative economics, i.e., to compare the economies of the world. This is due to different rates of depreciation which is set by the different economies of the world. <br/>Depreciation and its rates are also used by modern governments as a tool of economic policymaking, which is the third way how depreciation is used in economics. <br/>It is also used to show the achievements of the economy in the area of research and development.",NA
Which is the purest form of the income of a nation?,NA,C,Gross National Product,Net domestic product,Net National Product,Gross Domestic Product,NA,NA,NA,NA,"Net national product (NNP) is the monetary value of finished goods and services produced by a country&#39;s citizens, overseas and domestically, in a given period. <br/>It is the equivalent of the gross national product (GNP), the total value of a nation&#39;s annual output, minus the amount of GNP required to purchase new goods to maintain existing stock, otherwise known as depreciation.",NA
Consider the following statements Remittances: <br/><br/>1. Private Remittances is the net outcome of the money which inflows and outflows on account of the <q>private transfers</q> by Indian nationals working outside of India and the foreign nationals working in India. <br/>2. On this front India has always been a gainer. <br/><br/>Which of these statements is/are incorrect?,NA,D,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,Private Remittances: the net outcome of the money which inflows and outflows on account of the <q>private transfers</q> by Indian nationals working outside of India (to India) and the foreign nationals working in India (to their home countries). <br/>On this front India has always been a gainer - till the early 1990s from the Gulf region (which fell afterwards in the wake of the heavy country - bound movements of Indians working there due to the Gulf War) and afterwards from the USA and other European nations.,NA
