question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The committees which examined the Centre-State Relations are:<br/>1. Sarkaria Commission <br/>2. L M Singhvi Committee <br/>3. Rajamannar Committee <br/>4. M M Punchhi Commission <br/>Q. Select the correct codes:,NA,B,"1, 4","1, 3, 4","2, 3, 4","1, 2, 3, 4",NA,NA,NA,NA,"In 1986, Rajiv Gandhi government appointed a committee to prepare a concept paper on <q>Revitalisation of Panchayati Raj Institutions for Democracy and Development</q> under the chairmanship of L M Singhvi.",NA
Which of the following non-constitutional mechanisms promote coordination between the centre and states? <br/>1. National Integration council <br/>2. Finance Commission <br/>3. Regional Development Council <br/>4. National Advisory Council <br/>5. University Grants Commission <br/><br/>Choose the correct answer using the codes below:,NA,D,All of the above,"1, 3, 4 and 5","1, 3 and 4",1 and 5,NA,NA,NA,NA,"Finance commission is a constitutional body.<br/>There is no council named Regional Development Council. However, several councils are regional in nature like North Eastern Council etc. <br/>National Advisory panel makes policies at the national level. States do not have a say in it.<br/>University Grant Commission (UGC) coordinates the centre and the states in matters of university education.",NA
The legislative matters on which uniformity of legislation throughout the country is desirable but not essential are enumerated in the (Constitution),NA,B,Residuary List,Concurrent List,Fifth and Sixth Schedule,Directive Principles of State Policy,NA,NA,NA,NA,"The matters of national importance and the matters which require uniformity of legislation nationwide are included in the Union List. <br/>The matters of regional and local importance and the matters which permit diversity of interest are specified in legislation throughout the country is desirable but not essential are enumerated in the concurrent list. Thus, it permits diversity along with uniformity.",NA
"Who can make laws on, matters not included in the state List or Concurrent List?",NA,A,Parliament alone,State Legislature alone,Both Parliament and State Legislature,Council of Ministers,NA,NA,NA,NA,"The Parliament of India is competent to legislate on all matters that are enumerated in the Union List and the Concurrent List of the Constitution. <br/>In the Concurrent List, the Parliament and the State Legislatures have joint jurisdiction. <br/>However, in case of conflict over any law made under the Concurrent List, the Union Law will prevail upon the State Law provided the State Law has not received the earlier assent of the President. <br/>Parliament alone has the power to make laws on matters not included in the state list or concurrent list.",NA
Under which of the following circumstances can the Parliament legislate on the subjects in the State list?<br/>1. Rajya Sabha passed a resolution to that effect. <br/>2. Financial emergency <br/>3. President&#39;s Rule.<br/><br/>Choose the correct answer using the codes below:,NA,C,1 and 2,2 and 3,1 and 3,All of the above,NA,NA,NA,NA,The Correct Option is C: 1 and 3 <br/><br/>There are five conditions under which it can be done: <br/>(a) To give effect to an international treaty to which India is a signatory <br/>(b) Under President&#39;s rule <br/>(c) Under national emergency <br/>(d) When two or more states request Parliament to do so (applies to only those states) <br/>(e) When Rajya Sabha passes a resolution calling for Parliament to legislate in the state list.,NA
The Parliament can make any law for the whole or any part of India for implementing international treaties,NA,D,With the consent of all the States,With the consent of the majority of States,With the consent of the States concerned,Without the consent of any State,NA,NA,NA,NA,This power of the Parliament is derived from the sovereign nature of India. The states need not ratify sovereign deals.,NA
Consider the following statements. <br/>1. State Legislatures can make laws on matters enumerated in the Residuary list in special circumstances. <br/>2. State Legislatures cannot make laws on those matters enumerated in the Concurrent List on which Central legislation already exists. <br/>Choose the correct answer using the codes below:,NA,D,1 only,2 only,Both 1 and 2,None,NA,NA,NA,NA,"The Parliament has exclusive powers to make laws concerning any of the matters enumerated in the Union List and Residuary list.<br/><br/>Both the Parliament and state legislature can make laws concerning any of the matters enumerated in the Concurrent List even if a Central law exists. But, laws made by the state should not contravene Central laws.",NA
"In case of a conflict between the Central law and the state law on a subject enumerated in the Concurrent List, which of the following is possible? <br/>1. Central law prevails over the state law. <br/>2. State law prevails if it has received Presidential assent. <br/>3. State law prevails of Governors of two or more states have approved the same legislation. <br/>Choose the correct answer using the codes below.",NA,A,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,"The Constitution expressly secures the predominance of the Union List over the State List and the Concurrent List and that of the Concurrent List over the State List. Thus, in case of overlapping between the Union List and the State List, the former should prevail. <br/>In case of overlapping between the Union List and the Concurrent List, it is again the former which should prevail. Where there is a conflict between the Concurrent List and the State List, it is the former that should prevail. <br/>In case of a conflict between the Central law and the state law on a subject enumerated in the Concurrent List, the Central law prevails over the state law. <br/>But, there is an exception. If the state law has been reserved for the consideration of the president and has received his assent, then the state law prevails in that state. But, it would still be competent for the Parliament to override such a law by subsequently making a law on the same matter.",NA
"If the Union Parliament wishes to move a matter from Concurrent List to the Union List, which of these follows?",NA,B,It must obtain the consent of all State Legislatures for the same.,The Rajya Sabha must pass a resolution to this effect approving the action of the Lok Sabha.,The President must consult the Governors of a majority of States and act according to their advice.,The Cabinet must pass an executive fiat to this effect.,NA,NA,NA,NA,"The Rajya Sabha is an institutional mechanism to provide representation to the States. Its purpose is to protect the powers of the States.<br/>In matters of the concurrent list, both the Parliament and State Legislatures can make laws.<br/>Therefore, any matter that affects the States must be referred to as Rajya Sabha for its consent and approval.<br/>Thus, if the Union Parliament wishes to remove a matter from the State list (over which only the State Legislature can make law) or to either the Union List or Concurrent List in the interest of the nation, the approval of the Rajya Sabha is necessary.<br/>The same is true when a matter needs to be moved from Concurrent List to the Union list.<br/>This provision adds to the strength of the Rajya Sabha.",NA
Consider the following statements about the administrative relations between the centre and the states: <br/>1. President&#39;s rule can be imposed in the state which has willfully denied complying with the centre&#39;s directions. <br/>2. The duty to execute the laws made under the concurrent list by the Parliament lies with the centre unless provided otherwise.<br/><br/>Choose the correct answer using the codes below:,NA,A,Only 1,Only 2,Both,None of the above,NA,NA,NA,NA,"Article 356 empowers the centre to impose President&#39;s rule in case a state has failed to comply with its directions. But if the state is incapable of doing the same on some genuine grounds, it cannot be imposed. If done so, the courts can intervene.<br/>The legislation under the concurrent list enacted by the Parliament should be executed by the states unless provided otherwise.",NA
