question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Butanone is a four-carbon compound with the functional group:,NA,C,Carboxylic acid,Aldehyde,Ketone,Alcohol,NA,NA,NA,NA,It contains a ketonic group. Ketones have suffix - one. Butane + one = Butanone,NA
An organic compound X with molecular formula C2H4O2 turns blue litmus red and gives brisk effervescence with sodium bicarbonate. Identify the compound?,NA,C,Methanoic acid,Methanol,Ethanoic acid,Ethanol,NA,NA,NA,NA,C2H4O2 must be CH3COOH since it turns blue litmus red and gives brisk effervescence with NaHCO3 due to the evolution of CO2. <br/>CH3COOH + NaHCO3 --> CH3COONa + H2O + CO2,NA
Chlorine reacts with saturated hydrocarbons at room temperature in the:,NA,B,Absence of sunlight,Presence of sunlight,Presence of water,Presence of hydrochloric acid,NA,NA,NA,NA,"Chlorine reacts rapidly with saturated hydrocarbons in the presence of sunlight. <br/>One such reaction is, CH4 + Cl2 --> CH3Cl + HCl (in the presence of sunlight). This reaction is also called chlorination reaction.",NA
The number of C-H bonds in ethane (C2H6) molecule are:,NA,C,10,8,6,4,NA,NA,NA,NA,"There are six C-H bonds and one C-C bond. So, Total 6 convalent bond between C- H",NA
Which of the following organic compounds does not have the same chemical properties as methanol?,NA,D,C2H6O,C4H10O,C7H16O,C5H10O,NA,NA,NA,NA,"Methanol is alcohol having general formula CnH2n+1O. C2H6O, C4H10O, and C7H16O belong to the same series except C5H10O. Thus, C5H10O does not have the same chemical properties as methanol.",NA
Oils on treating with hydrogen in the presence of palladium or nickel catalyst form fats. This is an example of:,NA,A,Addition reaction,Substitution reaction,Displacement reaction,Oxidation reaction,NA,NA,NA,NA,Oils on treating with hydrogen in the presence of palladium or nickel catalyst form fats. This is an example of addition reaction because hydrogen is added to oil from reducing agents palladium or nickel.,NA
Buckminsterfullerene is an allotropic form of:,NA,C,Phosphorus,Sulphur,Carbon,Tin,NA,NA,NA,NA,Buckminsterfullerene is an allotropic form of carbon. It resembles the geodesic dome designed by Buckminster.,NA
"Ethanol, on heating at 443 K with conc H2S04 gives",NA,A,CH2=CH2,HC=CH,CH4,C2H6,NA,NA,NA,NA,"When ethanol is heated with concentrated sulphuric acid at 443 K, dehydration takes place and ethene is formed. In this reaction concentrated sulphuric acid acts as a dehydrating agent. <br/>CH3-CH2-OH --> (H2SO4 + heat) --> CH2=CH2 + H2O",NA
The blindness and death is caused by consuming adulterated liquor contains.,NA,A,CH3OH,CH3COOH,CH3COCH3,CH3CHO,NA,NA,NA,NA,Methanol causes blindness and even death. It is also known as denatured alcohol.,NA
The first member of alkyne homologous series is,NA,A,ethyne,ethene,propyne,methane,NA,NA,NA,NA,The smallest alkyne contains two carbon atoms with a triple bond between them.,NA
The alcoholic drinks contain,NA,C,CH3OH,CH3COOH,CH3CH2OH,CH3COOH3,NA,NA,NA,NA,CH3CH2OH is present in alcoholic drinks. It is known as ethanol which is prepared by fermentation of sugar (molasses).,NA
Ethanol reacts with Na metal to form,NA,B,CH3ONa + H2,C2H5ONa + H2,CH3COONa + H2,CH3COOH + H2O,NA,NA,NA,NA,C2H5OH + 2Na --> C2H5ONa + H2,NA
