question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
<q>Social Background of Indian Nationalism</q> is a seminal work in the realm of Marxist interpretation of Modern India. It was written by:,NA,D,R. Palme Dutt,Sumit Sarkar,James Mill,A. R. Desai,NA,NA,NA,NA,"The beginning of the Marxist approach in India was heralded by two classic books: Rajni Palme Dutt&#39;s India Today and A.R. Desai&#39;s Social Background of Indian Nationalism. Originally written for the famous Left Book Club in England, India Today, first published in 1940 in England, was later published in India in 1947. A.R. Desai&#39;s Social Background of Indian Nationalism, was first published in 1948.",NA
Consider the following statements about Communal School of Historiography in regard to History of India: <br/>1. This school of historiography saw Hindus and Muslims as having mutually antagonistic interests. <br/>2. This school is often used by communal political leaders for community-based mobilization in furtherance of their political interests. <br/><br/>Which of the above statements is/are correct:,NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The historians of this school, relying completely on the colonial historiography of medieval India and colonial era textbooks, viewed Hindus and Muslims as permanent hostile groups whose interests were mutually different and antagonistic to each other. <br/><br/>This view was not only reflected in the writings of the historians but it also found a more virulent form in the hands of the communal political leaders. In their view, India&#39;s medieval history was one long story of Hindu-Muslim conflict. <br/><br/>As a corollary of this view, it was then argued that the 19th and 20th century Muslims had the <q>happy</q> and <q>proud</q> ever present memory of having been the ruling class, while Hindus had the <q>sad</q> and <q>humiliating</q> memory of having been the subject race. This, ultimately, developed mutual hatred among these groups often resulting in communal riots and, in the end led to the partition of India.",NA
The book <q>Mother India</q> was written by:,NA,D,Madam Bikaji Cama,Sarojini Naidu,Annie Besant,Katherine Mayo,NA,NA,NA,NA,"The shift in terms of the writing of women&#39;s history began with the women&#39;s movement of the 1970s which provided the context and impetus for the emergence of women&#39;s studies in India. Very soon, women&#39;s history broadened and assumed the more complex shape of gender history. In the early years, the endeavour was to write a history of women to supplement the writings of mainstream history. <br/>Also, an attempt was made to research and compile an archive of women&#39;s writing. An important area of research has been analysis of the way in which colonial structures, such as the legal structure, affected women&#39;s lives. <br/>Women&#39;s vulnerability due to the denial of ownership of productive resources has been focused on, in the analysis of how progressive laws shaped gender relations. In the colonial period, two works based upon the women&#39;s question in India : The High Caste Hindu Woman (1887) by Pandita Ramabai, and Mother India (1927) by Katherine Mayo - attracted international attention.",NA
Chandannagar and Puducherry were in the control of which European Power in the context of Modern Indian Political History:,NA,D,Dutch,Spain,Britain,France,NA,NA,NA,NA,"The correct answer is D: France. <br/>Chandannagar and Puducherry (formerly known as Pondicherry) were two of the five French colonial enclaves in India, which were under French control during the modern period of Indian history. Chandannagar was a French colony located in present-day West Bengal, while Puducherry was a French colonial settlement on the east coast of India, located in what is now the Union Territory of Puducherry.",NA
There was a newspaper published in London named <q>Indian Sociologist</q> by a nationalist during the course of Indian National Movement. He was:,NA,C,Dadabhai Naoroji,Madan Lal Dhingra,Shyamji Krishnavarma,Kartar Singh Sarabha,NA,NA,NA,NA,"Pandit Shyamji Krishna Verma was one of those staunch nationalists and patriots who lived in England and mentored the cause of India's freedom from the British rule . He started the publication of a monthly <q>Indian Sociologist</q> which became a vehicle of revolutionary ideas. In February 1905, he established the Indian Home Rule Society to raise his voice against British domination in India. He established <q>India House</q> in London to help Indians visiting England. Vinayak Damodar Savarkar and his brother Ganesh, Lala Hardayal, Biren Chattopadhyaya and V.V.S. Iyer were some of the beneficiaries of <q>India House</q>.",NA
Consider the following statements about Novel <q>Anand Math</q>: <br/>1. It was written by Bengali Novelist Bankim Chandra Chaterjee. <br/>2. The novel is based on the theme of the Sanyasi Rebellion of the 1760s. <br/><br/>Which of the above statements is/are correct:,NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The first important writer of that period was the famous Bengali novelist, Bankim Chandra Chatterji (1838-94). His novels are mostly historical, the best known among them being Anand Math (1882), especially for its powerful lyric <q>Vandemataram</q> and depiction of the Sanyasi Revolt (1760s).",NA
Consider the following statements: <br/>1. Bengal Gazette was the first Newspaper to be published in India. <br/>2. The newspaper was started by East India Company and was highly appreciative of the efforts taken by company officials in their handling of Political affairs of the Company in India <br/><br/>Which of the above statement is/are correct:,NA,A,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"In 1780, James Augustus Hickey published the first newspaper in India entitled The Bengal Gazette or Calcutta General Advertiser. Hickey&#39;s press was seized within two years, owing to his outspoken criticism of government officials.",NA
"Consider the following statements about Colonial School of Historiography in the context of Indian History: <br/>1. The followers of this school held Indian Civilisation in high regard in terms of its values, ethos and culture. <br/>2. However the school believed that Indians lacked the experience to rule themselves and have to be guided by British in this regard. <br/><br/>Which of the above statements is/are correct:",NA,B,1 Only,2 Only,Both 1 and 2,None of the above,NA,NA,NA,NA,"For the major part of the 19th century the Colonial School occupied a high position in India. The term <q>colonial approach</q> has been used in two senses. One relates to the history of the colonial countries, while the other refers to the works which were influenced by the colonial ideology of domination. <br/>It is in the second sense that most historians today write about colonial historiography. In fact, the practice of writing about the colonial countries by the colonial officials was related to the desire for domination and justification of colonial rule. <br/>Hence, in most such historical works there was criticism of indigenous society and culture. <br/>Simultaneously, there was praise for the Western culture and values and glorification of the individuals who established the colonial empires.  <br/>The histories of India written by James Mill, Mountstuart Elphinstone, Vincent Smith and many others are pertinent examples of the colonial historiographical trend. Certain characteristics common to most of the works of these historians are the following: (i) <q>Orientalist</q> representation of India; (ii) the opinion that the British brought unity to India; (iii) the notions of Social Darwinism - the English considered themselves superior to the <q>natives</q> and the fittest to rule; (iv) India viewed as a stagnant society which required guidance from the British (White Man&#39;s burden); and (v) establishing Pax Britannica to bring law and order and peace to a bickering society.",NA
Nationalist School of Historiography emerged as a response to:,NA,C,Marxist School,Subaltern School,Colonial School,None of these,NA,NA,NA,NA,"The nationalist approach to Indian history can be described as one which tended to contribute to the growth of nationalist feelings and to unify people in the face of religious, caste, or linguistic differences or class differentiation. <br/>This approach looks at the national movement as a movement of the Indian people, which grew out of the growing awareness among all people of the exploitative nature of colonial rule. <br/>This approach developed as a response to and in confrontation with the colonial approach. It should be noted that the nationalist historians of modern India didn&#39;t exist before 1947. Before 1947, nationalist historiography mainly dealt with the ancient and medieval periods of Indian history. <br/>Although, in the last quarter of the 19th century, a detailed and scientific critique of colonialism for the adverse economic aspects of alien rule was developed by nationalists like Dadabhai Naoroji, M.G. Ranade, G.V. Joshi, R.C. <br/>Dutt, K.T. Telang, G.K. Gokhale, and D.E. Wacha. The only accounts of the national movement was by nationalist leaders (not historians) such as R.G. <br/>Pradhan, A.C. Mazumdar, J.L. Nehru and Pattabhi Sitaramayya. R.C. Majumdar and Tara Chand are noted nationalist historians of modern India.",NA
How was the echo of Swadeshi movement heard in Andhra region?,NA,B,Quit India Movement,Vande Mataram Movement,Bharat movement,None of the above,NA,NA,NA,NA,"The Swadeshi movement was part of the Indian independence movement and contributed to the development of Indian nationalism. <br/>The movement, begun in 1906 by Indian nationals opposed to the Partition of Bengal, was one of the most successful movements against British rule. <br/>Swadeshi was a focus of Mahatma Gandhi, who described it as the soul of swaraj (self-rule). <br/>It was the most significant movement in Bengal and was known as the Vande Mataram movement in Andhra Pradesh. <br/> Hence, the correct answer is Vande Mataram Movement.",NA
"Identify one of the founders of the 1895 Natal Congress of Durban, South Africa.",NA,B,Albertina Sisuller,M. K. Gandhi,Nelson Mandela,None of the above,NA,NA,NA,NA,"The Natal Indian Congress (NIC) was an organization that aimed to fight discrimination against Indians in Durban, South Africa. <br/><br/>The Natal Indian Congress was founded by Mahatma Gandhi in 1894.  A constitution was put in place on 22 August 1894. <br/>It was formed to fight discrimination against Indian traders in Natal. <br/>From the 1920s the organization functioned under the umbrella organization, the SAIC (South African Indian Congress). <br/>However, in the 1930s-1940s, the NIC experienced more radical leadership when Dr. G.M. Naicker emerged on the scene. <br/>Due to more militant protests, by the 1950s and 1960s, several of the NIC leaders were in jail. <br/>Although the NIC itself was not banned, this harassment of its leaders and the repressive conditions at that time, led to a halt in its activities. <br/>It was only in 1971 that the NIC was revived with a focus on civic work. <br/>The organization was prominent in the establishment of the United Democratic Front (UDF) in the mid-1980s.<br/><br/>?Hence, the correct answer is M. K. Gandhi.",NA
How did the three upsurges of 1945-46 affect the British authorities? <br/>1. Indian soldiers were withdrawn from Indo-China and Indonesia. <br/>2. The decision to send Cabinet Mission was taken by the British government. <br/>3. Imprisonment sentences passed against the all the prisoners of war were remitted. <br/><br/>Select the correct code from below:,NA,A,1 and 2 only,2 and 3 only,1 and 3 only,None of the above,NA,NA,NA,NA,"The correct answer is 1 and 2 only. <br/><br/>These upsurges prompted the British to extend some concessions: <br/>On December 1, 1946, the government announced that only those INA members accused of murder or brutal treatment of fellow prisoners would be brought to trial. <br/>Imprisonment sentences passed against the first batch were remitted in January 1947. Hence, statement 3 is incorrect. <br/>Indian soldiers were withdrawn from Indo-China and Indonesia by February 1947. Hence, statement 1 is correct. <br/>The decision to send Cabinet Mission was taken in January 1946. Hence, statement 2 is correct.",NA
Who was the founder of the Andhra Mahila Sabha?,NA,B,Pandita Ramabai,Durgabai Deshmukh,Gayatri Devi,Sarojini Naidu,NA,NA,NA,NA,"The correct answer is Durgabai Deshmukh. <br/>Durgabhai Deshmukh was the founder of the Andhra Mahila Sabha. <br/>She was popularly known as <q>Iron Lady</q>. <br/>She organized Salt Satyagrah during the Civil disobedience movement in Madras and was imprisoned. <br/>She was the founder of AMS (Andhra Mahila Sabha) institutions and other important social welfare organizations.He, with the help of two other prominent nationalists (A. K. Prakasam and Desodharaka Nageswararao), started the movement in Madras. <br/>She was arrested and imprisoned for her involvement in a movement that had been banned. <br/>She also edited a journal known as Andhra Mahila and inspired women to rebel against meaning­less social constraints imposed on them. <br/>She was a member of the Constituent Assembly. <br/>She was awarded the Tamrapatra and Paul Hoffman Award after independence in recognition of her service to society.",NA
The Gandhi - Irwin Pact was associated to which of the following movements of India?,NA,B,Rowlatt,Civil Disobedience,Non co-operation,Quit India,NA,NA,NA,NA,"The correct answer is Civil Disobedience Movement. <br/><br/>The Gandhi-Irwin Pact was associated with the civil disobedience movement of India. <br/>The agreement was signed by Mahatma Gandhi and Lord Irwin.
The pact was signed on 5th March 1931. <br/>Arranged before the second round table conference in London. <br/>As per Gandhi-Irwin Pact, Gandhiji discontinued the Civil Disobedience movement and agreed to attend the second round table conference.<br/><br/>Proposed conditions of the Gandhi-Irwin Pact are: <br/> a)Participation by the Indian National Congress in the Second Round Table Conference. <br/> b)Removal of the tax on salt. <br/> c) Withdrawal of all ordinances imposing curbs on the activities of the Indian National Congress issued by the Government of India. <br/> d) Discontinuation of Salt March.",NA
