question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements about the Harappan Civilization:

1. The Harappan Civilization was discovered first in the modern site of Mohenjo-Daro in Sindh, Pakistan.

2. The civilization extended from Jammu in the north to the Narmada estuary in the south.

3. Harappa and Mohenjo-Daro were connected by the Ganges River.

How many of the statements given above are correct?",NA,Only one,Only two,Only one,All three,None,NA,NA,NA,NA,"Statement 1 is incorrect because the Harappan Civilization was first discovered at the site of Harappa, not Mohenjo-Daro. Statement 2 is correct, as the civilization indeed spanned from Jammu to the Narmada estuary. Statement 3 is incorrect because Harappa and Mohenjo-Daro were connected by the Indus River, not the Ganges.",NA
"Consider the following statements about the end of the Harappan Civilization:

The decline of the Harappan Civilization can be attributed solely to the invasion by the Aryans.
Environmental factors, such as changes in climate and river courses, played a significant role in the decline of the Harappan Civilization.
Which one of the following is correct in respect of the above statements?",NA,Statement-I is incorrect but Statement-II is correct.,Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I.,Both Statement-I and Statement-II are correct but Statement-II is not the correct explanation for Statement-I.,Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,NA,NA,NA,NA,"Statement-I is incorrect as the decline of the Harappan Civilization is now understood to be multifaceted, with no conclusive evidence to suggest a singular cause like an Aryan invasion. Indeed, the theory of an Aryan invasion playing a significant role in the civilization's decline has been largely contested and is not supported by archaeological evidence.
Statement-II is correct, as there is considerable evidence to suggest that environmental factors, such as changes in climate, shifts in the courses of rivers, and possibly earthquakes, significantly impacted the Harappan Civilization, contributing to its decline. These environmental changes likely affected agriculture, trade, and the overall sustainability of urban centers, leading to gradual abandonment or transformation of these cities.",NA
"Consider the following statements:

The Harappan Civilization is older than the chalcolithic cultures found in the region.
The area covered by the Harappan Civilization was approximately 1,299,600 square kilometers.
The Harappan Civilization used metal money for trade.
How many of the statements given above are correct?",NA,Only two,Only one,Only two,All three,None,NA,NA,NA,NA,Statements 1 and 2 are correct. The Harappan Civilization predates the chalcolithic cultures and covered an area as mentioned. Statement 3 is incorrect as the Harappans likely used barter for trade and did not use metal money.,NA
"Consider the following statements regarding the Harappan Civilization:

The civilization had a sophisticated system of weights and measures based on the multiples of 16.
The script of the Harappan Civilization has been fully deciphered and understood.
More than 1500 Harappan sites have been discovered across the Indian subcontinent.
How many of the statements given above are correct?",NA,Only two,Only one,Only two,All three,None,NA,NA,NA,NA,"Statements 1 and 3 are correct. The Harappan Civilization did have a sophisticated system of weights and measures, and more than 1500 sites have been discovered. Statement 2 is incorrect because the Harappan script has not been fully deciphered.",NA
"Consider the following statements regarding the religious practices of the Harappan Civilization:

The Harappans worshipped a male deity who is often identified with modern Hindu god Shiva.
Evidence of temple structures has been found in Harappan cities, indicating a space dedicated to religious rituals.
Which one of the following is correct in respect of the above statements?",NA,Statement-I is correct but Statement-II is incorrect.,Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I.,Both Statement-I and Statement-II are correct but Statement-II is not the correct explanation for Statement-I.,Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,NA,NA,NA,NA,"Statement-I is correct as the male deity depicted on the Pashupati seal is often compared to Shiva, known as Pashupati (Lord of Animals) in later Hindu traditions, due to his yogic posture and association with animals. However, this interpretation is subject to scholarly debate.
Statement-II is incorrect because, unlike ancient Egypt and Mesopotamia, there is no definitive evidence of temple structures in Harappan cities. Religious activities might have been conducted in homes or at altars rather than in dedicated temple complexes, indicating a different form of religious practice.
",NA
"Consider the following statements:

The Harappans were the earliest people to produce cotton, known to Greeks as sindon.
The Harappan Civilization was horse-centered, with evidence of horses found in all major Harappan sites.
Seals are considered the greatest artistic creations of the Harappan culture.
How many of the statements given above are correct?",NA,Only two,Only two,Only one,All three,None,NA,NA,NA,NA,"Statement 1 is correct, as the Harappans were indeed the earliest to produce cotton, which Greeks called sindon. Statement 2 is incorrect because the Harappan culture was not centered around horses, and evidence of horses is scant and often debatable.

Statement 3 is correct, making the answer (b) Only two, not (a) Only one. Seals are among the greatest artistic achievements of the Harappan culture, showcasing sophisticated craftsmanship and artistic skill.",NA
The book “Mohenjodaro: A 5000-years old legacy” says  that the descendants of the Mohenjodaro people still exist as a minority tribe of fishermen. Who are they?,NA,Mohanas,Moens,Mehers,Melluhas,Mohanas,NA,NA,NA,NA,"Mohenjo-daro, the modern name for the site, has been variously interpreted as ""Mound of the Dead Men"" in Sindhi, and as ""Mound of Mohan"" (where Mohan is Krishna)",NA
Which of the following sites has furnished the proof of the sea faring activity of the Harappan people?,NA,Lothal,Lothal,Sotka Koh,Kot Diji,Balakot,NA,NA,NA,NA,"Lothal was one of the southernmost cities of the ancient Indus Valley Civilization, located in the Bh?l region of the modern state of Gujar?t. Construction of the city began around 2200 BCE.

• Discovered in 1954, Lothal was excavated from 13 February 1955 to 19 May 1960 by the Archaeological Survey of India (ASI), the official Indian government agency for the preservation of ancient monuments.

• According to the ASI, Lothal had the world's earliest known dock, which connected the city to an ancient course of the Sabarmati river on the trade route between Harappan cities in Sindh and the peninsula of Saurashtra when the surrounding Kutch desert of today was a part of the Arabian Sea.",NA
"Which one of the following was the most suitable reasons, which made the Harappans move away from their urban settlement?",NA,Hydrological changes,Hydrological changes,Ecological changes,Foreign invasion,Demographic changes,NA,NA,NA,NA,"The Indus Valley Civilization declined around 1800 BCE, and scholars debate which factors resulted in the civilization’s demise. One theory suggested that a nomadic, Indo-European tribe called the Aryans invaded and conquered the Indus Valley Civilization, though more recent evidence tends to contradict this claim. Many scholars believe that the collapse of the Indus Valley Civilization was caused by climate change. Some experts believe the drying of the Saraswati River, which began around 1900 BCE, was the main cause for climate change, while others conclude that a great flood struck the area.

• Various elements of the Indus Civilization are found in later cultures, suggesting the civilization did not disappear suddenly due to an invasion. Many scholars argue that changes in river patterns caused the large civilization to break up into smaller communities called late Harappan cultures",NA
Pre-Harappan settlement was discovered in 1981 at the foot of the Bolan Pass on the Bolan River at one of the following places. Identify it.,NA,Mehergarh,Mansa,Alamgirpur,Manda,Mehergarh,NA,NA,NA,NA,"Mehergarh is a large Neolithic and chalcolithic site located at the foot of the bolan pass on the kachi plan of buchistan in modern day Pakistan . Continuously occupied between about 7000 to 2600 bc , Mehergarh is the earliest known Neolithic site in the Northwest Indian subcontinent , with early evidence of farming , herding and metallurgy ",NA
