question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following methods measures poverty on the basis of income and consumption levels?,NA,D,Poverty limit,Poverty bar,Poverty band,Poverty line,NA,NA,NA,NA,"<b>Poverty line</b> is the method that measures poverty on the basis of income and consumption levels.<br/>The poverty line is a threshold level of income or consumption, below which individuals or households are considered to be living in poverty.<br/>This method helps in identifying the population that requires financial assistance and social welfare programs.<br/>The poverty line varies from country to country, reflecting the cost of living and economic conditions in each region.",NA
Choose the correct statement regarding poverty in India.  ,NA,B,The number of poor in India in the 1990s is almost equivalent to the total population in India in 1940s.  ,Rural poverty has declined much faster than urban poverty. ,Nearly half of India&#39;s poor live in urban areas.  ,More than one of the above,NA,NA,NA,NA,"The correct answer is <b>Rural poverty has declined much faster than urban poverty.<br/><br/>  Facts about poverty in India</b><ul> The number of people in rural areas reduced from 261.3 million to 170.3 million from 1974-75 to 2004-05, while on the other hand, the number of poor in urban areas has shown an increase from 60 million to 68.2 million.</ul><ul>Urban poverty in India is about 25 % of the total poverty in India.</ul><ul>The poverty line in India for urban areas is INR 1,285 and for rural areas, it is INR 1059.42.</ul><ul>As per the latest Multidimensional Poverty Index (MPI) compiled by the UN Development Programme (UNDP) and Oxford Poverty and Human Development Initiative (OPHI), the incidence of poverty in India dropped from 55.1% in 2005-06 to 16.4% in the year 2019-21.</ul><ul>In the year 2022, the total male population living in poverty in India was about 38 million.</ul><ul>In the year 2022, the number of females living in poverty in India was around 45 million.</ul><br/><br/>Thus, On the basis of the above factual information, it is true that rural poverty has declined much faster than urban poverty.",NA
Which of the following Committees recommended a poverty line based on nutritional requirements exclusively?,NA,A,Alagh Committee,Lakdawala Committee,Tendulkar Committee,Rangarajan Committee,NA,NA,NA,NA,Alagh Committee was a task force constituted by the Planning Commission under the <b>chairmanship of YK Alagh.</b><br/>It recommended and constructed a <b>poverty line for rural and urban areas</b> on the basis of <b>nutritional requirements</b> and related <b>consumption</b> expenditure.,NA
Which of the following groups of people is/are targeted for food security through the Revamped Public Distribution System in India?,NA,A,People living in remote and backward areas,Poor people living in the urban areas,Senior citizens and disabled people,More than one of the above,NA,NA,NA,NA,"<b>People living in remote and backward areas are targeted for food security through Revamped Public Distribution System in India.<br/>Revamped Public Distribution System (RPDS)</b><ul>RPDS was launched in <b>June 1992.</b></ul><ul>?It aims to strengthen and streamline the Public Distribution System (PDS) as well as improve its outreach in <b>remote, hilly, remote, and inaccessible areas</b> where a large section of the poor lives.</ul><ul>?It covered <b>1775 those blocks</b> where area-specific programs like Drought Prone Area Programme, Integrated Tribal Development Projects, Desert Development Program were being implemented and in certain hilly areas which were identified by the State Governments.</ul><ul>?Under this scheme, the beneficiary was to give <b>up to 20 kg</b> of grains per card.</ul>",NA
Poverty rate in India 2022 is ,NA,B,390 million people,415 million people,180 million people,More than one of the above,NA,NA,NA,NA,"<b>The poverty rate:</b><ul>It is the ratio of people (in a certain age group) whose income is below the poverty line.</ul><ul>As per the global multidimensional poverty index 2022, the poverty rate in India is 415 million.<ul> ",NA
Poverty estimation in India is carried out by _______.,NA,A,NITI Aayog&#39;s task force,CSO,NSSO,RBI,NA,NA,NA,NA,Poverty estimation is India is carried out by NITI Aayog's task force through the calculation of the poverty line based on data captured by the <b>National Sample Survey Office</b> under the Ministry of Statistics and Programme Implementation<b>(MOSPI).</b>,NA
What is the below poverty line (BPL) percentage in India as per the 2011 census?,NA,B,32%,22%,42%,35%,NA,NA,NA,NA,"<b><u>22%</u> is the below poverty line (BPL) percentage in India as per the 2011 census.
Hence, <u>option 2 is correct.</u>?</b>",NA
Which committee was set up to review the concept of Poverty Line?,NA,A,Suresh Tendulkar Committee,Lakdawala Committee,Wanchoo Committee,Dutt Committee,NA,NA,NA,NA,"<b>Suresh Tendulkar committee</b> was constituted to review the concept of the Poverty Line in 2005.<ul>The committee recommended, shifting away from the calories model.</ul><br/><b>The Lakdawala committee</b> was constituted to consider methodological and computational aspects of the estimation of the proportion and number of poor in India.<br/><b>Wanchoo committee</b> was constituted to look into industrial development for the backward areas and to recommend fiscal and financial incentives for industries in these areas.<br/><b>Dutt committee</b> was constituted to inquire into the working of the licensing system in India.",NA
Pradhan Mantri Mudra Yojana (PMMY) is a flagship scheme of the government to <q>fund the unfunded</q>. What is the full form of MUDRA? ,NA,B,Medium Units Development & Refinance Agency Ltd.,Micro Units Development & Refinance Agency Ltd.,Micro Units Development & Restructuring Agency Ltd.,Medium Units Development & Restructuring Agency Ltd.,NA,NA,NA,NA,"Explanation:

The government of India launched the <b>Pradhan Mantri Mudra Yojana (PMMY) scheme to <q>fund the unfunded</q>.</b> The <b>aim of the scheme is to bring less funded enterprises to the formal financial system and extending affordable credit to them.</b><ul>The scheme ensures that a small borrower gets credit from all Public Sector Banks such as PSU Banks, Private Sector Banks, Regional Rural Banks, Foreign Banks, Micro Finance Institutions (MFI), Co-operative banks. PM Modi launched the scheme on 8th April 2015.</ul><ul><b>Any Indian Citizen who has a business plan about any income-generating activity like manufacturing, processing, etc can get</b> Micro Units Development & Refinance Agency Ltd. <b>(MUDRA) loans under</b> Pradhan Mantri Mudra Yojana <b>(PMMY) of up to 10 Lakhs.</b> However, it is applicable to the business plans of the non-farm sector.</ul> ",NA
Unemployment and poverty estimates in India are based on,NA,A,NSSO household consumption expenditure survey,CSO household consumption expenditure survey,Planning Commission&#39;s household consumption expenditure survey ,NSSO family income survey,NA,NA,NA,NA,<b>National Sample Survey Office (NSSO</b>) carried out poverty estimates based on a large sample survey of household consumption expenditure of Indian families at an interval of approximately five years.<br/><b>National Sample Survey Office</b> under the Ministry of Statistics and Programme Implementation (MOSPI) is the unit of NITI Aayog for the Poverty estimation in India.,NA
