question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements: <br/>1. The Union Executive consists of the President and the Council of Ministers with the Prime Minister as the head.<br/>2. The President may, by writing under his hand-addressed to the Vice-President, resign his office.<br/>3. Executive power of the Union is vested in the Prime Minister.<br/>Which of the statements given above is/ are correct?",NA,D,1 and 3,2 and 3,"1, 2 and 3",2 only,NA,NA,NA,NA,"The correct answer is option 4 - 2 only. <br/>Let&#39;s dissect each statement to understand why this is the correct answer.<br/><br/>Statement 1 states that the Union Executive consists of the President and the Council of Ministers with the Prime Minister as the head. This statement is incorrect because the Union Executive consists of the President, Vice-President, and the Council of Ministers with the Prime Minister as the head. So option 1 is incorrect.<br/><br/>Statement 2 states that the President may resign his office by writing under his hand-addressed to the Vice-President. This statement is correct. The President has the right to resign by writing a letter to the Vice-President. So option 2 is correct.<br/><br/>Statement 3 states that the executive power of the Union is vested in the Prime Minister. This statement is incorrect. The executive power of the Union is vested in the President and it is exercised by the Council of Ministers with the Prime Minister as the head. So option 3 is incorrect.<br/><br/>Based on the analysis of each statement, we can conclude that only statement 2 is correct. Therefore, the correct answer is option 4 - 2 only.",NA
"The Speaker of the Lok Sabha may resign his office by writing, addressed to the",NA,D,President of India,Prime Minister of India,Vice President of India,Deputy Speaker of the Lok Sabha,NA,NA,NA,NA,"The correct answer is option 4, Deputy Speaker of the Lok Sabha. <br/>The Speaker of the Lok Sabha is the presiding officer of the Lower House of Parliament in India. If the Speaker wants to resign from his office, he must address his resignation in writing to the Deputy Speaker of the Lok Sabha.<br/>Let&#39;s dissect the other options to understand why they are not correct:<br/>Option 1: President of India. The President of India is the head of state and has no direct authority over the resignation of the Speaker of the Lok Sabha. The Speaker&#39;s resignation is handled within the Parliament.<br/><br/>Option 2: Prime Minister of India. The Prime Minister is the head of government and also does not have authority over the Speaker&#39;s resignation. The Speaker&#39;s resignation is an internal matter of the Parliament.<br/><br/>Option 3: Vice President of India. The Vice President is the presiding officer of the Upper House of Parliament (Rajya Sabha) and does not have jurisdiction over the Speaker&#39;s resignation from the Lok Sabha.<br/><br/>Therefore, the correct option is 4 - Deputy Speaker of the Lok Sabha, as the Speaker would address the resignation to this position.",NA
Consider the following statements :<br/>1. The Executive Power of the union of India is vested in the Prime Minister.<br/>2. The Prime Minister is the ex officio Chairman of the Civil Services Board.<br/>Which of the statements given above is/are correct?,NA,D,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is <q>Neither 1 nor 2</q>.<br/>1. The Executive Power of the union of India is not vested solely in the Prime Minister. The Executive Power is vested in the President of India, who exercises it either directly or through officers subordinate to them, as per the provisions of the Constitution of India. The Prime Minister is the head of the government and exercises executive powers, but not the entire Executive Power of the union.<br/>2. The Prime Minister is not the ex officio Chairman of the Civil Services Board. The Civil Services Board is responsible for various administrative matters related to the civil services in India. The Prime Minister is not the automatic Chairman of this board. The Chairman of the Civil Services Board is usually the Cabinet Secretary, who is the highest-ranking civil servant in India.<br/>Therefore, neither statement 1 nor statement 2 is correct.",NA
Which one of the following statements is correct ?,NA,B,The President cannot pardon a person sentenced by a Court Martial.,"The supreme command of the defense forces of the Union is vested in the President, but its exercise has to be regulated by law.",A person awarded rigorous imprisonment cannot be compelled to do hard work as it would violate Article 23 of the Constitution of India.,"The Armed Forces Tribunal Act, 2007 excludes the powers of the High Courts under Article 226 of the Indian Constitution in relation to service matters of persons in the armed forces.",NA,NA,NA,NA,"Option 1 states that the President cannot pardon a person sentenced by a Court Martial. This means that if someone is sentenced by a Court Martial, the President does not have the power to pardon them.<br/><br/>Option 2 states that the supreme command of the defense forces of the Union is vested in the President, but its exercise has to be regulated by law. This means that while the President has ultimate authority over the defense forces, the way this authority is exercised needs to be governed by specific laws.<br/><br/>Option 3 states that a person awarded rigorous imprisonment cannot be compelled to do hard work as it would violate Article 23 of the Constitution of India. This statement is incorrect. Article 23 of the Indian Constitution prohibits forced labor, but it does not exempt individuals in prison from performing labor as part of their sentence.<br/><br/>Option 4 states that the Armed Forces Tribunal Act, 2007 excludes the powers of the High Courts under Article 226 of the Indian Constitution in relation to service matters of persons in the armed forces. This means that the Armed Forces Tribunal Act limits the authority of High Courts to hear cases related to service matters of individuals in the armed forces.<br/><br/>The correct answer is option 2, as it accurately reflects the role of the President in relation to having the ultimate authority over the defence forces.",NA
Which one of the following statements relating to the power of the President of India to grant pardon is not correct?,NA,D,The President of India has the power to grant a pardon in cases where the punishment or sentence is given by a Court Martial.,The President of India can grant a pardon in cases where the sentence is death.,The power of judicial review is very limited in relation to the decision of the President on a mercy petition.,The power to grant pardon by the President is the power that the sovereign never exercises against its own judicial mandate.,NA,NA,NA,NA,"Option 1: The statement is correct. The President of India has the power to grant a pardon in cases where the punishment or sentence is given by a Court Martial. This power allows the President to show mercy and override the decision made by the military court.<br/>Option 2: The statement is correct. The President of India can grant a pardon in cases where the sentence is death. This power gives the President the authority to commute or reduce the sentence of death penalty to a lesser punishment or completely pardon the individual.<br/>Option 3: The statement is correct. The power of judicial review, which is the authority of the courts to review and declare the actions of the executive or legislative branches unconstitutional, is limited in relation to the decision of the President on a mercy petition. This means that the courts have limited power to review or overturn the President&#39;s decision to grant or reject a mercy petition.<br/>Option 4: The statement is incorrect. The power to grant pardon by the President is not a power that the sovereign never exercises against its own judicial mandate. In fact, the power of pardon is an essential aspect of the executive power of the President. The President has the authority to grant pardons or reduce sentences, even in cases where the judiciary has made a decision.<br/>Therefore, Option 4 is the incorrect statement.",NA
The electoral college that elects the Vice- President of India consists of,NA,C,Members of Rajya Sabha only,Elected Members of both the Houses of Parliament,Members of both the Houses of Parliament,Members of the Rajya Sabha and the Legislative Assemblies of States,NA,NA,NA,NA,"Option 1 is incorrect because the electoral college that elects the Vice-President of India is not limited to the members of Rajya Sabha only. Option 2 is also incorrect because it states that only elected members of both Houses of Parliament are a part of the electoral college, which is not true.<br/><br/>The correct answer is option 3 - members of both Houses of Parliament. The electoral college for the Vice-President of India consists of all the members of both the Rajya Sabha and Lok Sabha. The Vice-President is elected by a system of proportional representation by means of a single transferable vote. The members of both Houses of Parliament have the responsibility to elect the Vice-President. It is important to note that the electoral college for the Vice-President is separate from the electoral college for the President of India, which consists of elected members of both Houses of Parliament as well as members of legislative assemblies of states.",NA
The Electoral College for electing the President of India does not include which of the following?<br/>1. All elected members of the Rajya Sabha <br/>2. All elected members of the Legislative Assemblies of States <br/>3. All members of the Legislative Councils of States<br/>Select the correct answer using the code given below.,NA,C,1 and 2,2 and 3,3 only,2 only,NA,NA,NA,NA,"The question is asking about the inclusion of specific members in the Electoral College for electing the President of India. The Electoral College is composed of elected members from different bodies.<br/><br/>Option 1 states that all elected members of the Rajya Sabha (the upper house of Parliament) are included in the Electoral College. This is correct.<br/><br/>Option 2 states that all elected members of the Legislative Assemblies of States are included in the Electoral College. This is also correct.<br/><br/>Option 3 states that all members of the Legislative Councils of States are not included in the Electoral College. This is also correct.<br/><br/>Therefore, the correct answer is option 3.<br/>The Electoral College for electing the President of India does not include all members of the Legislative Councils of States.",NA
The President of India is elected by an Electoral College comprising of elected members of which of the following?<br/>1. Both the Houses of the Parliament<br/>2. The Legislative Assemblies of States<br/>3. The Legislative Councils of States<br/>4. The Legislative Assemblies of NCT of Delhi and Puducherry<br/>Select the correct answer using the code given below.,NA,C,1 and 2 only,"1, 2 and 3","1, 2 and 4",3 and 4,NA,NA,NA,NA,"The President of India is elected by an Electoral College comprising of elected members. The correct options for the members of this Electoral College are:<br/>1. Both the Houses of the Parliament: The elected members of both the Lok Sabha (House of the People) and the Rajya Sabha (Council of States) participate in the election of the President.<br/>2. The Legislative Assemblies of States: The elected members of the Legislative Assemblies of all the states in India also take part in the election process.<br/>3. The Legislative Assemblies of NCT of Delhi and Puducherry: Apart from the states, the elected members of the Legislative Assemblies of the National Capital Territory of Delhi and Puducherry also have the right to vote in the Presidential election.<br/>Therefore, the correct answer is option 3: 1, 2 and 4. This means that the President of India is elected by the elected members of both the Houses of Parliament, the Legislative Assemblies of the states, and the Legislative Assemblies of the NCT of Delhi and Puducherry.",NA
"Which of the following statements in the context of structure of the Parliament is/are correct?<br/>1. The Parliament of India consists of the President, the Council of States and the House of the People.<br/>2. The President of India is directly elected by an electoral college consisting of the elected members of both the Houses of the Parliament only.<br/>Select the correct answer using the code given below.",NA,A,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is option 1: 1 only.<br/>Option 1 states that the Parliament of India consists of the President, the Council of States (also known as the Rajya Sabha) and the House of the People (also known as the Lok Sabha). This statement is correct. The Parliament is the supreme legislative body in India and is composed of these three components. The President is not a part of the Parliament, but the Council of States and the House of the People are the two houses that make up the legislative branch.<br/><br/>Option 2 states that the President of India is directly elected by an electoral college consisting of the elected members of both the Houses of the Parliament only. This statement is incorrect. The President of India is indirectly elected by an Electoral College composed of the elected members of both houses of Parliament, as well as the elected members of the State Legislative Assemblies.<br/>Therefore, the correct answer is option 1 as only statement 1 is correct.",NA
"According to the Constitution of India, which one of the following statements is not correct ?",NA,C,The executive powers of the Union shall be vested in the President of India.,"Parliament, by law, can confer functions on authorities other than the President of India",The President of India is elected by an electoral college consisting of all Members of Parliament and Members of State Legislatures.,"A person, having held office as the President, shall be eligible for election to that office for the second term.",NA,NA,NA,NA,"Option 1: According to the Constitution of India, the executive powers of the Union are indeed vested in the President of India. This means that the President is the head of the executive branch of the central government and is responsible for the exercise of executive powers.<br/><br/>Option 2: Parliament in India has the authority to confer functions on authorities other than the President of India. This means that Parliament can delegate certain powers and functions to other authorities as deemed necessary.<br/><br/>Option 3: This statement is incorrect according to the Constitution of India. The President of India is elected by an electoral college that consists of all Members of Parliament (both Lok Sabha and Rajya Sabha) and Members of State Legislative Assemblies.<br/><br/>Option 4: This statement is correct according to the Constitution of India. A person who has held the office of the President can be eligible for re-election for a second term. However, there is a limit of a maximum of two consecutive terms that an individual can serve as President.<br/><br/>In conclusion, the correct answer is option 3 as it is not in line with the Constitution of India.",NA
Which one of the following statements is not correct regarding the Office of the Vice President of India?,NA,A,The Vice President is elected by an electoral college consisting of the elected members of both the Houses of the Parliament.,The Vice President is elected in accordance with the system of proportional representation by means of a single transferable vote.,The Vice President shall not be a member of either House of the Parliament or of a House of the Legislature of any State.,The Vice President of India shall be ex officio Chairman of the Council of States and shall not hold any office of profit.,NA,NA,NA,NA,"Option 1 is not correct regarding the Office of the Vice President of India. The Vice President is not elected by an electoral college consisting of the elected members of both the Houses of the Parliament. The Vice President is actually elected by an electoral college consisting of the members of both the Houses of Parliament, which includes both elected members as well as nominated members.<br/><br/>Option 2 is correct. The Vice President is elected in accordance with the system of proportional representation by means of a single transferable vote. This means that the voters rank the candidates in order of preference and their preferences are transferred until a candidate receives the required majority.<br/><br/>Option 3 is also correct. The Vice President shall not be a member of either House of Parliament or of a House of the Legislature of any State. This is to ensure that the Vice President remains neutral and unbiased in his/her role.<br/><br/>Option 4 is correct. The Vice President of India shall be ex officio Chairman of the Council of States (Rajya Sabha) and shall not hold any office of profit. This means that the Vice President automatically becomes the Chairman of the Rajya Sabha and cannot hold any other position that involves monetary benefits.<br/>In conclusion, option 1 is the incorrect answer as it does not accurately describe the process of election and the operation regarding the Office of the Vice President.",NA
"Consider the following statements:<br/>1. The Vice-President of India, as the Chairman of Rajya Sabha presides over the proceedings of the House, but as the Vice-President as such, no functions have been assigned to him in the Constitution.<br/>2. While acting as the President of India, the Vice-President shall not perform the duties of the office of the Chairman of Rajya Sabha.<br/>Which of the statements given above is/are correct ?",NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is option 3: Both statement 1 and statement 2 are correct.<br/>Statement 1 is correct because the Vice-President of India, as the Chairman of the Rajya Sabha, presides over the proceedings of the House. However, as the Vice-President, besides being the Chairman of the Rajya Sabha, no specific functions have been assigned to him in the Constitution.<br/>Statement 2 is correct because when the Vice-President is acting as the President of India, he does not perform the duties of the Chairman of Rajya Sabha. This is because the Vice-President temporarily vacates the position of the Chairman of Rajya Sabha when he assumes the role of acting President.<br/>Therefore, both statements are true and the correct answer is option 3.",NA
"Consider the following statements:<br/>Statement-I: To be eligible for election as Vice-President of India, a person should be a citizen of India and have completed 35 years of age.<br/><br/>Statement-II: The Vice-President of India is required to bear true faith and allegiance to the Constitution of India and faithfully discharge the duties of the office.<br/><br/>Which one of the following is correct in respect of the above statements?",NA,A,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I is accurate as per the qualifications required for the election of the Vice-President of India, as mentioned in the provided information. The candidate indeed needs to be a citizen of India and should have completed 35 years of age to be eligible.<br/><br/>Statement-II correctly reflects the oath that the Vice-President of India is required to take, as outlined in the given content. The Vice-President is mandated to bear true faith and allegiance to the Constitution of India and dutifully fulfill the responsibilities of the office.<br/><br/>Therefore, in this case, both statements are correct, and Statement-II aptly elucidates the requirements specified in Statement-I.",NA
