question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which of the following act, passed under British India, has led to the establishment of Supreme Court of Calcutta ?",NA,B,"Pitt&#39;s India Act, 1784","Regulating Act, 1773","Charter Act, 1833","Charter Act, 1833",NA,NA,NA,NA,"The Regulating Act, 1773, passed by the British Parliament, was the first step towards the centralization of the administration of India. The Act introduced several changes in the administration of British India, and one of its key provisions was the establishment of the Supreme Court of Calcutta in 1774. The Supreme Court of Calcutta was the first high court in India and had jurisdiction over the presidency of Fort William, which included Bengal, Bihar, and Orissa. <br/><br/>Therefore, the correct answer is option B, Regulating Act, 1773.",NA
"Consider the following:?<br/><br/>1. Dyarchy at Provinces<br/>2. Dyarchy at the center<br/>3. Establishment of RBI<br/>4. Bicameralism in Bengal, Bombay and Madras Provinces<br/>5. Establishment of a Federal Court of India<br/><br/>Which of the above is a feature of Government of India Act, 1935?",NA,C,"1, 2, 3 and 4 only","1, 3, 4 and 5 only","2, 3, 4 and 5 only","1, 2, 3, 4 and 5",NA,NA,NA,NA,"Important provisions of the Government of India Act, 1935:<br/><br/>Established All India Federation consisting of provinces and princely states as units.<br/>Divided powers into three lists: Federal list (for Centre, with 59 items), Provincial list (for Provinces, with 54 items) and the Concurrent list (for both, with 36 items). The Viceroy was empowered with all the residuary powers.<br/>Abolished dyarchy in the provinces and introduced provincial autonomy. It introduced responsible Governments in provinces where the Governor needed to work on advice of ministers responsible to the provincial legislature.<br/>Provided for adoption of dyarchy at the Centre. Federal subjects were divided into transferred subjects and reserved subjects.<br/>Introduced bicameralism in 6 out of 11 provinces (Bengal, Bombay, Madras, Bihar, Assam and the United Provinces).<br/>Provisioned for separate electorates for Scheduled Castes, women and labour.<br/>Abolished the Council of India. <br/>Established Reserve Bank of India to control currency and credit of the country.<br/>Established Federal Public Service Commission, Provincial Public Service Commission and Joint Public Service Commission.<br/>Provided for setting up a Federal Court.",NA
Which of the following are the features of Regulating Act of 1773?<br/><br/>1. Governor of Bengal was designated as the Governor General.<br/>2. A Supreme Court was established in Calcutta.<br/>3. East India Company got constitutional status.<br/><br/>Which of the above statement(s) is/are correct?,NA,D,Only 1 and 2,Only 1 and 3,Only 2 and 3,All of the above,NA,NA,NA,NA,"The British Parliament passed the Regulating Act in 1773 by which changes were introduced in the administrative structure of the company both in England and in India. The number of the Directors of the Company was taken to 24. In India the Governor of Bengal came to be designated as the Governor General.<br/>As per the provisions of the Act, a Supreme Court was established at Calcutta comprising of a Chief Justice and three other Judges. The special feature of the Act was that apart from granting the status of a trading company, it also conferred the East India Company constitutional status and provided it with political powers.",NA
"<q>This Act introduced, local representation in the Indian (Central) Legislative Council. It provided for the separation of the executive and legislative functions of the Governor General&#39;s Council.<br/>The above passage best describes which of the following Act?",NA,C,"Charter Act, 1813","Charter Act, 1833","Charter Act, 1853","Charter Act, 1793",NA,NA,NA,NA,"The Charter Act of 1853 introduced local representation in the Indian (Central) Legislative Council, which meant that a certain number of members were to be elected by the local boards and universities. It also provided for the separation of the executive and legislative functions of the Governor General's Council. This Act increased the number of members in the Legislative Council and established a new Legislative Council for Bengal Presidency.<br/><br/>Therefore, the correct answer is C: Charter Act, 1853.",NA
"Which of the following institutions was/were introduced by the Government of India Act, 1858? <br/><br/>1. Imperial Legislative Council<br/>2. Board of Control<br/>3. Council of India<br/><br/>Select the correct answer using the code given below.",NA,B,1 and 3 only,3 only,2 and 3 only,"1, 2 and 3",NA,NA,NA,NA,"Imperial Legislative Council was formed by the Indian Councils Act, 1861.<br/>Board of Control was established by the Pitt&#39;s India Act, 1784.<br/>Council of India was formed by the Government of India Act, 1858.",NA
The Constitution of India was adopted by the,NA,B,Parliament of India ,Constituent Assembly,Governor General ,British Parliament,NA,NA,NA,NA,"The Constitution of India was adopted by the Constituent Assembly on November 26, 1949. The Constituent Assembly was formed in 1946 under the Cabinet Mission Plan to draft a constitution for India. The Constitution was adopted after a two-year-long process of drafting, discussion, and amendments. It came into effect on January 26, 1950, marking the beginning of India as a Republic.",NA
"Consider the following statements about Morley Minto reforms<br/><br/>1. It provided separate electorates for Muslims, Sikhs, Indian Christians, and Anglo-Indians.<br/>2. It introduced direct elections in the country for the first time.<br/>3. One Indian was to be appointed to the viceroy&#39;s executive council<br/><br/>Which of the above statement(s) is/are correct?",NA,B,"1, 2 and 3 only",3 only,2 and 3 only,1 and 3 only,NA,NA,NA,NA,"The correct answer is 3 only.<br/><br/>The elective principle was recognized for the nonofficial membership of the councils in India.<br/>Indians were allowed to participate in the election of various legislative councils, though on the basis of class and community.<br/>For the first time, separate electorates for Muslims for election to the central council was established - a most detrimental step for India.<br/>The number of elected members in the Imperial Legislative Council and the Provincial Legislative Councils was increased.<br/>According to Sumit Sarkar, in the Imperial Legislative Council, of the total 69 members, 37 were to be the officials and of the 32 non-officials, 5 were to be nominated.<br/>Of the 27 elected non-officials, 8 seats were reserved for the Muslims under separate electorates (only Muslims could vote here for the Muslim candidates), while 4 seats were reserved for the British capitalists, 2 for the landlords and 13 seats came under general electorate.<br/>The separate electorates for Sikhs, Indian Christians were provided in the 1919 Government of India Act. Hence, statement 1 is NOT correct.<br/>The elected members were to be indirectly elected. Hence, statement 2 is NOT correct.<br/>The local bodies were to elect an electoral college, which in turn would elect members of provincial legislatures, who in turn would elect members of the central legislature.<br/>Besides separate electorates for the Muslims, representation in excess of the strength of their population was accorded to the Muslims.<br/>Also, the income qualification for Muslim voters was kept lower than that for Hindus.<br/>One Indian was to be appointed to the viceroy&#39;s executive council (Satyendra Sinha was the first Indian to be appointed in 1909). Hence, Statement 3 is correct.",NA
Which of the following statement is not true?,NA,D,Morley - Minto reforms of 1909 started separate electorates for Muslims,Dyarchy was introduced in provinces by Act of 1919,Provincial autonomy was ensured in Act of 1935,Simon commission was appointed in 1927 to enquire into atrocities committed by police during non-cooperation movement,NA,NA,NA,NA,"In 1927, the British Government appointed a 7-member statutory commission under the chairmanship of Sir John Simon to report on the condition of India under its new constitution. The commission submitted its report in 1930 and recommended the abolition of diarchy, extension of responsible Government in the provinces, establishment of a federation of British India and princely states, continuation of communal electorates and so on. The recommendations of the commission were incorporated in the Government of India Act, 1935.",NA
"Which of the following is a provision of the Government of India Act, 1858?<br/><br/>1. Company rule was replaced by Crown rule.<br/>2. Establishment of Board of Control over the Court of Directors.<br/>3. Indians were allowed to take part in Indian Civil Services.<br/>4. Separating the executive and legislative functions of the Governor-General.<br/>5. Creation of a new office of Secretary of State for India.<br/><br/>Select the correct answer using the codes given below:",NA,D,"1, 3 and 4 only","1, 2 and 4 only","1,2, 3, 4, 5 only ",1 and 5 only,NA,NA,NA,NA,"The Correct Option is D: 1 and 5 only<br/><br/>Explanation:<br/>The Government of India Act, 1858, was enacted after the Indian Rebellion of 1857, which led to significant changes in the governance of India. The main provisions of the Act were:<br/>1. Company rule was replaced by Crown rule: The rule of the British East India Company was abolished, and the administration of India was transferred to the British Crown. This meant that the British government would directly govern India.<br/>5. Creation of a new office of Secretary of State for India: The Act established the office of the Secretary of State for India, who was a member of the British Cabinet. This person was responsible for overseeing the administration of India and communicating between the British government and the Indian administration.<br/><br/>The other options mentioned are not provisions of the Government of India Act, 1858:<br/>2. Establishment of Board of Control over the Court of Directors: This provision was part of the earlier Pitt's India Act of 1784, which established the Board of Control to oversee the activities of the British East India Company.<br/>3. Indians were allowed to take part in Indian Civil Services: This provision was introduced later, in the Indian Councils Act of 1861.<br/>4. Separating the executive and legislative functions of the Governor-General: Charter act of 1853 separated the Legislative and executive functions of the Governor-general's council.",NA
Which of the following is/are true regarding the Morley Minto Reforms? <br/><br/>1) Satyendra Prasad Sinha became the first Indian to join the Viceroy&#39;s Executive Council. <br/>2) The reforms introduced separate electorates.,NA,A,Both 1 and 2 ,Only 1,Only 2,Neither 1 nor 2,NA,NA,NA,NA,"1909 Act is also known as Morley-Minto Reforms (Lord Morley was the then Secretary of State for India and Lord Minto was the then Viceroy of India). It was to appease the moderates.<br/>1. It increased the size of Central and provincial legislative councils.<br/>2. The number of members in the Central Legislative Council was raised from 16 to 60.<br/>3. The number of members in the provincial legislative councils was not uniform.<br/>4. It retained official majority in the Central Legislative Council (majority of British officials) <br/>5. However, it allowed the provincial legislative councils to have non-official majority.<br/>6. It enlarged the deliberative functions (right to discuss and ask questions) of the legislative councils at both the levels.<br/>7. For example, members could move resolutions on the budget, ask supplementary questions, etc.<br/>8. For the first time, it provided for the association of Indians with the executive Councils of the Viceroy and Governors.<br/>9. Satyendra Prasad Sinha became the first Indian to join the Viceroy&#39;s Executive Council. He was appointed as the law member.<br/>10. It introduced separate electorate, a system of communal representation for Muslims.<br/>11. Under this, the Muslim members were to be elected only by Muslim voters.<br/>12. Thus, the Act <q>legalized communalism and Lord Minto came to be known as the Father of Communal Electorate.<br/>13. It also provided for the separate representation of presidency corporations, chambers of commerce, universities and zamindars.",NA
