question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What were the basic tenets of the military school of thought? <br/>1. Hatred for foreign rule <br/>2. Swaraj to be the goal of a national movement <br/>3. Indirect political action <br/>4. Belief in the capacity of the masses <br/>Which of these statements is/are correct?,NA,B,1 and 2 Only,"1, 2 and 4 Only","1, 3 and 4 only",All of them,NA,NA,NA,NA,"Direct political action was the feature of this Military School. The basic tenets of this school of thought were: <br/>- hatred for foreign rule; since no hope could be derived from it, Indians should work out their own salvation; <br/>- swaraj to be the goal of national movement; <br/>- direct political action required; <br/>- belief in the capacity of the masses to challenge the authority <br/>- sacrifice is required and a true Nationalist to be always ready for it.",NA
Which of the following leaders were the representatives of the militant school of thought?<br/>1. Aurobindo Ghosh <br/>2. Bipin Chandra Pal <br/>3. Vishnushastri chiplunkar <br/>4. Ashwini Kumar Dutta <br/>5. Raj Narayan Bose <br/>Choose from the following options:,NA,D,"1, 2, 3 and 4 Only","1, 3, 4 and 5 only","1, 2, 4 and 5 only",All of them,NA,NA,NA,NA,"By the dawn of the twentieth century, a band of nationalist thinkers had emerged who advocated a more militant approach to political work. <br/><br/>These included Raj Narain Bose, Ashwini Kumar Datta, Aurobindo Ghosh and Bipin Chandra Pal in Bengal; Vishnu Shastri Chiplunkar and Bal Gangadhar Tilak in Maharashtra, and Lala Lajpat Rai in Punjab. Tilak emerged as the most outstanding representative of this school of thought.",NA
Which of the following are correctly matched?<br/>Region of anti-partition movement and their leaders <br/>1. Pune and Bombay - Tilak <br/>2. Punjab - Lala Lajpat Rai <br/>3. Delhi - Ajit Singh <br/>4. Madras - Chidambaram Pillai <br/><br/>Choose from the following options.,NA,A,"1, 2 and 4 Only","2, 3 and 4 only",1 and 2 Only,All of them,NA,NA,NA,NA,"Solution:<br/>The leader of the anti-partition Movement in Delhi was Syed Haider Raja. <br/>- On October 16, 1905, the partition formally came into force, was observed as a day of mourning throughout Bengal. <br/>- People fasted, bathed in the Ganga, and walked barefoot in processions singing Bande Mataram (which almost spontaneously became the movement&#39;s theme song). <br/>- <q>Amar Sonar Bangla</q>, the national anthem of present-day Bangladesh, was composed by Rabindranath Tagore and was sung by huge crowds marching in the streets. <br/>- People tied rakhis on each other&#39;s hands as a symbol of unity of the two halves of Bengal. Later in the day, Surendranath Banerjea and Ananda Mohan Bose addressed huge gatherings (perhaps the largest till then under the nationalist banner). <br/>- Within a few hours of the meeting, Rs 50,000 was raised for the movement. Soon, the movement spread to other parts of the country-in Poona and Bombay under Tilak, in Punjab under Lala Lajpat Rai and Ajit Singh, in Delhi under Syed Haider Kaza, and in Madras under Chidambaram Pillai.",NA
Which of the following statements are correct? <br/>1. The moderates wanted the Swadeshi movement to be taken outside Bengal to other parts of the country. <br/>2. The extremists wanted direct revolutionary action in the Bengal only. <br/>Choose from the following options:,NA,D,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"The militant nationalists led by Tilak, Lajpat Rai, Bipin Chandra Pal and Aurobindo Ghosh wanted the movement to be taken outside Bengal to other parts of the country beyond a boycott of foreign goods to become a full-fledged political mass struggle to attain swaraj.<br/><br/>But the Moderates, dominating the Congress at that time, were not willing to go that far. However, a big step forward was taken at the Congress session held at Calcutta (1906) under Dadabhai Naoroji, where it was declared that the goal of the Indian National Congress was <q>self-government or swaraj like the United Kingdom or the colonies</q> of Australia or Canada. <br/><br/>The Moderate-Extremist dispute over the movement&#39;s pace and techniques of struggle reached a deadlock at the Surat session of the Indian National Congress (1907) where the party split with serious consequences for the Swadeshi Movement.",NA
Who was the president of the Indian National Congress annual session in 1905?,NA,B,Dadabhai Naoroji,Gopal Krishna Gokhale,Rashbihari Ghosh,Madan Mohan Malviya,NA,NA,NA,NA,Gopal Krishna Gokhale was the president of the Indian National Congress annual session in 1905.,NA
Which of the following events happened during the Swadeshi Movement? <br/>1. Bengal National College was set up <br/>2. National Council of Education was set up <br/>3. A Bengal Institute of Technology was set up <br/>Choose from the following options.,NA,D,1 and 3 Only,2 and 3 Only,1 and 2 Only,All of them,NA,NA,NA,NA,"Bengal National College, inspired by Tagore&#39;s Shantiniketan, was set up with Aurobindo Ghosh. <br/>- Soon national schools and colleges sprang up in various parts of the country. <br/>- On August 15, 1906, the National Council of Education was set up to organize a literary, scientific and technical system on national lines and under national control. A Bengal Institute of Technology was set up.",NA
Why Swadeshi movement fizzled out? <br/>1. Severe government repression <br/>2. Lack of effective organization and disciplined focus <br/>3. Split in Nationalist ranks <br/>4. Narrow social base <br/>5. Leaderless movement <br/>Choose from the following options.,NA,D,"1, 2, 3 and 4 only","1, 3, 4 and 5 only","1, 2, 4 and 5 only",All of them,NA,NA,NA,NA,"Swadeshi Movement fizzled out by 1908 because of: Severe government repression, Lack of effective organization and a disciplined focus. With arrest/deportation of all leaders, the movement left leaderless. Split in nationalist ranks. Narrow social base.",NA
Arrange the acts/events chronologically <br/>1. Seditious meetings act <br/>2. Explosive substances act <br/>3. Indian Press Act <br/>4. Annulment of partition <br/><br/>Choose from the following options.,NA,D,1-3-2-4,4-1-2-3,1-2-4-3,1-2-3-4,NA,NA,NA,NA,The Prevention of seditious meetings Act (1907); The Explosives Substances Act (1908) ; The Press Act (1910) Annulment of the partition (1911).,NA
"With the enactment of Morley-Minto Reforms, the legislature could now <br/>1. Ask questions <br/>2. Pass resolutions <br/>3. Vote separate items of the budget <br/>Choose from the following options.",NA,D,1 Only,2 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Correct answer: All of them <br/><br/>Explanation: The Morley-Minto Reforms, also known as the Indian Councils Act of 1909, introduced several changes to the legislative councils in British India. These changes provided the legislature with the power to:<br/><u>1. Ask questions:</u> The members of the legislative councils were now allowed to ask questions on various matters related to public interest, although they could not ask questions regarding certain sensitive matters like public safety, defense, or foreign affairs.<br/><u>2. Pass resolutions:</u> The members could now move resolutions on various matters relating to the administration, the public interest, and welfare of the people. This allowed the legislators to express their opinions and make recommendations for the government to consider.<br/><u>3. Vote separate items of the budget:</u> The members were given the power to vote on separate items of the budget, which allowed them to scrutinize the government&#39;s financial proposals and exert some influence over public spending.<br/>These reforms expanded the powers of the legislative councils in British India and marked a significant step towards greater participation of Indians in the governance of their country.",NA
Which of the following sections of the society participated in the Swadeshi Movement? <br/>1. Zamindars <br/>2. Labours <br/>3. Students <br/>4. Muslims <br/>Choose from the following options.,NA,B,"1, 2 and 4 Only","1,2 and 3 Only","2, 3 and 4 Only",All of them,NA,NA,NA,NA,"Extent of mass participation - students, women, certain sections of zamindari, labour, some lower-middle and middle classes in towns and cities participated for the first time while the Muslims generally kept away.",NA
