question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following Chinese pilgrims to India gives us some information about the first Gupta ruler?,NA,D,Fahien,Hiuen Tsang,Wang Hiuen Tse,I-tsing,NA,NA,NA,NA,"Yijing or I-tsing, was a Tang-era Chinese Buddhist monk famed as a traveler and translator. His account of his travels is an important source for the history of the medieval kingdoms along the sea route between China and India. He gave account of the first gupta ruler Srigupta.",NA
Which of the following Gupta inscriptions is said to contain the most decisive evidence in favour of the exclusive ownership of land by the state or the king?,NA,B,Bhitari Prasasti,Pahadpur Copper Plate,Junagadh Rock Inscriptions,Allahabad Prasasti,NA,NA,NA,NA,"Paharpur is in insignificant border hamlet about three miles West of Jamalgunj railway station, in Bogra district of Bangadesh on the main line of Bangladesh Eastern Railway.<br/>There are inscribed copper plate grants and stone inscriptions, which throw light on the history of the site. The earliest is Copper Plate, dated 159 of Gupta era (478 AD), of the Budha Gupta period, found from the monastery area. It records the purchase and grant of land by Brahman couple, for maintenance of Arhats and resting place at Vihara, presided over by Jaina teacher Gahanandin and his disciple, and disciple of disciples.",NA
Which of the following works tells us about the succession of Chandragupta I to the throne?,NA,A,Kaumudi Mahotsava,Mrichchakatika,Abhijnana Sakuntalam,Devichandraguptam,NA,NA,NA,NA,The correct option is A.<br/>Kaumudi Mahotsava tells us about the succession of Chandragupta I to the throne.,NA
Which of the following inscriptions belong to Samudragupta?<br/>I. Allahabad Pillar Inscription<br/>II. Mehrauli Pillar Inscription<br/>III. Nalanda Copper Plate<br/>IV. Gaya Copper Plate<br/>V Bhitari Pillar Inscription<br/>VI. Eran Pillar Inscription,NA,B,"I, II, III, IV","I, III, IV, V, VI","II, III, IV",All of the above,NA,NA,NA,NA,"The correct option is Option B. <br/>Samudragupta inscription. A later inscription, also known as the Prayag Prashasti, is attributed to the 4th century CE Gupta emperor Samudragupta, and follows immediately below the edicts of Ashoka. It is considered <q>the most important historical document of the classical Gupta age</q>.<br/>Two other records are attributed to Samudragupta&#39;s reign, but the genuineness of these records is disputed:<br/>Nalanda inscription, dated to the regnal year 5<br/>Gaya inscription, dated to the regnal year 9<br/>The Eran inscription of Samudragupta is of considerable historical and epigraphic interest.",NA
Arrange the following famous Ancient Indian astronomers and mathematicians in the chronological order:<br/>I. Aryabhatta<br/>II. Varahamihira<br/>III. Brahmagupta<br/>IV. Bhaskara,NA,A,"I, II, III, IV","II, III, I, IV","III, II, IV, I","I, IV, III, II",NA,NA,NA,NA,"Option A: I, II, III, IV is the correct answer.<br/>The correct chronological order of these famous Ancient Indian astronomers and mathematicians is I. Aryabhatta, II. Varahamihira, III. Brahmagupta, IV. Bhaskara.<br/><br/>Explanantion:<br/><b>Aryabhatta:</b> Aryabhatta was an ancient Indian mathematician and astronomer who lived during the 5th century. He is known for his work on mathematics, including the concept of zero and the decimal system.<br/><b>Varahamihira:</b> Varahamihira was an Indian astronomer and mathematician who lived during the 6th century. He made significant contributions to the field of astronomy, including the calculation of planetary positions and the prediction of eclipses.<br/><b>Brahmagupta:</b> Brahmagupta was an Indian mathematician and astronomer who lived during the 7th century. He is known for his work on mathematics, including the development of algebra and the study of quadratic equations.<br/><b>Bhaskara:</b> Bhaskara was an Indian mathematician and astronomer who lived during the 12th century. He made significant contributions to both mathematics and astronomy, including the development of trigonometry and the study of planetary motion.",NA
St. Thomas came to North Western India to propagate Christianity during the reign of which ruler?,NA,A,Gondopherner,Kanishka,Rudraman-I,Khadphises,NA,NA,NA,NA,"The correct option is A.<br/>St. Thomas came to India in the reign of Parthians.Gondophernes, also spelled Gondophares, (flourished 1st century ce), an Indo-Parthian king in the areas of Arachosia, Kabul, and Gandhara (present Afghanistan and Pakistan).",NA
A special feature of religion in the Gupta Age was the,NA,A,Worship of incarnations of Vishnu,Worhsip of the seated Buddha,Worship of incarnations of Siva,None of these,NA,NA,NA,NA,"An important feature of Vaishnavism in the Gupta Age was the popular worship of the avatars, i.e. descents or incarnations of Vishnu. Epigraphic and literary records of the period throw light on the evolution of the theory of avatara, the germ of which is, however, to be traced in the later Vedic literature.",NA
Which political event has no bearing on the growth of trade in the pre-gupta period?,NA,B,The occupation of North-Western India by non-Indian people.,Internecine warfare amongst the Indian kingdoms.,The construction of roads and a uniform system of administration by the Mauryas.,The establishment of Indian kingdoms in south-east Asia.,NA,NA,NA,NA,"B is the correct option. Unlike the age old and pre-Gupta gahapatis, Internecine wars amongst the Cholas, Pandyas and the Cheras, on between the 8th and 15th century which had no bearing, as such, before.",NA
Which of the following facts regarding India at the beginning of christian era is of great significance in the context of India&#39;s mercantile activity?,NA,D,"Tigers, snakes, tortoises, a monk and an armless capable of shooting arrows with his legs, are presented to the Roman emperor around 21 B.C.",Discovery of the monsoon winds,A large number of Roman coins have been found at Muziris in Kerala and at Arikamedu.,Pliny complained against the drain of wealth from the Roman empire.,NA,NA,NA,NA,The correct option is D.<br/>The lamentation of the Roman writer Pliny in the 1st century A.D. refers to heavy drain of Gold from Roman into India in payment of her imports from India. He writes that the drain of Gold is in return for unproductive luxuries.,NA
What was the most important factor which gave a fillip to trade and commerce in the pre-Gupta period?,NA,A,The need of the Roman empire.,The coming of banking system led to the emergence of financiers orsreshthins.,Introduction of superior coins.,Establishment of guild system.,NA,NA,NA,NA,"Factors that gave a fillip to trade and commerce in the pre-Gupta period:<br/>1. The need of the Roman empire:<br/>- The Roman empire had a high demand for Indian goods such as textiles, spices, precious stones, and metals.<br/>- This created a significant opportunity for trade and commerce as Indian merchants were able to cater to the needs of the Roman empire.<br/>2. The coming of banking system led to the emergence of financiers or sreshthins:<br/>- The emergence of a banking system facilitated the growth of trade and commerce.<br/>- Financiers, known as sreshthins, played a crucial role in financing trade transactions and providing credit to merchants.<br/>- They also acted as intermediaries between buyers and sellers, further promoting trade.<br/>3. Introduction of superior coins:<br/>- The introduction of superior coins, such as gold coins, by the Gupta rulers boosted trade and commerce.<br/>- These coins were widely accepted and facilitated smooth transactions, leading to increased trade activities.<br/>4. Establishment of guild system:<br/>- The establishment of guilds provided a structured framework for trade and commerce.<br/>- Guilds ensured fair practices, regulated prices, resolved disputes, and provided a platform for merchants to collaborate and protect their interests.<br/>- This system promoted trust and encouraged merchants to engage in trade more actively.<br/><br/>In conclusion, while all the factors mentioned above played a significant role in promoting trade and commerce in the pre-Gupta period, the need of the Roman empire stands out as the most important factor. The demand from the Roman empire created a thriving trade network and opened up opportunities for Indian merchants to expand their businesses.",NA
