question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The British promoted the sale of Indian opium in,NA,C,Europe,America,China,None of these,NA,NA,NA,NA,"In the early 1700&#39;s the Portuguese introduced a new form of smoke-able opium to China. The opium was mixed with tobacco and became a new commodity in China. <br/>Opium trade was originally dominated by the Dutch, but was soon taken over by the British due to British rule in India and the foundation of the East India Company. <br/>The British started to trade opium for silver in southern China, and from there the opium trade exploded. British exportation of opium from India to China facilitated a flow of silver into India. This compensated for the British drain on India and solidified India as a substantial financial base for England. For these reasons, the British heavily pushed opium trade with China.",NA
The Govemment of India tried to increase the number of purchasers of British goods by following a policy of,NA,A,Fresh conquests and direct occupation of protected states,Reducing indigenous manufacture of cotton goods,Admitting Indian goods into Britain at nominal tariff rates,None of these,NA,NA,NA,NA,"The Government of India also tried to increase the number of purchasers of British goods by following a policy of fresh conquests and direct occupation of protected states like Awadh. However, not only were Indian industries not protected by the foreign rulers but foreign goods were given free entry.",NA
Indian exports to foreign countries fell rapidly due to,NA,C,Prohibitive import duties,Development of machine industries,Both (a) and (b),Acute shortage of raw materials in India,NA,NA,NA,NA,"C is the correct option.Indian exports to foreign countries fell rapidly due to Prohibitive import duties and Development of machine industries.<br/>A tariff so high that it makes an import prohibitively expensive. A prohibitive tariff discourages importers from bringing goods into the country in the first place because they will be difficult to sell. For example, a country may levy a 900% tariff on a good that it wishes to keep out.",NA
Which country banned import of Indian opium?,NA,C,China,Britain,Both (a) and (b),None of these,NA,NA,NA,NA,China and Britain banned import of Indian opium.,NA
Why was <q>Economic Drain</q> peculiar to British rule?,NA,B,Britain had the maximum number of colonies in the world,India got no adequate economic return for the wealth and resources it exported to Britain,Most Indian governments spent revenue extracted from the people inside the country,Both (b) and ©,NA,NA,NA,NA,The correct answer is B as Impact of British Rule on India .The British exported to Britain part of India&#39;s wealth and resources for which India got no adequate economic or material return. Previously the rulers had spent the revenue they extracted from the people inside the country.,NA
How was Britain different from earlier powers that had come to India?,NA,C,Many Britishers made India their home,Britain was the only power and the first which gave priority to territorial acquisitions below trade,"The British remained perpetual foreigners and most Englishmen, working and trading in India, had plans to return to Britain",None of these,NA,NA,NA,NA,"C is the correct option. Even the worst of previous Indian governments had spent the revenue . But the British remained perpetual foreigners. Englishmen, working and trading in India, nearly always planned to go back to Britain and the Indian Government was controlled by a foreign company of merchants and the Government of Britain.",NA
The drain of wealth from Bengal began in 1757. From which of the following did the East India Company not extort fortunes?,NA,D,The common people,Indian rulers,Merchants and Zamindars,None of these,NA,NA,NA,NA,"The drain of wealth from Bengal began in 1757 when the Company&#39;s servants began to carry home immense fortunes extorted from Indian rulers, zamindars, merchants, and from other common people. They sent home nearly &#163; 6 million between 1758 and 1765.",NA
The East India Company began to purchase Indian goods out of the revenue of Bengal and to export them to England. These purchases were called,NA,A,lnvestments,Dividends,Stocks,None of these,NA,NA,NA,NA,"In 1765, the company acquired the Diwani of Bengal & began purchase of the Indian goods out of the revenue of Bengal and exported them. These purchases were known as Company&#39;s investment.",NA
"Who admitted in 1840 that India was <q>required to transmit annually to this country (Britain), without any return except in the small value of military stores, a sum amounting to between two and three million sterling</q>?",NA,A,Lord Ellenborough,Lord William Bentinck,Lord Auckland,Lord Hardinge,NA,NA,NA,NA,"In 1840, Lord Ellenborough admitted that India was <q>required to transmit annually to this country (Britain), without any return except in the small value of military stores, a sum amounting to between two and three million sterling</q>.",NA
"For which of the following, the decline of traditional exports of cotton and silk manufacturers in the face of Manchester competition, did not raise acute remittance problems?",NA,D,East India Company,Servants of the Company,Private traders,None of these,NA,NA,NA,NA,"D is the correct option.None of the given lead to the decline of traditional exports of cotton and silk manufacturers in the face of Manchester competition, did not raise acute remittance problems. The First World War may have spelt the beginning of the end for the textile industry, but the Second World War brought about a short reprieve.",NA
Indian opium was exported to China for purchasing,NA,C,Newsprint,Tobacco,Tea,Cotton,NA,NA,NA,NA,Indian opium was exported to China for purchasing tea.,NA
Which factor had become absolutely vital for the whole complex mechanism of the United Kingdom&#39;s balance of payments by the end of the 19th century?,NA,B,Raw materials the U.K. got from India,India&#39;s export surplus,The economic exploitation of India,None of these,NA,NA,NA,NA,"Key Factors for the United Kingdom&#39;s Balance of Payments by the End of the 19th Century:<br/>There were several factors that played a significant role in the United Kingdom&#39;s balance of payments by the end of the 19th century. Among these factors, one factor became absolutely vital for the whole complex mechanism. This factor is: India&#39;s Export Surplus (Option B)<br/><br/>Explanation:<br/><b>1. Raw materials the U.K. got from India:</b><br/>- The United Kingdom heavily relied on India for the supply of raw materials, including cotton, jute, tea, and indigo.<br/>- These raw materials were crucial for the British textile industry and other manufacturing sectors.<br/><b>2. India&#39;s export surplus:</b><br/>- India had a significant export surplus, meaning that it exported more goods than it imported from the United Kingdom.<br/>- This export surplus contributed to a positive balance of payments for the United Kingdom.<br/>- The surplus allowed the United Kingdom to earn foreign exchange and maintain a favorable trade balance.<br/><b>3. The economic exploitation of India:</b><br/>- During the 19th century, the British East India Company and later the British Raj exercised significant control over India&#39;s economy.<br/>- The economic exploitation of India allowed the United Kingdom to extract wealth from the country and benefit its own economy.<br/>- The exploitation involved practices such as levying heavy taxes, monopolizing trade, and controlling Indian industries.<br/><b>4. None of these:</b><br/>- This option is incorrect as both raw materials from India and India&#39;s export surplus played crucial roles in the United Kingdom&#39;s balance of payments.<br/><br/>Therefore, the correct answer is Option B: India&#39;s export surplus.",NA
"While explaining the mechanism of drain, who remarked <q>The Secretary of State drawn bills on the Government treasury in India, and it is mainly through these bills, which are paid in India out of the public revenues, that the merchant obtains the money that he requires in India, and the Secretary of States the money that he requires in England</q>?",NA,C,Dadabhai Naoroji,James Welby,John Starchy,None of these,NA,NA,NA,NA,"The correct answer is C.<br/>While explaining the mechanism of drain, JOHN STARCHY remarked <q>The Secretary of State drawn bills on the Government treasury in India, and it is mainly through these bills, which are paid in India out of the public revenues, that the merchant obtains the money that he requires in India, and the Secretary of States the money that he requires in England</q>.",NA
Which of the following argued before the Welby Commission in 1895 that the amount being drained away represented a potential surplus which might have raised Indian income considerably if invested properly inside India?,NA,A,Dadabhai Naoroji,R. P. Dutt,Raja Ram Mohan Roy,None of these,NA,NA,NA,NA,"The drain theory had sever critics from the beginning. The drain, it has been argued, was greatly exaggerated by nationalists, since foreign trade and export surplus could amount to only a small part of India&#39;s national income. But surely Naoroji had a point here when he argued (before the Welby Commission in 1895) that the amount being drained away represented a potential surplus which might have raised Indian income considerably if invested properly inside India.",NA
Who opined that <q>England receives nothing from India except in return for English services rendered or English capital expended</q>?,NA,B,John Sullivan,John Starchy,Arthur Wellesley,Lord Cornwallis,NA,NA,NA,NA,Sir John Strachey GCSI CIE (5 June 1823 - 19 December 1907) was an English Civil Servant in British India.,NA
Work on the Grand Trunk Road from Calcutta to Delhi was completed in the 1850&#39;s. When was it begun?,NA,C,1802,1813,1839,1842,NA,NA,NA,NA,"Work on the Grand Trunk Road from Calcutta to Delhi began in 1839 and completed in the 1850&#39;s. Efforts were also made to link by road the major cities, ports, and markets of the country.",NA
The earliest suggestion to build a railway in India was made in Madras in,NA,C,1793,1816,1832,1843,NA,NA,NA,NA,"India&#39;s first railway proposals were made in Madras in 1832. The Red Hill Railway, the country&#39;s first train, ran from Red Hills to Chintadripet bridge in Madras in 1837. It was hauled by a rotary steam-engine locomotive manufactured by William Avery.",NA
The first railway line in India was opened to traffic in 1853. It ran between,NA,B,Poona and Baroda,Bombay and Thana,Calcutta and Patna,None of these,NA,NA,NA,NA,"<b>The first railway line in India was opened to traffic in 1853.</b> <br/>It played a significant role in the development of transportation and communication in the country. The railway line connected two major cities, and here are the details:<br/><b>Bombay and Thana</b>: The first railway line in India ran between Bombay (now Mumbai) and Thana, both located in the state of Maharashtra. This line was approximately 34 kilometers long and was inaugurated on April 16, 1853.<br/><br/><b>Importance of the First Railway Line</b><br/>The opening of this railway line marked a significant milestone in India&#39;s transportation history. It brought about several important changes and benefits:<br/><u>1. Improved connectivity:</u> The railway line facilitated faster and more efficient transportation between Bombay and Thana, reducing travel time significantly compared to traditional means of transport such as horse carriages.<br/><u>2. Boost to trade and economy:</u> The railway line played a crucial role in promoting trade and commerce between Bombay and Thana, as it provided a reliable and cost-effective mode of transportation for goods and commodities. <br/><u>3. Social impact:</u> The railway line brought people closer and allowed for easier movement between the two cities. It fostered cultural exchange, enhanced social interaction, and contributed to the overall development of the region.<br/><u>4. Catalyst for further railway development:</u> The success of the first railway line in India paved the way for the expansion of the railway network across the country. It encouraged the construction of more railway lines, connecting various regions and cities, and eventually leading to the extensive railway network that exists in India today.<br/>In conclusion, the first railway line in India was opened to traffic in 1853, connecting Bombay and Thana. This marked a significant milestone in India&#39;s transportation history and played a crucial role in the development of the country&#39;s railway network.",NA
Which of the following was an ardent advocate of rapid railway construction in India?,NA,B,Lord Canning,Lord Dalhousie,Lord Hardinge,None of these,NA,NA,NA,NA,"Lord Dalhousie, who became Governor-General of India in 1849, was an ardent advocate of rapid railway construction.",NA
"In India, railways were built through private enterprise as well as state agency after",NA,B,1860,1880,1900,1915,NA,NA,NA,NA,"After 1880, railways were built through private enterprise as well as through state agency. By 1905 nearly 45,000 kms of railways had been built.",NA
