question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following is not a land-use category?,NA,D,Forestland,Pasture land,Marginal land,Barren and wasteland,NA,NA,NA,NA,"All the options listed are related to how land can be used; however, these categories can vary depending on their definition in different contexts.<br/>Option 1: <q>Forestland</q> refers to land that is predominantly covered by trees. It is widely recognized as a specific land-use category because it supports a unique ecosystem and contributes to the carbon cycle.<br/>Option 2: <q>Pasture land</q> is another recognized land-use category. This type of land is used to graze livestock and supports the production of meat, dairy, and wool.<br/>Option 3: <q>Marginal land</q> pertains to land that has little or no potential for profit in its current state. This land may be too rocky, too dry, or generally unsuitable for traditional crops or farming.<br/>Option 4: <q>Barren and wasteland</q> is not necessarily a land-use category. Rather, this refers to a description of land condition. Generally, barren lands or wastelands refer to spaces that cannot support any noticeable plant or animal life because of harsh conditions or degradation. These areas, however, may still fall under other land-use categories, depending on how they are utilized or managed. For instance, a barren land may still be used for mining purposes.",NA
What is the ground on which the Supreme Court can refuse relief under Article 32?,NA,C,The aggrieved person can get remedy from another court,That disputed facts have to be investigated,That no fundamental right has been infringed,That the petitioner has not asked for the proper writ applicable to his/her case,NA,NA,NA,NA,"<b>Article 32 of the Indian Constitution provides the right to constitutional remedies. It means that if an individual feels that his/her fundamental rights are being violated, then he/she can approach the Supreme Court directly. Now, let&#39;s dissect the options:<br/><br/></b>Option 1: Even though the aggrieved person can get a remedy from another court, this doesn&#39;t prevent them from seeking relief under Article 32 from the Supreme Court.<br/>Option 2: Disputed facts needing investigation does not preclude the Supreme Court from granting relief under Article 32.<br/>Option 3: This is the correct answer. If no fundamental right has been violated, that is the ground on which the Supreme Court can refuse relief under Article 32 because this article is particularly for the enforcement of fundamental rights.<br/>Option 4: The type of writ being asked for is not a barrier to seeking relief under Article 32, as the Supreme Court has the power to issue any writs that are applicable for enforcement of the fundamental rights. Hence, this cannot be a reason to refuse relief.<br/><b>In conclusion, only the non-infringement of a fundamental right can be a genuine reason for the Supreme Court to refuse relief.</b>",NA
The State of Hyderabad in the Deccan officially acceded to the Indian Union in the year,NA,A,1948,1950,1949,1947,NA,NA,NA,NA,"<b>The State of Hyderabad, located in the Deccan region of India, officially became a part of the Indian Union in the year 1948. </b> <br/><br/>Let&#39;s understand each option:<br/>Option 1: 1948. This is the correct answer. Known as the Operation Polo or the Police Action, it led to the annexation of Hyderabad into India in September 1948.<br/>Option 2: 1950. This is incorrect. The Indian constitution did come into effect in this year, but Hyderabad had already acceded to India two years prior, in 1948.<br/>Option 3: 1949. This is also incorrect. Some princely states did accede to the Indian Union in this year, but Hyderabad was not one of them.<br/>Option 4: 1947. This is the year India gained independence from British rule. However, Hyderabad did not immediately accede to India in this year but remained an independent state until 1948.",NA
"In September 2019, which one of the following travel giants declared itself bankrupt?",NA,D,Expedia,Cox & Kings,SOTC,Thomas Cook,NA,NA,NA,NA,"<b>Explanation:<br/>The question is about identifying which travel company declared bankruptcy in September 2019.</b><br/>Option 1, Expedia, is incorrect because Expedia is still operating successfully as of today.<br/>Option 2, Cox & Kings, though had issues with its financial stability, did not go bankrupt in September 2019.<br/>Option 3, SOTC, is also functioning successfully and did not declare bankruptcy in September 2019.<br/>Option 4, Thomas Cook, is the correct answer. Thomas Cook, the British global travel group, announced compulsory liquidation in September 2019, effectively declaring itself bankrupt due to its enormous debts, disappointing bookings, and high costs. Following this bankruptcy, tens of thousands of tourists were stranded worldwide.<br/><b>So, the correct answer is Thomas Cook.</b>",NA
Which one of the following is the correct sequence of organs that occur in the path of urine flow in the human body?,NA,A,"Kidney, ureter, urinary bladder, urethra","Kidney, urinary bladder, ureter, urethra","Kidney, ureter, urethra, urinary bladder","Urinary bladder, kidney, urethra, ureter",NA,NA,NA,NA,"<b>Explanation:<br/>The correct sequence of organs involved in the path of urine flow is Kidney -> Ureter -> Urinary Bladder -> Urethra and hence, Option 1 is correct.</b><br/><br/>Option 2 suggests that urine goes from the Kidney to the Urinary Bladder, then to the Ureter, which is incorrect as urine travels from the Kidney to the Ureter first.<br/>Option 3 posits the flow as Kidney -> Ureter -> Urethra -> Urinary Bladder, which is incorrect as well. The urinary bladder is where urine is stored before it is expelled, not after it travels through the urethra.<br/>Option 4 starts with the Urinary bladder, which is incorrect as urine is first produced in the Kidneys, not stored in the bladder.<b>This explanation should help make the path of urine flow clear for students.</b>",NA
Which one of the following is not a property of the X-rays?,NA,A,They are deflected by electric fields.,They are not deflected by magnetic fields.,They have high penetration length in matter.,"<b>The correct sequence of the formation of the Commissions starting from the earliest is as per option 2. For better understanding, here is a little more information on each.</b><br/><br/>1. Election Commission: This was the first Commission set up, established in 1950. The main task of this Commission is to oversee elections in India.<br/>2. Planning Commission: Established in 1950, shortly after the Election Commission. This Commission aimed to effectively use India&#39;s resources and guide economic policy. However, it was replaced by the NITI Aayog in 2015.<br/>3. Finance Commission: This was set up post the Planning Commission in 1951 under constitutional obligation. Its main function is advising the president on distribution of resources among the centre and states.<br/>4. Investment Commission: This was formed much later in 2004 to attract more domestic and overseas investors to India.<br/><b>Therefore, the correct chronological order of commission set up is Election Commission, Planning Commission, Finance Commission, and then Investment Commission.</b>",NA,NA,NA,NA,"<b>Explanation:Option 1 states that X-rays are deflected by electric fields.</b><br/> However, this is incorrect as X-rays, being electromagnetic waves, are not deflected by electric fields. They are composed of photons which are not charged particles hence they do not react to electric or magnetic fields.<br/>Option 2 is correct, X-rays are not deflected by magnetic fields for the same reason mentioned above.<br/>Option 3 is also true. X-rays have higher penetrating power in matter due to their high energy and small wavelength.<br/>Option 4 is right as well. The wavelength of X-rays is much smaller than that of visible light, which is why X-rays have more energy and penetration capacity than visible light.<br/><br/><b>So, the provided answer that X-rays are deflected by electric fields (option 1) is a property that X-rays do not have, making it the correct choice.</b>",NA
The Global Goalkeeper Award is given by,NA,A,The Bill and Melinda Gates Foundation,The United Nations Environment Programme,The Kellogg School of Management,The World Meteorological Organization,NA,NA,NA,NA,"<b>The Global Goalkeeper Award is indeed given by the Bill and Melinda Gates Foundation as recognized in option 1. The purpose of this award is to honor a political leader who has demonstrated their commitment to The Global Goals through impactful work in their country. This means that the awardee has shown significant contributions towards achieving the global goals of sustainable development such as ending poverty, improving health and education, reducing inequality, and spurring economic growth.</b><br/><br/>Option 2, the United Nations Environment Programme, has a different focus, mainly dealing with environmental issues and not specifically awarding the Global Goalkeeper Award.<br/>Option 3, the Kellogg School of Management, is an educational institution and it does not distribute this award.<br/>Finally, Option 4, the World Meteorological Organization is primarily concerned with weather, climate and water issues and hence does not give out the Global Goalkeeper Award either.<br/><b>Thus, the correct answer is indeed option 1, the Bill and Melinda Gates Foundation.</b>",NA
The 11th Schedule of the Constitution of India distributes powers between,NA,B,The Union and the State Legislatures,The State Legislatures and the Panchayat,The Municipal Corporation and the Panchayat,The Gram Sabha and the Panchayat,NA,NA,NA,NA,"<b>The 11th Schedule of the Indian Constitution pertains to the Panchayati Raj system, a system of local self-government for rural areas in India.</b><br/><br/>Option 1 is incorrect because the 11th Schedule doesn`t define powers between the Union and the State Legislatures. This is associated with the 7th Schedule.<br/>Option 2 is correct. The 11th Schedule provides for the devolution of powers and responsibilities to the panchayats to prepare plans for economic development and social justice concerning 29 matters listed in the schedule, hence it is all about the State Legislatures and the Panchayat.<br/>Option 3 is incorrect because these powers are not distributed between the Municipal Corporation and the Panchayat. The management of urban areas is generally the purview of municipal corporations, covered under the 12th Schedule.<br/>Option 4 is also incorrect as the 11th Schedule does not distribute powers between the Gram Sabha and the Panchayat. The Gram Sabha is a key part of the Panchayat Raj system and is not considered separately in terms of power distribution.",NA
Which one of the following is the correct sequence of events during sexual reproduction in plants?,NA,C,"Seeding, formation of embryo, pollination, fertilization, division of the zygote","Formation of embryo, seedling, pollination, fertilization, division of the zygote","Pollination, fertilization, division of the zygote, the formation of embryo, seedling","Seedling, the formation of the embryo, division of zygote, pollination, fertilization",NA,NA,NA,NA,"<b>In sexual reproduction in plants, the first step is pollination, which is the transfer of pollen from a male anther to a female stigma. Option 1, 2 and 4 do not start with this process, so they are incorrect.</b><br/><br/>The second step is fertilization, which occurs when the sperm nucleus in the pollen tube fuses with the egg nucleus in the ovule. Only options 3 properly follow this order.<br/>After fertilization, the zygote a single cell resulting from the fusion of the sperm and egg nucleus begins to divide and grow into a new individual, which is the third step.<br/>The zygote develops into the embryo, which represents the fourth step. Finally, as the embryo matures and the surrounding ovule develops into a seed, a new plant or seedling emerges after germination.<br/><b>Therefore option 3, <q>Pollination, fertilization, division of the zygote, the formation of embryo, seedling</q> is the correct sequence of events for sexual reproduction in plants.</b>",NA
Which of the following are warm ocean currents?,NA,B,Kuroshio and California Current,North Atlantic Drift and Brazil Current,Canaries and Benguela Current,West Wind Drift and Falkland Current,NA,NA,NA,NA,"<b>The North Atlantic Drift and the Brazil Current are both warm ocean currents and hence, option 2 is the correct answer. To elaborate further:</b><br/><br/>1. Kuroshio is a warm current along Japan`s east coast, but California current is a cold current flowing southwards along the western coast of North America.<br/>2. North Atlantic Drift, also known as the Gulf Stream, is a warm current in the Atlantic ocean flowing from the Gulf of Mexico towards Europe. Brazil Current, found in the South Atlantic Ocean, is a warm current flowing southwards along the eastern coast of South America.<br/>3. Canaries and Benguela Current are both cold currents. Canary Current, a cold current on the African west coast, flows south, and Benguela, a cold current on the African south-west coast, flows north.<br/>4. West Wind Drift, also known as the Antarctic Circumpolar Current, is a cold current flowing eastwards around the Antarctic, and Falkland current, another cold current, flows northward along the Atlantic coast of Patagonia.<br/><b>In conclusion, the only option featuring two warm currents is option- 2.</b>",NA
