question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
How many times have been the Preamble amended till date?,NA,Once,Once,Twice,Thrice,Never,NA,NA,NA,NA,"The Preamble has only been amended once through the 42nd Constitutional Amendment Act, 1976",NA
When was the Constitution of India adopted and enacted?,NA,"November 26, 1949","November 26, 1950","January 26, 1950","November 26, 1949","January 22, 1950",NA,NA,NA,NA,The Preamble clearly mentions the date of adoption and enactment of the Constitution of India as 26 November 1949,NA
Which of the following words have not been used in the Preamble?,NA,Federal,Sovereign,Federal,Democratic,Secular,NA,NA,NA,NA,The word federal is not used in the text of the Preamble.,NA
Which are the three forms of justice mentioned in the Preamble?,NA,"Social, Economic, Political","Social, Religious, Political","Economic, Political, Environmental","Political, Historical, Economic","Social, Economic, Political",NA,NA,NA,NA,"The Preamble assures the citizens Justice-social, economic and political.",NA
"Consider the following statements:
I. The Preamble provides the citizens the liberty of thought, expression, belief, faith and worship.
II. The citizens are entitled to unhindered liberty.
Choose the right answer:",NA,Only I,Only I,Only II,Both,None,NA,NA,NA,NA,"Statement 1 is correct: The Preamble of the Constitution of India provides for the liberty of thought, expression, belief, faith and worship.

Statement 2 is incorrect: Citizens are not entitled to unhindered or absolute liberty, but they do have the right to enjoy their liberties within the framework of the Constitution.",NA
The content of the preamble is heavily inspired from the Objective Resolution introduced in the Constituent Assembly by:,NA,Jawaharlal Nehru,Vallabhbhai Patel,B. R Ambedkar,Jawaharlal Nehru,K.M Munshi,NA,NA,NA,NA,The Objective Resolution was introduced before the Constituent Assembly by Jawaharlal Nehru on 13 December 1946.,NA
Which of the following Constitution Amendment  Act was passed to amend the Preamble?,NA,42nd,44th,45th,46th,42nd,NA,NA,NA,NA,The Preamble was only amended once and it was using the 42nd Constitution Amendment Act of 1976.,NA
Which of the pairs is correctly matched _________.,NA,Secular - State is without any religion of its own.,Republic - Head of the State is hereditary Monarch,Secular - State is without any religion of its own.,Democratic - Constitution does not recognise legal supremacy of another country,Sovereign - Constitution rests on People's will,NA,NA,NA,NA,"Secularism means a state free of any religion or there is no state religion. India practices the feature of secularism as mentioned in our preamble. 

Constitutional provision to freely practice and profess our religion is given under article 25, right to freedom of religion.",NA
Which among the following is not a word inserted into the Preamble under the 42nd Constitutional Amendment Act?,NA,Sovereign,Secular,Socialist,Sovereign,Integrity,NA,NA,NA,NA,"The 42nd Constitutional Amendment Act of 1976 added: ""Socialist"", ""Integrity"" and ""Secular"" to the Preamble.",NA
Which of the following principles found in the Preamble discourages communalism?,NA,Fraternity,Equality,Fraternity,Liberty,Democratic,NA,NA,NA,NA,"Fraternity, as per the Preamble, seeks to promote dignity of individual and national integration. Communalism seeks to divide the nation on religious lines and hence is discouraged for unity and integrity of the nation. Fraternity clearly captures this idea.",NA
