question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Sayyid Ahmad Khan had a notable contribution in spreading education among Muslims in India. He would disagree with which of the following in the initiative towards social reforms?,NA,C,Belief in Western education,Education of Women,Interpretation of the Quran in the light of traditional Sharia customs rather than rationalism and Science,He would agree with all of the above.,NA,NA,NA,NA,"Solution:<br/>- He was a reformer of the 19th century. He led liberal, social and cultural movements within the Muslim society.<br/>- Option A: While pursuing studies of different subjects, including European jurisprudence.<br/>- Option B: Syed began to realise the advantages of Western-style education, which was being offered at newly established colleges across India.<br/>- Despite being a devout Muslim, Syed criticised the influence of traditional dogma and religious orthodoxy, which had made most Indian Muslims suspicious of British influences.<br/><br/>Option C: Syed studied the Quran and sciences within the court later studied law from the University of Edinburgh. Being a modernist, he supported the rational studies of religious scriptures.",NA
"The objective(s) of the Deoband movement was/were to<br/>1. Propagate, among the Muslims, Western and rational thought.<br/>2. Promote women-centred social reforms.<br/>Which of the above is/are correct?",NA,D,1 only,2 only,1 and 2,None of the above,NA,NA,NA,NA,"Solution<br/>The orthodox section among the Muslim ulema organised the Deoband Movement. It was a revivalist movement whose twin objectives were to: <br/>(i) propagate among the Muslims the pure teachings of the Koran, and the Hadis and <br/>(ii) keep alive the spirit of jihad against the foreign rulers. The new Deoband leader Mahmud-ul-Hasan (1851-1920) sought to impart a political and intellectual content to the religious ideas of the school. The liberal interpretation of Islam created political awakening among its followers.",NA
Who is called the Lokhitwadi?,NA,B,Dayanand Saraswati,Gopal Hari Deshmukh,Mahadev Govind Ranade,Mul Sankara,NA,NA,NA,NA,"Answer: B <br/>Explanation: Gopal Hari Deshmukh (18 February 1823 - 09 October 1892) was an Indian activist, thinker, social reformer and writer from Maharashtra.",NA
The Faraizi movement was founded in 1818 to <br/>1. Observe all cultural rites and ceremonies religiously as divine symbols. <br/>2. Protect the right of tenants. <br/>3. Adopt rational and modern western practices to improve living standards. <br/>Select the correct answer using the codes below:,NA,C,1 only,Both 1 and 2,2 only,None of the above,NA,NA,NA,NA,"It was launched by Haji Shariatullah to give up un-Islamic practices and act upon their duties as Muslims. The movement protected the rights of tenants to a great extent. The Faraizis adhered to the Hanafi school with certain differences in practices.<br/><br/>-To be penitent for past sins as a measure for the purification of the soul.<br/>- To observe the obligatory duties of Faraizi strictly.<br/>- Strict adherence to Tawhid. <br/>- India being Dar al-Harb, Friday and Eid&#39;s prayers were not obligatory.<br/>- Denouncing all cultural rites and ceremonies which had no reference to the Quran and Sunnah as sinful innovations.",NA
"Concerning the Akali movement, consider the following statements:<br/>1. The movement&#39;s main objective was to reform the Sikh religion and clean it from the influence of Hinduism.<br/>2. The Shiromani Akali Dal was the central body that organised the movement and accepted non-violence as the movement&#39;s soul.<br/>Which of the above statement(s) is/are correct?",NA,B,1 only,2 only,Both 1 and 2,All the above,NA,NA,NA,NA,"Solution:<br/>-The Akali movement developed on a purely religious issue but ended up as a powerful episode of India&#39;s freedom struggle. From 1920-1925, more than 30,000 men and women underwent imprisonment, nearly 400 died, and over 2,000 were wounded.<br/>- The movement arose intending to free the Gurdwaras (Sikh temples) from the control of ignorant and corrupt mahants (priests).<br/>- To control and manage the Golden Temple, the Akal Takht and other Gurdwaras, a representative assembly of nearly 10,000 reformers met in November 1920 and elected a committee of 175 to be known as the Shiromani Gurdwara Parbandhak Committee (SGPC).",NA
Which of these personalities were associated with Brahmo Samaj?<br/>1. Debendranath Tagore <br/>2. Keshub Chandra Sen <br/>3. Pronob Bhattacharjee <br/>Select the correct answer using the codes below.,NA,A,1 and 2 only,2 only,2 and 3 only,1 and 3 only,NA,NA,NA,NA,"As per some commentators, <q>Their view, at least in the early years, was that God creates the world, and all things within it are pathways to the knowledge of Brahman, the Ultimate Self, and the ultimate goal.<br/>Similarly, they saw that material wealth, if made and possessed with the correct intention-that of helping society and others- was in fact not only ethically sound but an utter necessity for harmonious society</q>.<br/>In 1859, the Sabha was dissolved back into the Brahmo Samaj by Debendranath Tagore.",NA
Consider the following about Tattwabodhini Sabha:<br/>1. It was a splinter group of the Brahmo Samaj. <br/>2. Debendranath Tagore founded it. <br/>3. Its main objective was to promote a rational and humanist form of Hinduism based on the Vedanta.<br/>Select the correct answer using the given codes.,NA,D,1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",NA,NA,NA,NA,"The Tattwabodhini Sabha was a group founded in Calcutta on 6 October 1839 as a splinter group of the Brahmo Samaj, reformers of Hinduism and Indian Society. The founding member was Debendranath Tagore, previously of the Brahmo Samaj, eldest son of influential entrepreneur Dwarkanath Tagore, and eventually father to renowned polymath Rabindranath Tagore. In 1859, the Tattwabodhini Sabha were dissolved back into the Brahmo Samaj by Debendranath Tagore.",NA
"Regarding Sister Nivedita, consider the following statements:<br/>1. She became the first Western woman to be received into an Indian monastic order.<br/>2. She served as the president of the Ramakrishna Mission.<br/>3. She termed the teachings of Buddhists as anti-Vedic and regressive.<br/>Select the correct answer using the codes below.",NA,A,1 only,2 and 3 only,1 and 3 only,1 and 2 only,NA,NA,NA,NA,"Sister Nivedita, also known as Margaret Noble, was a disciple of Swami Vivekananda and played an important role in the spread of his teachings. She became the first Western woman to be received into an Indian monastic order when she was initiated into the vow of brahmacharya by Swami Vivekananda in 1898.<br/><br/>However, she did not serve as the president of the Ramakrishna Mission. After Swami Vivekananda&#39;s passing, she continued to work for the propagation of his teachings and established the Ramakrishna Sarada Mission, a women&#39;s organization based on the ideals of Sri Ramakrishna and Swami Vivekananda.<br/><br/>Regarding the teachings of Buddhists, Sister Nivedita did not term them as anti-Vedic and regressive. In fact, she was deeply influenced by the teachings of Buddhism and saw them as complementary to the Vedantic philosophy. She believed that the ultimate goal of both traditions was the same - the realization of the ultimate reality or Brahman.",NA
Which of the following is/are correct concerning the views of Swami Vivekananda?<br/>1. He championed the supremacy of Vedantic philosophy. <br/>2. He was against the idea and concept of Indian nationalism. <br/>3. He resisted the idea of idol worship and identifying religious figures.<br/><br/>Select the correct answer using the codes below:,NA,A,1 only,2 and 3 only,1 and 3 only,1 and 2 only,NA,NA,NA,NA,"Swami Vivekananda championed the supremacy of Vedantic philosophy and its compatibility with modern science and technology. He also emphasized the unity of all religions and the importance of practical application of spiritual teachings in daily life.<br/><br/>However, he was not against the idea of Indian nationalism. In fact, he believed in the importance of national pride and the revival of Indian culture and spirituality.<br/><br/>Regarding idol worship and religious figures, Swami Vivekananda respected and recognized the value of such practices and figures in their proper context. He believed that they could serve as powerful symbols and aids to spiritual realization, but should not be mistaken for the ultimate reality.",NA
The Young Bengal Movement by Louis Vivian Derozio<br/>1. Worked towards the religious and spiritual liberation of the youth. <br/>2. Pushed its followers to question all authority. <br/>3. Demanded education for women.<br/>Select the correct answer using the codes below:,NA,B,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",NA,NA,NA,NA,"Explanation:<br/>- Henry Vivian Derozio was the founder of the Young Bengal Movement. He taught in the Hindu College, Calcutta. His followers were known as the Derozians and their movement the Young Bengal Movement.<br/>- They attacked old traditions and decadent customs. They also advocated women&#39;s rights and education. They founded associations and organised debates against idol worship, casteism and superstitions.",NA
