question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements about Jainism. <br/>1. Vardhamana, who came to be known as Mahavira, founded Jainism in the sixth century BC. <br/>2. According to Jain teachings, the cycle of birth and rebirth is shaped through karma. <br/>3. Jain scholars produced a wealth of literature in a variety of languages including Tamil.<br/><br/>Which of the above is/are correct?",NA,C,1 and 2 only,1 and 3 only,2 and 3 only ,All of the above,NA,NA,NA,NA,"The basic philosophy of Jains was already in existence in North India before the birth of Vardhamana, who came to be known as Mahavira, in the sixth century BC. <br/>Jain scholars produced a wealth of literature in a variety of languages - Prakrit, Sanskrit and Tamil. <br/>According to Jain teachings, the cycle of birth and rebirth is shaped through karma. Asceticism and penance are required to free oneself from the cycle of karma.",NA
This council held near Srinagar prepared an authoritative commentary on the Buddhist Tripitakas and gave the Mahayana doctrine a final shape. The council was convened by,NA,A,Kanishka,Samprati,Bindusara Amitraghata,Devvarman,NA,NA,NA,NA,"He convened this fourth Buddhist council that discussed issues relating to Buddhist doctrine and theology.<br/>Under the presidentship of Vasumitra, the fourth Buddhist council was held at the Kundalavana monastery near Srinagar in Kashmir. About 500 monks attended the council.<br/>Asvagosha was a great poet, philosopher and dramatist, and was particularly close to Kanishka. He became his religious advisor in his later years and composed Buddhacharita.<br/>Nagarjuna from South India was also in the court of Kanishka. He also patronized the famous physician of ancient India Charaka.",NA
"What was important about Shravasti in Buddhist history?<br/>1. It was ruled by Pasenadi, who was a disciple of Buddha.<br/>2. The famous Jetavana Vihara is situated here.<br/>3. It hosted the first sermon of Buddha.<br/><br/>Select the correct answer using the codes below.",NA,B,1 only,1 and 2 only,2 and 3 only,"1,2 and 3",NA,NA,NA,NA,"About 2500 years ago, it was one of India&#39;s six largest cities and served as the Kosala Kingdom&#39;s capital, and its king was called Pasenadi, who was a disciple of Buddha.<br/>Buddha spent the greater part of his monastic life in Shravasti.<br/>It was also a prominent trading centre at that time, and centre of religious activity by Buddha.<br/>According to Buddhism&#39;s history, Buddha first came to Shravasti at the urging of Sudatta, a rich merchant who met Buddha in Rajgir.<br/>Sudatta invited Buddha to Shravasti and began to look for a suitable place to build a vihara.",NA
"In the context of Buddhism, the term Bodhisattva can be used to refer to <br/>1. Gautama Buddha in his former lives <br/>2. Compassionate beings who accumulated merit through their efforts not to attain Nibbana but to help others <br/>3. Jataka storytellers who were appointed by the Sangha <br/>4. Bodhi masters who renounce their physical bodies for the benefit of sentient beings <br/><br/>Select the correct answer, using the codes below.",NA,A,1 and 2 only,"2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",NA,NA,NA,NA,"Bodhisattva is the Sanskrit term for anyone who is motivated by great compassion, has generated Bodhicitta, which is a spontaneous wish, and a compassionate mind to attain Buddhahood for the benefit of all sentient beings.<br/>In early Indian Buddhism, Bodhisattva was primarily used to refer specifically to Gautama Buddha in his former life.<br/>The Jataka tales, which are the stories of Buddha&#39;s past lives, depict the various attempts of the Bodhisattva to embrace qualities like self-sacrifice and morality.<br/>According to the Jataka tales, the term <q>bodhisattva</q> originally referred to the pre enlightened practitioner of austerities.<br/>The worship of images of Buddha and Bodhisattvas became an important part of Mahayana tradition.",NA
"Consider the following regarding Faxian&#39;s account of India. <br/>1. During his visit, stupa veneration was not practised in India. <br/>2. He frequently mentions the name of Chandragupta-II in his works. <br/>3. As per him, Buddhism was established mainly in the Gangetic valley. <br/>4. He was looking for better copies of Buddhist books than were available in China at that time. <br/><br/>Select the correct answer using the codes below.",NA,B,2 and 3 only,4 only,3 only,"1, 2, 3 and 4",NA,NA,NA,NA,"Between 399 and 414 CE, the Chinese monk Faxian undertook a trip via Central Asia to India seeking better copies of Buddhist books than were currently available in China.<br/>Although Faxian&#39;s account is valuable in many respects, as far as the Gupta Empire is concerned, he did not mention Chandragupta-II&#39;s name. Faxian was not interested in political affairs, and his interest was primarily on religion.<br/>According to him, Buddhism was in a flourishing condition in northwestern India. In the Gangetic valley, it was in a state of neglect. He refers to the Gangetic valley as the <q>land of Brahmanism</q>. <br/>He indicates clearly the importance of the seven precious substances for Buddhist worship, the widespread practice of stupa veneration, and his acquaintance with several of the Jataka tales about the previous lives of Buddha Sakyamuni.",NA
Many Chinese Buddhist pilgrims visited the Indian subcontinent to visit places associated with Buddha&#39;s life. Who among the following is NOT one of them?,NA,D,Faxian,Xuanzang,I-Qing,Alan Chen,NA,NA,NA,NA,"Three such Chinese Buddhist pilgrims are best-known. <br/>Faxian, who came to the subcontinent about 1600 years ago, Xuanzang (who came around 1400 years ago) and I-Qing, who came about 50 years after Xuanzang, are the famous ones. <br/>They have documented previous socioeconomic, political and religious details of Indian life then.",NA
"Consider the following statements. <br/>1. Kanishka sent missionaries to Central Asia and China for the propagation of Mahayana Buddhism. <br/>2. Kanishka patronized Buddhist scholars like Vasumitra and patronized the famous physician of ancient India, Charaka. <br/><br/>Which of the above is/are correct?",NA,C,1 only,2 only,Both 1 and 2,None,NA,NA,NA,NA,"This is because Mahayana Buddhism came in vogue during Kanishka&#39;s rule. It was established in the Fourth Buddhist council convened by him where matters relating to Buddhist theology and doctrine were discussed. <br/>In Mahayana Buddhism, Buddha was worshipped with flowers, perfumes, garments and lamps. <br/>Asvagosha and Nagarjuna were other important scholars patronized by him.",NA
He was a staunch follower of Brahmanism. Buddhist sources often refer to him as a persecutor of Buddhism. He is?,NA,A,Pushyamitra,Menander,Somapura,Dharmaraksita,NA,NA,NA,NA,"He belonged to the Sunga dynasty. The Sungas defended the Gangetic valley from foreign invasions. <br/>In the cultural sphere, the Sungas revived Brahmanism and horse sacrifice. They also encouraged the growth of Vaishnavism and the Sanskrit language. <br/>Therefore we can say that <q>The Sunga rule was a brilliant anticipation of the golden age of the Guptas</q>.",NA
Who among the following is a pivotal figure in establishing Tibetan Buddhism and is often called the second Buddha?,NA,A,Padmasambhava,Lawapa,Shantarakshita,Nagarjuna,NA,NA,NA,NA,"The practice of tantric Buddhism was introduced to the people of Tibet by Padmasambhava, a founder of the Nyingma tradition, one of the oldest schools of the four major Tibetan Buddhism schools. <br/><br/>The tradition covers several distinct lineages that trace all their origins to Padmasambhava. He is regarded as the founder of Samye Gompa, the country&#39;s first monastery. <br/>Nyingma tradition was practised among a loose network of lay practitioners orally. Monasteries with celibate monks and nuns and the practice of the reincarnated spiritual leaders are later adoptions. Its lineage has been centred in Kham in eastern Tibet in modern times.",NA
"In Tibetan Buddhism, the word <q>Terma</q> means",NA,C,Bodhisattvas,Religious texts were written by monks and nuns,Various forms of hidden teachings,Life stories of Buddha,NA,NA,NA,NA,"These hidden teachings are key to Vajrayana or Tibetan Buddhist and Bon religious traditions. Termas are a part of tantric literature. <br/>The belief is that these teachings were originally esoterically hidden by various adepts such as Padmasambhava during the eighth century, for future discovery at auspicious times by other adepts. <br/>As such, Terma represents a tradition of continuous revelation in Vajrayana or Tibetan Buddhism. <br/>Termas are not always made public right away. The conditions may not. Be right; people may not yet be ready for them, and further instructions may need to be revealed to clarify their meaning.",NA
