question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"According to IUPAC recommendations, the number of groups in the long form of the periodic table is:-",NA,D,7,8,16,18,NA,NA,NA,NA,"The correct option is D. <br/>In chemistry, a group (also known as a family) is a column of elements in the periodic table of the chemical elements. There are 18 numbered groups in the periodic table; the f-block columns (between groups 3 and 4) are not numbered.",NA
How many elements did Mendeleev classify?,NA,A,63,92,61,60,NA,NA,NA,NA,The correct answer is A as Mendeleev classify 63 elements in his periodic table.,NA
How many elements are placed in lanthanide and actinide series?,NA,B,"57, 89","14, 14","89, 57","14, 16",NA,NA,NA,NA,"The lanthanides series include elements 58 to 71 which fill their 4f sublevel progressively. The actinides are elements 89 to 103 and fill their 5f sublevel progressively.The lanthanides are f-block elements which contain seven f-orbitals . The maximum electrons can be filled in f-orbitals are 14. Hence, lanthanides have a total 14 elements.The actinide series always includes the 14 elements with atomic numbers 90 through 103. The other members are (in order of increasing atomic number) thorium, protactinium, uranium, neptunium, plutonium, americium, curium, berkelium , californium, einsteinium , fermium, mendelevium, nobelium, and lawrencium.",NA
Which of the following elements of noble gases participate in chemical reaction?,NA,A,Xe and Kr,"He, Kr","Rn, He","He, Ne",NA,NA,NA,NA,"At high temperature and high pressure Krypton and Xenon forms some compounds like Xenon, Tetrafluride, xenon Oxyfluride.",NA
In the modern periodic table which are the metals among the first 10 elements?,NA,C,"Be, C","Li, B","Li, Be","B, Be",NA,NA,NA,NA,"Therefore, only lithium and beryllium are two metals among the first ten elements of the periodic table.",NA
Nitrogen and phosphorus belong to the group 15 of the periodic table. Which of these will be more electronegative?,NA,C,Phosphorus,Both are equally electronegative,Nitrogen,None of these,NA,NA,NA,NA,"Nitrogen is more electronegative than phosphorus. On moving down a group, the number of shell increases. Therefore, the valence electrons move away from the nucleus and the effective nuclear charge decreases.",NA
Modern Periodic law is based upon-,NA,C,Number of neutrons,Number of electron,Atomic number,Atomic mass,NA,NA,NA,NA,"Modern periodic Law based on atomic number can be stated as <q>properties of the elements are periodic function of their atomic number</q>. That is , in the Modern Periodic Table, the elements are arranged in the order of their increasing atomic numbers.",NA
The second ionization energy is greater than the first because,NA,B,Second electron is heavy hence it needs more energy,increased force of attraction between the nucleus and the valence electrons,of decreased force of attraction between the nucleus and the valence electrons,None of these,NA,NA,NA,NA,"The correct option is B. <br/>In first ionisation energy, we remove electron from a neutral atom but for second ionisation we have to remove electron from a positive atom, where electron are more tightly bounded due to increased attraction force so second ionisation energy is high relative to first IP.",NA
The atomic number of an element is 16 predict the nature of the element,NA,A,Non metallic,Semi metallic,Metallic,None of these,NA,NA,NA,NA,"The correct answer is A as t&#39;s configuration is 2,8,6 therefore its valency is 2 as it needs two electrons to complete its octet. <br/>It is a non metal because as we go from left to right in a periodic table the metallic character decreases while non-metallic character increases.",NA
"When metals react with non-metals, electrons are transferred from the metal atoms to the non-metal atoms, forming ions. The resulting compound is called_____",NA,A,Ionic compound,covalent compound,coordinate compound,All of these,NA,NA,NA,NA,Ionic compounds are the attraction between positively and negatively charged ions. Ions are formed when atoms gain or lose electrons or combinations of elements bonding sharing electrons result in the unit having an electric charge. Let's practice forming some ionic compound formulas.,NA
Give the symbol for the most reactive non-metal of group 17,NA,A,F,Cl,Br,I,NA,NA,NA,NA,"Fluorine is a halogen, which is group 17 on the periodic table, and the halogen are the most reactive.",NA
Which one has the bigger size?,NA,A,K,Na,Cl,F,NA,NA,NA,NA,"The potassium atom has an extra electron shell compared to the sodium atom, which means its valence electrons are further from the nucleus, giving potassium a larger atomic  radius.",NA
Which set of elements is listed in order of increasing ionization energy?,NA,A,Sb < As < S < P < Cl,Cl < Sb < P < As < S,As < Cl < P < S < Sb,Sb < As < Cl < S < P,NA,NA,NA,NA,"As atomic number increases along a period, ionization energy increases and in a group it decreases. For S and P, theoretically ionization energy of S should be greater than P but due to the stability of half filled electronic configuration, ionization energy of P is greater than S.",NA
Which of the following element forms dipositive ion very easily?,NA,D,Na,Cs,F,Mg,NA,NA,NA,NA,"The correct option is D. <br/>Magnesium (Mg) forms a dipositive ion very easily due to its electronic configuration, small size, high electronegativity, and stable octet configuration. <br/>Ion carrying two units of positive charge (+2) is called dipositive ion. Here, from the given options Mg=(Electronic Configuration) =2, 8,2      Charge=+2(Capability to donate 2 e-)",NA
Which of the following is not the limitation of Mendeleev&#39;s periodic table?,NA,A,He left gaps for yet to be discovered elements,There was no place for isotopes in the periodic table,There was no place for noble gases,None of these,NA,NA,NA,NA,"Mendeleev arranges the elements in the increasing order of their atomic masses. According to Mendeleev, the physical and chemical properties are the periodic function of their atomic mass. <br/>The limitations of Mendeleev&#39;s periodic tables are as under: <br/>Position of hydrogen: The position of a hydrogen atom is uncertain because it shows resemblance with alkali metal and halogens. But in Mendeleev&#39;s periodic table, Hydrogen is placed with alkali metals in group 1A. <br/>Position of isotopes: There is no separate position given to the isotopes of an element. <br/>Cause of periodicity: Mendeleev&#39;s periodic table does not explain successfully the cause of periodicity. Some dissimilar elements are placed together. <br/>Some elements having higher atomic mass are placed before the elements with lower atomic mass.",NA
What is the atomic number of the first element of the lanthanide series?,NA,D,56,89,88,57,NA,NA,NA,NA,"The lanthanide series starts from cerium and ends in lutetium i.e., from atomic number 58 to 71.",NA
Statement A : Electron affinity of fluorine is more than that of chlorine. <br/>Statement B : Carbon monoxide is an acidic oxide.,NA,B,"Statement B is true, A is false",Neither statement nor statement B is true,Both the Statement A and B are true,"Statement A is true, B is false",NA,NA,NA,NA,"Electron affinity of chlorine is more than fluorine. Carbon monoxide do not show basic and acidic properties when they react with water. Therefore, it is neutral oxide.",NA
Statement A : energy is always released when a neutral atoms gain an electron <br/>Statement B Tellurium and polonium are semi metals,NA,D,Statement B is true A is false,Neither statement A nor statement B is true,"Statement A is true, B is false",Both the statement A and B are true,NA,NA,NA,NA,Energy is always released when a neutral atom gains an electron. This process is called electron affinity. It is reverse of ionization energy. Semimetals are also known as metalloids. Tellurium and polonium are one of the semi metals.,NA
What is the number of valance electrons in the last element of 3rd period?,NA,C,7,5,8,3,NA,NA,NA,NA,"The answer is 8. <br/>In third period the number of valence electrons increases from 1 (Na) to 8 (Ar) i.e., from left to right, whereas the valency increases from 1 (Na) to 4 (Si) and then decreases from 4 to 0 (Ar).",NA
Arrange the following elements in the decreasing order of their atomic radii,NA,B, O>N>C>B>Be>Li,Li>Be>B>C>N>O,C>L1>N>O>B>Be,Li>Be>B>N>C>O,NA,NA,NA,NA,The correct option is B. <br/>It is fairly easy to arrange the atoms according to atomic size. We know that atomic size increases from right to left and from top to bottom in the Periodic Table. The smallest atoms are at the top right and the largest atoms are at the lower left of the Periodic Table.Decreasing order of atomic size: <br/>Li > Be > B > C > N > O > F,NA
